t,v,vw,o,c,h,l,n
2023-06-02 08:55:00,200,8.1558,8.15,8.15,8.15,8.15,3
2023-06-02 08:57:00,124,8.1981,8.2,8.2,8.2,8.2,2
2023-06-02 11:00:00,2296,8.16,8.16,8.16,8.16,8.16,2
2023-06-02 12:00:00,2344,8.1955,8.17,8.1993,8.1993,8.17,7
2023-06-02 12:03:00,801,8.1988,8.2,8.2,8.2,8.19,8
2023-06-02 12:11:00,300,8.21,8.21,8.21,8.21,8.21,1
2023-06-02 12:19:00,500,8.21,8.21,8.21,8.21,8.21,2
2023-06-02 12:28:00,100,8.16,8.16,8.16,8.16,8.16,1
2023-06-02 12:29:00,250,8.15,8.15,8.15,8.15,8.15,1
2023-06-02 12:30:00,1523,8.2098,8.21,8.21,8.21,8.21,4
2023-06-02 12:32:00,500,8.22,8.22,8.22,8.22,8.22,1
2023-06-02 12:33:00,378,8.1324,8.12,8.12,8.12,8.12,2
2023-06-02 12:34:00,579,8.2145,8.22,8.22,8.22,8.22,3
2023-06-02 12:35:00,1018,8.2392,8.22,8.24,8.25,8.22,9
2023-06-02 12:40:00,446,8.2878,8.29,8.29,8.29,8.29,4
2023-06-02 13:11:00,300,8.21,8.21,8.21,8.21,8.21,1
2023-06-02 13:18:00,500,8.2097,8.2,8.2,8.2,8.2,8
2023-06-02 13:21:00,2000,8.21,8.21,8.21,8.21,8.21,1
2023-06-02 13:29:00,2116,8.3172,8.28,8.34,8.34,8.28,14
2023-06-02 13:30:00,139098,8.3781,8.35,8.345,8.41,8.32,416
2023-06-02 13:31:00,33479,8.3443,8.34,8.33,8.38,8.31,240
2023-06-02 13:32:00,15293,8.3141,8.33,8.29,8.345,8.28,127
2023-06-02 13:33:00,13225,8.2785,8.295,8.27,8.295,8.26,92
2023-06-02 13:34:00,20425,8.2608,8.28,8.26,8.285,8.24,114
2023-06-02 13:35:00,26117,8.2644,8.255,8.25,8.2782,8.245,217
2023-06-02 13:36:00,38919,8.2276,8.25,8.21,8.25,8.201,192
2023-06-02 13:37:00,52276,8.2314,8.22,8.28,8.2801,8.21,337
2023-06-02 13:38:00,21815,8.2714,8.28,8.2609,8.29,8.25,168
2023-06-02 13:39:00,13013,8.2669,8.265,8.285,8.285,8.255,116
2023-06-02 13:40:00,25415,8.2898,8.29,8.3099,8.3099,8.285,246
2023-06-02 13:41:00,19306,8.2773,8.31,8.27,8.31,8.255,198
2023-06-02 13:42:00,28992,8.304,8.28,8.315,8.325,8.28,171
2023-06-02 13:43:00,97787,8.3451,8.32,8.375,8.385,8.31,681
2023-06-02 13:44:00,174086,8.3829,8.375,8.355,8.4,8.35,433
2023-06-02 13:45:00,27965,8.3658,8.35,8.36,8.38,8.34,232
2023-06-02 13:46:00,37018,8.3784,8.35,8.375,8.41,8.335,307
2023-06-02 13:47:00,32399,8.3875,8.37,8.395,8.405,8.35,288
