t,v,vw,o,c,h,l,n
2023-07-28 13:07:00,2000,9.9451,9.95,9.94,9.95,9.94,4
2023-07-28 13:20:00,1000,10.0,10.0,10.0,10.0,10.0,2
2023-07-28 13:21:00,428,10.0,10.0,10.0,10.0,10.0,1
2023-07-28 13:30:00,3521,10.0109,10.0,10.065,10.09,10.0,31
2023-07-28 13:31:00,4523,9.9845,10.0,9.935,10.0,9.92,70
2023-07-28 13:32:00,3198,9.9291,9.92,9.946,9.946,9.92,17
2023-07-28 13:33:00,3203,9.954,9.95,9.97,9.97,9.93,20
2023-07-28 13:34:00,291,9.9175,9.91,9.91,9.91,9.91,11
2023-07-28 13:35:00,3792,9.9426,9.94,9.95,9.95,9.93,25
2023-07-28 13:36:00,2669,9.9576,9.95,9.98,9.98,9.95,38
2023-07-28 13:37:00,1173,9.9699,9.97,9.97,9.97,9.97,32
2023-07-28 13:38:00,3611,9.9724,9.97,9.97,9.98,9.97,33
2023-07-28 13:39:00,3118,9.9861,9.97,9.99,9.99,9.97,30
2023-07-28 13:40:00,2453,9.98,9.98,9.98,9.98,9.98,29
2023-07-28 13:43:00,750,9.9745,9.97,9.98,9.98,9.97,33
2023-07-28 13:45:00,666,9.9798,9.98,9.98,9.98,9.98,10
2023-07-28 13:46:00,1424,9.9883,9.98,9.99,9.99,9.98,34
2023-07-28 13:47:00,563,9.9911,9.99,9.995,9.995,9.99,12
2023-07-28 13:48:00,3869,9.9967,10.0,9.99,10.0,9.99,42
2023-07-28 13:49:00,1305,9.9904,9.99,9.99,9.99,9.99,29
2023-07-28 13:50:00,5884,9.9909,9.99,9.995,9.995,9.99,161
2023-07-28 13:51:00,4295,10.0004,10.0,9.995,10.005,9.995,41
2023-07-28 13:52:00,4079,9.9925,10.0,9.995,10.0,9.99,41
2023-07-28 13:53:00,255,9.9959,9.995,9.995,9.995,9.995,5
2023-07-28 13:54:00,8415,9.9996,10.0,9.995,10.005,9.99,72
2023-07-28 13:55:00,7878,9.9988,10.0,9.99,10.005,9.99,53
2023-07-28 13:56:00,2699,9.9894,9.99,9.98,9.99,9.98,29
2023-07-28 13:57:00,110,9.9805,9.98,9.98,9.98,9.98,2
2023-07-28 13:58:00,1530,9.9942,9.99,9.99,9.99,9.99,11
2023-07-28 13:59:00,167,9.9923,9.99,9.99,9.99,9.99,10
2023-07-28 14:00:00,491,10.0,10.0,10.0,10.0,10.0,9
2023-07-28 14:01:00,4123,10.0006,10.0,10.0,10.01,10.0,28
2023-07-28 14:02:00,995,9.997,10.0,9.995,10.0,9.995,12
2023-07-28 14:03:00,1708,9.9924,9.995,9.995,9.9956,9.9904,11
2023-07-28 14:04:00,306,9.9934,9.99,9.995,9.995,9.99,5
2023-07-28 14:05:00,3903,10.0,10.0,10.0,10.0,10.0,4
2023-07-28 14:06:00,5234,10.0041,10.0,10.005,10.005,10.0,20
2023-07-28 14:07:00,2051,9.9963,10.005,9.985,10.005,9.985,30
2023-07-28 14:08:00,1679,9.9929,9.985,9.985,9.985,9.98,8
2023-07-28 14:09:00,215,9.99,9.99,9.99,9.99,9.99,5
2023-07-28 14:10:00,1205,9.99,9.99,9.99,9.99,9.99,20
2023-07-28 14:12:00,12260,9.9835,9.985,9.99,9.995,9.98,102
2023-07-28 14:13:00,2600,9.9995,9.995,10.0,10.0,9.995,9
2023-07-28 14:14:00,460,9.9967,10.0,9.99,10.0,9.99,4
2023-07-28 14:15:00,548,9.9975,10.0,10.0,10.0,9.9906,5
2023-07-28 14:16:00,2538,10.0028,10.0,10.005,10.005,10.0,27
2023-07-28 14:17:00,7978,10.0007,10.005,9.995,10.005,9.995,41
2023-07-28 14:20:00,194,9.9974,9.995,9.995,9.995,9.995,3
2023-07-28 14:22:00,110,9.995,9.995,9.995,9.995,9.995,2
2023-07-28 14:24:00,4657,10.0002,10.0,10.0,10.005,10.0,60
2023-07-28 14:25:00,1124,9.9976,9.995,9.995,9.995,9.995,12
2023-07-28 14:26:00,200,9.9975,9.995,10.0,10.0,9.995,2
2023-07-28 14:27:00,1755,9.9949,10.0,10.0,10.0,9.99,13
2023-07-28 14:28:00,5781,9.9905,10.0,9.995,10.0,9.99,28
2023-07-28 14:29:00,2522,9.9944,9.985,10.0,10.0,9.985,28
2023-07-28 14:30:00,982,9.995,9.995,9.995,9.995,9.995,11
2023-07-28 14:31:00,400,9.995,9.995,9.995,9.995,9.995,4
2023-07-28 14:33:00,955,9.996,9.995,9.995,10.0,9.995,12
2023-07-28 14:34:00,4801,9.9927,9.995,9.99,10.0,9.99,40
2023-07-28 14:36:00,177,9.9947,9.995,9.995,9.995,9.995,3
2023-07-28 14:40:00,200,9.995,9.995,9.995,9.995,9.995,2
2023-07-28 14:41:00,840,9.9962,10.0,9.995,10.0,9.995,8
2023-07-28 14:42:00,13063,10.0003,10.0,9.995,10.005,9.995,62
2023-07-28 14:43:00,4294,10.0002,10.0,10.005,10.005,10.0,47
2023-07-28 14:44:00,49956,10.0001,10.01,10.01,10.01,10.0,11
2023-07-28 14:45:00,6545,10.0077,10.01,10.01,10.01,10.0,81
2023-07-28 14:46:00,514,10.0071,10.01,10.01,10.01,10.005,5
2023-07-28 14:47:00,8943,10.0032,10.005,10.01,10.01,10.0001,36
2023-07-28 14:48:00,1700,10.0132,10.01,10.02,10.02,10.01,21
2023-07-28 14:49:00,3874,10.0217,10.02,10.03,10.03,10.015,32
2023-07-28 14:50:00,1851,10.0275,10.025,10.02,10.03,10.02,19
2023-07-28 14:51:00,1537,10.0284,10.025,10.03,10.03,10.025,22
2023-07-28 14:52:00,22058,10.0204,10.03,10.01,10.03,10.01,250
2023-07-28 14:53:00,210,10.0102,10.01,10.01,10.01,10.01,3
2023-07-28 14:54:00,300,10.0155,10.015,10.015,10.015,10.015,6
2023-07-28 14:55:00,401,10.015,10.015,10.015,10.015,10.015,3
2023-07-28 14:56:00,307,10.0123,10.015,10.01,10.015,10.01,6
2023-07-28 14:58:00,6101,10.0219,10.02,10.02,10.03,10.02,59
2023-07-28 14:59:00,1145,10.0247,10.025,10.02,10.03,10.02,17
2023-07-28 15:00:00,5184,10.0217,10.025,10.02,10.025,10.02,58
2023-07-28 15:01:00,1455,10.0226,10.025,10.025,10.025,10.02,18
2023-07-28 15:03:00,2235,10.0346,10.03,10.04,10.04,10.03,27
2023-07-28 15:04:00,3002,10.0411,10.045,10.04,10.045,10.04,25
2023-07-28 15:05:00,1105,10.05,10.05,10.05,10.05,10.05,9
2023-07-28 15:06:00,103,10.0551,10.055,10.055,10.055,10.055,2
2023-07-28 15:07:00,19218,10.0742,10.06,10.085,10.085,10.06,203
2023-07-28 15:09:00,24836,10.0712,10.08,10.07,10.085,10.05,328
2023-07-28 15:10:00,30919,10.0617,10.075,10.07,10.075,10.045,331
2023-07-28 15:12:00,1515,10.0807,10.08,10.085,10.085,10.08,15
2023-07-28 15:13:00,27897,10.0715,10.085,10.07,10.085,10.06,355
2023-07-28 15:15:00,289,10.072,10.07,10.075,10.075,10.07,6
2023-07-28 15:16:00,206,10.0769,10.075,10.075,10.075,10.075,5
2023-07-28 15:17:00,15438,10.0885,10.075,10.085,10.095,10.075,121
2023-07-28 15:18:00,304,10.0884,10.09,10.085,10.09,10.085,4
2023-07-28 15:19:00,656,10.0757,10.09,10.09,10.09,10.09,6
2023-07-28 15:22:00,2552,10.0882,10.085,10.09,10.09,10.08,22
2023-07-28 15:23:00,4358,10.0904,10.09,10.095,10.095,10.09,37
2023-07-28 15:24:00,1926,10.0925,10.09,10.1,10.1,10.09,27
2023-07-28 15:25:00,1026,10.0965,10.09,10.1,10.1,10.09,14
2023-07-28 15:26:00,7575,10.0979,10.1,10.09,10.105,10.09,91
2023-07-28 15:27:00,28834,10.0879,10.09,10.08,10.095,10.08,279
2023-07-28 15:28:00,606,10.0804,10.08,10.08,10.08,10.08,14
2023-07-28 15:29:00,4478,10.09,10.08,10.095,10.1,10.08,56
2023-07-28 15:30:00,302,10.0946,10.0946,10.0949,10.0949,10.0944,5
2023-07-28 15:31:00,101,10.1,10.1,10.1,10.1,10.1,2
2023-07-28 15:33:00,232,10.0998,10.1,10.1,10.1,10.1,6
2023-07-28 15:34:00,2583,10.1,10.1,10.1,10.1,10.1,29
2023-07-28 15:35:00,856,10.0972,10.1,10.1,10.1,10.09,15
2023-07-28 15:36:00,622,10.0953,10.1,10.0915,10.1,10.0915,9
2023-07-28 15:37:00,1484,10.0986,10.1,10.1,10.1,10.1,18
2023-07-28 15:38:00,1581,10.1096,10.105,10.11,10.11,10.105,19
2023-07-28 15:39:00,1324,10.1227,10.12,10.13,10.13,10.12,22
2023-07-28 15:40:00,308,10.13,10.13,10.13,10.13,10.13,6
2023-07-28 15:41:00,1980,10.1377,10.13,10.15,10.15,10.13,30
