t,v,vw,o,c,h,l,n
2023-06-26 11:00:00,457,1.7488,1.75,1.75,1.75,1.75,2
2023-06-26 11:01:00,300,1.75,1.75,1.75,1.75,1.75,1
2023-06-26 12:16:00,125,1.748,1.75,1.75,1.75,1.75,2
2023-06-26 12:54:00,140,1.75,1.75,1.75,1.75,1.75,1
2023-06-26 13:23:00,100,1.77,1.77,1.77,1.77,1.77,1
2023-06-26 13:25:00,1850,1.78,1.78,1.78,1.78,1.78,2
2023-06-26 13:26:00,150,1.78,1.78,1.78,1.78,1.78,1
2023-06-26 13:30:00,17184,1.7799,1.78,1.77,1.78,1.77,12
2023-06-26 13:32:00,986,1.7601,1.76,1.76,1.76,1.76,11
2023-06-26 13:33:00,1090,1.76,1.76,1.76,1.76,1.76,11
2023-06-26 13:34:00,1527,1.7633,1.76,1.76,1.765,1.76,8
2023-06-26 13:35:00,163,1.7503,1.75,1.75,1.75,1.75,4
2023-06-26 13:36:00,6100,1.7596,1.755,1.755,1.7599,1.755,6
2023-06-26 13:37:00,2224,1.7607,1.755,1.765,1.765,1.755,14
2023-06-26 13:38:00,100,1.76,1.76,1.76,1.76,1.76,1
2023-06-26 13:39:00,1220,1.7643,1.765,1.76,1.765,1.76,3
2023-06-26 13:40:00,103,1.7603,1.76,1.76,1.76,1.76,2
2023-06-26 13:41:00,2176,1.7595,1.76,1.75,1.76,1.75,8
2023-06-26 13:42:00,100,1.75,1.75,1.75,1.75,1.75,1
2023-06-26 13:43:00,100,1.75,1.75,1.75,1.75,1.75,1
2023-06-26 13:44:00,310,1.75,1.75,1.75,1.75,1.75,4
2023-06-26 13:45:00,800,1.7511,1.7507,1.755,1.755,1.75,4
2023-06-26 13:46:00,200,1.755,1.755,1.755,1.755,1.755,2
2023-06-26 13:47:00,122,1.7543,1.755,1.755,1.755,1.755,2
2023-06-26 13:48:00,100,1.755,1.755,1.755,1.755,1.755,1
2023-06-26 13:50:00,523,1.7508,1.7508,1.751,1.751,1.7508,2
2023-06-26 13:51:00,200,1.7575,1.755,1.76,1.76,1.755,2
2023-06-26 13:52:00,4772,1.7598,1.755,1.7599,1.76,1.755,41
2023-06-26 13:56:00,870,1.7694,1.765,1.77,1.77,1.765,10
2023-06-26 13:59:00,106,1.7702,1.77,1.77,1.77,1.77,3
2023-06-26 14:00:00,2638,1.77,1.77,1.77,1.77,1.77,26
2023-06-26 14:01:00,100,1.77,1.77,1.77,1.77,1.77,1
2023-06-26 14:02:00,700,1.7686,1.77,1.765,1.77,1.765,6
2023-06-26 14:04:00,126,1.7612,1.76,1.76,1.76,1.76,3
2023-06-26 14:05:00,305,1.7638,1.761,1.765,1.765,1.761,5
2023-06-26 14:06:00,102,1.765,1.765,1.765,1.765,1.765,3
2023-06-26 14:07:00,101,1.765,1.765,1.765,1.765,1.765,2
2023-06-26 14:08:00,105,1.7648,1.765,1.765,1.765,1.765,2
2023-06-26 14:09:00,100,1.765,1.765,1.765,1.765,1.765,1
2023-06-26 14:10:00,105,1.7652,1.765,1.765,1.765,1.765,2
2023-06-26 14:11:00,5579,1.7698,1.765,1.7685,1.77,1.765,13
2023-06-26 14:12:00,1798,1.7701,1.77,1.77,1.77,1.77,18
2023-06-26 14:16:00,4695,1.7748,1.77,1.775,1.775,1.77,4
2023-06-26 14:17:00,100,1.77,1.77,1.77,1.77,1.77,1
