t,v,vw,o,c,h,l,n
2023-07-05 13:12:00,600,13.81,13.81,13.81,13.81,13.81,1
2023-07-05 13:14:00,1900,13.81,13.81,13.81,13.81,13.81,1
2023-07-05 13:18:00,200,13.8115,13.8115,13.8115,13.8115,13.8115,2
2023-07-05 13:24:00,130,13.81,13.81,13.81,13.81,13.81,5
2023-07-05 13:27:00,360,13.8571,13.86,13.86,13.86,13.86,6
2023-07-05 13:29:00,198,13.8098,13.82,13.82,13.82,13.82,9
2023-07-05 13:30:00,26306,13.7707,13.77,13.785,13.8,13.76,40
2023-07-05 13:31:00,140,13.785,13.785,13.785,13.785,13.785,2
2023-07-05 13:33:00,2866,13.7503,13.77,13.73,13.77,13.73,35
2023-07-05 13:35:00,1774,13.7251,13.74,13.715,13.74,13.71,25
2023-07-05 13:36:00,6695,13.7172,13.715,13.71,13.7201,13.708,27
2023-07-05 13:37:00,2369,13.6999,13.7,13.7,13.7,13.7,28
2023-07-05 13:38:00,20315,13.7515,13.7,13.7504,13.76,13.7,39
2023-07-05 13:39:00,248,13.7609,13.76,13.76,13.76,13.76,5
2023-07-05 13:40:00,440,13.7389,13.75,13.735,13.75,13.735,3
2023-07-05 13:41:00,2232,13.7353,13.73,13.7391,13.7403,13.73,21
2023-07-05 13:42:00,361,13.7433,13.74,13.74,13.74,13.74,12
2023-07-05 13:43:00,1037,13.7648,13.77,13.76,13.77,13.76,14
2023-07-05 13:44:00,358,13.7714,13.775,13.77,13.775,13.77,9
2023-07-05 13:46:00,3226,13.7706,13.7701,13.7703,13.7707,13.7701,7
2023-07-05 13:47:00,114,13.7896,13.79,13.79,13.79,13.79,5
2023-07-05 13:49:00,113,13.7899,13.79,13.79,13.79,13.79,8
2023-07-05 13:50:00,5599,13.7772,13.785,13.7803,13.785,13.77,26
2023-07-05 13:51:00,365,13.7752,13.775,13.775,13.775,13.775,5
2023-07-05 13:52:00,392,13.771,13.7701,13.7701,13.7701,13.7701,4
2023-07-05 13:53:00,318,13.7704,13.77,13.77,13.77,13.77,14
2023-07-05 13:54:00,102,13.7699,13.77,13.77,13.77,13.77,2
2023-07-05 13:55:00,1787,13.7685,13.771,13.76,13.771,13.76,20
2023-07-05 13:58:00,786,13.7746,13.78,13.77,13.78,13.77,15
2023-07-05 13:59:00,361,13.77,13.77,13.77,13.77,13.77,7
2023-07-05 14:01:00,1001,13.7835,13.7801,13.785,13.785,13.7801,9
2023-07-05 14:02:00,225,13.7877,13.785,13.79,13.79,13.785,5
2023-07-05 14:03:00,323,13.7898,13.79,13.79,13.79,13.79,9
2023-07-05 14:04:00,1686,13.7968,13.79,13.8,13.8,13.79,28
2023-07-05 14:06:00,697,13.8,13.8,13.8,13.8,13.8,2
2023-07-05 14:08:00,386,13.8,13.8,13.8,13.8,13.8,5
2023-07-05 14:09:00,101,13.8,13.8,13.8,13.8,13.8,2
2023-07-05 14:10:00,1867,13.81,13.81,13.81,13.81,13.81,6
2023-07-05 14:12:00,942,13.8039,13.81,13.8,13.81,13.8,22
2023-07-05 14:13:00,1233,13.7979,13.795,13.7986,13.7986,13.795,8
2023-07-05 14:14:00,456,13.7863,13.79,13.78,13.79,13.78,9
2023-07-05 14:15:00,203,13.7909,13.78,13.78,13.78,13.78,5
2023-07-05 14:21:00,319,13.8004,13.8,13.8,13.8,13.8,9
2023-07-05 14:22:00,139,13.8076,13.8086,13.8086,13.8086,13.8086,7
2023-07-05 14:23:00,8109,13.7727,13.8,13.76,13.8,13.76,67
2023-07-05 14:27:00,271,13.7602,13.76,13.76,13.76,13.76,12
2023-07-05 14:28:00,382,13.7626,13.765,13.765,13.765,13.765,8
2023-07-05 14:31:00,14711,13.7399,13.76,13.7599,13.76,13.73,59
2023-07-05 14:34:00,501,13.761,13.7599,13.765,13.765,13.7599,4
2023-07-05 14:37:00,200,13.77,13.77,13.77,13.77,13.77,1
2023-07-05 14:38:00,229,13.7693,13.7688,13.77,13.77,13.7688,6
