t,v,vw,o,c,h,l,n
2023-05-09 13:30:00,19840.0,7.2382,7.25,7.185,7.25,7.15,43
2023-05-09 13:31:00,1342.0,7.2394,7.2,7.27,7.27,7.185,23
2023-05-09 13:32:00,246.0,7.23,7.23,7.23,7.23,7.23,3
2023-05-09 13:33:00,112.0,7.2147,7.215,7.215,7.215,7.215,4
2023-05-09 13:34:00,394.0,7.2005,7.2,7.19,7.2,7.19,11
2023-05-09 13:35:00,3208.0,7.2236,7.2,7.26,7.26,7.2,32
2023-05-09 13:36:00,1618.0,7.2683,7.27,7.28,7.28,7.27,16
2023-05-09 13:37:00,2839.0,7.2759,7.29,7.26,7.29,7.26,21
2023-05-09 13:38:00,3048.0,7.2257,7.25,7.21,7.25,7.21,35
2023-05-09 13:39:00,1033.0,7.199,7.2,7.2,7.2,7.19,11
2023-05-09 13:40:00,2772.0,7.1776,7.195,7.16,7.195,7.16,24
2023-05-09 13:41:00,3125.0,7.1484,7.15,7.14,7.15,7.14,30
2023-05-09 13:42:00,470.0,7.1465,7.15,7.15,7.15,7.15,17
2023-05-09 13:43:00,3326.0,7.1392,7.14,7.13,7.15,7.125,39
2023-05-09 13:44:00,4393.0,7.1299,7.13,7.13,7.135,7.13,40
2023-05-09 13:45:00,5598.0,7.1055,7.13,7.105,7.13,7.1,49
2023-05-09 13:46:00,4990.0,7.0858,7.095,7.09,7.095,7.08,45
2023-05-09 13:47:00,648.0,7.0932,7.09,7.09,7.0977,7.09,15
2023-05-09 13:48:00,5409.0,7.0756,7.09,7.07,7.09,7.06,53
2023-05-09 13:49:00,1896.0,7.0716,7.08,7.06,7.08,7.06,30
2023-05-09 13:50:00,1940.0,7.0594,7.06,7.055,7.06,7.05,17
2023-05-09 13:51:00,5301.0,7.0596,7.06,7.05,7.06,7.05,46
2023-05-09 13:52:00,7574.0,7.0306,7.04,7.015,7.04,7.015,68
2023-05-09 13:53:00,4700.0,7.0287,7.02,7.035,7.04,7.02,46
2023-05-09 13:54:00,763.0,7.0294,7.035,7.02,7.035,7.02,18
2023-05-09 13:55:00,2091.0,7.0305,7.025,7.03,7.04,7.025,25
2023-05-09 13:56:00,3370.0,7.0355,7.04,7.03,7.04,7.025,32
2023-05-09 13:57:00,1712.0,7.0394,7.035,7.04,7.04,7.035,17
2023-05-09 13:58:00,8603.0,7.0345,7.04,7.02,7.05,7.02,56
2023-05-09 13:59:00,3907.0,7.0303,7.03,7.04,7.04,7.02,49
2023-05-09 14:00:00,2654.0,7.0404,7.045,7.04,7.045,7.04,22
2023-05-09 14:01:00,1178.0,7.0247,7.03,7.02,7.03,7.02,31
2023-05-09 14:02:00,4886.0,7.0035,7.01,6.995,7.01,6.995,65
2023-05-09 14:03:00,2590.0,6.9619,6.98,6.9499,6.98,6.9499,39
2023-05-09 14:04:00,6731.0,6.9489,6.95,6.955,6.955,6.945,83
2023-05-09 14:05:00,5261.0,6.9591,6.955,6.955,6.96,6.955,66
2023-05-09 14:06:00,4298.0,6.9639,6.955,6.97,6.975,6.955,62
2023-05-09 14:07:00,7290.0,6.9638,6.96,6.98,6.985,6.95,48
2023-05-09 14:08:00,2510.0,6.9866,6.975,6.995,6.995,6.975,30
2023-05-09 14:09:00,2315.0,7.0029,6.995,7.005,7.01,6.995,25
2023-05-09 14:10:00,2305.0,7.0099,7.01,7.005,7.01,7.005,43
2023-05-09 14:11:00,1668.0,6.9997,7.005,6.995,7.005,6.995,22
2023-05-09 14:12:00,3995.0,7.0158,6.995,7.045,7.045,6.995,42
2023-05-09 14:13:00,2679.0,7.0565,7.045,7.06,7.065,7.045,25
2023-05-09 14:14:00,1542.0,7.069,7.06,7.08,7.08,7.06,14
2023-05-09 14:15:00,1435.0,7.0933,7.09,7.1,7.1,7.09,12
2023-05-09 14:16:00,6548.0,7.1044,7.1,7.105,7.11,7.095,55
2023-05-09 14:17:00,4652.0,7.1094,7.105,7.115,7.115,7.105,59
2023-05-09 14:18:00,3196.0,7.1224,7.115,7.13,7.13,7.115,23
2023-05-09 14:19:00,1645.0,7.139,7.135,7.14,7.14,7.135,27
2023-05-09 14:20:00,2549.0,7.1553,7.14,7.175,7.175,7.135,30
2023-05-09 14:21:00,1552.0,7.1787,7.175,7.18,7.18,7.175,26
2023-05-09 14:22:00,5435.0,7.2053,7.18,7.21,7.22,7.18,52
2023-05-09 14:23:00,5168.0,7.2245,7.22,7.215,7.23,7.215,40
2023-05-09 14:24:00,1463.0,7.2132,7.21,7.21,7.2199,7.21,15
2023-05-09 14:25:00,1416.0,7.2043,7.21,7.195,7.21,7.195,14
2023-05-09 14:26:00,2700.0,7.2078,7.2,7.21,7.215,7.2,31
2023-05-09 14:27:00,2275.0,7.2038,7.21,7.19,7.21,7.18,23
2023-05-09 14:28:00,6620.0,7.1921,7.19,7.19,7.205,7.185,75
2023-05-09 14:29:00,4962.0,7.1762,7.18,7.175,7.18,7.175,12
2023-05-09 14:30:00,2063.0,7.1859,7.18,7.195,7.2,7.175,25
2023-05-09 14:31:00,1924.0,7.1877,7.19,7.175,7.19,7.175,21
2023-05-09 14:32:00,1393.0,7.179,7.18,7.185,7.185,7.175,16
2023-05-09 14:34:00,1762.0,7.189,7.185,7.19,7.2,7.185,27
2023-05-09 14:35:00,7548.0,7.1847,7.195,7.18,7.195,7.175,67
2023-05-09 14:36:00,7983.0,7.1917,7.19,7.21,7.21,7.185,55
2023-05-09 14:37:00,1594.0,7.2009,7.21,7.2,7.21,7.2,18
2023-05-09 14:38:00,2363.0,7.1875,7.2,7.175,7.2,7.17,25
2023-05-09 14:39:00,1955.0,7.1797,7.175,7.185,7.185,7.175,14
2023-05-09 14:40:00,1384.0,7.1895,7.185,7.19,7.19,7.185,12
2023-05-09 14:41:00,114.0,7.1944,7.195,7.195,7.195,7.195,3
2023-05-09 14:42:00,3640.0,7.1885,7.195,7.18,7.195,7.175,35
2023-05-09 14:43:00,4043.0,7.1627,7.175,7.15,7.175,7.15,29
2023-05-09 14:44:00,543.0,7.1421,7.14,7.14,7.15,7.14,7
2023-05-09 14:45:00,3654.0,7.1493,7.15,7.145,7.15,7.145,28
2023-05-09 14:46:00,1873.0,7.1494,7.145,7.16,7.16,7.145,20
2023-05-09 14:47:00,218.0,7.1543,7.155,7.155,7.155,7.155,5
2023-05-09 14:48:00,5088.0,7.1495,7.15,7.15,7.156,7.14,36
2023-05-09 14:49:00,1402.0,7.1531,7.15,7.155,7.155,7.15,9
2023-05-09 14:50:00,1402.0,7.1491,7.15,7.14,7.15,7.14,22
2023-05-09 14:51:00,375.0,7.14,7.14,7.14,7.14,7.14,5
2023-05-09 14:52:00,325.0,7.1449,7.145,7.145,7.145,7.145,5
2023-05-09 14:53:00,693.0,7.1464,7.145,7.145,7.15,7.145,12
2023-05-09 14:54:00,208.0,7.145,7.145,7.145,7.145,7.145,8
2023-05-09 14:55:00,2529.0,7.1507,7.15,7.16,7.16,7.15,28
2023-05-09 14:56:00,2229.0,7.1614,7.16,7.17,7.17,7.16,23
2023-05-09 14:57:00,3753.0,7.17,7.17,7.17,7.175,7.165,40
2023-05-09 14:58:00,236.0,7.1699,7.17,7.17,7.17,7.17,2
2023-05-09 14:59:00,775.0,7.1688,7.17,7.17,7.17,7.17,11
2023-05-09 15:01:00,262.0,7.18,7.18,7.18,7.18,7.18,3
2023-05-09 15:02:00,518.0,7.18,7.18,7.18,7.18,7.18,8
2023-05-09 15:03:00,1648.0,7.1794,7.18,7.18,7.18,7.175,26
2023-05-09 15:04:00,3360.0,7.1794,7.175,7.18,7.18,7.175,49
2023-05-09 15:05:00,1230.0,7.188,7.185,7.19,7.19,7.185,20
2023-05-09 15:06:00,516.0,7.1961,7.195,7.2,7.2,7.195,7
2023-05-09 15:07:00,5974.0,7.1901,7.195,7.195,7.195,7.185,65
2023-05-09 15:08:00,720.0,7.1965,7.195,7.195,7.2,7.195,8
2023-05-09 15:09:00,377.0,7.2,7.2,7.2,7.2,7.2,8
2023-05-09 15:10:00,1441.0,7.2,7.2,7.205,7.205,7.195,22
2023-05-09 15:11:00,3373.0,7.199,7.2,7.2,7.2,7.195,47
2023-05-09 15:12:00,2586.0,7.1994,7.2,7.2,7.2,7.195,32
2023-05-09 15:13:00,200.0,7.195,7.195,7.195,7.195,7.195,2
2023-05-09 15:14:00,271.0,7.1968,7.195,7.2,7.2,7.195,3
2023-05-09 15:15:00,4143.0,7.206,7.2,7.21,7.21,7.2,42
2023-05-09 15:16:00,2771.0,7.209,7.21,7.21,7.21,7.205,35
2023-05-09 15:17:00,1809.0,7.2127,7.22,7.215,7.22,7.21,19
2023-05-09 15:18:00,3105.0,7.21,7.215,7.205,7.215,7.205,27
2023-05-09 15:19:00,1700.0,7.2094,7.205,7.21,7.21,7.205,12
2023-05-09 15:20:00,1275.0,7.2101,7.21,7.21,7.21,7.21,22
2023-05-09 15:21:00,1484.0,7.1993,7.2,7.19,7.2,7.19,21
2023-05-09 15:22:00,614.0,7.19,7.19,7.19,7.19,7.19,11
2023-05-09 15:23:00,1417.0,7.1679,7.17,7.165,7.17,7.16,30
2023-05-09 15:24:00,3176.0,7.1539,7.155,7.14,7.16,7.14,26
2023-05-09 15:25:00,1300.0,7.1431,7.14,7.13,7.14,7.13,15
2023-05-09 15:26:00,640.0,7.1324,7.135,7.13,7.135,7.13,7
2023-05-09 15:27:00,9948.0,7.1214,7.13,7.115,7.13,7.115,81
2023-05-09 15:28:00,1544.0,7.1147,7.115,7.11,7.115,7.11,15
2023-05-09 15:29:00,10515.0,7.1035,7.11,7.12,7.12,7.095,70
