t,v,vw,o,c,h,l,n
2024-01-12 13:35:00,100,65.38,65.38,65.38,65.38,65.38,1
2024-01-12 14:00:00,200,65.15,65.2,65.2,65.2,65.2,3
2024-01-12 14:29:00,302,65.1636,65.24,65.01,65.24,65.01,5
2024-01-12 14:30:00,114525,65.3245,65.31,65.68,65.71,65.235,170
2024-01-12 14:31:00,5692,65.7277,65.7,65.73,65.78,65.655,71
2024-01-12 14:32:00,24090,65.7695,65.75,65.74,65.85,65.72,205
2024-01-12 14:33:00,4745,65.7541,65.73,65.76,65.76,65.72,60
2024-01-12 14:34:00,12745,65.7619,65.76,65.765,65.775,65.75,116
2024-01-12 14:35:00,9701,65.7688,65.765,65.67,65.81,65.67,121
2024-01-12 14:36:00,6996,65.719,65.71,65.76,65.76,65.7,70
2024-01-12 14:37:00,4730,65.7965,65.76,65.835,65.86,65.76,50
2024-01-12 14:38:00,5726,65.8597,65.84,65.875,65.9,65.81,67
2024-01-12 14:39:00,1177,65.8919,65.9,65.9,65.9,65.9,21
2024-01-12 14:40:00,10469,65.8992,65.9,65.9,65.91,65.88,115
2024-01-12 14:41:00,6009,65.8994,65.9,65.895,65.92,65.89,66
2024-01-12 14:42:00,5559,65.8852,65.895,65.89,65.91,65.86,64
2024-01-12 14:43:00,975,65.8917,65.88,65.9,65.9,65.88,11
2024-01-12 14:44:00,4894,65.9066,65.91,65.91,65.91,65.9,44
2024-01-12 14:45:00,8783,65.8789,65.92,65.86,65.92,65.835,106
2024-01-12 14:46:00,5119,65.8885,65.88,65.9,65.9,65.86,50
2024-01-12 14:47:00,15119,65.9205,65.9,65.94,65.94,65.9,128
2024-01-12 14:48:00,16201,65.959,65.945,65.935,65.99,65.93,84
2024-01-12 14:49:00,4043,65.916,65.9,65.915,65.94,65.87,37
2024-01-12 14:50:00,9006,65.8806,65.915,65.825,65.915,65.825,101
2024-01-12 14:51:00,2749,65.8047,65.825,65.8,65.83,65.77,39
2024-01-12 14:52:00,53800,65.8632,65.81,65.9,65.92,65.81,255
2024-01-12 14:53:00,7691,65.9052,65.9,65.86,65.925,65.86,80
2024-01-12 14:54:00,18451,65.885,65.8478,65.885,65.9,65.8478,46
2024-01-12 14:55:00,5208,65.8407,65.885,65.825,65.885,65.8,78
2024-01-12 14:56:00,20578,65.7989,65.825,65.78,65.825,65.78,77
2024-01-12 14:57:00,2004,65.8004,65.81,65.795,65.81,65.79,31
2024-01-12 14:58:00,26410,65.7804,65.78,65.68,65.8,65.68,85
2024-01-12 14:59:00,3061,65.6578,65.66,65.63,65.675,65.615,38
2024-01-12 15:00:00,921,65.6264,65.63,65.625,65.63,65.61,13
2024-01-12 15:01:00,5372,65.644,65.63,65.64,65.66,65.62,74
2024-01-12 15:02:00,6268,65.6751,65.65,65.67,65.7,65.65,81
2024-01-12 15:03:00,4241,65.6596,65.67,65.66,65.67,65.64,52
2024-01-12 15:04:00,2062,65.6917,65.68,65.695,65.715,65.67,36
2024-01-12 15:05:00,1752,65.7168,65.71,65.73,65.73,65.71,37
2024-01-12 15:06:00,1487,65.7138,65.715,65.715,65.73,65.7,24
2024-01-12 15:07:00,6444,65.7196,65.72,65.715,65.73,65.71,53
2024-01-12 15:08:00,3948,65.7352,65.715,65.75,65.755,65.715,62
2024-01-12 15:09:00,3194,65.7442,65.74,65.75,65.755,65.73,40
2024-01-12 15:10:00,2060,65.7537,65.77,65.75,65.77,65.74,33
2024-01-12 15:11:00,2125,65.7142,65.73,65.705,65.73,65.7,38
