t,v,vw,o,c,h,l,n
2023-05-09 08:09:00,200,11.8285,11.84,11.84,11.84,11.84,3
2023-05-09 08:20:00,160,11.84,11.84,11.84,11.84,11.84,1
2023-05-09 08:47:00,105,11.84,11.84,11.84,11.84,11.84,1
2023-05-09 08:48:00,3000,11.5003,11.5,11.5,11.5,11.5,5
2023-05-09 08:49:00,100,11.84,11.84,11.84,11.84,11.84,1
2023-05-09 09:51:00,2632,11.4251,11.46,11.44,11.47,11.4,14
2023-05-09 09:52:00,268,11.2037,11.21,11.2,11.21,11.2,2
2023-05-09 10:30:00,200,11.39,11.39,11.39,11.39,11.39,1
2023-05-09 11:07:00,425,11.4376,11.4,11.4,11.4,11.4,6
2023-05-09 12:00:00,2078,11.4522,11.45,11.47,11.6,11.4,15
2023-05-09 12:02:00,100,11.5,11.5,11.5,11.5,11.5,1
2023-05-09 12:05:00,3200,11.5498,11.55,11.55,11.55,11.55,31
2023-05-09 12:06:00,1682,11.4775,11.5,11.45,11.5,11.45,22
2023-05-09 12:07:00,10416,11.3996,11.4,11.4,11.4,11.4,9
2023-05-09 12:08:00,100,11.4,11.4,11.4,11.4,11.4,1
2023-05-09 12:11:00,117,11.36,11.36,11.36,11.36,11.36,1
2023-05-09 12:17:00,847,11.2428,11.25,11.24,11.25,11.24,11
2023-05-09 12:18:00,1627,11.2051,11.23,11.13,11.23,11.13,18
2023-05-09 12:20:00,18263,11.2165,11.23,11.25,11.25,11.17,35
2023-05-09 12:21:00,2611,11.2503,11.25,11.25,11.25,11.25,27
2023-05-09 12:22:00,450,11.1167,11.12,11.11,11.12,11.11,4
2023-05-09 12:26:00,5521,11.0231,11.06,11.0,11.1,11.0,92
2023-05-09 12:27:00,458,10.9122,10.9,10.9,10.9,10.9,5
2023-05-09 12:28:00,719,10.9702,11.0,10.9,11.0,10.9,10
2023-05-09 12:29:00,222,10.9414,10.95,10.95,10.95,10.95,4
2023-05-09 12:30:00,833,11.0168,11.0,11.07,11.07,11.0,6
2023-05-09 12:32:00,275,11.0609,11.05,11.05,11.05,11.05,7
2023-05-09 12:33:00,600,10.9546,10.9555,10.95,10.9555,10.95,2
2023-05-09 12:35:00,1530,11.05,11.05,11.05,11.05,11.05,3
2023-05-09 12:39:00,280,11.0004,11.0,11.0,11.0,11.0,4
2023-05-09 12:46:00,651,11.2154,11.25,11.2,11.25,11.2,5
2023-05-09 12:57:00,125,11.1,11.1,11.1,11.1,11.1,1
2023-05-09 13:00:00,100,11.15,11.15,11.15,11.15,11.15,1
2023-05-09 13:02:00,463,11.1073,11.11,11.0984,11.11,11.0984,13
2023-05-09 13:03:00,359,11.09,11.09,11.09,11.09,11.09,4
2023-05-09 13:06:00,820,11.0031,11.0,11.0,11.0,11.0,11
2023-05-09 13:08:00,191,11.0994,11.1,11.1,11.1,11.1,2
2023-05-09 13:09:00,103,11.05,11.05,11.05,11.05,11.05,3
2023-05-09 13:10:00,1940,10.9744,11.0,10.9,11.0,10.9,21
2023-05-09 13:11:00,5345,10.7907,10.85,10.76,10.85,10.76,20
2023-05-09 13:12:00,2531,10.6402,10.6909,10.62,10.6909,10.62,15
2023-05-09 13:13:00,1394,10.7743,10.78,10.78,10.78,10.78,20
