t,v,vw,o,c,h,l,n
2024-05-13 08:00:00,200,2.3795,2.38,2.38,2.38,2.38,4
2024-05-13 09:12:00,271,2.41,2.41,2.41,2.41,2.41,1
2024-05-13 09:30:00,1000,2.41,2.41,2.41,2.41,2.41,2
2024-05-13 09:56:00,600,2.41,2.41,2.41,2.41,2.41,2
2024-05-13 10:02:00,4260,2.3572,2.36,2.35,2.36,2.35,12
2024-05-13 11:14:00,500,2.39,2.39,2.39,2.39,2.39,1
2024-05-13 11:16:00,500,2.39,2.39,2.39,2.39,2.39,1
2024-05-13 11:22:00,500,2.39,2.39,2.39,2.39,2.39,2
2024-05-13 11:28:00,1000,2.3858,2.38,2.39,2.39,2.38,4
2024-05-13 11:59:00,400,2.37,2.37,2.37,2.37,2.37,3
2024-05-13 12:00:00,864,2.398,2.41,2.4,2.41,2.4,8
2024-05-13 12:04:00,1343,2.3213,2.35,2.3,2.3618,2.3,50
2024-05-13 12:12:00,3850,2.4041,2.4,2.4,2.41,2.39,18
2024-05-13 12:13:00,512,2.36,2.36,2.36,2.36,2.36,1
2024-05-13 12:29:00,100,2.41,2.41,2.41,2.41,2.41,1
2024-05-13 12:31:00,100,2.41,2.41,2.41,2.41,2.41,1
2024-05-13 12:47:00,130,2.4,2.4,2.4,2.4,2.4,1
2024-05-13 12:51:00,1013,2.375,2.38,2.37,2.38,2.37,14
2024-05-13 12:52:00,10000,2.3849,2.38,2.3897,2.3897,2.38,4
2024-05-13 12:54:00,1300,2.3877,2.38,2.39,2.39,2.38,6
2024-05-13 12:56:00,2003,2.4096,2.4097,2.4097,2.4097,2.4097,2
2024-05-13 13:15:00,248,2.386,2.38,2.39,2.39,2.38,3
2024-05-13 13:17:00,687,2.3922,2.39,2.39,2.4,2.39,9
2024-05-13 13:20:00,200,2.3601,2.3602,2.36,2.3602,2.36,2
2024-05-13 13:25:00,1107,2.3996,2.4,2.4,2.4,2.4,10
2024-05-13 13:26:00,100,2.39,2.39,2.39,2.39,2.39,1
2024-05-13 13:30:00,62027,2.3946,2.38,2.3817,2.4,2.3708,130
2024-05-13 13:31:00,15537,2.4002,2.39,2.42,2.42,2.3827,66
2024-05-13 13:32:00,15260,2.4165,2.42,2.42,2.42,2.41,77
2024-05-13 13:33:00,3883,2.4196,2.42,2.415,2.425,2.415,27
2024-05-13 13:34:00,13935,2.4092,2.4143,2.41,2.4143,2.4,71
2024-05-13 13:35:00,12437,2.4268,2.415,2.43,2.43,2.415,53
2024-05-13 13:36:00,12350,2.436,2.44,2.42,2.445,2.42,88
