t,v,vw,o,c,h,l,n
2023-05-17 11:02:00,200.0,8.66,8.66,8.66,8.66,8.66,2
2023-05-17 12:44:00,3150.0,8.67,8.67,8.67,8.67,8.67,5
2023-05-17 12:51:00,430.0,8.66,8.66,8.66,8.66,8.66,2
2023-05-17 13:03:00,1300.0,8.67,8.67,8.67,8.67,8.67,1
2023-05-17 13:04:00,1300.0,8.67,8.67,8.67,8.67,8.67,1
2023-05-17 13:05:00,1300.0,8.67,8.67,8.67,8.67,8.67,1
2023-05-17 13:06:00,2600.0,8.67,8.67,8.67,8.67,8.67,3
2023-05-17 13:30:00,27967.0,8.6969,8.7,8.67,8.7,8.67,37
2023-05-17 13:31:00,33135.0,8.6817,8.67,8.675,8.69,8.66,110
2023-05-17 13:32:00,1114.0,8.6759,8.675,8.68,8.68,8.67,11
2023-05-17 13:33:00,5781.0,8.6809,8.675,8.68,8.685,8.675,27
2023-05-17 13:34:00,90772.0,8.6891,8.685,8.685,8.7,8.68,236
2023-05-17 13:35:00,3546.0,8.679,8.68,8.675,8.68,8.675,17
2023-05-17 13:36:00,104085.0,8.6779,8.675,8.68,8.685,8.67,211
2023-05-17 13:37:00,16320.0,8.6696,8.675,8.655,8.68,8.6513,41
2023-05-17 13:38:00,484.0,8.6465,8.645,8.645,8.645,8.645,9
2023-05-17 13:39:00,3790.0,8.6444,8.64,8.645,8.65,8.64,13
2023-05-17 13:40:00,21424.0,8.636,8.645,8.63,8.645,8.625,67
2023-05-17 13:41:00,12811.0,8.6297,8.63,8.63,8.635,8.625,48
2023-05-17 13:42:00,69896.0,8.6288,8.62,8.635,8.64,8.62,158
2023-05-17 13:43:00,45906.0,8.6357,8.63,8.645,8.645,8.63,123
2023-05-17 13:44:00,4323.0,8.6497,8.65,8.65,8.65,8.6457,15
2023-05-17 13:45:00,1819.0,8.6479,8.64,8.655,8.655,8.64,19
2023-05-17 13:46:00,402.0,8.6587,8.66,8.655,8.66,8.655,3
2023-05-17 13:47:00,3021.0,8.6517,8.655,8.655,8.655,8.65,11
2023-05-17 13:48:00,16263.0,8.648,8.65,8.64,8.655,8.64,52
2023-05-17 13:49:00,913.0,8.648,8.65,8.645,8.65,8.645,9
2023-05-17 13:50:00,5118.0,8.652,8.65,8.655,8.66,8.645,33
2023-05-17 13:51:00,1854.0,8.653,8.65,8.66,8.66,8.65,14
2023-05-17 13:52:00,6102.0,8.6631,8.66,8.67,8.67,8.66,40
2023-05-17 13:53:00,2006.0,8.667,8.665,8.665,8.67,8.665,13
2023-05-17 13:54:00,2152.0,8.6627,8.665,8.665,8.665,8.66,10
2023-05-17 13:55:00,1013.0,8.665,8.665,8.665,8.665,8.665,7
2023-05-17 13:56:00,711.0,8.6651,8.665,8.665,8.665,8.665,11
2023-05-17 13:57:00,1576.0,8.6621,8.665,8.665,8.665,8.66,8
2023-05-17 13:58:00,1613.0,8.6669,8.67,8.67,8.67,8.665,15
2023-05-17 13:59:00,1463.0,8.666,8.665,8.67,8.67,8.665,19
2023-05-17 14:00:00,2796.0,8.6643,8.67,8.665,8.67,8.66,16
2023-05-17 14:01:00,24262.0,8.6598,8.66,8.655,8.665,8.655,90
2023-05-17 14:02:00,8097.0,8.6493,8.655,8.645,8.655,8.645,35
2023-05-17 14:03:00,3699.0,8.6438,8.6459,8.645,8.6459,8.64,11
2023-05-17 14:04:00,3554.0,8.646,8.645,8.645,8.65,8.645,17
2023-05-17 14:05:00,1826.0,8.6444,8.645,8.645,8.65,8.6415,11
2023-05-17 14:06:00,5901.0,8.648,8.641,8.655,8.655,8.64,39
2023-05-17 14:07:00,7096.0,8.6528,8.655,8.645,8.66,8.645,33
2023-05-17 14:08:00,2339.0,8.6451,8.645,8.645,8.65,8.645,11
2023-05-17 14:09:00,2050.0,8.643,8.645,8.645,8.645,8.64,14
2023-05-17 14:10:00,1401.0,8.6486,8.645,8.645,8.65,8.645,6
2023-05-17 14:11:00,2245.0,8.6475,8.645,8.645,8.65,8.645,21
2023-05-17 14:12:00,14528.0,8.6403,8.645,8.64,8.645,8.64,46
2023-05-17 14:13:00,6740.0,8.6423,8.645,8.645,8.645,8.64,13
2023-05-17 14:14:00,4968.0,8.6462,8.645,8.65,8.65,8.6449,47
2023-05-17 14:15:00,7057.0,8.6481,8.65,8.645,8.65,8.64,34
2023-05-17 14:16:00,2089.0,8.6466,8.65,8.645,8.65,8.645,13
2023-05-17 14:17:00,1832.0,8.6447,8.645,8.6401,8.645,8.6401,18
2023-05-17 14:18:00,34991.0,8.6398,8.645,8.635,8.645,8.635,129
2023-05-17 14:19:00,16847.0,8.6331,8.635,8.635,8.636,8.63,23
2023-05-17 14:20:00,7589.0,8.626,8.63,8.625,8.63,8.625,30
2023-05-17 14:21:00,9395.0,8.624,8.625,8.625,8.625,8.6215,29
2023-05-17 14:22:00,3426.0,8.6253,8.625,8.625,8.625,8.625,15
2023-05-17 14:23:00,7764.0,8.6295,8.63,8.63,8.63,8.6215,56
2023-05-17 14:24:00,1340.0,8.6281,8.63,8.63,8.63,8.625,13
2023-05-17 14:25:00,9224.0,8.6351,8.63,8.635,8.637,8.63,35
2023-05-17 14:26:00,3490.0,8.6369,8.635,8.64,8.64,8.635,34
2023-05-17 14:27:00,1291.0,8.6311,8.63,8.6327,8.635,8.63,4
2023-05-17 14:28:00,1000.0,8.635,8.635,8.635,8.635,8.635,10
2023-05-17 14:29:00,3376.0,8.639,8.64,8.64,8.64,8.635,26
2023-05-17 14:30:00,4341.0,8.6336,8.64,8.635,8.64,8.63,37
2023-05-17 14:31:00,2767.0,8.6363,8.64,8.64,8.64,8.6305,28
2023-05-17 14:32:00,1336.0,8.6377,8.64,8.635,8.64,8.635,14
2023-05-17 14:33:00,16378.0,8.6299,8.63,8.625,8.635,8.6222,68
2023-05-17 14:34:00,1939.0,8.6255,8.625,8.6252,8.63,8.625,16
2023-05-17 14:35:00,18360.0,8.619,8.625,8.6163,8.625,8.61,45
2023-05-17 14:36:00,5667.0,8.6135,8.6101,8.615,8.615,8.61,45
2023-05-17 14:37:00,17912.0,8.6101,8.61,8.615,8.615,8.605,63
2023-05-17 14:38:00,4729.0,8.6168,8.62,8.62,8.62,8.6101,38
2023-05-17 14:39:00,10138.0,8.6177,8.62,8.62,8.62,8.6101,45
2023-05-17 14:40:00,5925.0,8.6211,8.615,8.625,8.625,8.615,54
2023-05-17 14:41:00,2488.0,8.6286,8.63,8.63,8.63,8.6222,21
2023-05-17 14:42:00,5479.0,8.6287,8.63,8.63,8.63,8.625,27
2023-05-17 14:43:00,2468.0,8.6276,8.6269,8.63,8.63,8.625,12
2023-05-17 14:44:00,2101.0,8.627,8.63,8.625,8.63,8.625,17
2023-05-17 14:45:00,3472.0,8.6265,8.63,8.625,8.63,8.625,29
2023-05-17 14:46:00,2252.0,8.6275,8.6255,8.625,8.63,8.625,28
2023-05-17 14:47:00,9948.0,8.625,8.625,8.625,8.6284,8.6201,33
2023-05-17 14:48:00,16952.0,8.6244,8.625,8.625,8.625,8.62,68
2023-05-17 14:49:00,2479.0,8.6245,8.6234,8.6241,8.625,8.6234,15
2023-05-17 14:50:00,11308.0,8.6249,8.625,8.625,8.625,8.62,14
2023-05-17 14:51:00,4234.0,8.6224,8.625,8.63,8.63,8.62,14
2023-05-17 14:52:00,21780.0,8.6219,8.625,8.62,8.63,8.62,69
2023-05-17 14:53:00,6014.0,8.6222,8.62,8.62,8.625,8.62,22
2023-05-17 14:54:00,13885.0,8.6227,8.62,8.625,8.6275,8.62,36
2023-05-17 14:55:00,50125.0,8.62,8.62,8.615,8.625,8.615,137
2023-05-17 14:56:00,8102.0,8.6206,8.62,8.6215,8.63,8.62,40
2023-05-17 14:57:00,20858.0,8.6252,8.625,8.625,8.63,8.62,65
2023-05-17 14:58:00,22650.0,8.6316,8.63,8.63,8.64,8.63,81
2023-05-17 14:59:00,3560.0,8.6375,8.64,8.64,8.64,8.635,34
2023-05-17 15:00:00,12957.0,8.6393,8.635,8.64,8.64,8.635,33
2023-05-17 15:01:00,15849.0,8.6348,8.635,8.635,8.64,8.63,71
2023-05-17 15:02:00,8199.0,8.6342,8.635,8.635,8.635,8.63,35
2023-05-17 15:03:00,16921.0,8.6358,8.635,8.635,8.64,8.63,68
2023-05-17 15:04:00,1372.0,8.635,8.635,8.635,8.635,8.635,9
2023-05-17 15:05:00,3774.0,8.6374,8.64,8.635,8.64,8.635,26
2023-05-17 15:06:00,5106.0,8.6315,8.635,8.63,8.635,8.63,23
2023-05-17 15:07:00,3264.0,8.6313,8.63,8.635,8.635,8.63,19
2023-05-17 15:08:00,16974.0,8.6285,8.63,8.62,8.63,8.62,62
2023-05-17 15:09:00,27560.0,8.6279,8.625,8.635,8.635,8.62,87
2023-05-17 15:10:00,36767.0,8.6273,8.635,8.62,8.635,8.62,87
2023-05-17 15:11:00,7268.0,8.626,8.625,8.63,8.63,8.62,35
2023-05-17 15:12:00,6439.0,8.6243,8.625,8.625,8.625,8.62,23
2023-05-17 15:13:00,18410.0,8.6224,8.6211,8.62,8.63,8.615,70
2023-05-17 15:14:00,12575.0,8.6184,8.6186,8.62,8.62,8.615,53
2023-05-17 15:15:00,3224.0,8.6146,8.615,8.62,8.62,8.61,14
2023-05-17 15:17:00,19746.0,8.6205,8.62,8.62,8.625,8.62,65
2023-05-17 15:18:00,4169.0,8.6238,8.625,8.625,8.63,8.62,19
2023-05-17 15:19:00,1301.0,8.6226,8.625,8.625,8.625,8.6201,13
2023-05-17 15:20:00,3743.0,8.6233,8.625,8.625,8.625,8.62,22
2023-05-17 15:21:00,13540.0,8.619,8.625,8.615,8.625,8.615,49
2023-05-17 15:22:00,30611.0,8.6199,8.62,8.625,8.63,8.6147,101
2023-05-17 15:23:00,6657.0,8.6203,8.625,8.62,8.625,8.62,12
2023-05-17 15:24:00,6000.0,8.6227,8.625,8.621,8.63,8.62,22
2023-05-17 15:25:00,15952.0,8.6184,8.62,8.62,8.62,8.615,55
2023-05-17 15:26:00,36929.0,8.6199,8.615,8.62,8.62,8.615,62
2023-05-17 15:27:00,2027.0,8.6197,8.62,8.62,8.62,8.62,17
2023-05-17 15:28:00,2792.0,8.6258,8.62,8.63,8.63,8.62,15
2023-05-17 15:29:00,2284.0,8.6267,8.625,8.63,8.63,8.625,11
2023-05-17 15:30:00,6173.0,8.6263,8.625,8.625,8.63,8.62,25
2023-05-17 15:31:00,11187.0,8.6198,8.625,8.62,8.625,8.6142,29
2023-05-17 15:32:00,6448.0,8.6102,8.62,8.6042,8.62,8.6042,28
2023-05-17 15:33:00,44009.0,8.6054,8.61,8.605,8.61,8.6,38
2023-05-17 15:34:00,50675.0,8.6042,8.605,8.6,8.61,8.6,66
2023-05-17 15:35:00,17817.0,8.6206,8.615,8.625,8.625,8.615,69
2023-05-17 15:36:00,1297.0,8.6212,8.625,8.625,8.625,8.62,6
2023-05-17 15:37:00,9225.0,8.623,8.625,8.625,8.625,8.62,20
2023-05-17 15:38:00,19688.0,8.6299,8.6295,8.63,8.63,8.625,31
2023-05-17 15:39:00,17078.0,8.6311,8.63,8.63,8.635,8.63,45
2023-05-17 15:40:00,16862.0,8.6299,8.6306,8.6269,8.6306,8.625,41
2023-05-17 15:41:00,800.0,8.625,8.625,8.625,8.625,8.625,8
2023-05-17 15:42:00,2627.0,8.6211,8.62,8.625,8.625,8.62,15
2023-05-17 15:43:00,7263.0,8.6251,8.625,8.6207,8.63,8.62,47
2023-05-17 15:44:00,5640.0,8.6206,8.625,8.625,8.625,8.62,9
2023-05-17 15:45:00,2522.0,8.6227,8.625,8.625,8.625,8.62,17
2023-05-17 15:46:00,2684.0,8.6325,8.63,8.635,8.635,8.63,22
2023-05-17 15:47:00,1815.0,8.6328,8.6325,8.63,8.635,8.63,10
2023-05-17 15:48:00,5150.0,8.6307,8.635,8.635,8.6385,8.63,14
2023-05-17 15:49:00,1900.0,8.6329,8.635,8.635,8.635,8.631,7
2023-05-17 15:50:00,535.0,8.634,8.635,8.635,8.635,8.631,6
2023-05-17 15:51:00,11018.0,8.6276,8.6346,8.62,8.635,8.62,45
2023-05-17 15:52:00,831.0,8.6224,8.625,8.625,8.625,8.62,8
2023-05-17 15:53:00,2302.0,8.6234,8.62,8.625,8.625,8.62,8
2023-05-17 15:54:00,2185.0,8.6237,8.6277,8.625,8.6277,8.62,6
2023-05-17 15:55:00,400.0,8.6225,8.625,8.625,8.625,8.62,4
2023-05-17 15:56:00,12096.0,8.6237,8.625,8.6201,8.625,8.62,13
2023-05-17 15:57:00,2742.0,8.6205,8.6205,8.62,8.625,8.62,15
2023-05-17 15:58:00,400.0,8.6217,8.621,8.62,8.625,8.62,3
2023-05-17 15:59:00,3070.0,8.6209,8.62,8.62,8.625,8.62,17
