t,v,vw,o,c,h,l,n
2024-03-25 09:56:00,118,211.2379,211.23,211.23,211.23,211.23,3
2024-03-25 12:59:00,140,211.7624,211.76,211.76,211.76,211.76,3
2024-03-25 13:29:00,471,211.1887,211.15,211.15,211.15,211.15,16
2024-03-25 13:30:00,11236,211.1994,210.75,211.205,211.22,210.7,168
2024-03-25 13:31:00,3558,211.0008,211.08,210.755,211.08,210.755,77
2024-03-25 13:32:00,2946,211.0598,211.06,210.92,211.08,210.92,80
2024-03-25 13:33:00,2746,210.4722,210.81,210.145,210.82,210.145,81
2024-03-25 13:34:00,3199,209.8521,210.1,209.86,210.1,209.82,70
2024-03-25 13:35:00,5640,209.7167,209.64,209.58,209.79,209.58,123
2024-03-25 13:36:00,1522,209.6569,209.74,209.64,209.755,209.58,51
2024-03-25 13:37:00,3013,209.7686,209.75,209.96,209.96,209.68,76
2024-03-25 13:38:00,1178,209.8547,210.04,209.725,210.04,209.68,32
2024-03-25 13:39:00,325,209.6814,209.62,209.62,209.62,209.62,19
2024-03-25 13:40:00,1789,209.662,209.74,209.55,209.74,209.55,38
2024-03-25 13:41:00,8440,209.9938,209.72,210.03,210.15,209.72,176
2024-03-25 13:42:00,3813,210.162,210.17,210.15,210.23,210.085,61
2024-03-25 13:43:00,2704,210.1342,210.26,210.08,210.26,210.03,58
2024-03-25 13:44:00,1318,210.0915,210.07,210.08,210.09,210.04,28
2024-03-25 13:45:00,1684,210.125,210.2,210.07,210.22,210.04,42
2024-03-25 13:46:00,1163,210.0974,210.135,210.13,210.135,210.04,40
2024-03-25 13:47:00,773,210.0792,210.1325,210.04,210.1325,210.03,24
2024-03-25 13:48:00,7675,209.9593,210.135,209.92,210.135,209.78,182
2024-03-25 13:49:00,1081,209.8907,209.935,209.84,209.935,209.84,21
2024-03-25 13:50:00,3830,209.9249,209.96,209.875,210.0,209.86,92
2024-03-25 13:51:00,5596,209.9589,209.91,209.76,210.03,209.76,175
2024-03-25 13:52:00,2201,209.7361,209.67,209.64,209.79,209.64,65
2024-03-25 13:53:00,1795,209.7425,209.72,209.78,209.78,209.72,38
2024-03-25 13:54:00,1087,209.6572,209.705,209.63,209.71,209.62,27
2024-03-25 13:55:00,3640,209.6009,209.54,209.645,209.68,209.44,117
2024-03-25 13:56:00,2406,209.698,209.57,209.71,209.82,209.54,55
2024-03-25 13:57:00,1535,209.5183,209.61,209.37,209.62,209.37,49
2024-03-25 13:58:00,1075,209.4956,209.51,209.49,209.51,209.49,27
2024-03-25 13:59:00,21959,209.1806,209.51,209.0,209.51,208.85,407
2024-03-25 14:00:00,17743,209.0395,209.0,209.0,209.18,208.89,412
2024-03-25 14:01:00,4782,209.057,209.0,209.3,209.3,209.0,91
2024-03-25 14:02:00,1168,209.7264,209.51,209.85,209.855,209.51,43
2024-03-25 14:03:00,4169,210.0224,210.1,210.05,210.145,209.935,73
2024-03-25 14:04:00,791,210.0707,210.03,210.125,210.125,210.03,19
2024-03-25 14:05:00,5112,210.0151,210.06,210.015,210.0758,209.825,54
2024-03-25 14:06:00,2098,209.7652,210.02,209.61,210.02,209.54,65
2024-03-25 14:07:00,1425,209.5637,209.66,209.57,209.66,209.48,49
2024-03-25 14:08:00,1947,209.6959,209.51,209.67,209.76,209.46,70
2024-03-25 14:09:00,1720,209.6585,209.75,209.63,209.83,209.6256,46
2024-03-25 14:10:00,554,209.5272,209.415,209.465,209.61,209.415,19
2024-03-25 14:11:00,2769,209.7653,209.65,209.93,209.93,209.65,85
2024-03-25 14:12:00,484,209.9479,209.96,209.96,209.96,209.96,25
2024-03-25 14:13:00,939,209.9136,209.925,209.945,209.945,209.925,18
2024-03-25 14:14:00,1797,209.919,209.95,209.96,209.96,209.815,32
2024-03-25 14:15:00,1260,209.8177,209.82,209.665,209.845,209.665,39
2024-03-25 14:16:00,907,209.8073,209.84,209.835,209.84,209.67,27
2024-03-25 14:18:00,842,209.7982,209.695,209.7,209.88,209.695,31
2024-03-25 14:19:00,3484,209.7179,209.9199,209.77,209.9199,209.6,97
2024-03-25 14:20:00,696,209.831,209.755,209.93,209.93,209.755,33
2024-03-25 14:21:00,616,209.8517,209.89,209.75,209.89,209.75,30
2024-03-25 14:22:00,926,209.9676,209.96,209.825,210.025,209.825,50
2024-03-25 14:23:00,498,209.9107,209.93,209.84,209.96,209.84,11
2024-03-25 14:24:00,637,209.8786,209.84,209.91,209.91,209.84,17
2024-03-25 14:25:00,1154,209.8005,209.84,209.72,209.84,209.72,49
2024-03-25 14:26:00,1820,209.68,209.87,209.59,209.87,209.59,42
2024-03-25 14:27:00,1034,209.6787,209.52,209.6,209.61,209.52,28
2024-03-25 14:28:00,737,209.7363,209.66,209.7113,209.74,209.66,33
2024-03-25 14:29:00,988,209.7463,209.66,209.74,209.8443,209.66,33
2024-03-25 14:30:00,812,209.6677,209.69,209.6475,209.69,209.6475,45
2024-03-25 14:31:00,1225,209.6115,209.69,209.64,209.69,209.59,25
2024-03-25 14:32:00,4206,209.782,209.7275,209.845,209.89,209.68,107
