t,v,vw,o,c,h,l,n
2024-03-08 09:00:00,160,6.1867,6.23,6.23,6.23,6.23,5
2024-03-08 09:02:00,282,6.2244,6.23,6.23,6.23,6.23,5
2024-03-08 09:04:00,152,6.2,6.2,6.2,6.2,6.2,3
2024-03-08 09:05:00,117,6.2,6.2,6.2,6.2,6.2,2
2024-03-08 09:12:00,400,6.1138,6.1,6.1,6.1,6.1,13
2024-03-08 09:17:00,516,6.1399,6.14,6.14,6.14,6.14,9
2024-03-08 09:18:00,120,6.1392,6.14,6.14,6.14,6.14,3
2024-03-08 09:19:00,100,6.14,6.14,6.14,6.14,6.14,1
2024-03-08 09:32:00,103,6.15,6.15,6.15,6.15,6.15,3
2024-03-08 09:39:00,260,6.13,6.13,6.13,6.13,6.13,1
2024-03-08 09:40:00,166,6.12,6.12,6.12,6.12,6.12,4
2024-03-08 09:42:00,393,6.13,6.13,6.13,6.13,6.13,5
2024-03-08 09:43:00,635,6.1197,6.12,6.12,6.12,6.12,8
2024-03-08 09:44:00,537,6.1155,6.11,6.12,6.12,6.11,9
2024-03-08 09:57:00,835,6.0969,6.1,6.09,6.1,6.09,20
2024-03-08 10:02:00,301,6.0701,6.07,6.07,6.07,6.07,4
2024-03-08 10:03:00,419,6.0572,6.06,6.05,6.06,6.05,13
2024-03-08 10:04:00,453,6.0267,6.03,6.02,6.03,6.02,16
2024-03-08 10:05:00,1305,6.0202,6.02,6.02,6.02,6.02,23
2024-03-08 10:07:00,1284,6.0146,6.02,6.01,6.02,6.01,17
2024-03-08 10:10:00,100,6.05,6.05,6.05,6.05,6.05,1
2024-03-08 10:20:00,218,6.0224,6.02,6.02,6.02,6.02,7
2024-03-08 10:38:00,1210,6.0139,6.02,6.0,6.02,6.0,46
2024-03-08 10:45:00,314,6.0076,6.01,6.01,6.01,6.01,3
2024-03-08 10:48:00,1259,5.9794,5.98,5.97,5.98,5.97,27
2024-03-08 10:51:00,690,5.9332,5.93,5.93,5.93,5.93,16
2024-03-08 10:52:00,278,5.9371,5.93,5.94,5.94,5.93,8
2024-03-08 10:53:00,217,5.97,5.97,5.97,5.97,5.97,5
2024-03-08 10:55:00,131,5.97,5.97,5.97,5.97,5.97,3
2024-03-08 11:11:00,743,5.9977,5.99,6.0,6.0,5.99,8
2024-03-08 11:14:00,500,6.01,6.01,6.01,6.01,6.01,1
2024-03-08 11:15:00,201,6.01,6.01,6.01,6.01,6.01,3
2024-03-08 11:23:00,300,6.02,6.02,6.02,6.02,6.02,2
2024-03-08 11:29:00,550,6.005,6.0,6.0,6.0,6.0,10
2024-03-08 11:32:00,124,6.0125,6.01,6.01,6.01,6.01,5
2024-03-08 11:34:00,439,6.0912,6.09,6.09,6.09,6.09,11
2024-03-08 11:36:00,300,6.1,6.1,6.1,6.1,6.1,1
2024-03-08 11:54:00,727,6.067,6.04,6.1,6.1,6.04,11
2024-03-08 12:09:00,534,6.0385,6.04,6.04,6.04,6.04,4
2024-03-08 12:10:00,700,6.04,6.04,6.04,6.04,6.04,2
2024-03-08 12:12:00,200,6.07,6.07,6.07,6.07,6.07,2
2024-03-08 12:17:00,1017,6.1,6.1,6.1,6.1,6.1,6
2024-03-08 12:18:00,125,6.11,6.11,6.11,6.11,6.11,4
2024-03-08 12:19:00,787,6.1,6.1,6.1,6.1,6.1,3
2024-03-08 12:20:00,151,6.0992,6.1,6.1,6.1,6.1,2
2024-03-08 12:21:00,100,6.1,6.1,6.1,6.1,6.1,1
2024-03-08 12:25:00,153,6.051,6.05,6.05,6.05,6.05,2
2024-03-08 12:26:00,274,6.1083,6.11,6.11,6.11,6.11,4
2024-03-08 12:32:00,767,6.1343,6.11,6.15,6.15,6.11,9
2024-03-08 12:33:00,693,6.1829,6.18,6.19,6.19,6.18,5
2024-03-08 12:35:00,1345,6.1396,6.14,6.14,6.14,6.14,9
2024-03-08 12:37:00,1006,6.1513,6.14,6.16,6.16,6.14,11
2024-03-08 12:38:00,136,6.16,6.16,6.16,6.16,6.16,1
2024-03-08 13:00:00,10041,6.0825,6.0987,6.14,6.2,6.0,124
2024-03-08 13:01:00,686,6.1478,6.16,6.16,6.16,6.16,13
2024-03-08 13:03:00,2313,6.1573,6.1,6.2,6.2,6.08,87
2024-03-08 13:04:00,612,6.1423,6.16,6.15,6.16,6.15,14
2024-03-08 13:05:00,1248,6.1645,6.1691,6.1691,6.1691,6.1691,12
2024-03-08 13:06:00,749,6.1518,6.1687,6.07,6.1687,6.07,18
2024-03-08 13:07:00,684,6.1416,6.1,6.13,6.13,6.1,29
2024-03-08 13:09:00,123,6.0842,6.08,6.08,6.08,6.08,3
2024-03-08 13:10:00,217,6.0887,6.0838,6.0838,6.0838,6.0838,4
2024-03-08 13:11:00,941,6.1,6.1,6.1,6.1,6.1,2
2024-03-08 13:13:00,258,6.1006,6.1,6.1,6.1,6.1,4
2024-03-08 13:14:00,314,6.1144,6.1294,6.1,6.1294,6.1,4
2024-03-08 13:17:00,1002,6.13,6.13,6.13,6.13,6.13,2
2024-03-08 13:21:00,1582,6.127,6.12,6.13,6.13,6.12,7
2024-03-08 13:22:00,313,6.1218,6.12,6.12,6.12,6.12,4
2024-03-08 13:23:00,1861,6.1668,6.17,6.12,6.17,6.12,6
2024-03-08 13:24:00,1600,6.1637,6.16,6.17,6.17,6.16,11
2024-03-08 13:26:00,752,6.17,6.17,6.17,6.17,6.17,7
2024-03-08 13:27:00,322,6.1331,6.12,6.12,6.12,6.12,9
2024-03-08 13:28:00,477,6.19,6.19,6.19,6.19,6.19,9
2024-03-08 13:29:00,341,6.19,6.19,6.19,6.19,6.19,3
2024-03-08 13:30:00,2503,6.1501,6.15,6.15,6.15,6.15,8
2024-03-08 13:31:00,191,6.172,6.17,6.17,6.17,6.17,6
2024-03-08 13:32:00,250,6.1599,6.17,6.17,6.17,6.17,6
2024-03-08 13:34:00,712,6.1623,6.16,6.17,6.17,6.16,9
2024-03-08 13:36:00,2408,6.1899,6.17,6.2,6.2,6.17,14
2024-03-08 13:39:00,1232,6.1976,6.2,6.2,6.2,6.2,8
2024-03-08 13:40:00,695,6.2114,6.1993,6.23,6.23,6.1993,9
2024-03-08 13:41:00,1047,6.2191,6.23,6.18,6.23,6.18,19
2024-03-08 13:42:00,384,6.18,6.18,6.18,6.18,6.18,4
2024-03-08 13:45:00,344,6.208,6.22,6.23,6.23,6.22,8
2024-03-08 13:46:00,298,6.1583,6.15,6.15,6.15,6.15,6
2024-03-08 13:51:00,470,6.2089,6.21,6.21,6.21,6.21,5
2024-03-08 13:54:00,230,6.21,6.21,6.21,6.21,6.21,8
2024-03-08 13:56:00,207,6.2003,6.2,6.2,6.2,6.2,4
2024-03-08 13:58:00,454,6.1995,6.2,6.2,6.2,6.2,6
2024-03-08 13:59:00,1018,6.1999,6.2,6.1999,6.2,6.1999,11
2024-03-08 14:00:00,4789,6.2316,6.2,6.25,6.25,6.2,45
