t,v,vw,o,c,h,l,n
2023-05-17 12:01:00,100,192.25,192.25,192.25,192.25,192.25,1
2023-05-17 12:38:00,716,192.4606,192.5,192.25,192.5,192.25,26
2023-05-17 12:47:00,272,192.2831,192.25,192.25,192.25,192.25,12
2023-05-17 13:01:00,101,192.9976,193.0,193.0,193.0,193.0,2
2023-05-17 13:10:00,100,192.51,192.51,192.51,192.51,192.51,1
2023-05-17 13:24:00,100,193.0,193.0,193.0,193.0,193.0,1
2023-05-17 13:29:00,232,193.1,193.1,193.1,193.1,193.1,1
2023-05-17 13:30:00,27293,193.0462,193.03,193.095,193.2996,192.535,137
2023-05-17 13:31:00,1127,193.1286,193.18,193.105,193.18,193.105,33
2023-05-17 13:32:00,7297,192.9372,192.96,192.97,192.98,192.87,158
2023-05-17 13:33:00,6230,193.0399,192.98,192.966,193.085,192.94,88
2023-05-17 13:34:00,11490,193.1117,193.14,193.31,193.34,193.14,84
2023-05-17 13:35:00,4447,193.2677,193.18,193.295,193.31,193.18,57
2023-05-17 13:36:00,1473,193.3162,193.295,193.23,193.41,193.23,94
2023-05-17 13:37:00,2824,193.2031,193.23,193.29,193.3,193.13,88
2023-05-17 13:38:00,3783,193.45,193.38,193.52,193.525,193.38,144
2023-05-17 13:39:00,1963,193.5199,193.49,193.55,193.6,193.48,102
2023-05-17 13:40:00,1735,193.5,193.515,193.495,193.515,193.49,43
2023-05-17 13:41:00,10308,193.463,193.5,193.43,193.51,193.4,224
2023-05-17 13:42:00,2046,193.3953,193.4,193.35,193.44,193.35,53
2023-05-17 13:43:00,1854,193.4369,193.44,193.46,193.46,193.43,63
2023-05-17 13:44:00,1711,193.5094,193.52,193.43,193.52,193.43,73
2023-05-17 13:45:00,3049,193.6052,193.6,193.6283,193.67,193.55,90
2023-05-17 13:46:00,3234,193.6805,193.68,193.74,193.74,193.61,110
2023-05-17 13:47:00,2520,193.7991,193.7911,193.84,193.84,193.74,99
2023-05-17 13:48:00,7378,193.8164,193.84,193.76,193.84,193.76,254
2023-05-17 13:49:00,6686,193.7624,193.86,193.58,193.86,193.57,188
2023-05-17 13:50:00,5762,193.6348,193.59,193.54,193.755,193.48,166
2023-05-17 13:51:00,1047,193.4263,193.42,193.48,193.48,193.33,47
2023-05-17 13:52:00,3778,193.4856,193.44,193.4,193.54,193.4,120
2023-05-17 13:53:00,1327,193.3477,193.39,193.21,193.39,193.21,48
2023-05-17 13:54:00,389,193.2888,193.29,193.29,193.29,193.29,20
2023-05-17 13:55:00,2181,193.3487,193.36,193.3,193.36,193.3,113
2023-05-17 13:56:00,1773,193.2378,193.2,193.1355,193.32,193.1355,57
2023-05-17 13:57:00,1314,193.1464,193.2,193.1,193.2,193.1,41
