t,v,vw,o,c,h,l,n
2024-03-25 08:42:00,100,0.7111,0.7111,0.7111,0.7111,0.7111,1
2024-03-25 11:00:00,150,0.72,0.72,0.72,0.72,0.72,2
2024-03-25 12:12:00,100,0.72,0.72,0.72,0.72,0.72,1
2024-03-25 13:16:00,350,0.7297,0.7297,0.7297,0.7297,0.7297,1
2024-03-25 13:30:00,25041,0.7345,0.725,0.74,0.74,0.725,9
2024-03-25 13:32:00,12000,0.74,0.74,0.74,0.74,0.74,8
2024-03-25 13:34:00,12068,0.74,0.74,0.74,0.74,0.74,6
2024-03-25 13:35:00,200,0.7313,0.73,0.7325,0.7325,0.73,2
2024-03-25 13:39:00,10570,0.7394,0.739,0.73,0.74,0.73,14
2024-03-25 13:42:00,1110,0.7352,0.739,0.7325,0.739,0.73,7
2024-03-25 13:43:00,500,0.73,0.73,0.73,0.73,0.73,1
2024-03-25 13:52:00,120,0.74,0.74,0.74,0.74,0.74,1
2024-03-25 13:53:00,4979,0.7305,0.73,0.731,0.731,0.73,14
2024-03-25 13:54:00,6650,0.7299,0.73,0.72989,0.73,0.72989,7
2024-03-25 13:55:00,18450,0.7216,0.7251,0.7249,0.7251,0.72,18
2024-03-25 13:56:00,244,0.739,0.739,0.739,0.739,0.739,2
2024-03-25 13:58:00,500,0.721,0.721,0.721,0.721,0.721,1
2024-03-25 14:01:00,2300,0.728,0.73999,0.721,0.73999,0.721,3
2024-03-25 14:05:00,5000,0.7188,0.7201,0.7202,0.7202,0.7111,22
2024-03-25 14:06:00,3500,0.7189,0.712,0.732,0.732,0.712,3
2024-03-25 14:10:00,9900,0.7205,0.721,0.72,0.721,0.72,4
2024-03-25 14:12:00,5128,0.7118,0.7111,0.7199,0.7199,0.7111,4
2024-03-25 14:13:00,700,0.712,0.712,0.712,0.712,0.712,1
2024-03-25 14:14:00,5101,0.7144,0.712,0.715,0.715,0.712,8
2024-03-25 14:15:00,151,0.7155,0.7155,0.7155,0.7155,0.7155,2
2024-03-25 14:16:00,3462,0.7105,0.7111,0.71,0.7111,0.71,15
2024-03-25 14:17:00,8883,0.71,0.71,0.71,0.71,0.71,17
2024-03-25 14:18:00,531,0.71,0.71,0.71,0.71,0.71,1
2024-03-25 14:19:00,100,0.7149,0.714949,0.714949,0.714949,0.714949,1
2024-03-25 14:20:00,4000,0.7199,0.7199,0.7199,0.7199,0.7199,2
2024-03-25 14:21:00,15574,0.71,0.71,0.71,0.71,0.71,8
2024-03-25 14:23:00,516,0.7075,0.709416,0.7,0.7099,0.7,3
2024-03-25 14:24:00,14786,0.7099,0.7099,0.7098,0.71,0.7098,37
2024-03-25 14:26:00,7934,0.7015,0.704949,0.7099,0.7099,0.7,4
2024-03-25 14:27:00,39392,0.7,0.7,0.7,0.709,0.7,43
2024-03-25 14:29:00,200,0.705,0.705,0.705,0.705,0.705,2
2024-03-25 14:31:00,910,0.7063,0.70631,0.70631,0.70631,0.70631,2
2024-03-25 14:32:00,100,0.7063,0.7063,0.7063,0.7063,0.7063,1
2024-03-25 14:33:00,525,0.7099,0.709899,0.709899,0.709899,0.709899,1
2024-03-25 14:37:00,500,0.7098,0.709799,0.709799,0.709799,0.709799,1
2024-03-25 14:39:00,22009,0.7006,0.706,0.7,0.706,0.6996,33
2024-03-25 14:41:00,3101,0.7046,0.7048,0.7,0.7048,0.7,3
2024-03-25 14:42:00,5100,0.701,0.701,0.7,0.701,0.7,9
2024-03-25 14:45:00,3364,0.7001,0.7,0.7,0.7001,0.7,4
2024-03-25 14:46:00,600,0.702,0.702449,0.7,0.702449,0.7,2
2024-03-25 15:03:00,2500,0.7027,0.7049,0.7,0.7049,0.7,4
2024-03-25 15:05:00,100,0.7051,0.7051,0.7051,0.7051,0.7051,1
2024-03-25 15:07:00,5000,0.7075,0.7075,0.7075,0.7075,0.7075,1
2024-03-25 15:08:00,181,0.7058,0.705,0.705,0.705,0.705,2
2024-03-25 15:09:00,1000,0.707,0.709,0.705,0.709,0.705,6
2024-03-25 15:11:00,600,0.7059,0.7051,0.7098,0.7098,0.7051,2
2024-03-25 15:12:00,100,0.7099,0.7099,0.7099,0.7099,0.7099,1
2024-03-25 15:13:00,453,0.705,0.705,0.705,0.705,0.705,1
2024-03-25 15:14:00,1261,0.705,0.705,0.705,0.705,0.705,3
2024-03-25 15:15:00,530,0.7083,0.7076,0.709,0.709,0.7076,3
2024-03-25 15:18:00,400,0.7089,0.7089,0.7089,0.7089,0.7089,2
2024-03-25 15:22:00,211,0.7005,0.7001,0.7001,0.7001,0.7001,3
2024-03-25 15:24:00,700,0.7082,0.709,0.709,0.709,0.7045,4
2024-03-25 15:45:00,22212,0.71,0.7079,0.71,0.71,0.7079,10
2024-03-25 15:46:00,220,0.7147,0.714725,0.714725,0.714725,0.714725,1
2024-03-25 15:55:00,4307,0.72,0.72,0.72,0.72,0.72,6
2024-03-25 16:03:00,10000,0.7299,0.7299,0.7299,0.7299,0.7299,1
2024-03-25 16:05:00,100,0.73,0.73,0.73,0.73,0.73,1
2024-03-25 16:12:00,224,0.721,0.721,0.721,0.721,0.721,1
2024-03-25 16:13:00,1111,0.72,0.72,0.72,0.72,0.72,1
2024-03-25 16:16:00,100,0.7299,0.7299,0.7299,0.7299,0.7299,1
2024-03-25 16:19:00,1260,0.7241,0.725,0.720827,0.725,0.720827,2
2024-03-25 16:23:00,5021,0.7114,0.72,0.71,0.72,0.71,9
2024-03-25 16:38:00,100,0.7295,0.7295,0.7295,0.7295,0.7295,1
2024-03-25 16:44:00,5714,0.7167,0.7101,0.719651,0.719651,0.7099,15
2024-03-25 16:49:00,116,0.7282,0.7295,0.7295,0.7295,0.7295,2
2024-03-25 17:00:00,100,0.7295,0.7295,0.7295,0.7295,0.7295,1
2024-03-25 17:03:00,802,0.7247,0.725,0.725,0.725,0.725,3
