t,v,vw,o,c,h,l,n
2023-08-14 13:30:00,15915,6.2415,6.24,6.25,6.34,6.23,69
2023-08-14 13:31:00,1903,6.2409,6.25,6.24,6.25,6.23,26
2023-08-14 13:32:00,3900,6.2343,6.23,6.22,6.25,6.22,29
2023-08-14 13:33:00,11047,6.2133,6.21,6.25,6.25,6.2,91
2023-08-14 13:34:00,2797,6.2575,6.25,6.25,6.27,6.25,23
2023-08-14 13:35:00,4326,6.2348,6.24,6.22,6.25,6.22,45
2023-08-14 13:36:00,13185,6.2211,6.22,6.255,6.255,6.21,113
2023-08-14 13:37:00,8145,6.2408,6.25,6.23,6.255,6.225,69
2023-08-14 13:38:00,5942,6.2355,6.22,6.248,6.255,6.21,45
2023-08-14 13:39:00,7349,6.251,6.26,6.255,6.26,6.2499,69
2023-08-14 13:40:00,8659,6.2464,6.25,6.255,6.255,6.24,62
2023-08-14 13:41:00,3013,6.24,6.24,6.23,6.24,6.23,23
2023-08-14 13:42:00,13748,6.232,6.225,6.245,6.245,6.225,36
2023-08-14 13:43:00,15381,6.2348,6.25,6.22,6.265,6.22,95
2023-08-14 13:44:00,10141,6.2293,6.21,6.24,6.24,6.205,48
2023-08-14 13:45:00,14614,6.2355,6.245,6.24,6.245,6.23,93
2023-08-14 13:46:00,1215,6.2359,6.24,6.23,6.24,6.22,15
2023-08-14 13:47:00,556,6.2268,6.225,6.225,6.225,6.225,15
2023-08-14 13:48:00,22109,6.2232,6.22,6.23,6.23,6.21,81
2023-08-14 13:49:00,19568,6.2387,6.23,6.25,6.255,6.2293,111
2023-08-14 13:50:00,5370,6.2451,6.255,6.23,6.2553,6.23,47
2023-08-14 13:51:00,6353,6.2458,6.23,6.255,6.2599,6.23,52
2023-08-14 13:52:00,9162,6.26,6.25,6.27,6.275,6.245,77
2023-08-14 13:53:00,7688,6.2641,6.2692,6.26,6.27,6.26,40
2023-08-14 13:54:00,3042,6.2626,6.268,6.26,6.268,6.26,37
2023-08-14 13:55:00,16499,6.2518,6.26,6.245,6.26,6.245,91
2023-08-14 13:56:00,5279,6.2413,6.245,6.24,6.245,6.24,44
