t,v,vw,o,c,h,l,n
2023-07-12 11:31:00,107,33.4981,33.5,33.5,33.5,33.5,4
2023-07-12 12:08:00,220,33.5509,33.55,33.55,33.55,33.55,3
2023-07-12 12:24:00,3664,33.4508,33.45,33.45,33.45,33.45,5
2023-07-12 12:30:00,901,33.6067,33.6,33.66,33.66,33.6,3
2023-07-12 12:32:00,101,33.7,33.7,33.7,33.7,33.7,2
2023-07-12 12:35:00,107,33.66,33.66,33.66,33.66,33.66,1
2023-07-12 12:40:00,508,33.7426,33.77,33.77,33.77,33.77,19
2023-07-12 12:42:00,203,33.6994,33.7,33.7,33.7,33.7,3
2023-07-12 12:50:00,300,33.66,33.66,33.66,33.66,33.66,2
2023-07-12 12:54:00,455,33.6766,33.67,33.66,33.67,33.66,4
2023-07-12 12:57:00,200,33.55,33.55,33.55,33.55,33.55,1
2023-07-12 13:01:00,510,33.8357,33.8,33.86,33.86,33.8,6
2023-07-12 13:11:00,100,33.6,33.6,33.6,33.6,33.6,1
2023-07-12 13:12:00,100,33.8045,33.8045,33.8045,33.8045,33.8045,1
2023-07-12 13:13:00,200,33.8223,33.8223,33.8223,33.8223,33.8223,1
2023-07-12 13:14:00,800,33.7991,33.8,33.8,33.8,33.8,2
2023-07-12 13:30:00,144939,33.7221,33.78,33.68,33.83,33.66,342
2023-07-12 13:31:00,53631,33.6704,33.675,33.63,33.71,33.615,377
2023-07-12 13:32:00,30167,33.6009,33.63,33.61,33.655,33.53,308
2023-07-12 13:33:00,4946,33.6217,33.61,33.66,33.66,33.59,76
2023-07-12 13:34:00,25722,33.6247,33.67,33.6,33.67,33.595,334
2023-07-12 13:35:00,35642,33.5979,33.595,33.59,33.61,33.58,498
2023-07-12 13:36:00,24154,33.5592,33.59,33.56,33.6,33.53,302
2023-07-12 13:37:00,21708,33.5677,33.56,33.555,33.605,33.555,189
2023-07-12 13:38:00,14958,33.5588,33.555,33.585,33.59,33.5307,198
2023-07-12 13:39:00,10479,33.5785,33.59,33.62,33.6275,33.55,175
2023-07-12 13:40:00,25742,33.6377,33.62,33.66,33.665,33.6,374
2023-07-12 13:41:00,35811,33.658,33.665,33.66,33.69,33.615,333
2023-07-12 13:42:00,37100,33.7126,33.66,33.71,33.8,33.65,296
2023-07-12 13:43:00,34513,33.7276,33.7,33.74,33.8,33.67,306
2023-07-12 13:44:00,49589,33.7851,33.7401,33.785,33.805,33.7401,290
2023-07-12 13:45:00,40667,33.7848,33.785,33.79,33.81,33.76,360
2023-07-12 13:46:00,33057,33.8106,33.8,33.83,33.83,33.79,304
2023-07-12 13:47:00,11501,33.8281,33.83,33.85,33.855,33.81,184
2023-07-12 13:48:00,18454,33.8624,33.845,33.885,33.9,33.84,245
2023-07-12 13:49:00,12029,33.8736,33.8838,33.86,33.885,33.86,144
2023-07-12 13:50:00,19164,33.8267,33.87,33.81,33.875,33.805,215
2023-07-12 13:51:00,11994,33.802,33.805,33.79,33.83,33.7801,140
2023-07-12 13:52:00,13323,33.8042,33.8,33.79,33.825,33.78,139
2023-07-12 13:53:00,38237,33.7857,33.79,33.78,33.82,33.775,284
2023-07-12 13:54:00,15907,33.7667,33.78,33.715,33.8,33.715,166
2023-07-12 13:55:00,9471,33.6973,33.715,33.7,33.715,33.67,142
2023-07-12 13:56:00,7317,33.6845,33.695,33.68,33.695,33.675,90
2023-07-12 13:57:00,8919,33.6717,33.68,33.675,33.68,33.66,111
2023-07-12 13:58:00,10629,33.6601,33.675,33.66,33.675,33.64,138
2023-07-12 13:59:00,9966,33.6661,33.66,33.665,33.69,33.64,140
2023-07-12 14:00:00,16188,33.6819,33.67,33.69,33.695,33.665,184
2023-07-12 14:01:00,8578,33.6621,33.685,33.65,33.685,33.645,138
2023-07-12 14:02:00,12019,33.6572,33.65,33.635,33.68,33.635,137
2023-07-12 14:03:00,9794,33.6317,33.64,33.625,33.65,33.62,153
2023-07-12 14:04:00,10336,33.6309,33.62,33.64,33.645,33.61,126
2023-07-12 14:05:00,11119,33.6335,33.635,33.625,33.645,33.625,135
2023-07-12 14:06:00,19650,33.6159,33.625,33.615,33.63,33.61,221
2023-07-12 14:07:00,23540,33.5837,33.6105,33.575,33.62,33.57,285
2023-07-12 14:08:00,23441,33.6069,33.575,33.63,33.635,33.57,218
2023-07-12 14:09:00,16682,33.6228,33.63,33.61,33.64,33.59,194
2023-07-12 14:10:00,25927,33.6058,33.61,33.6,33.62,33.6,205
2023-07-12 14:11:00,65945,33.6022,33.605,33.595,33.62,33.57,756
2023-07-12 14:12:00,9036,33.6239,33.6,33.64,33.64,33.6,134
2023-07-12 14:13:00,11330,33.625,33.64,33.625,33.64,33.61,164
2023-07-12 14:14:00,11210,33.6224,33.62,33.6398,33.64,33.615,114
2023-07-12 14:15:00,21794,33.6251,33.64,33.615,33.64,33.61,185
2023-07-12 14:16:00,34170,33.6033,33.615,33.61,33.615,33.59,253
2023-07-12 14:17:00,11762,33.6138,33.61,33.615,33.625,33.605,127
2023-07-12 14:18:00,20215,33.6407,33.615,33.645,33.655,33.615,204
2023-07-12 14:19:00,16840,33.653,33.65,33.66,33.67,33.645,150
2023-07-12 14:20:00,9280,33.6455,33.655,33.645,33.66,33.64,85
2023-07-12 14:21:00,12876,33.6282,33.645,33.63,33.645,33.61,159
2023-07-12 14:22:00,11051,33.6191,33.63,33.615,33.63,33.61,134
2023-07-12 14:23:00,21730,33.5855,33.605,33.585,33.605,33.57,197
2023-07-12 14:24:00,13337,33.5809,33.58,33.5778,33.589,33.57,149
2023-07-12 14:25:00,41693,33.5761,33.58,33.57,33.595,33.5597,397
2023-07-12 14:26:00,12674,33.5603,33.565,33.58,33.58,33.545,163
2023-07-12 14:27:00,5831,33.5641,33.575,33.565,33.575,33.555,93
2023-07-12 14:28:00,8174,33.5758,33.57,33.58,33.59,33.565,120
2023-07-12 14:29:00,15565,33.5771,33.575,33.57,33.59,33.565,160
2023-07-12 14:30:00,9201,33.5733,33.57,33.57,33.59,33.565,111
2023-07-12 14:31:00,15339,33.5637,33.575,33.57,33.58,33.55,177
2023-07-12 14:32:00,15978,33.5609,33.565,33.56,33.57,33.5501,210
2023-07-12 14:33:00,8399,33.5385,33.55,33.515,33.55,33.515,116
2023-07-12 14:34:00,7434,33.5221,33.515,33.515,33.535,33.515,93
2023-07-12 14:35:00,21843,33.5237,33.515,33.515,33.54,33.515,203
2023-07-12 14:36:00,13080,33.5114,33.515,33.481,33.53,33.48,155
2023-07-12 14:37:00,18313,33.4864,33.49,33.49,33.49,33.47,238
2023-07-12 14:38:00,68281,33.4546,33.48,33.465,33.48,33.44,445
2023-07-12 14:39:00,6645,33.4441,33.465,33.445,33.465,33.43,77
2023-07-12 14:40:00,12600,33.4362,33.445,33.435,33.4489,33.42,180
2023-07-12 14:41:00,8690,33.4414,33.435,33.455,33.46,33.43,99
