t,v,vw,o,c,h,l,n
2023-12-04 13:54:00,976,31.3001,31.3,31.3,31.3,31.3,9
2023-12-04 13:55:00,254,31.2737,31.27,31.27,31.27,31.27,2
2023-12-04 14:13:00,250,31.2929,31.3,31.3,31.3,31.3,5
2023-12-04 14:25:00,135,31.27,31.27,31.27,31.27,31.27,1
2023-12-04 14:30:00,32378,31.3283,31.32,31.44,31.44,31.32,115
2023-12-04 14:31:00,5456,31.4889,31.44,31.535,31.54,31.44,103
2023-12-04 14:32:00,3841,31.5001,31.52,31.47,31.5375,31.47,76
2023-12-04 14:33:00,1826,31.4624,31.47,31.4624,31.47,31.44,36
2023-12-04 14:34:00,5193,31.4595,31.4525,31.43,31.47,31.43,126
2023-12-04 14:35:00,2501,31.4489,31.44,31.46,31.465,31.43,66
2023-12-04 14:36:00,3702,31.4581,31.455,31.44,31.48,31.44,90
2023-12-04 14:37:00,2024,31.4235,31.435,31.41,31.437,31.41,64
2023-12-04 14:38:00,4245,31.4245,31.415,31.41,31.4398,31.405,63
2023-12-04 14:39:00,2383,31.4152,31.42,31.42,31.42,31.41,50
2023-12-04 14:40:00,3063,31.4594,31.44,31.49,31.49,31.44,96
2023-12-04 14:41:00,10607,31.5157,31.49,31.54,31.545,31.49,112
2023-12-04 14:42:00,4134,31.5644,31.55,31.57,31.58,31.55,81
2023-12-04 14:43:00,3654,31.5847,31.57,31.59,31.595,31.57,72
2023-12-04 14:44:00,2534,31.6127,31.595,31.625,31.625,31.595,66
2023-12-04 14:45:00,1892,31.6284,31.635,31.64,31.64,31.63,70
2023-12-04 14:46:00,2847,31.6578,31.6394,31.68,31.68,31.635,91
2023-12-04 14:47:00,4180,31.7233,31.695,31.73,31.74,31.695,103
2023-12-04 14:48:00,1738,31.7463,31.74,31.75,31.75,31.74,68
2023-12-04 14:49:00,1241,31.7625,31.76,31.77,31.77,31.755,40
2023-12-04 14:50:00,5853,31.7728,31.78,31.79,31.8,31.76,129
2023-12-04 14:51:00,6802,31.7848,31.79,31.75,31.81,31.75,119
2023-12-04 14:52:00,3924,31.7335,31.75,31.71,31.75,31.71,89
2023-12-04 14:53:00,3683,31.6855,31.705,31.69,31.705,31.67,79
2023-12-04 14:54:00,4399,31.6707,31.69,31.66,31.69,31.66,93
2023-12-04 14:55:00,2630,31.6582,31.6501,31.63,31.655,31.63,67
2023-12-04 14:56:00,4151,31.622,31.625,31.62,31.63,31.61,89
2023-12-04 14:57:00,3089,31.5952,31.62,31.586,31.62,31.58,69
2023-12-04 14:58:00,1572,31.5805,31.585,31.585,31.585,31.575,49
2023-12-04 14:59:00,2114,31.5754,31.58,31.565,31.585,31.565,68
2023-12-04 15:00:00,9769,31.6172,31.57,31.6,31.63,31.57,150
2023-12-04 15:01:00,1670,31.5892,31.59,31.58,31.595,31.58,54
2023-12-04 15:02:00,2199,31.5826,31.585,31.575,31.59,31.575,70
2023-12-04 15:03:00,4061,31.5469,31.575,31.505,31.575,31.505,106
2023-12-04 15:04:00,3081,31.5078,31.509,31.5,31.515,31.5,56
2023-12-04 15:05:00,2565,31.5069,31.5,31.505,31.51,31.49,78
2023-12-04 15:06:00,5919,31.5397,31.51,31.55,31.555,31.51,128
2023-12-04 15:07:00,3270,31.5576,31.54,31.55,31.5677,31.54,45
2023-12-04 15:08:00,2512,31.5726,31.55,31.6,31.6,31.55,53
2023-12-04 15:09:00,4498,31.5973,31.595,31.61,31.615,31.59,114
2023-12-04 15:10:00,1602,31.6093,31.605,31.615,31.615,31.605,44
2023-12-04 15:11:00,2893,31.6079,31.61,31.615,31.615,31.6,74
2023-12-04 15:12:00,3013,31.5963,31.615,31.59,31.615,31.58,71
2023-12-04 15:13:00,1600,31.5692,31.57,31.57,31.575,31.569,54
2023-12-04 15:14:00,5303,31.5793,31.575,31.61,31.61,31.57,97
2023-12-04 15:15:00,2025,31.6219,31.615,31.645,31.645,31.615,47
2023-12-04 15:16:00,22117,31.6189,31.645,31.615,31.65,31.61,180
2023-12-04 15:17:00,10846,31.5984,31.6,31.585,31.605,31.585,157
2023-12-04 15:18:00,4378,31.5892,31.58,31.59,31.6,31.58,107
2023-12-04 15:19:00,3453,31.5865,31.59,31.585,31.59,31.58,45
2023-12-04 15:20:00,2365,31.5911,31.585,31.595,31.6,31.58,53
2023-12-04 15:21:00,4378,31.6011,31.59,31.6,31.61,31.59,75
