t,v,vw,o,c,h,l,n
2023-09-14 12:27:00,250,211.6499,211.6499,211.6499,211.6499,211.6499,1
2023-09-14 13:03:00,100,211.65,211.65,211.65,211.65,211.65,1
2023-09-14 13:30:00,13788,210.0352,210.02,210.05,210.415,210.02,89
2023-09-14 13:31:00,783,210.1605,210.17,210.16,210.17,210.16,32
2023-09-14 13:32:00,1506,210.0266,210.04,210.24,210.24,209.99,44
2023-09-14 13:33:00,500,209.7848,209.84,209.84,209.84,209.84,28
2023-09-14 13:34:00,1749,210.0588,210.12,209.98,210.135,209.98,51
2023-09-14 13:35:00,2702,210.1638,210.17,210.045,210.21,210.045,53
2023-09-14 13:36:00,581,210.2644,210.05,210.33,210.33,210.05,14
2023-09-14 13:37:00,558,210.3972,210.315,210.295,210.53,210.295,19
2023-09-14 13:38:00,1250,210.3019,210.25,210.4499,210.4499,210.25,27
2023-09-14 13:39:00,2780,210.4014,210.46,210.4,210.46,210.2801,75
2023-09-14 13:40:00,491,210.4253,210.39,210.39,210.39,210.39,29
2023-09-14 13:41:00,2220,210.5772,210.3976,210.6,210.72,210.3976,45
2023-09-14 13:42:00,3026,210.597,210.54,210.67,210.68,210.475,68
2023-09-14 13:43:00,3361,210.535,210.57,210.4,210.67,210.4,92
2023-09-14 13:44:00,1586,210.3404,210.25,210.47,210.47,210.19,62
2023-09-14 13:45:00,2517,210.3666,210.34,210.42,210.43,210.31,81
2023-09-14 13:46:00,812,210.4197,210.42,210.42,210.42,210.42,46
2023-09-14 13:47:00,388,210.4328,210.45,210.45,210.45,210.45,35
2023-09-14 13:48:00,1602,210.5162,210.53,210.4949,210.57,210.49,56
2023-09-14 13:49:00,1302,210.5669,210.4348,210.585,210.585,210.4348,75
2023-09-14 13:51:00,1990,210.6285,210.66,210.56,210.66,210.56,86
2023-09-14 13:52:00,1620,210.5406,210.57,210.52,210.57,210.49,49
2023-09-14 13:53:00,796,210.5399,210.495,210.54,210.54,210.495,36
2023-09-14 13:54:00,452,210.7487,210.74,210.74,210.74,210.74,39
2023-09-14 13:55:00,2331,210.8803,210.8,210.86,210.9,210.8,62
2023-09-14 13:56:00,3796,210.791,210.76,210.825,210.825,210.76,28
2023-09-14 13:57:00,964,210.7959,210.8802,210.825,210.8802,210.7558,25
2023-09-14 13:58:00,1890,210.7067,210.74,210.73,210.745,210.65,55
2023-09-14 13:59:00,3555,210.6757,210.73,210.64,210.73,210.63,117
2023-09-14 14:00:00,2331,210.6655,210.72,210.62,210.72,210.61,92
2023-09-14 14:01:00,1211,210.5251,210.53,210.5,210.53,210.5,61
2023-09-14 14:02:00,574,210.5081,210.51,210.4816,210.51,210.4816,30
2023-09-14 14:03:00,293,210.5267,210.5,210.56,210.56,210.5,20
2023-09-14 14:04:00,3157,210.6713,210.61,210.73,210.73,210.61,161
2023-09-14 14:05:00,3284,210.5239,210.6,210.4205,210.6,210.4205,96
2023-09-14 14:06:00,2972,210.5588,210.46,210.65,210.65,210.46,83
2023-09-14 14:07:00,556,210.6657,210.66,210.66,210.66,210.66,48
2023-09-14 14:08:00,925,210.6926,210.69,210.69,210.69,210.69,58
2023-09-14 14:09:00,1668,210.692,210.66,210.7,210.7,210.66,17
2023-09-14 14:10:00,2055,210.8237,210.74,210.88,210.88,210.74,84
2023-09-14 14:11:00,2273,210.8286,210.85,210.8,210.85,210.8,61
2023-09-14 14:12:00,1282,210.7062,210.76,210.64,210.76,210.64,54
2023-09-14 14:13:00,1918,210.6628,210.5922,210.63,210.69,210.5922,50
2023-09-14 14:14:00,1916,210.6188,210.59,210.64,210.64,210.58,71
2023-09-14 14:15:00,2207,210.6319,210.605,210.62,210.65,210.605,58
2023-09-14 14:16:00,6191,210.6398,210.58,210.6,210.66,210.58,120
2023-09-14 14:17:00,1737,210.7097,210.7,210.72,210.74,210.69,57
2023-09-14 14:18:00,1092,210.7455,210.7,210.72,210.79,210.7,35
2023-09-14 14:19:00,537,210.725,210.7674,210.7674,210.7674,210.7674,23
2023-09-14 14:20:00,1551,210.6973,210.71,210.675,210.715,210.67,61
2023-09-14 14:21:00,1446,210.6318,210.7,210.59,210.7,210.59,57
2023-09-14 14:22:00,1207,210.4425,210.52,210.39,210.52,210.39,63
2023-09-14 14:23:00,1696,210.3285,210.3,210.29,210.34,210.27,74
2023-09-14 14:24:00,1269,210.3279,210.27,210.36,210.36,210.27,72
2023-09-14 14:25:00,1427,210.3161,210.35,210.33,210.35,210.31,62
2023-09-14 14:26:00,1141,210.2272,210.27,210.28,210.28,210.27,40
2023-09-14 14:27:00,928,210.1438,210.1474,210.14,210.1474,210.14,35
2023-09-14 14:28:00,1825,210.1366,210.09,210.16,210.16,210.05,90
2023-09-14 14:30:00,1195,210.2849,210.3,210.26,210.3,210.25,45
