t,v,vw,o,c,h,l,n
2023-11-27 14:30:00,7858,14.2598,14.27,14.185,14.27,14.175,27
2023-11-27 14:31:00,472,14.1564,14.1,14.17,14.18,14.1,6
2023-11-27 14:32:00,167,14.2037,14.23,14.23,14.23,14.23,3
2023-11-27 14:36:00,1080,14.1322,14.135,14.135,14.135,14.135,13
2023-11-27 14:37:00,5329,14.1304,14.1,14.17,14.17,14.08,25
2023-11-27 14:38:00,127,14.1975,14.2,14.2,14.2,14.2,4
2023-11-27 14:40:00,301,14.2426,14.24,14.25,14.25,14.24,6
2023-11-27 14:43:00,2963,14.2614,14.26,14.29,14.29,14.25,65
2023-11-27 14:44:00,1939,14.2924,14.29,14.29,14.3,14.29,27
2023-11-27 14:49:00,344,14.3366,14.36,14.36,14.36,14.36,4
2023-11-27 14:50:00,357,14.3729,14.38,14.37,14.38,14.37,8
2023-11-27 14:51:00,2028,14.3964,14.38,14.38,14.4,14.38,29
2023-11-27 14:52:00,960,14.4243,14.41,14.44,14.44,14.41,16
2023-11-27 14:53:00,600,14.4277,14.44,14.44,14.44,14.42,5
2023-11-27 14:54:00,514,14.4438,14.44,14.44,14.44,14.44,18
2023-11-27 14:55:00,200,14.47,14.47,14.47,14.47,14.47,2
2023-11-27 14:56:00,226,14.4697,14.47,14.47,14.47,14.47,5
2023-11-27 14:57:00,300,14.48,14.48,14.48,14.48,14.48,3
2023-11-27 14:58:00,1697,14.4583,14.49,14.44,14.49,14.44,24
2023-11-27 15:02:00,352,14.4549,14.445,14.47,14.47,14.445,5
2023-11-27 15:03:00,2369,14.4443,14.47,14.425,14.47,14.425,33
2023-11-27 15:04:00,300,14.4243,14.428,14.42,14.428,14.42,3
2023-11-27 15:05:00,689,14.4348,14.44,14.43,14.44,14.42,9
2023-11-27 15:06:00,1064,14.4424,14.44,14.44,14.45,14.44,18
2023-11-27 15:08:00,2038,14.4267,14.44,14.39,14.44,14.39,41
2023-11-27 15:10:00,289,14.4191,14.42,14.42,14.42,14.42,5
2023-11-27 15:11:00,2158,14.4368,14.43,14.43,14.45,14.43,37
2023-11-27 15:12:00,723,14.4564,14.44,14.48,14.48,14.44,13
2023-11-27 15:13:00,835,14.484,14.48,14.48,14.5,14.48,10
2023-11-27 15:14:00,1600,14.4664,14.48,14.45,14.48,14.45,20
2023-11-27 15:15:00,643,14.4522,14.465,14.44,14.465,14.44,21
