t,v,vw,o,c,h,l,n
2023-09-14 08:00:00,504,23.88,23.88,23.88,23.88,23.88,2
2023-09-14 08:14:00,100,23.86,23.86,23.86,23.86,23.86,1
2023-09-14 08:39:00,400,23.8125,23.82,23.81,23.82,23.81,2
2023-09-14 08:48:00,154,23.85,23.85,23.85,23.85,23.85,1
2023-09-14 09:00:00,200,23.8,23.8,23.8,23.8,23.8,1
2023-09-14 09:26:00,146,23.85,23.85,23.85,23.85,23.85,1
2023-09-14 13:30:00,71020,23.9372,23.94,23.93,23.96,23.91,313
2023-09-14 13:31:00,21238,23.937,23.935,23.935,23.945,23.925,166
2023-09-14 13:32:00,17765,23.9293,23.93,23.93,23.945,23.92,78
2023-09-14 13:33:00,8390,23.9483,23.94,23.945,23.955,23.94,85
2023-09-14 13:34:00,3048,23.9255,23.94,23.91,23.94,23.91,31
2023-09-14 13:35:00,1156,23.9293,23.925,23.935,23.935,23.925,13
2023-09-14 13:36:00,10470,23.9388,23.935,23.94,23.945,23.93,107
2023-09-14 13:37:00,4977,23.9498,23.95,23.948,23.95,23.945,10
2023-09-14 13:38:00,9220,23.9427,23.95,23.945,23.95,23.94,55
2023-09-14 13:39:00,10311,23.946,23.95,23.94,23.95,23.94,51
2023-09-14 13:40:00,2295,23.9408,23.945,23.945,23.945,23.94,27
2023-09-14 13:41:00,8254,23.9409,23.9423,23.935,23.945,23.935,59
2023-09-14 13:42:00,7143,23.9403,23.94,23.945,23.945,23.935,55
2023-09-14 13:43:00,25711,23.9494,23.94,23.94,23.955,23.94,140
2023-09-14 13:44:00,1118,23.9382,23.935,23.94,23.94,23.935,13
2023-09-14 13:45:00,1650,23.9436,23.945,23.945,23.945,23.94,17
2023-09-14 13:46:00,4102,23.9509,23.95,23.955,23.955,23.95,26
2023-09-14 13:47:00,815,23.9551,23.955,23.955,23.955,23.955,8
2023-09-14 13:48:00,7741,23.9501,23.955,23.945,23.955,23.945,57
2023-09-14 13:49:00,7366,23.9501,23.945,23.95,23.955,23.945,48
2023-09-14 13:50:00,297,23.9513,23.9513,23.9513,23.9513,23.9513,2
2023-09-14 13:51:00,1286,23.9593,23.96,23.96,23.96,23.96,13
2023-09-14 13:52:00,1819,23.9558,23.955,23.955,23.96,23.955,17
2023-09-14 13:53:00,1580,23.9545,23.96,23.955,23.96,23.95,21
2023-09-14 13:54:00,672,23.9542,23.955,23.955,23.955,23.9509,9
2023-09-14 13:55:00,11343,23.9508,23.955,23.945,23.955,23.945,60
2023-09-14 13:56:00,14029,23.9451,23.945,23.955,23.96,23.935,100
2023-09-14 13:57:00,5852,23.9608,23.96,23.96,23.965,23.96,37
2023-09-14 13:58:00,1210,23.965,23.965,23.965,23.965,23.965,10
2023-09-14 13:59:00,5688,23.9626,23.97,23.965,23.97,23.96,50
2023-09-14 14:00:00,8800,23.9701,23.97,23.965,23.975,23.965,61
2023-09-14 14:01:00,2643,23.9611,23.965,23.955,23.965,23.955,37
2023-09-14 14:02:00,933,23.9557,23.955,23.96,23.96,23.955,18
2023-09-14 14:03:00,110,23.955,23.955,23.955,23.955,23.955,9
2023-09-14 14:04:00,2948,23.955,23.955,23.955,23.955,23.955,39
2023-09-14 14:05:00,39611,23.9597,23.95,23.955,23.965,23.95,230
2023-09-14 14:06:00,1365,23.9559,23.955,23.96,23.96,23.955,16
2023-09-14 14:07:00,7965,23.9607,23.96,23.96,23.965,23.96,64
2023-09-14 14:08:00,1896,23.9638,23.965,23.965,23.965,23.96,28
2023-09-14 14:09:00,3083,23.9632,23.96,23.965,23.965,23.96,28
2023-09-14 14:10:00,8353,23.9604,23.965,23.955,23.965,23.955,59
2023-09-14 14:11:00,3569,23.9587,23.955,23.96,23.96,23.955,33
2023-09-14 14:12:00,5697,23.9712,23.97,23.975,23.975,23.97,30
2023-09-14 14:13:00,1807,23.9739,23.975,23.975,23.975,23.97,15
2023-09-14 14:14:00,7840,23.9689,23.97,23.965,23.975,23.965,52
2023-09-14 14:15:00,23020,23.9692,23.965,23.97,23.97,23.96,53
2023-09-14 14:16:00,2683,23.9719,23.97,23.975,23.975,23.97,19
2023-09-14 14:17:00,5330,23.9693,23.97,23.965,23.97,23.965,52
2023-09-14 14:18:00,5807,23.96,23.96,23.955,23.965,23.955,52
2023-09-14 14:19:00,2810,23.9602,23.955,23.965,23.965,23.955,28
2023-09-14 14:20:00,528,23.9656,23.965,23.965,23.965,23.965,10
2023-09-14 14:21:00,3836,23.9703,23.97,23.975,23.975,23.97,18
2023-09-14 14:22:00,7155,23.9802,23.977,23.985,23.985,23.977,25
2023-09-14 14:23:00,1414,23.9851,23.985,23.99,23.99,23.98,15
2023-09-14 14:24:00,527,23.989,23.99,23.99,23.99,23.99,9
2023-09-14 14:25:00,1842,23.9855,23.99,23.985,23.99,23.985,17
2023-09-14 14:26:00,6085,23.9788,23.985,23.965,23.985,23.965,61
2023-09-14 14:27:00,190,23.9605,23.96,23.96,23.96,23.96,4
2023-09-14 14:28:00,8242,23.971,23.97,23.975,23.975,23.97,45
2023-09-14 14:29:00,1737,23.9742,23.975,23.9702,23.975,23.9702,14
2023-09-14 14:30:00,13074,23.9783,23.975,23.975,23.98,23.975,55
2023-09-14 14:31:00,1598,23.9797,23.975,23.98,23.98,23.975,12
2023-09-14 14:32:00,56161,23.9802,23.98,23.98,23.99,23.9795,251
2023-09-14 14:33:00,745,23.9848,23.98,23.99,23.99,23.98,12
2023-09-14 14:34:00,2699,23.992,23.99,23.995,23.995,23.9893,21
2023-09-14 14:35:00,2274,23.9944,23.995,23.9986,23.9986,23.99,16
2023-09-14 14:36:00,7591,24.0006,23.995,24.01,24.01,23.995,32
2023-09-14 14:37:00,686,24.0027,24.0,24.01,24.01,24.0,6
2023-09-14 14:38:00,3553,24.0127,24.01,24.015,24.015,24.01,32
2023-09-14 14:39:00,4142,24.0183,24.015,24.015,24.0192,24.015,14
2023-09-14 14:40:00,308,24.0071,24.015,24.015,24.015,24.015,4
2023-09-14 14:41:00,4370,24.0142,24.015,24.02,24.02,24.01,49
2023-09-14 14:42:00,8042,24.0109,24.01,24.005,24.015,24.005,60
2023-09-14 14:43:00,609,24.005,24.005,24.005,24.005,24.005,9
2023-09-14 14:44:00,438,24.0062,24.005,24.005,24.005,24.005,14
2023-09-14 14:45:00,7692,24.0107,24.01,24.015,24.015,24.01,67
2023-09-14 14:46:00,990,24.0185,24.015,24.02,24.02,24.015,19
2023-09-14 14:47:00,1124,24.0179,24.015,24.02,24.02,24.015,16
2023-09-14 14:48:00,4011,24.0193,24.02,24.015,24.02,24.015,17
2023-09-14 14:49:00,774,24.0189,24.015,24.02,24.02,24.015,17
2023-09-14 14:50:00,47770,24.0206,24.02,24.015,24.03,24.015,224
2023-09-14 14:51:00,748,24.0157,24.015,24.02,24.02,24.015,7
2023-09-14 14:52:00,854,24.015,24.015,24.015,24.015,24.015,14
2023-09-14 14:53:00,1630,24.0155,24.015,24.02,24.02,24.015,19
2023-09-14 14:54:00,2416,24.0158,24.015,24.015,24.015,24.015,21
2023-09-14 14:55:00,11730,24.0196,24.02,24.02,24.02,24.015,90
2023-09-14 14:56:00,8024,24.0284,24.03,24.03,24.03,24.02,59
2023-09-14 14:57:00,3038,24.0292,24.03,24.03,24.03,24.025,19
2023-09-14 14:58:00,7405,24.0307,24.03,24.035,24.035,24.025,60
