t,v,vw,o,c,h,l,n
2023-06-02 13:30:00,5538,2.5591,2.56,2.54,2.56,2.54,14
2023-06-02 13:31:00,11389,2.6154,2.57,2.6101,2.64,2.54,72
2023-06-02 13:32:00,1308,2.6235,2.64,2.62,2.64,2.62,30
2023-06-02 13:33:00,684,2.6009,2.61,2.5901,2.61,2.5901,11
2023-06-02 13:34:00,1700,2.5789,2.59,2.5722,2.59,2.57,29
2023-06-02 13:35:00,620,2.5785,2.59,2.58,2.59,2.575,6
2023-06-02 13:36:00,1290,2.5716,2.57,2.58,2.58,2.56,16
2023-06-02 13:37:00,1395,2.5899,2.59,2.59,2.59,2.59,31
2023-06-02 13:38:00,222,2.5977,2.6,2.6,2.6,2.6,7
2023-06-02 13:39:00,467,2.5877,2.59,2.59,2.59,2.59,16
2023-06-02 13:40:00,264,2.5789,2.58,2.58,2.58,2.58,7
2023-06-02 13:41:00,3061,2.586,2.58,2.59,2.595,2.58,55
2023-06-02 13:42:00,284,2.5925,2.59,2.59,2.59,2.59,13
2023-06-02 13:43:00,2380,2.597,2.6,2.605,2.605,2.6,23
2023-06-02 13:44:00,841,2.6,2.6,2.6,2.6,2.6,16
2023-06-02 13:45:00,3285,2.6091,2.61,2.61,2.61,2.61,56
2023-06-02 13:46:00,13614,2.6192,2.61,2.64,2.65,2.605,89
2023-06-02 13:47:00,2208,2.6239,2.63,2.62,2.63,2.62,27
2023-06-02 13:48:00,1862,2.6302,2.63,2.6299,2.63,2.6299,28
2023-06-02 13:49:00,8350,2.615,2.63,2.605,2.63,2.6,67
2023-06-02 13:50:00,1798,2.6257,2.62,2.625,2.63,2.62,38
2023-06-02 13:51:00,135,2.6201,2.62,2.62,2.62,2.62,8
2023-06-02 13:52:00,181,2.6119,2.61,2.61,2.61,2.61,5
2023-06-02 13:53:00,1425,2.6263,2.62,2.635,2.635,2.62,20
2023-06-02 13:54:00,12654,2.6516,2.64,2.675,2.675,2.64,32
2023-06-02 13:55:00,9294,2.6714,2.68,2.67,2.69,2.65,135
2023-06-02 13:57:00,15687,2.6787,2.68,2.68,2.69,2.66,89
2023-06-02 13:59:00,1858,2.6666,2.67,2.66,2.67,2.66,29
2023-06-02 14:00:00,1000,2.6599,2.6599,2.6599,2.6599,2.6599,1
2023-06-02 14:01:00,1301,2.6453,2.65,2.64,2.65,2.64,24
2023-06-02 14:03:00,3368,2.6263,2.63,2.635,2.635,2.62,42
2023-06-02 14:04:00,4659,2.6305,2.635,2.63,2.635,2.63,58
2023-06-02 14:05:00,2281,2.638,2.635,2.64,2.64,2.63,58
2023-06-02 14:06:00,1484,2.6493,2.65,2.65,2.655,2.65,21
2023-06-02 14:07:00,1115,2.6534,2.655,2.65,2.655,2.65,23
2023-06-02 14:08:00,1442,2.6464,2.65,2.6499,2.65,2.64,18
2023-06-02 14:09:00,2280,2.6501,2.645,2.65,2.65,2.645,32
2023-06-02 14:10:00,1606,2.6478,2.65,2.64,2.65,2.64,32
2023-06-02 14:11:00,1242,2.63,2.63,2.63,2.63,2.63,20
2023-06-02 14:12:00,2789,2.6369,2.635,2.64,2.64,2.63,36
2023-06-02 14:13:00,1513,2.6545,2.65,2.665,2.665,2.65,21
2023-06-02 14:14:00,3392,2.67,2.66,2.69,2.69,2.66,40
2023-06-02 14:15:00,9173,2.703,2.7,2.715,2.715,2.7,53
2023-06-02 14:16:00,6185,2.7177,2.72,2.71,2.725,2.71,76
2023-06-02 14:17:00,9948,2.6899,2.69,2.71,2.71,2.68,79
2023-06-02 14:18:00,36134,2.7285,2.715,2.725,2.735,2.715,125
2023-06-02 14:19:00,14471,2.7472,2.73,2.77,2.77,2.73,72
2023-06-02 14:20:00,21244,2.7855,2.77,2.8,2.81,2.7609,132
2023-06-02 14:21:00,5710,2.8069,2.795,2.81,2.815,2.795,101
2023-06-02 14:22:00,5716,2.7999,2.81,2.81,2.81,2.8,44
2023-06-02 14:23:00,7277,2.8056,2.8046,2.81,2.81,2.8046,7
2023-06-02 14:24:00,887,2.809,2.81,2.81,2.81,2.81,17
2023-06-02 14:25:00,1224,2.8248,2.815,2.83,2.83,2.815,23
2023-06-02 14:26:00,4055,2.8406,2.84,2.84,2.85,2.84,59
2023-06-02 14:27:00,34632,2.8511,2.84,2.865,2.87,2.84,157
2023-06-02 14:28:00,595,2.8627,2.865,2.865,2.865,2.865,24
2023-06-02 14:29:00,46450,2.8765,2.865,2.87,2.88,2.85,138
2023-06-02 14:30:00,25395,2.8908,2.87,2.9,2.91,2.86,151
2023-06-02 14:31:00,45455,2.8858,2.9,2.89,2.9,2.87,187
2023-06-02 14:32:00,28406,2.8821,2.885,2.9,2.9,2.88,82
