t,v,vw,o,c,h,l,n
2023-12-27 10:59:00,180,45.0,45.0,45.0,45.0,45.0,3
2023-12-27 12:29:00,383,45.6305,45.5,45.5,45.5,45.5,4
2023-12-27 13:00:00,231,45.3896,45.45,45.45,45.45,45.45,3
2023-12-27 13:03:00,1072,45.0062,45.0,45.0,45.0,45.0,14
2023-12-27 13:36:00,110,45.0,45.0,45.0,45.0,45.0,1
2023-12-27 14:30:00,8936,44.4186,44.5,44.36,44.69,44.345,48
2023-12-27 14:31:00,244,44.3574,44.44,44.29,44.44,44.29,6
2023-12-27 14:32:00,1914,44.3839,44.38,44.335,44.43,44.335,30
2023-12-27 14:33:00,3490,44.0264,44.25,43.87,44.25,43.87,76
2023-12-27 14:34:00,955,43.9258,44.01,43.9001,44.02,43.9001,9
2023-12-27 14:35:00,579,43.9678,43.97,43.975,43.975,43.92,9
2023-12-27 14:36:00,327,44.0159,44.05,43.98,44.05,43.98,9
2023-12-27 14:37:00,2126,44.0932,44.04,44.2,44.2,44.04,60
2023-12-27 14:38:00,1444,44.179,44.19,44.2,44.2,44.19,37
2023-12-27 14:39:00,2281,44.2726,44.27,44.28,44.38,44.17,45
2023-12-27 14:40:00,1878,44.5047,44.39,44.54,44.548,44.39,34
2023-12-27 14:41:00,6287,44.484,44.49,44.46,44.535,44.46,76
2023-12-27 14:42:00,1131,44.4949,44.425,44.5,44.52,44.425,29
2023-12-27 14:43:00,825,44.4649,44.53,44.53,44.53,44.4,20
2023-12-27 14:44:00,333,44.5611,44.56,44.555,44.56,44.555,7
2023-12-27 14:45:00,2910,44.6014,44.62,44.55,44.64,44.52,40
2023-12-27 14:46:00,5982,44.504,44.54,44.47,44.54,44.47,69
2023-12-27 14:47:00,1127,44.4222,44.4167,44.425,44.43,44.4167,10
2023-12-27 14:48:00,2039,44.3879,44.46,44.345,44.46,44.3375,33
2023-12-27 14:49:00,252,44.345,44.345,44.345,44.345,44.345,7
2023-12-27 14:50:00,10306,44.4393,44.345,44.47,44.5343,44.345,148
2023-12-27 14:51:00,717,44.5024,44.51,44.48,44.53,44.48,15
2023-12-27 14:52:00,809,44.4974,44.48,44.5,44.51,44.48,16
2023-12-27 14:53:00,5004,44.5646,44.515,44.66,44.67,44.49,71
2023-12-27 14:54:00,15329,44.6492,44.68,44.68,44.71,44.61,157
2023-12-27 14:55:00,5207,44.7033,44.685,44.71,44.75,44.65,59
2023-12-27 14:56:00,797,44.7041,44.705,44.705,44.705,44.705,17
2023-12-27 14:57:00,4116,44.7583,44.7451,44.775,44.7965,44.7451,68
2023-12-27 14:58:00,1478,44.7448,44.74,44.745,44.745,44.74,16
2023-12-27 14:59:00,8895,44.6581,44.72,44.46,44.745,44.46,105
2023-12-27 15:00:00,2636,44.6217,44.48,44.7,44.75,44.48,39
2023-12-27 15:01:00,1784,44.7477,44.7,44.78,44.79,44.7,27
2023-12-27 15:02:00,1308,44.7615,44.755,44.7658,44.7658,44.7535,11
2023-12-27 15:03:00,4703,44.7981,44.77,44.72,44.85,44.72,75
2023-12-27 15:04:00,2386,44.6596,44.69,44.6501,44.755,44.65,13
2023-12-27 15:05:00,442,44.6917,44.715,44.64,44.715,44.64,9
2023-12-27 15:06:00,3457,44.7366,44.64,44.71,44.77,44.64,44
2023-12-27 15:07:00,659,44.7024,44.71,44.695,44.72,44.68,15
2023-12-27 15:08:00,1327,44.7231,44.705,44.705,44.77,44.705,20
2023-12-27 15:09:00,1228,44.6713,44.67,44.67,44.6709,44.67,8
2023-12-27 15:10:00,2059,44.7251,44.67,44.705,44.74,44.67,33
2023-12-27 15:11:00,4093,44.5555,44.705,44.51,44.705,44.495,74
2023-12-27 15:12:00,1997,44.5601,44.56,44.55,44.56,44.55,37
2023-12-27 15:13:00,5072,44.4904,44.54,44.465,44.54,44.46,66
2023-12-27 15:14:00,781,44.457,44.45,44.465,44.475,44.44,18
2023-12-27 15:15:00,3282,44.4057,44.41,44.39,44.42,44.38,40
