t,v,vw,o,c,h,l,n
2024-01-04 14:28:00,200,28.83,28.83,28.83,28.83,28.83,2
2024-01-04 14:30:00,12153,28.8546,28.69,28.735,28.98,28.68,32
2024-01-04 14:31:00,3974,28.9526,28.83,29.09,29.09,28.83,61
2024-01-04 14:33:00,300,29.18,29.16,29.22,29.22,29.16,3
2024-01-04 14:35:00,3257,28.9214,28.94,28.905,28.94,28.9,62
2024-01-04 14:36:00,126,28.788,28.79,28.79,28.79,28.79,5
2024-01-04 14:38:00,1494,28.9536,28.95,28.93,28.97,28.93,45
2024-01-04 14:40:00,232,28.9314,28.91,28.91,28.91,28.91,8
2024-01-04 14:41:00,179,28.8781,28.905,28.905,28.905,28.905,5
2024-01-04 14:42:00,2523,28.8863,28.88,28.907,28.94,28.88,33
2024-01-04 14:43:00,1120,28.9567,28.97,28.9378,28.99,28.9378,40
2024-01-04 14:44:00,523,28.9483,28.95,28.9,28.95,28.9,11
2024-01-04 14:45:00,674,28.8913,28.89,28.885,28.89,28.885,20
2024-01-04 14:49:00,3533,28.7833,28.81,28.8,28.81,28.74,86
2024-01-04 14:50:00,1586,28.8716,28.85,28.88,28.88,28.835,75
2024-01-04 14:51:00,346,28.9383,28.935,28.9421,28.9421,28.935,11
2024-01-04 14:52:00,771,28.9362,28.92,28.935,28.95,28.92,20
2024-01-04 14:54:00,207,28.9257,28.935,28.935,28.935,28.935,11
2024-01-04 14:55:00,2390,28.9508,28.935,28.985,28.985,28.93,67
2024-01-04 14:56:00,518,28.9782,28.985,28.975,28.985,28.975,13
2024-01-04 14:57:00,1876,28.9326,28.94,28.93,28.94,28.91,54
2024-01-04 14:59:00,1084,28.9043,28.9,28.915,28.915,28.9,34
2024-01-04 15:00:00,1143,28.9501,28.93,28.97,28.98,28.93,28
2024-01-04 15:02:00,349,28.9732,29.02,29.02,29.02,29.02,12
2024-01-04 15:03:00,578,28.9906,29.0,28.98,29.0,28.98,18
2024-01-04 15:04:00,488,28.9684,28.96,28.96,28.96,28.96,26
2024-01-04 15:05:00,1409,28.9531,28.96,28.93,28.98,28.93,72
2024-01-04 15:06:00,1200,28.9155,28.9,28.9,28.9,28.9,62
2024-01-04 15:07:00,426,28.9082,28.91,28.91,28.91,28.91,15
2024-01-04 15:08:00,520,28.9364,28.94,28.94,28.94,28.94,42
2024-01-04 15:09:00,665,28.9756,28.99,28.96,28.99,28.96,25
2024-01-04 15:10:00,892,28.9368,28.93,28.95,28.95,28.93,52
2024-01-04 15:11:00,431,28.9375,28.94,28.93,28.94,28.93,13
2024-01-04 15:12:00,1922,28.9033,28.93,28.9,28.93,28.89,50
2024-01-04 15:13:00,308,28.9142,28.91,28.91,28.91,28.91,19
2024-01-04 15:14:00,849,28.9115,28.9,28.91,28.91,28.9,39
2024-01-04 15:15:00,1056,28.8888,28.915,28.87,28.915,28.87,33
2024-01-04 15:16:00,901,28.8391,28.84,28.82,28.85,28.82,23
2024-01-04 15:17:00,1140,28.8822,28.86,28.9,28.91,28.86,46
2024-01-04 15:18:00,376,28.8961,28.89,28.89,28.89,28.89,18
2024-01-04 15:19:00,2018,28.9144,28.85,28.935,28.94,28.85,75
2024-01-04 15:20:00,1389,28.9584,28.96,28.96,28.96,28.94,55
2024-01-04 15:21:00,891,28.9247,28.95,28.91,28.95,28.91,34
2024-01-04 15:22:00,2159,28.9475,28.93,28.97,28.98,28.93,71
2024-01-04 15:24:00,729,28.9499,28.95,28.95,28.95,28.95,30
2024-01-04 15:26:00,1778,28.9444,28.98,28.93,28.98,28.93,51
2024-01-04 15:27:00,783,28.9095,28.9,28.93,28.93,28.9,30
2024-01-04 15:29:00,133,28.9098,28.91,28.91,28.91,28.91,7
2024-01-04 15:30:00,811,28.9171,28.92,28.91,28.92,28.91,37
2024-01-04 15:31:00,1335,28.9464,28.935,28.95,28.95,28.92,30
2024-01-04 15:32:00,647,28.9597,28.965,28.965,28.965,28.965,19
2024-01-04 15:33:00,868,28.9723,28.98,28.97,28.98,28.97,38
2024-01-04 15:34:00,2167,28.9758,28.98,28.97,28.99,28.96,69
2024-01-04 15:35:00,416,28.9736,28.97,28.97,28.97,28.97,19
2024-01-04 15:36:00,2209,28.9996,28.99,29.01,29.01,28.99,44
2024-01-04 15:37:00,1615,28.9981,29.0,29.0,29.0,28.99,50
2024-01-04 15:38:00,2886,29.0072,29.01,29.01,29.02,28.99,70
2024-01-04 15:39:00,3456,28.9938,29.015,28.98,29.015,28.98,78
2024-01-04 15:40:00,952,28.9642,28.96,28.97,28.97,28.95,31
