t,v,vw,o,c,h,l,n
2023-07-05 13:30:00,39079,38.6134,38.63,38.52,38.63,38.48,207
2023-07-05 13:31:00,6068,38.5337,38.515,38.485,38.57,38.48,76
2023-07-05 13:32:00,6310,38.4651,38.47,38.445,38.49,38.44,103
2023-07-05 13:33:00,7193,38.4973,38.46,38.54,38.56,38.46,102
2023-07-05 13:34:00,1616,38.5319,38.56,38.495,38.56,38.495,33
2023-07-05 13:35:00,8499,38.4946,38.51,38.475,38.52,38.46,91
2023-07-05 13:36:00,9533,38.452,38.48,38.44,38.48,38.42,112
2023-07-05 13:37:00,8175,38.4046,38.435,38.42,38.435,38.38,120
2023-07-05 13:38:00,8787,38.4257,38.425,38.46,38.46,38.415,68
2023-07-05 13:39:00,3925,38.4804,38.46,38.49,38.495,38.46,61
2023-07-05 13:40:00,11855,38.4845,38.49,38.475,38.525,38.46,128
2023-07-05 13:41:00,6625,38.4752,38.47,38.44,38.485,38.44,69
2023-07-05 13:42:00,7312,38.3692,38.38,38.41,38.41,38.35,64
2023-07-05 13:43:00,5389,38.3687,38.42,38.385,38.42,38.33,64
2023-07-05 13:44:00,1706,38.3608,38.385,38.34,38.385,38.34,52
2023-07-05 13:45:00,9558,38.3068,38.32,38.31,38.34,38.29,95
2023-07-05 13:46:00,12443,38.262,38.31,38.23,38.31,38.23,111
2023-07-05 13:47:00,5901,38.2462,38.23,38.2301,38.26,38.23,90
2023-07-05 13:48:00,5495,38.2871,38.25,38.295,38.305,38.25,79
2023-07-05 13:49:00,2701,38.2948,38.295,38.28,38.3,38.28,77
2023-07-05 13:50:00,8775,38.319,38.2889,38.34,38.34,38.285,106
2023-07-05 13:51:00,11111,38.3429,38.345,38.34,38.355,38.32,113
2023-07-05 13:52:00,7901,38.3121,38.34,38.28,38.34,38.265,70
2023-07-05 13:53:00,8875,38.3124,38.29,38.31,38.325,38.29,83
2023-07-05 13:54:00,47052,38.2368,38.3,38.225,38.3,38.22,337
2023-07-05 13:55:00,13187,38.226,38.23,38.21,38.245,38.205,118
2023-07-05 13:56:00,5562,38.2339,38.215,38.24,38.25,38.21,86
2023-07-05 13:57:00,4134,38.2227,38.24,38.19,38.24,38.19,43
2023-07-05 13:58:00,2487,38.1841,38.18,38.2,38.2,38.17,47
2023-07-05 13:59:00,1540,38.2161,38.2,38.235,38.24,38.2,47
2023-07-05 14:00:00,17126,38.2039,38.23,38.2,38.235,38.1801,176
2023-07-05 14:01:00,4533,38.1932,38.2,38.185,38.205,38.1801,72
2023-07-05 14:02:00,3822,38.1851,38.19,38.18,38.19,38.175,65
2023-07-05 14:03:00,4548,38.1839,38.18,38.175,38.1925,38.175,62
2023-07-05 14:04:00,2671,38.1817,38.18,38.185,38.185,38.175,39
2023-07-05 14:05:00,4940,38.173,38.18,38.175,38.18,38.165,74
2023-07-05 14:06:00,7397,38.1815,38.175,38.175,38.19,38.175,61
2023-07-05 14:07:00,6359,38.1538,38.17,38.15,38.17,38.1401,80
2023-07-05 14:08:00,5401,38.1625,38.155,38.165,38.17,38.155,56
2023-07-05 14:09:00,16497,38.1728,38.16,38.195,38.2,38.15,175
2023-07-05 14:10:00,17393,38.2075,38.195,38.235,38.235,38.195,126
2023-07-05 14:11:00,11911,38.2691,38.24,38.3,38.3,38.233,130
2023-07-05 14:12:00,9523,38.3124,38.31,38.315,38.325,38.295,107
2023-07-05 14:13:00,4944,38.2901,38.31,38.27,38.31,38.265,52
2023-07-05 14:14:00,4699,38.2876,38.27,38.31,38.31,38.26,68
2023-07-05 14:15:00,7333,38.2883,38.305,38.29,38.305,38.27,100
2023-07-05 14:16:00,17529,38.2857,38.3,38.29,38.305,38.275,124
2023-07-05 14:17:00,12659,38.3054,38.29,38.3,38.33,38.28,124
2023-07-05 14:18:00,1505,38.2897,38.3,38.285,38.3,38.285,23
2023-07-05 14:19:00,6077,38.2879,38.285,38.275,38.3,38.275,76
2023-07-05 14:20:00,6105,38.2676,38.27,38.28,38.28,38.255,75
2023-07-05 14:21:00,7493,38.2827,38.28,38.3,38.3,38.28,96
2023-07-05 14:22:00,10086,38.3089,38.295,38.3225,38.3225,38.295,126
2023-07-05 14:23:00,5543,38.3196,38.325,38.325,38.33,38.31,90
2023-07-05 14:24:00,5319,38.3019,38.32,38.285,38.32,38.285,59
2023-07-05 14:25:00,6920,38.2819,38.29,38.28,38.29,38.275,60
2023-07-05 14:26:00,3947,38.2826,38.285,38.285,38.29,38.28,38
2023-07-05 14:27:00,10026,38.3035,38.285,38.32,38.32,38.285,127
2023-07-05 14:28:00,3930,38.3261,38.315,38.335,38.335,38.315,42
2023-07-05 14:29:00,1684,38.3362,38.335,38.34,38.34,38.335,39
2023-07-05 14:30:00,5962,38.3594,38.34,38.375,38.38,38.34,81
2023-07-05 14:31:00,8187,38.3824,38.38,38.39,38.39,38.375,97
2023-07-05 14:32:00,7424,38.384,38.39,38.4,38.4,38.375,93
2023-07-05 14:33:00,6548,38.4124,38.4,38.43,38.43,38.4,90
2023-07-05 14:34:00,5539,38.4315,38.435,38.44,38.44,38.43,67
2023-07-05 14:35:00,14434,38.4254,38.44,38.385,38.45,38.385,158
2023-07-05 14:36:00,3548,38.3682,38.38,38.375,38.38,38.36,56
2023-07-05 14:37:00,6330,38.3662,38.375,38.37,38.38,38.35,72
2023-07-05 14:38:00,3957,38.3624,38.365,38.35,38.365,38.35,51
2023-07-05 14:39:00,5898,38.3606,38.345,38.3799,38.3799,38.34,99
2023-07-05 14:40:00,2586,38.3858,38.38,38.4,38.4,38.38,52
2023-07-05 14:41:00,5728,38.4212,38.41,38.44,38.44,38.41,69
2023-07-05 14:42:00,11914,38.4057,38.435,38.395,38.435,38.39,93
2023-07-05 14:43:00,2932,38.3984,38.4,38.39,38.405,38.39,43
2023-07-05 14:44:00,4414,38.3966,38.395,38.401,38.4065,38.39,62
2023-07-05 14:45:00,7408,38.3861,38.405,38.365,38.41,38.365,75
2023-07-05 14:46:00,4414,38.3369,38.36,38.315,38.365,38.31,54
2023-07-05 14:47:00,3959,38.3132,38.315,38.31,38.3186,38.305,52
2023-07-05 14:48:00,4000,38.3037,38.315,38.29,38.315,38.29,55
2023-07-05 14:49:00,10383,38.3171,38.29,38.35,38.35,38.29,115
2023-07-05 14:50:00,2385,38.3331,38.34,38.325,38.34,38.325,35
2023-07-05 14:51:00,5579,38.3283,38.33,38.33,38.33,38.325,79
2023-07-05 14:52:00,5993,38.3417,38.33,38.36,38.36,38.33,75
2023-07-05 14:53:00,8363,38.353,38.355,38.385,38.385,38.34,94
2023-07-05 14:54:00,1820,38.3743,38.385,38.375,38.385,38.375,22
2023-07-05 14:55:00,5758,38.4071,38.38,38.42,38.42,38.38,59
2023-07-05 14:56:00,7419,38.4176,38.42,38.405,38.43,38.405,87
2023-07-05 14:57:00,3957,38.3898,38.405,38.385,38.405,38.38,30
2023-07-05 14:58:00,9083,38.3802,38.385,38.355,38.395,38.355,94
2023-07-05 14:59:00,8093,38.3503,38.355,38.36,38.36,38.335,83
2023-07-05 15:00:00,3353,38.3514,38.36,38.34,38.36,38.34,49
2023-07-05 15:01:00,2866,38.3417,38.34,38.35,38.35,38.335,38
2023-07-05 15:02:00,4957,38.3579,38.35,38.355,38.365,38.35,43
2023-07-05 15:03:00,2619,38.3525,38.35,38.355,38.355,38.35,24
2023-07-05 15:04:00,1678,38.3501,38.355,38.345,38.355,38.345,20
2023-07-05 15:05:00,3045,38.3489,38.35,38.35,38.355,38.345,49
2023-07-05 15:06:00,821,38.346,38.345,38.3425,38.35,38.3425,15
2023-07-05 15:07:00,9319,38.3272,38.34,38.3,38.345,38.3,90
2023-07-05 15:08:00,2554,38.3057,38.31,38.305,38.31,38.305,30
2023-07-05 15:09:00,5508,38.2958,38.305,38.275,38.31,38.275,65
2023-07-05 15:10:00,7331,38.2509,38.27,38.255,38.27,38.24,108
2023-07-05 15:11:00,6819,38.2499,38.25,38.245,38.255,38.24,71
2023-07-05 15:12:00,4017,38.2502,38.2451,38.255,38.255,38.245,46
2023-07-05 15:13:00,4142,38.2593,38.255,38.2615,38.265,38.255,48
2023-07-05 15:14:00,3557,38.262,38.27,38.2525,38.27,38.2525,51
2023-07-05 15:15:00,8256,38.2482,38.25,38.25,38.255,38.245,94
2023-07-05 15:16:00,4252,38.2537,38.25,38.255,38.255,38.2493,20
2023-07-05 15:17:00,7761,38.2679,38.26,38.265,38.275,38.255,106
2023-07-05 15:18:00,10325,38.2725,38.27,38.275,38.28,38.2613,112
2023-07-05 15:19:00,2589,38.2781,38.28,38.28,38.285,38.275,32
2023-07-05 15:20:00,4533,38.2891,38.285,38.29,38.295,38.285,66
2023-07-05 15:21:00,6979,38.2902,38.29,38.295,38.295,38.2899,84
2023-07-05 15:22:00,5395,38.307,38.295,38.315,38.315,38.295,49
2023-07-05 15:23:00,3962,38.3095,38.31,38.31,38.315,38.305,51
2023-07-05 15:24:00,563,38.3056,38.305,38.3067,38.3067,38.305,15
2023-07-05 15:25:00,7860,38.2857,38.3,38.275,38.3,38.2725,78
2023-07-05 15:26:00,4736,38.2786,38.275,38.28,38.28,38.275,57
2023-07-05 15:27:00,8486,38.2843,38.28,38.3,38.305,38.275,110
