t,v,vw,o,c,h,l,n
2023-08-14 12:21:00,120,59.45,59.45,59.45,59.45,59.45,2
2023-08-14 12:30:00,100,59.6,59.6,59.6,59.6,59.6,1
2023-08-14 12:49:00,298,59.3188,59.3,59.3,59.3,59.3,7
2023-08-14 13:04:00,100,59.35,59.35,59.35,59.35,59.35,1
2023-08-14 13:29:00,1086,59.0475,59.05,59.0,59.05,59.0,24
2023-08-14 13:30:00,65101,58.9385,58.96,59.17,59.18,58.9,175
2023-08-14 13:31:00,7571,59.0707,59.145,59.085,59.18,58.98,129
2023-08-14 13:32:00,5543,59.1279,59.05,59.135,59.16,59.05,83
2023-08-14 13:33:00,4738,59.0989,59.1,59.135,59.17,59.05,63
2023-08-14 13:34:00,5226,59.1597,59.17,59.1546,59.2,59.12,76
2023-08-14 13:35:00,11954,59.1383,59.15,59.08,59.21,59.06,187
2023-08-14 13:36:00,2155,59.0842,59.07,59.09,59.095,59.07,37
2023-08-14 13:37:00,5370,59.0037,59.06,58.99,59.06,58.96,110
2023-08-14 13:38:00,2767,59.0158,58.975,59.02,59.06,58.96,72
2023-08-14 13:39:00,1349,58.9803,59.01,58.96,59.01,58.96,49
2023-08-14 13:40:00,1485,59.0141,59.03,59.01,59.04,59.01,55
2023-08-14 13:41:00,1687,58.99,59.01,59.01,59.01,58.97,46
2023-08-14 13:42:00,1551,58.9873,58.98,59.0,59.0,58.975,38
2023-08-14 13:43:00,6096,58.9262,58.99,58.91,58.99,58.87,99
2023-08-14 13:44:00,2672,58.8885,58.89,58.88,58.91,58.87,81
2023-08-14 13:45:00,4299,58.9104,58.895,58.91,58.92,58.89,80
2023-08-14 13:46:00,1384,58.9308,58.95,58.91,58.95,58.91,46
2023-08-14 13:47:00,2124,58.8878,58.89,58.88,58.8969,58.88,56
2023-08-14 13:48:00,3470,58.8305,58.87,58.82,58.875,58.8,87
2023-08-14 13:49:00,16476,58.8125,58.8,58.785,58.83,58.78,118
2023-08-14 13:50:00,1507,58.8314,58.81,58.85,58.85,58.8,39
2023-08-14 13:51:00,4423,58.8447,58.83,58.91,58.91,58.82,71
2023-08-14 13:52:00,3654,58.899,58.885,58.91,58.92,58.88,57
2023-08-14 13:53:00,2692,58.8836,58.925,58.865,58.925,58.86,49
2023-08-14 13:54:00,1620,58.8414,58.85,58.84,58.85,58.83,53
2023-08-14 13:55:00,3315,58.8116,58.82,58.82,58.82,58.8,73
2023-08-14 13:56:00,3632,58.7901,58.81,58.825,58.825,58.76,91
2023-08-14 13:57:00,129125,58.8394,58.81,58.82,58.84,58.8,69
2023-08-14 13:58:00,2539,58.8183,58.83,58.81,58.83,58.81,57
2023-08-14 13:59:00,16776,58.8474,58.83,58.905,58.91,58.79,119
2023-08-14 14:00:00,7832,58.9072,58.9,58.94,58.94,58.88,100
2023-08-14 14:01:00,6822,58.9705,58.94,59.03,59.03,58.93,101
2023-08-14 14:02:00,8757,59.0829,59.05,59.08,59.12,59.04,130
2023-08-14 14:03:00,10806,59.0967,59.08,59.09,59.1299,59.08,168
2023-08-14 14:04:00,38216,59.1885,59.0964,59.23,59.23,59.0964,212
2023-08-14 14:05:00,46753,59.2832,59.25,59.275,59.31,59.24,316
2023-08-14 14:06:00,14122,59.2939,59.29,59.34,59.34,59.27,205
2023-08-14 14:07:00,23768,59.2918,59.35,59.2001,59.35,59.2001,233
2023-08-14 14:08:00,7288,59.2352,59.22,59.28,59.28,59.2,107
2023-08-14 14:09:00,4712,59.2384,59.26,59.23,59.26,59.22,58
2023-08-14 14:10:00,6376,59.2058,59.23,59.21,59.23,59.18,92
2023-08-14 14:11:00,5290,59.2393,59.23,59.2685,59.2685,59.22,89
2023-08-14 14:12:00,3280,59.2825,59.26,59.3,59.31,59.25,40
2023-08-14 14:13:00,10870,59.2895,59.32,59.23,59.35,59.22,140
2023-08-14 14:14:00,6705,59.2556,59.25,59.21,59.28,59.21,59
2023-08-14 14:15:00,2991,59.1816,59.23,59.16,59.23,59.16,46
2023-08-14 14:16:00,3952,59.1202,59.11,59.12,59.13,59.1,72
2023-08-14 14:17:00,3798,59.0937,59.11,59.1,59.11,59.06,79
2023-08-14 14:18:00,5614,59.076,59.1,59.04,59.1,59.03,87
2023-08-14 14:19:00,8960,59.0415,59.03,59.02,59.04,59.02,106
2023-08-14 14:20:00,3842,58.9998,59.03,58.97,59.03,58.96,94
2023-08-14 14:21:00,1218,58.9581,58.96,58.9501,58.97,58.95,40
2023-08-14 14:22:00,3250,58.9648,58.98,58.97,59.0,58.94,73
2023-08-14 14:23:00,6524,58.996,58.975,58.99,59.01,58.975,113
2023-08-14 14:24:00,6019,58.9654,59.0,58.94,59.0,58.93,83
2023-08-14 14:25:00,4345,58.9751,58.95,58.98,58.99,58.95,97
2023-08-14 14:26:00,10149,58.9573,58.975,58.94,58.975,58.94,74
2023-08-14 14:27:00,2395,58.9792,58.965,58.99,58.99,58.965,29
2023-08-14 14:28:00,3917,58.9833,59.0025,58.985,59.01,58.9811,68
2023-08-14 14:29:00,3513,58.9485,58.97,58.9387,58.97,58.91,61
2023-08-14 14:30:00,8021,58.957,58.935,58.97,58.97,58.93,142
2023-08-14 14:31:00,3397,58.9598,58.97,58.94,58.97,58.94,67
2023-08-14 14:32:00,10184,58.9679,58.93,59.0,59.0,58.93,220
2023-08-14 14:33:00,5845,58.9881,59.0,59.005,59.005,58.97,97
2023-08-14 14:34:00,42698,59.0118,59.02,59.02,59.05,58.99,178
2023-08-14 14:35:00,19670,59.0356,59.02,59.045,59.05,59.01,211
2023-08-14 14:36:00,8703,59.0486,59.045,59.04,59.06,59.03,95
2023-08-14 14:37:00,6982,59.0706,59.04,59.09,59.095,59.04,99
2023-08-14 14:38:00,10662,59.0647,59.09,59.06,59.09,59.05,151
2023-08-14 14:39:00,6767,59.0862,59.06,59.1,59.12,59.06,111
2023-08-14 14:40:00,28258,59.0354,59.12,59.03,59.12,59.01,304
2023-08-14 14:41:00,20046,59.029,59.04,59.02,59.04,59.015,211
2023-08-14 14:42:00,8611,58.985,59.02,58.98,59.03,58.95,106
2023-08-14 14:43:00,44918,59.0193,58.99,59.1,59.11,58.99,198
2023-08-14 14:44:00,2684,59.1233,59.1,59.15,59.17,59.1,47
2023-08-14 14:45:00,6896,59.1516,59.2,59.12,59.2,59.11,83
2023-08-14 14:46:00,3075,59.083,59.11,59.06,59.11,59.05,60
2023-08-14 14:47:00,4889,59.0439,59.05,59.02,59.06,59.02,103
2023-08-14 14:48:00,3899,59.0336,59.02,59.05,59.05,59.01,73
2023-08-14 14:49:00,3629,59.0276,59.04,59.02,59.05,59.0,88
2023-08-14 14:50:00,5474,59.0359,59.03,59.05,59.06,59.01,96
