t,v,vw,o,c,h,l,n
2023-06-12 13:30:00,7559,27.9822,28.0,27.87,28.0,27.85,14
2023-06-12 13:31:00,386,27.9057,27.9095,27.9095,27.9095,27.9095,7
2023-06-12 13:32:00,1023,27.9062,27.89,27.93,27.93,27.89,15
2023-06-12 13:33:00,2190,27.876,27.9,27.85,27.9,27.85,46
2023-06-12 13:34:00,1355,27.8502,27.84,27.885,27.885,27.82,34
2023-06-12 13:35:00,689,27.8412,27.84,27.84,27.86,27.84,17
2023-06-12 13:36:00,2935,27.8194,27.81,27.81,27.84,27.8,40
2023-06-12 13:37:00,941,27.7752,27.8,27.72,27.81,27.72,22
2023-06-12 13:38:00,2274,27.7132,27.69,27.715,27.745,27.69,54
2023-06-12 13:39:00,2659,27.7451,27.73,27.78,27.78,27.72,43
2023-06-12 13:40:00,1486,27.7972,27.8,27.8,27.8,27.79,39
2023-06-12 13:42:00,651,27.9026,27.87,27.92,27.92,27.87,24
2023-06-12 13:43:00,1095,27.9577,27.95,27.95,27.98,27.95,22
2023-06-12 13:44:00,2922,27.9297,27.92,27.94,27.95,27.92,34
2023-06-12 13:45:00,1303,27.9184,27.945,27.91,27.945,27.91,35
2023-06-12 13:46:00,216,27.8701,27.87,27.87,27.87,27.87,6
2023-06-12 13:47:00,1499,27.876,27.87,27.9,27.9,27.86,35
2023-06-12 13:48:00,1851,27.8636,27.88,27.84,27.88,27.84,37
2023-06-12 13:49:00,832,27.8514,27.85,27.855,27.86,27.84,19
2023-06-12 13:50:00,3366,27.8686,27.84,27.885,27.885,27.84,66
2023-06-12 13:51:00,1586,27.9058,27.9,27.9,27.915,27.9,44
2023-06-12 13:52:00,2052,27.9526,27.95,27.97,27.97,27.95,31
2023-06-12 13:53:00,441,27.9515,27.95,27.95,27.95,27.95,29
2023-06-12 13:54:00,3272,27.9642,27.94,27.98,27.98,27.94,41
2023-06-12 13:55:00,2467,27.9651,27.98,27.94,27.98,27.94,62
2023-06-12 13:56:00,614,27.9202,27.92,27.91,27.92,27.91,15
2023-06-12 13:57:00,721,27.9105,27.91,27.91,27.91,27.91,22
2023-06-12 13:58:00,1138,27.9066,27.925,27.89,27.925,27.89,33
2023-06-12 13:59:00,1580,27.9109,27.905,27.9,27.92,27.9,29
2023-06-12 14:00:00,2513,27.9059,27.89,27.92,27.925,27.89,42
2023-06-12 14:01:00,1507,27.9008,27.91,27.9,27.91,27.9,30
2023-06-12 14:02:00,474,27.907,27.91,27.9,27.91,27.9,13
2023-06-12 14:03:00,2316,27.8781,27.89,27.88,27.9,27.86,44
2023-06-12 14:04:00,1468,27.8863,27.87,27.89,27.89,27.87,21
2023-06-12 14:05:00,1684,27.8865,27.89,27.88,27.89,27.88,37
2023-06-12 14:06:00,1593,27.8663,27.87,27.855,27.87,27.855,46
2023-06-12 14:07:00,1160,27.8801,27.89,27.87,27.89,27.87,55
2023-06-12 14:08:00,2052,27.8635,27.86,27.87,27.87,27.86,49
2023-06-12 14:09:00,981,27.8806,27.87,27.89,27.89,27.87,34
2023-06-12 14:10:00,2374,27.8918,27.89,27.88,27.9,27.88,39
2023-06-12 14:11:00,1514,27.8746,27.87,27.88,27.88,27.87,29
2023-06-12 14:12:00,612,27.8801,27.87,27.88,27.88,27.87,18
2023-06-12 14:13:00,3095,27.9133,27.89,27.92,27.93,27.89,49
2023-06-12 14:14:00,758,27.9287,27.93,27.93,27.93,27.93,20
2023-06-12 14:15:00,2518,27.9134,27.93,27.91,27.93,27.91,36
2023-06-12 14:16:00,404,27.9116,27.91,27.91,27.91,27.91,14
2023-06-12 14:17:00,2787,27.9,27.9,27.895,27.915,27.89,53
2023-06-12 14:18:00,1022,27.8827,27.89,27.88,27.89,27.88,21
2023-06-12 14:19:00,1109,27.8868,27.88,27.89,27.89,27.88,28
2023-06-12 14:20:00,2924,27.8753,27.88,27.87,27.88,27.86,56
2023-06-12 14:21:00,1844,27.8691,27.89,27.84,27.89,27.84,38
2023-06-12 14:22:00,490,27.8359,27.85,27.84,27.85,27.84,11
