t,v,vw,o,c,h,l,n
2024-04-25 12:21:00,100,22.75,22.75,22.75,22.75,22.75,1
2024-04-25 13:19:00,100,22.8,22.8,22.8,22.8,22.8,1
2024-04-25 13:30:00,6260,22.9258,22.91,22.975,23.01,22.91,38
2024-04-25 13:32:00,2381,23.0148,23.055,22.97,23.055,22.97,27
2024-04-25 13:33:00,19284,22.8561,22.98,22.83,22.98,22.82,98
2024-04-25 13:34:00,2535,23.0389,23.04,23.05,23.05,23.04,48
2024-04-25 13:35:00,523,23.0179,23.105,23.105,23.105,23.105,12
2024-04-25 13:36:00,748,23.0892,23.06,23.09,23.1,23.06,24
2024-04-25 13:37:00,3170,23.0484,23.11,23.04,23.11,23.03,47
2024-04-25 13:38:00,882,22.9268,22.95,22.93,22.95,22.93,38
2024-04-25 13:39:00,798,22.8544,22.87,22.81,22.87,22.81,26
2024-04-25 13:40:00,1192,22.7925,22.8,22.78,22.825,22.78,32
2024-04-25 13:41:00,1191,22.814,22.78,22.8384,22.845,22.78,21
2024-04-25 13:42:00,567,22.8109,22.8,22.8,22.8,22.79,19
2024-04-25 13:43:00,1632,22.811,22.81,22.78,22.85,22.76,35
2024-04-25 13:44:00,21772,22.9561,22.825,22.97,22.99,22.825,149
2024-04-25 13:45:00,2312,22.9338,22.98,22.84,22.98,22.84,28
2024-04-25 13:46:00,1919,22.8363,22.88,22.75,22.88,22.75,29
2024-04-25 13:47:00,845,22.8613,22.85,22.8784,22.8784,22.85,24
2024-04-25 13:48:00,6478,22.8447,22.8401,22.875,22.875,22.8401,44
2024-04-25 13:49:00,8409,22.8982,22.9,22.865,22.95,22.835,115
2024-04-25 13:50:00,374,22.8976,22.895,22.895,22.895,22.895,17
2024-04-25 13:51:00,3823,22.9022,22.895,22.89,22.94,22.8778,79
2024-04-25 13:52:00,1312,22.8868,22.89,22.87,22.91,22.86,26
2024-04-25 13:53:00,673,22.8963,22.895,22.91,22.91,22.885,25
2024-04-25 13:54:00,1448,22.9136,22.905,22.92,22.92,22.9,47
2024-04-25 13:55:00,2411,22.8896,22.92,22.815,22.92,22.81,39
2024-04-25 13:56:00,2903,22.7732,22.7909,22.73,22.815,22.73,32
2024-04-25 13:57:00,3118,22.7228,22.72,22.76,22.76,22.71,42
2024-04-25 13:58:00,8037,22.7858,22.77,22.84,22.84,22.761,86
2024-04-25 13:59:00,3379,22.8457,22.86,22.83,22.86,22.83,54
2024-04-25 14:00:00,1210,22.7584,22.78,22.745,22.78,22.73,19
2024-04-25 14:01:00,444,22.747,22.755,22.745,22.755,22.745,9
2024-04-25 14:02:00,3131,22.7829,22.76,22.77,22.81,22.75,31
2024-04-25 14:03:00,1855,22.7606,22.77,22.75,22.77,22.72,29
2024-04-25 14:04:00,1060,22.7532,22.74,22.76,22.76,22.74,14
2024-04-25 14:05:00,6330,22.7994,22.77,22.83,22.83,22.755,115
2024-04-25 14:06:00,3734,22.8471,22.84,22.87,22.87,22.83,67
2024-04-25 14:07:00,2836,22.8591,22.87,22.87,22.87,22.825,47
2024-04-25 14:08:00,3072,22.8578,22.8639,22.85,22.87,22.83,42
2024-04-25 14:09:00,2331,22.8696,22.87,22.85,22.885,22.85,35
2024-04-25 14:10:00,825,22.8042,22.795,22.81,22.81,22.795,19
2024-04-25 14:11:00,340,22.832,22.84,22.825,22.84,22.825,10
2024-04-25 14:12:00,1043,22.8355,22.8224,22.83,22.84,22.8224,27
2024-04-25 14:13:00,3818,22.8365,22.83,22.88,22.88,22.81,76
2024-04-25 14:14:00,2823,22.9133,22.88,22.94,22.94,22.88,47
2024-04-25 14:15:00,3307,22.9518,22.95,22.99,22.99,22.93,77
2024-04-25 14:16:00,2625,22.9587,22.95,22.98,22.98,22.95,44
2024-04-25 14:17:00,1708,22.9741,22.98,22.995,22.995,22.96,31
2024-04-25 14:18:00,608,23.0134,23.01,23.02,23.02,23.01,16
2024-04-25 14:19:00,2006,23.0261,23.02,23.02,23.035,23.02,28
2024-04-25 14:20:00,3719,23.0725,23.05,23.1,23.1,23.04,55
2024-04-25 14:21:00,2487,23.0941,23.11,23.06,23.11,23.06,47
2024-04-25 14:22:00,1555,23.0895,23.05,23.127,23.127,23.05,29
2024-04-25 14:23:00,3725,23.0966,23.11,23.08,23.11,23.08,49
2024-04-25 14:24:00,1102,23.0951,23.1,23.09,23.11,23.09,17
2024-04-25 14:25:00,1293,23.054,23.07,23.052,23.07,23.05,17
2024-04-25 14:26:00,2138,23.0793,23.07,23.07,23.1,23.07,38
2024-04-25 14:27:00,656,23.0306,23.04,23.03,23.04,23.02,14
2024-04-25 14:28:00,727,23.0905,23.07,23.11,23.11,23.07,22
2024-04-25 14:29:00,605,23.1376,23.13,23.13,23.13,23.13,14
2024-04-25 14:30:00,2326,23.1377,23.14,23.15,23.15,23.12,33
2024-04-25 14:31:00,1487,23.1426,23.15,23.14,23.15,23.14,24
2024-04-25 14:32:00,629,23.109,23.11,23.11,23.11,23.11,19
2024-04-25 14:33:00,3024,23.0532,23.07,23.06,23.075,23.03,55
2024-04-25 14:34:00,986,23.0579,23.05,23.05,23.07,23.05,27
2024-04-25 14:35:00,895,23.0866,23.08,23.06,23.08,23.06,26
2024-04-25 14:36:00,2658,23.0973,23.11,23.11,23.11,23.085,46
2024-04-25 14:37:00,8885,23.043,23.12,23.03,23.12,23.0,92
2024-04-25 14:38:00,1721,23.0725,23.1,23.05,23.1,23.05,42
2024-04-25 14:39:00,770,23.0414,23.05,23.03,23.06,23.03,16
2024-04-25 14:40:00,1663,23.029,23.05,22.99,23.05,22.99,26
2024-04-25 14:41:00,384,22.9596,22.95,22.95,22.95,22.95,14
2024-04-25 14:42:00,1819,22.9891,22.98,23.0,23.01,22.98,43
2024-04-25 14:43:00,1102,23.019,23.02,23.03,23.035,23.0,31
2024-04-25 14:44:00,1408,23.0229,23.03,23.02,23.03,23.01,24
2024-04-25 14:45:00,3031,23.019,23.03,22.99,23.05,22.99,39
2024-04-25 14:46:00,789,22.9996,22.99,23.01,23.01,22.99,16
2024-04-25 14:47:00,2396,22.991,23.0,22.97,23.0,22.97,39
2024-04-25 14:48:00,657,22.9685,22.95,22.95,22.95,22.95,17
2024-04-25 14:49:00,1306,22.9254,22.93,22.92,22.93,22.92,25
2024-04-25 14:50:00,1110,22.9086,22.925,22.88,22.925,22.88,22
2024-04-25 14:51:00,1454,22.901,22.9,22.9,22.91,22.9,26
2024-04-25 14:52:00,1381,22.8853,22.9,22.87,22.9,22.87,30
2024-04-25 14:53:00,2066,22.8771,22.89,22.86,22.89,22.84,52
2024-04-25 14:54:00,3507,22.8616,22.86,22.87,22.87,22.855,44
2024-04-25 14:55:00,2724,22.8746,22.88,22.87,22.88,22.87,40
2024-04-25 14:56:00,2080,22.8403,22.85,22.8349,22.85,22.83,32
2024-04-25 14:57:00,1655,22.8348,22.825,22.825,22.84,22.825,24
2024-04-25 14:58:00,353,22.8119,22.81,22.81,22.81,22.81,10
2024-04-25 14:59:00,1570,22.8088,22.82,22.8,22.82,22.8,33
2024-04-25 15:00:00,2359,22.8028,22.8,22.83,22.83,22.78,50
2024-04-25 15:01:00,800,22.8485,22.845,22.84,22.85,22.84,23
2024-04-25 15:02:00,1052,22.8262,22.83,22.81,22.83,22.81,20
2024-04-25 15:03:00,396,22.8209,22.81,22.83,22.83,22.81,12
2024-04-25 15:04:00,1535,22.8123,22.82,22.81,22.825,22.81,39
2024-04-25 15:05:00,539,22.7746,22.78,22.75,22.78,22.75,17
2024-04-25 15:06:00,4054,22.753,22.76,22.75,22.77,22.73,52
2024-04-25 15:07:00,5398,22.7803,22.78,22.75,22.8,22.75,61
2024-04-25 15:08:00,2735,22.7608,22.75,22.78,22.78,22.73,51
2024-04-25 15:09:00,723,22.8073,22.81,22.7915,22.82,22.7915,21
2024-04-25 15:10:00,1369,22.7973,22.8,22.805,22.805,22.79,29
