t,v,vw,o,c,h,l,n
2023-05-09 12:00:00,6102,2.9007,2.9,2.94,2.94,2.9,11
2023-05-09 12:04:00,800,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 12:06:00,400,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 12:32:00,1000,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 12:38:00,500,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 12:55:00,300,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 12:59:00,310,2.8897,2.89,2.89,2.89,2.89,2
2023-05-09 13:00:00,1596,2.8431,2.84,2.84,2.84,2.84,6
2023-05-09 13:09:00,100,2.9,2.9,2.9,2.9,2.9,1
2023-05-09 13:27:00,100,2.89,2.89,2.89,2.89,2.89,1
2023-05-09 13:30:00,35013,2.8679,2.87,2.86,2.87,2.83,15
2023-05-09 13:31:00,6425,2.8534,2.845,2.86,2.87,2.845,50
2023-05-09 13:32:00,8085,2.858,2.855,2.85,2.865,2.85,47
2023-05-09 13:33:00,6149,2.8739,2.86,2.88,2.88,2.86,27
2023-05-09 13:34:00,2501,2.8857,2.89,2.8801,2.89,2.8801,11
2023-05-09 13:35:00,31639,2.8823,2.88,2.89,2.89,2.88,137
2023-05-09 13:36:00,865,2.8945,2.895,2.8925,2.9,2.89,6
2023-05-09 13:37:00,22249,2.8902,2.8901,2.885,2.895,2.88,115
2023-05-09 13:38:00,30545,2.8936,2.885,2.885,2.9,2.885,59
2023-05-09 13:39:00,5650,2.8808,2.8801,2.885,2.89,2.8801,6
2023-05-09 13:40:00,698,2.8879,2.89,2.885,2.89,2.885,7
2023-05-09 13:41:00,2166,2.885,2.885,2.885,2.885,2.885,2
2023-05-09 13:42:00,5140,2.8811,2.885,2.8799,2.885,2.8799,30
2023-05-09 13:43:00,501,2.8755,2.875,2.8725,2.88,2.8725,5
2023-05-09 13:44:00,8326,2.8677,2.8785,2.86,2.8785,2.86,34
2023-05-09 13:45:00,9662,2.8479,2.8585,2.8585,2.8585,2.84,54
2023-05-09 13:46:00,5315,2.8498,2.85,2.85,2.85,2.8485,34
2023-05-09 13:47:00,674,2.8574,2.8585,2.855,2.8585,2.855,4
2023-05-09 13:48:00,3051,2.8552,2.855,2.8591,2.8591,2.85,16
2023-05-09 13:49:00,4648,2.8543,2.8592,2.85,2.86,2.85,29
2023-05-09 13:50:00,5588,2.85,2.845,2.858,2.858,2.84,34
2023-05-09 13:51:00,2288,2.8566,2.8587,2.855,2.8594,2.85,14
2023-05-09 13:52:00,3201,2.8542,2.8587,2.8425,2.8591,2.8425,18
2023-05-09 13:53:00,1500,2.8495,2.85,2.8497,2.85,2.8487,7
2023-05-09 13:54:00,1010,2.845,2.845,2.845,2.845,2.845,5
2023-05-09 13:55:00,1942,2.852,2.85,2.8545,2.855,2.85,16
2023-05-09 13:56:00,774,2.8536,2.855,2.852,2.855,2.852,6
2023-05-09 13:57:00,1586,2.8581,2.8598,2.8552,2.8598,2.8552,11
2023-05-09 13:58:00,3963,2.8601,2.86,2.865,2.865,2.86,27
2023-05-09 14:00:00,294,2.867,2.87,2.865,2.87,2.865,10
2023-05-09 14:01:00,13447,2.8598,2.86,2.87,2.87,2.859,34
2023-05-09 14:03:00,4623,2.8593,2.86,2.8593,2.86,2.8579,19
2023-05-09 14:04:00,553,2.8531,2.855,2.8511,2.855,2.8511,7
2023-05-09 14:06:00,5472,2.8501,2.8511,2.85,2.8511,2.85,24
2023-05-09 14:07:00,100,2.845,2.845,2.845,2.845,2.845,1
2023-05-09 14:08:00,1103,2.8483,2.845,2.8496,2.8496,2.845,8
2023-05-09 14:09:00,256,2.843,2.845,2.845,2.845,2.845,5
2023-05-09 14:10:00,2959,2.8406,2.8415,2.84,2.8415,2.84,20
2023-05-09 14:11:00,881,2.838,2.8391,2.8325,2.84,2.8325,11
2023-05-09 14:12:00,1372,2.8303,2.83,2.83,2.83,2.83,11
2023-05-09 14:13:00,5498,2.8308,2.8356,2.8304,2.8356,2.8304,6
2023-05-09 14:14:00,2814,2.8395,2.8385,2.84,2.84,2.8385,30
2023-05-09 14:15:00,2673,2.8427,2.845,2.8473,2.85,2.8409,12
2023-05-09 14:16:00,467,2.8482,2.845,2.85,2.85,2.845,5
2023-05-09 14:17:00,325,2.8493,2.8498,2.8498,2.8498,2.8498,9
2023-05-09 14:18:00,4339,2.8506,2.85,2.855,2.855,2.85,25
2023-05-09 14:19:00,803,2.8554,2.855,2.86,2.86,2.855,10
2023-05-09 14:20:00,510,2.8549,2.855,2.855,2.855,2.855,6
2023-05-09 14:21:00,2851,2.8598,2.86,2.86,2.86,2.86,18
2023-05-09 14:23:00,241,2.8671,2.87,2.865,2.87,2.865,3
2023-05-09 14:24:00,1425,2.8731,2.87,2.875,2.8792,2.87,10
2023-05-09 14:25:00,2615,2.8718,2.87,2.875,2.875,2.87,5
2023-05-09 14:26:00,1506,2.8747,2.875,2.87,2.875,2.87,15
2023-05-09 14:27:00,6897,2.8694,2.8706,2.865,2.8706,2.865,25
2023-05-09 14:28:00,16108,2.86,2.86,2.855,2.86,2.855,58
2023-05-09 14:29:00,410,2.8549,2.855,2.855,2.855,2.855,5
2023-05-09 14:30:00,126,2.855,2.855,2.855,2.855,2.855,2
2023-05-09 14:31:00,1121,2.8595,2.8599,2.855,2.8599,2.855,4
2023-05-09 14:32:00,2426,2.8593,2.855,2.8599,2.86,2.855,10
2023-05-09 14:34:00,408,2.8547,2.855,2.85,2.855,2.85,4
