t,v,vw,o,c,h,l,n
2023-09-14 12:00:00,160,18.8909,18.8907,18.8907,18.8907,18.8907,2
2023-09-14 12:31:00,1602,18.59,18.59,18.59,18.59,18.59,5
2023-09-14 12:32:00,214,18.6795,18.68,18.68,18.68,18.68,6
2023-09-14 12:33:00,439,18.633,18.63,18.63,18.63,18.63,8
2023-09-14 12:34:00,2002,18.59,18.59,18.59,18.59,18.59,10
2023-09-14 12:38:00,872,18.6001,18.6,18.6,18.6,18.6,7
2023-09-14 13:30:00,41088,18.7571,18.75,18.77,18.81,18.7,139
2023-09-14 13:31:00,2238,18.7776,18.78,18.78,18.8,18.77,19
2023-09-14 13:32:00,2086,18.801,18.79,18.81,18.81,18.79,21
2023-09-14 13:33:00,6203,18.7978,18.805,18.77,18.82,18.77,73
2023-09-14 13:34:00,3205,18.769,18.765,18.76,18.78,18.76,44
2023-09-14 13:35:00,4089,18.7948,18.78,18.81,18.81,18.78,44
2023-09-14 13:36:00,2946,18.8149,18.82,18.83,18.83,18.8,43
2023-09-14 13:37:00,9782,18.8148,18.82,18.81,18.825,18.805,117
2023-09-14 13:38:00,4206,18.8354,18.825,18.84,18.84,18.82,55
2023-09-14 13:39:00,5803,18.8329,18.84,18.8306,18.84,18.824,62
2023-09-14 13:40:00,5885,18.8315,18.835,18.83,18.84,18.83,74
2023-09-14 13:41:00,2803,18.8372,18.84,18.85,18.85,18.83,41
2023-09-14 13:42:00,3081,18.8257,18.84,18.82,18.84,18.82,44
2023-09-14 13:43:00,6161,18.8187,18.82,18.82,18.825,18.805,68
2023-09-14 13:44:00,1787,18.8107,18.81,18.815,18.815,18.81,34
2023-09-14 13:45:00,928,18.8098,18.81,18.815,18.815,18.81,17
2023-09-14 13:46:00,6351,18.8073,18.82,18.82,18.82,18.8,84
2023-09-14 13:47:00,2002,18.8282,18.82,18.83,18.835,18.82,38
2023-09-14 13:48:00,1913,18.8289,18.83,18.825,18.835,18.825,38
2023-09-14 13:49:00,2358,18.82,18.82,18.82,18.82,18.82,41
