t,v,vw,o,c,h,l,n
2024-02-13 13:29:00,100,75.0,75.0,75.0,75.0,75.0,1
2024-02-13 13:32:00,100,73.661,73.661,73.661,73.661,73.661,1
2024-02-13 14:22:00,250,74.0,74.0,74.0,74.0,74.0,1
2024-02-13 14:29:00,2001,73.219,73.5,73.18,73.5,73.18,7
2024-02-13 14:30:00,4110,73.8397,73.52,73.89,73.905,73.43,80
2024-02-13 14:32:00,93591,73.3613,73.82,73.045,74.26,72.42,544
2024-02-13 14:33:00,10106,72.636,73.045,72.575,73.045,72.23,117
2024-02-13 14:34:00,23900,73.0321,72.8358,73.63,73.63,72.675,168
2024-02-13 14:35:00,3033,73.2335,73.47,73.3,73.47,73.09,46
2024-02-13 14:36:00,3290,73.2991,73.25,73.5999,73.5999,73.16,66
2024-02-13 14:37:00,2923,73.1523,73.285,73.1341,73.285,73.05,49
2024-02-13 14:38:00,9402,73.3499,73.17,73.62,73.68,73.09,156
2024-02-13 14:39:00,4923,73.4679,73.61,73.323,73.61,73.315,93
2024-02-13 14:40:00,1305,73.1703,73.255,73.225,73.255,73.065,28
2024-02-13 14:41:00,9734,73.0179,73.225,72.86,73.225,72.82,120
2024-02-13 14:42:00,12675,72.8966,72.855,72.845,72.97,72.79,150
2024-02-13 14:43:00,4281,73.0082,72.94,73.18,73.18,72.94,67
2024-02-13 14:44:00,8366,73.1583,73.215,73.02,73.26,73.02,106
2024-02-13 14:45:00,4781,72.9086,73.015,72.895,73.015,72.83,75
2024-02-13 14:46:00,8560,72.7729,72.845,72.475,72.96,72.46,140
2024-02-13 14:47:00,8365,72.4201,72.495,72.38,72.5,72.32,139
2024-02-13 14:48:00,11950,72.4319,72.38,72.495,72.57,72.34,151
2024-02-13 14:49:00,5998,72.5529,72.47,72.54,72.6357,72.465,75
2024-02-13 14:50:00,2650,72.5386,72.6,72.515,72.6,72.515,31
2024-02-13 14:51:00,5642,72.5292,72.5,72.525,72.58,72.48,95
2024-02-13 14:52:00,29247,72.4903,72.52,72.7,72.7,72.43,298
2024-02-13 14:53:00,8755,72.608,72.73,72.5667,72.76,72.53,146
2024-02-13 14:54:00,14185,72.638,72.53,72.74,72.81,72.5,228
2024-02-13 14:55:00,3398,72.716,72.74,72.81,72.81,72.74,40
2024-02-13 14:56:00,11738,72.7629,72.745,72.765,72.86,72.67,191
2024-02-13 14:57:00,4453,72.7408,72.765,72.655,72.82,72.6,84
2024-02-13 14:58:00,4951,72.6233,72.63,72.605,72.63,72.565,67
2024-02-13 14:59:00,2694,72.552,72.575,72.595,72.595,72.5,31
2024-02-13 15:00:00,27677,72.5276,72.67,72.62,72.68,72.49,439
2024-02-13 15:01:00,8140,72.6792,72.66,72.86,72.86,72.62,132
2024-02-13 15:02:00,2178,72.8096,72.8625,72.795,72.95,72.75,45
2024-02-13 15:03:00,4602,72.9078,72.85,72.93,73.01,72.82,84
2024-02-13 15:04:00,11617,72.8058,72.99,72.685,72.99,72.66,167
2024-02-13 15:05:00,5189,72.6224,72.65,72.593,72.65,72.55,76
2024-02-13 15:06:00,7951,72.5256,72.55,72.5,72.57,72.5,177
2024-02-13 15:07:00,7337,72.518,72.53,72.375,72.62,72.35,143
2024-02-13 15:08:00,5360,72.3289,72.35,72.325,72.37,72.28,52
2024-02-13 15:09:00,2926,72.2353,72.28,72.195,72.325,72.17,69
2024-02-13 15:10:00,12623,72.3286,72.195,72.2,72.24,72.14,128
2024-02-13 15:11:00,6155,72.3051,72.18,72.4,72.46,72.14,114
2024-02-13 15:12:00,3444,72.4355,72.4,72.515,72.515,72.37,57
2024-02-13 15:13:00,3294,72.4387,72.43,72.33,72.4913,72.33,58
2024-02-13 15:14:00,2049,72.1848,72.3,72.13,72.3,72.07,51
2024-02-13 15:15:00,3341,72.0356,72.09,72.003,72.11,72.0,93
2024-02-13 15:16:00,9492,72.1068,72.03,71.89,72.15,71.87,127
2024-02-13 15:17:00,3113,71.9864,71.95,71.99,72.01,71.945,74
2024-02-13 15:18:00,6177,72.102,72.01,72.185,72.2,72.0,102
2024-02-13 15:19:00,5142,72.1308,72.15,72.17,72.19,72.08,96
2024-02-13 15:20:00,22707,72.2037,72.22,72.31,72.36,72.18,109
2024-02-13 15:21:00,31427,72.2209,72.27,72.33,72.33,72.18,89
2024-02-13 15:22:00,6499,72.3552,72.325,72.28,72.45,72.27,125
