t,v,vw,o,c,h,l,n
2024-01-12 14:30:00,10095,41.231,41.28,41.12,41.54,40.81,75
2024-01-12 14:31:00,1119,41.1111,41.17,41.07,41.17,41.07,35
2024-01-12 14:32:00,1992,41.0802,41.035,41.11,41.13,40.95,23
2024-01-12 14:33:00,3953,41.1166,41.13,41.09,41.15,41.01,49
2024-01-12 14:34:00,1015,41.0658,41.13,41.03,41.13,41.03,31
2024-01-12 14:35:00,2818,41.0723,41.05,41.02,41.12,41.01,37
2024-01-12 14:36:00,3584,41.2403,41.13,41.35,41.35,41.13,65
2024-01-12 14:37:00,357,41.3277,41.29,41.29,41.29,41.29,12
2024-01-12 14:38:00,915,41.2242,41.345,41.13,41.345,41.13,30
2024-01-12 14:39:00,204,41.1034,41.14,41.14,41.14,41.14,6
2024-01-12 14:40:00,477,41.1721,41.15,41.14,41.15,41.14,14
2024-01-12 14:41:00,143,41.1249,41.12,41.12,41.12,41.12,8
2024-01-12 14:42:00,630,41.0824,41.095,41.11,41.11,41.05,13
2024-01-12 14:44:00,711,41.0546,41.05,41.07,41.07,41.04,16
2024-01-12 14:45:00,1312,41.1058,41.06,41.11,41.13,41.06,30
2024-01-12 14:46:00,3340,41.1884,41.11,41.16,41.27,41.11,61
2024-01-12 14:47:00,3564,41.1706,41.12,41.23,41.23,41.12,66
2024-01-12 14:48:00,1505,41.2416,41.245,41.24,41.245,41.24,19
2024-01-12 14:49:00,1495,41.187,41.17,41.185,41.23,41.17,35
2024-01-12 14:50:00,773,41.1342,41.14,41.135,41.14,41.13,17
2024-01-12 14:51:00,1649,41.2149,41.135,41.29,41.29,41.13,38
2024-01-12 14:52:00,1392,41.3081,41.29,41.325,41.325,41.29,26
2024-01-12 14:53:00,1514,41.23,41.26,41.135,41.26,41.135,47
2024-01-12 14:54:00,2229,41.1714,41.145,41.2,41.205,41.145,28
2024-01-12 14:55:00,1710,41.1478,41.17,41.155,41.17,41.12,29
2024-01-12 14:56:00,4493,41.1594,41.16,41.16,41.19,41.13,43
2024-01-12 14:57:00,2491,41.1287,41.17,41.065,41.17,41.065,55
2024-01-12 14:58:00,2752,41.0564,41.015,41.1,41.1,41.015,40
2024-01-12 14:59:00,3407,41.0023,41.05,40.995,41.05,40.99,53
2024-01-12 15:00:00,4202,41.0279,41.025,41.0,41.06,40.99,60
2024-01-12 15:01:00,2206,40.9383,40.97,40.91,40.97,40.91,31
2024-01-12 15:02:00,2865,40.8535,40.91,40.835,40.91,40.81,49
2024-01-12 15:03:00,3313,40.8568,40.835,40.86,40.88,40.83,66
2024-01-12 15:04:00,689,40.8888,40.87,40.89,40.91,40.87,14
2024-01-12 15:05:00,502,40.8852,40.885,40.885,40.885,40.885,17
2024-01-12 15:06:00,1269,40.9124,40.885,40.92,40.93,40.885,34
2024-01-12 15:07:00,5016,40.9715,40.92,41.01,41.04,40.92,65
2024-01-12 15:08:00,4037,40.9826,41.01,40.965,41.01,40.95,62
2024-01-12 15:09:00,3180,40.9811,40.965,40.98,41.005,40.965,54
2024-01-12 15:10:00,2701,40.9452,40.9535,40.97,40.97,40.93,51
2024-01-12 15:12:00,1507,40.8485,40.92,40.77,40.92,40.77,56
2024-01-12 15:13:00,843,40.8411,40.85,40.85,40.85,40.85,30
2024-01-12 15:15:00,330,40.8135,40.83,40.805,40.83,40.805,9
2024-01-12 15:16:00,1460,40.8129,40.805,40.79,40.83,40.79,33
2024-01-12 15:17:00,1725,40.7531,40.76,40.72,40.76,40.7,39
2024-01-12 15:18:00,1208,40.672,40.69,40.635,40.71,40.635,18
2024-01-12 15:19:00,1309,40.6291,40.635,40.63,40.64,40.61,28
2024-01-12 15:20:00,12306,40.6267,40.63,40.635,40.65,40.61,147
2024-01-12 15:21:00,15075,40.6853,40.635,40.63,40.7108,40.6,130
2024-01-12 15:22:00,3036,40.6195,40.61,40.59,40.64,40.59,53
2024-01-12 15:23:00,6311,40.6403,40.6,40.705,40.705,40.59,104
2024-01-12 15:24:00,556,40.7046,40.7001,40.735,40.735,40.7001,4
2024-01-12 15:25:00,3092,40.7114,40.74,40.65,40.77,40.65,68
2024-01-12 15:26:00,4529,40.6492,40.65,40.66,40.66,40.62,75
2024-01-12 15:27:00,1189,40.6726,40.65,40.69,40.69,40.65,24
2024-01-12 15:28:00,3905,40.6309,40.685,40.655,40.685,40.59,76
2024-01-12 15:29:00,477,40.6344,40.64,40.63,40.64,40.63,10
2024-01-12 15:30:00,12939,40.5909,40.645,40.58,40.645,40.55,182
2024-01-12 15:31:00,4207,40.626,40.59,40.665,40.665,40.57,62
2024-01-12 15:32:00,2314,40.6715,40.665,40.68,40.69,40.66,38
2024-01-12 15:33:00,2049,40.6546,40.68,40.63,40.68,40.63,33
2024-01-12 15:34:00,3150,40.6323,40.62,40.65,40.65,40.61,54
