t,v,vw,o,c,h,l,n
2023-06-20 13:30:00,687,3.6698,3.67,3.67,3.67,3.67,2
2023-06-20 13:47:00,1305,3.5196,3.52,3.53,3.53,3.51,12
2023-06-20 13:48:00,9797,3.4183,3.53,3.36,3.53,3.36,39
2023-06-20 14:10:00,1901,3.3013,3.311,3.29,3.33,3.232,10
2023-06-20 14:19:00,2000,3.2728,3.2728,3.2728,3.2728,3.2728,3
2023-06-20 14:21:00,356,3.2808,3.28,3.28,3.29,3.28,6
2023-06-20 15:41:00,750,3.4006,3.4,3.4,3.4,3.4,2
2023-06-20 16:58:00,100,3.63,3.63,3.63,3.63,3.63,1
2023-06-20 17:06:00,200,3.49,3.49,3.49,3.49,3.49,2
2023-06-20 17:10:00,2000,3.504,3.5,3.5053,3.5053,3.5,3
2023-06-20 17:19:00,3038,3.4964,3.5,3.5,3.5,3.5,7
2023-06-20 17:42:00,800,3.4728,3.4728,3.4728,3.4728,3.4728,1
2023-06-20 18:11:00,1910,3.5002,3.5001,3.5,3.5001,3.5,3
2023-06-20 18:23:00,400,3.5013,3.5008,3.5008,3.5008,3.5008,2
2023-06-20 19:00:00,1000,3.5619,3.545,3.56,3.57,3.545,7
2023-06-20 19:11:00,185,3.5196,3.5195,3.5195,3.5195,3.5195,3
2023-06-20 19:21:00,120,3.5213,3.5213,3.5213,3.5213,3.5213,1
2023-06-20 19:36:00,602,3.5101,3.51,3.51,3.51,3.51,2
2023-06-20 19:44:00,1000,3.41,3.41,3.41,3.41,3.41,1
2023-06-20 19:47:00,300,3.3736,3.33,3.4,3.4,3.33,5
2023-06-20 19:49:00,700,3.3868,3.3873,3.39,3.39,3.38,7
2023-06-20 19:53:00,300,3.4401,3.4402,3.4402,3.4402,3.4402,4
2023-06-21 13:01:00,800,3.1975,3.19,3.2,3.2,3.19,3
2023-06-21 13:02:00,300,3.1,3.1,3.1,3.1,3.1,1
2023-06-21 13:03:00,1801,3.1001,3.1,3.1,3.1,3.1,2
2023-06-21 13:30:00,1266,3.3272,3.3,3.39,3.39,3.3,7
2023-06-21 13:31:00,338,3.303,3.31,3.3,3.31,3.3,4
2023-06-21 13:45:00,400,3.3825,3.38,3.38,3.38,3.38,4
2023-06-21 14:05:00,500,3.3441,3.3441,3.3441,3.3441,3.3441,2
2023-06-21 14:06:00,1300,3.3656,3.3446,3.4,3.4,3.3446,8
2023-06-21 14:08:00,1010,3.4302,3.43,3.43,3.43,3.43,7
2023-06-21 14:10:00,550,3.35,3.35,3.35,3.35,3.35,4
2023-06-21 14:13:00,800,3.4,3.4,3.4,3.4,3.4,2
