t,v,vw,o,c,h,l,n
2023-08-21 13:48:00,6.6667,3.0555,3.0555,3.0555,3.0555,3.0555,1
2023-08-21 13:52:00,6.6667,3.0285,3.0292,3.0292,3.0292,3.0292,1
2023-08-21 13:53:00,6.6667,3.0555,3.0555,3.0555,3.0555,3.0555,1
2023-08-21 13:55:00,15.6,3.03,3.0292,3.0292,3.0292,3.0292,1
2023-08-21 14:05:00,6.6667,3.0555,3.0555,3.0555,3.0555,3.0555,1
2023-08-21 14:08:00,600.0,3.054,3.054,3.054,3.054,3.054,1
2023-08-21 14:09:00,2181.1333,3.0615,3.054,3.1485,3.1485,3.0473,26
2023-08-21 14:12:00,133.3333,3.1125,3.1125,3.1125,3.1125,3.1125,1
2023-08-21 14:31:00,6.6667,3.15,3.15,3.15,3.15,3.15,1
2023-08-21 14:34:00,22.0,3.144,3.15,3.15,3.15,3.15,4
2023-08-21 14:36:00,66.6667,3.15,3.15,3.15,3.15,3.15,1
2023-08-21 14:42:00,166.6667,3.0765,3.0765,3.0765,3.0765,3.0765,1
2023-08-21 14:49:00,66.6667,3.15,3.15,3.15,3.15,3.15,1
2023-08-21 15:38:00,666.6667,3.078,3.078,3.078,3.078,3.078,1
2023-08-21 15:43:00,70.0,3.078,3.078,3.078,3.078,3.078,1
2023-08-21 15:56:00,73.3333,3.0795,3.078,3.0795,3.0795,3.078,2
2023-08-21 15:57:00,66.6667,3.0825,3.0825,3.0825,3.0825,3.0825,1
2023-08-21 15:59:00,632.9333,3.0765,3.078,3.075,3.078,3.075,8
2023-08-21 16:09:00,96.8667,3.0015,3.003,2.9925,3.003,2.9925,6
2023-08-21 16:12:00,33.3333,3.06,3.06,3.06,3.06,3.06,2
2023-08-21 16:14:00,195.6667,3.0015,3.0015,3.0,3.0015,3.0,8
2023-08-21 16:18:00,2811.5333,2.8575,2.94,2.9325,2.997,2.79,27
2023-08-21 16:19:00,59.6667,2.9325,2.865,2.985,2.985,2.865,3
2023-08-21 16:21:00,117.1333,2.8665,2.8665,2.8665,2.8665,2.8665,1
2023-08-21 16:22:00,6.6667,3.0,3.0,3.0,3.0,3.0,1
2023-08-21 16:25:00,133.3333,3.0105,3.0105,3.0105,3.0105,3.0105,1
2023-08-21 17:03:00,826.7333,2.9265,2.9265,2.9265,2.9265,2.9265,4
