t,v,vw,o,c,h,l,n
2023-11-09 13:22:00,300.0,23.45,23.44,23.44,23.44,23.44,4
2023-11-09 13:27:00,3000.0,23.47,23.47,23.47,23.47,23.47,1
2023-11-09 14:28:00,100.0,23.29,23.29,23.29,23.29,23.29,1
2023-11-09 14:29:00,549.0,23.2617,23.28,23.25,23.28,23.25,13
2023-11-09 14:30:00,18770.0,23.3885,23.39,23.2882,23.39,23.2882,23
2023-11-09 14:31:00,1181.0,23.2612,23.29,23.25,23.29,23.25,28
2023-11-09 14:32:00,1497.0,23.1993,23.28,23.172,23.28,23.17,29
2023-11-09 14:33:00,1582.0,23.1562,23.16,23.13,23.19,23.13,30
2023-11-09 14:34:00,3251.0,23.1403,23.16,23.12,23.16,23.12,40
2023-11-09 14:35:00,4152.0,23.0986,23.12,23.105,23.12,23.08,79
2023-11-09 14:36:00,4984.0,23.1316,23.12,23.14,23.14,23.11,44
2023-11-09 14:37:00,1831.0,23.1119,23.12,23.101,23.12,23.1,37
2023-11-09 14:38:00,2607.0,23.1126,23.11,23.1085,23.13,23.1,48
2023-11-09 14:39:00,2175.0,23.0964,23.11,23.081,23.12,23.081,38
2023-11-09 14:40:00,3969.0,23.0994,23.08,23.06,23.12,23.06,57
2023-11-09 14:41:00,768.0,23.0535,23.06,23.07,23.07,23.041,23
2023-11-09 14:42:00,2711.0,23.1033,23.0892,23.13,23.13,23.0892,34
2023-11-09 14:43:00,2280.0,23.1557,23.145,23.15,23.17,23.145,30
2023-11-09 14:44:00,1925.0,23.1289,23.145,23.115,23.145,23.111,23
2023-11-09 14:45:00,5200.0,23.1219,23.13,23.09,23.14,23.09,73
2023-11-09 14:46:00,2415.0,23.1148,23.11,23.12,23.125,23.11,34
2023-11-09 14:47:00,1064.0,23.0642,23.1,23.0397,23.1,23.0397,27
2023-11-09 14:48:00,1041.0,23.033,23.045,23.03,23.045,23.015,25
2023-11-09 14:49:00,3514.0,23.0463,23.045,23.025,23.06,23.025,44
2023-11-09 14:50:00,918.0,23.0268,23.025,23.02,23.03,23.02,18
2023-11-09 14:51:00,1360.0,23.043,23.03,23.05,23.05,23.03,27
2023-11-09 14:52:00,1104.0,23.0549,23.06,23.06,23.06,23.05,37
2023-11-09 14:53:00,846.0,23.088,23.085,23.08,23.1,23.08,18
2023-11-09 14:54:00,890.0,23.0698,23.08,23.06,23.08,23.06,24
2023-11-09 14:55:00,23946.0,23.0603,23.07,23.045,23.075,23.045,68
2023-11-09 14:56:00,1744.0,23.0483,23.04,23.055,23.055,23.04,29
2023-11-09 14:57:00,4577.0,23.0596,23.06,23.08,23.08,23.045,71
2023-11-09 14:58:00,2140.0,23.0966,23.09,23.1,23.1,23.09,40
2023-11-09 14:59:00,1406.0,23.0808,23.09,23.08,23.09,23.075,38
2023-11-09 15:00:00,3548.0,23.0749,23.075,23.05,23.09,23.05,57
2023-11-09 15:01:00,4265.0,23.063,23.055,23.065,23.07,23.055,60
2023-11-09 15:02:00,1886.0,23.0761,23.065,23.09,23.09,23.065,38
2023-11-09 15:03:00,3108.0,23.1002,23.1,23.095,23.105,23.095,65
2023-11-09 15:04:00,3838.0,23.0897,23.095,23.09,23.095,23.08,67
2023-11-09 15:05:00,3334.0,23.0721,23.08,23.07,23.08,23.07,55
2023-11-09 15:06:00,3641.0,23.0728,23.08,23.0673,23.08,23.065,48
2023-11-09 15:07:00,3208.0,23.049,23.06,23.0485,23.06,23.035,50
2023-11-09 15:08:00,1566.0,23.0543,23.045,23.055,23.07,23.045,31
2023-11-09 15:09:00,3442.0,23.0828,23.065,23.09,23.095,23.065,42
2023-11-09 15:10:00,1921.0,23.1024,23.085,23.1095,23.115,23.085,26
2023-11-09 15:11:00,3355.0,23.1084,23.11,23.105,23.12,23.105,38
2023-11-09 15:12:00,2808.0,23.109,23.11,23.105,23.11,23.105,30
2023-11-09 15:13:00,4679.0,23.0817,23.1,23.08,23.1,23.07,61
2023-11-09 15:14:00,877.0,23.0828,23.08,23.085,23.0875,23.08,21
2023-11-09 15:15:00,3184.0,23.075,23.085,23.055,23.0854,23.055,53
2023-11-09 15:16:00,5625.0,23.0581,23.055,23.05,23.072,23.045,86
2023-11-09 15:17:00,3979.0,23.0566,23.0482,23.065,23.07,23.045,46
2023-11-09 15:18:00,3992.0,23.0696,23.0675,23.07,23.075,23.065,54
2023-11-09 15:19:00,579.0,23.0654,23.065,23.065,23.065,23.065,8
2023-11-09 15:20:00,1592.0,23.0609,23.0687,23.055,23.0687,23.055,30
2023-11-09 15:21:00,5071.0,23.0606,23.055,23.06,23.07,23.0521,65
2023-11-09 15:22:00,480.0,23.0646,23.065,23.065,23.065,23.065,14
2023-11-09 15:23:00,2719.0,23.055,23.06,23.055,23.06,23.045,41
2023-11-09 15:24:00,3233.0,23.059,23.055,23.0675,23.0675,23.055,59
