t,v,vw,o,c,h,l,n
2024-02-13 13:00:00,237,158.0954,158.0999,158.0999,158.0999,158.0999,5
2024-02-13 13:07:00,124,158.0818,158.1,158.1,158.1,158.1,4
2024-02-13 13:33:00,115,154.1,154.1,154.1,154.1,154.1,1
2024-02-13 13:35:00,923,154.2026,154.25,154.2,154.25,154.2,14
2024-02-13 13:36:00,668,154.0158,154.01,154.01,154.01,154.01,14
2024-02-13 13:40:00,324,153.0244,153.07,153.02,153.07,153.02,5
2024-02-13 13:43:00,706,153.035,153.02,153.2,153.2,152.6,7
2024-02-13 13:44:00,1046,152.9967,153.0,153.0,153.0,153.0,6
2024-02-13 13:45:00,3181,152.6037,152.61,152.6,152.65,152.6,15
2024-02-13 13:50:00,149,152.0698,152.0,152.0,152.0,152.0,6
2024-02-13 13:53:00,2331,151.6229,152.07,151.75,152.07,150.83,31
2024-02-13 13:55:00,670,151.3621,151.26,151.4,151.4,151.26,5
2024-02-13 13:58:00,469,151.6072,151.75,151.75,151.75,151.75,8
2024-02-13 14:00:00,127,150.5008,150.5,150.5,150.5,150.5,3
2024-02-13 14:02:00,128,150.8,150.8,150.8,150.8,150.8,1
2024-02-13 14:03:00,1374,150.933,150.29,151.0,151.0,150.29,16
2024-02-13 14:06:00,1907,151.8261,151.75,152.4497,152.4497,151.75,15
2024-02-13 14:12:00,1157,151.333,151.42,151.25,151.42,151.25,17
2024-02-13 14:18:00,1326,151.7941,151.81,151.79,151.81,151.79,14
2024-02-13 14:19:00,242,151.6435,151.5,151.5,151.5,151.5,5
2024-02-13 14:20:00,2068,152.0745,152.3,152.11,152.3,152.0,20
2024-02-13 14:21:00,1350,152.3764,152.38,152.38,152.38,152.38,14
2024-02-13 14:23:00,620,152.0542,152.04,152.04,152.04,152.04,4
2024-02-13 14:26:00,1087,152.3443,152.15,152.5,152.5,152.15,17
2024-02-13 14:28:00,408,152.2261,152.45,152.45,152.45,152.45,11
2024-02-13 14:29:00,556,152.1763,152.45,152.0,152.45,152.0,10
2024-02-13 14:30:00,98673,151.3418,151.66,150.7201,152.0,150.6052,1293
2024-02-13 14:31:00,13566,151.042,150.72,151.2701,151.8,150.3001,357
2024-02-13 14:32:00,20598,151.0988,151.31,150.47,151.58,150.47,319
2024-02-13 14:33:00,4803,150.9233,150.74,151.245,151.34,150.74,100
2024-02-13 14:34:00,24465,150.5424,151.315,150.01,151.355,150.01,408
2024-02-13 14:35:00,12214,150.7652,150.1539,151.0,151.17,150.0101,270
2024-02-13 14:36:00,19991,151.2816,151.19,151.34,151.55,151.043,345
2024-02-13 14:37:00,7589,151.2655,151.4,151.41,151.455,151.0,156
2024-02-13 14:38:00,5670,151.3489,151.43,151.325,151.525,151.11,100
2024-02-13 14:39:00,14445,151.337,151.2,151.19,151.48,151.175,225
2024-02-13 14:40:00,5206,151.3483,151.3,151.4149,151.48,151.22,119
2024-02-13 14:41:00,10122,151.2529,151.37,151.05,151.44,150.9704,231
2024-02-13 14:42:00,19081,151.1521,151.175,150.995,151.4,150.85,217
2024-02-13 14:43:00,11489,150.9175,151.0275,151.04,151.04,150.75,315
2024-02-13 14:44:00,10090,150.9946,151.04,151.09,151.125,150.91,136
2024-02-13 14:45:00,11706,150.7713,151.0,150.825,151.01,150.5701,224
2024-02-13 14:46:00,19789,150.7113,150.85,150.915,150.915,150.63,161
2024-02-13 14:47:00,4938,150.8266,150.9257,150.735,150.935,150.72,113
2024-02-13 14:48:00,6871,150.7217,150.67,150.775,150.82,150.64,129
2024-02-13 14:49:00,14045,150.5112,150.778,150.505,150.795,150.2801,228
2024-02-13 14:50:00,11508,150.6728,150.515,150.93,150.93,150.48,198
2024-02-13 14:51:00,8316,150.8269,150.915,150.82,150.92,150.77,138
2024-02-13 14:52:00,15329,150.5178,150.83,150.47,150.83,150.3068,320
2024-02-13 14:53:00,8727,150.3018,150.35,150.42,150.42,150.2,207
2024-02-13 14:54:00,10603,150.3844,150.365,150.45,150.49,150.23,148
2024-02-13 14:55:00,15423,150.5278,150.455,150.52,150.72,150.39,219
2024-02-13 14:56:00,7882,150.3842,150.53,150.2522,150.53,150.2,143
2024-02-13 14:57:00,9676,150.2763,150.36,150.18,150.43,150.17,130
2024-02-13 14:58:00,18256,150.1154,150.17,150.14,150.24,150.0,355
2024-02-13 14:59:00,15031,150.1253,150.14,150.115,150.23,150.05,184
2024-02-13 15:00:00,39779,149.9028,150.05,149.65,150.12,149.6085,529
2024-02-13 15:01:00,35667,149.5297,149.6316,149.56,149.74,149.41,470
2024-02-13 15:02:00,52720,149.2379,149.58,148.86,149.625,148.86,1001
2024-02-13 15:03:00,22723,149.2532,148.87,149.48,149.5794,148.775,409
2024-02-13 15:04:00,18530,149.5264,149.49,149.63,149.73,149.44,171
2024-02-13 15:05:00,7149,149.6182,149.58,149.61,149.71,149.5473,155
2024-02-13 15:06:00,4973,149.7768,149.555,150.14,150.14,149.555,115
2024-02-13 15:07:00,6770,149.9332,150.12,149.76,150.17,149.625,136
2024-02-13 15:08:00,3326,149.8073,149.795,149.84,149.9019,149.7355,77
2024-02-13 15:09:00,6072,149.9524,149.9,149.86,150.065,149.7801,140
2024-02-13 15:10:00,3415,150.0078,149.885,150.06,150.06,149.885,106
2024-02-13 15:11:00,6363,150.0784,150.02,150.15,150.18,149.99,141
2024-02-13 15:12:00,11017,150.2717,150.06,150.25,150.45,150.0,195
2024-02-13 15:13:00,4896,150.0901,150.24,149.975,150.24,149.97,133
2024-02-13 15:14:00,1642,149.9975,149.965,150.07,150.07,149.93,51
2024-02-13 15:15:00,5984,150.0675,149.995,150.185,150.19,149.96,125
2024-02-13 15:16:00,3592,150.2957,150.18,150.36,150.37,150.18,110
2024-02-13 15:17:00,5260,150.2182,150.28,150.225,150.28,150.17,112
2024-02-13 15:18:00,2537,150.3685,150.32,150.39,150.42,150.32,75
2024-02-13 15:19:00,5355,150.43,150.49,150.44,150.49,150.4001,134
2024-02-13 15:20:00,9077,150.4791,150.42,150.455,150.56,150.42,193
2024-02-13 15:21:00,4621,150.4863,150.4,150.5325,150.57,150.4,65
2024-02-13 15:22:00,12548,150.5368,150.55,150.52,150.63,150.46,222
2024-02-13 15:23:00,7908,150.4859,150.52,150.37,150.66,150.37,181
2024-02-13 15:24:00,18037,150.6572,150.58,150.7,150.78,150.555,331
2024-02-13 15:25:00,24418,150.7056,150.635,150.78,150.85,150.59,266
2024-02-13 15:26:00,13889,150.8734,150.865,151.025,151.04,150.775,165
2024-02-13 15:27:00,12945,151.0885,151.0222,151.17,151.17,150.95,206
2024-02-13 15:28:00,11114,151.2547,151.21,151.2994,151.33,151.195,205
2024-02-13 15:29:00,8906,151.2443,151.3,151.3,151.315,151.145,179
2024-02-13 15:30:00,18192,151.3919,151.335,151.36,151.4999,151.275,306
2024-02-13 15:31:00,13739,151.2919,151.345,151.165,151.425,151.15,254
2024-02-13 15:32:00,9689,151.0433,151.19,150.99,151.21,150.88,213
2024-02-13 15:33:00,6024,150.8905,151.012,150.91,151.012,150.826,145
2024-02-13 15:34:00,14343,151.0292,150.98,150.92,151.17,150.905,254
2024-02-13 15:35:00,5273,150.876,150.85,150.915,150.95,150.798,131
2024-02-13 15:36:00,4795,150.8339,150.895,150.81,150.9,150.785,96
2024-02-13 15:37:00,5457,150.8488,150.74,150.85,150.94,150.72,134
2024-02-13 15:38:00,4270,150.7948,150.79,150.8,150.86,150.7,123
2024-02-13 15:39:00,6808,150.8439,150.805,150.93,150.96,150.77,133
2024-02-13 15:40:00,4699,150.7485,150.815,150.79,150.815,150.69,140
2024-02-13 15:41:00,5655,150.8997,150.9,150.94,150.94,150.86,109
2024-02-13 15:42:00,4841,151.0295,150.89,151.06,151.06,150.89,99
2024-02-13 15:43:00,6670,151.104,151.044,151.165,151.165,151.03,161
2024-02-13 15:44:00,5217,151.1939,151.19,151.18,151.23,151.1661,111
2024-02-13 15:45:00,6644,151.1166,151.22,151.12,151.23,151.035,168
2024-02-13 15:46:00,4690,151.1787,151.15,151.145,151.26,151.13,118
2024-02-13 15:47:00,2932,151.1502,151.125,151.18,151.185,151.092,71
2024-02-13 15:48:00,7912,151.0984,151.17,151.02,151.185,151.01,148
2024-02-13 15:49:00,13209,150.9986,151.01,151.06,151.08,150.93,172
2024-02-13 15:50:00,11484,151.0084,151.09,150.85,151.12,150.82,183
2024-02-13 15:51:00,4974,150.8983,150.87,150.74,150.915,150.74,106
2024-02-13 15:52:00,5703,150.8657,150.72,150.91,150.96,150.72,106
2024-02-13 15:53:00,4711,150.8802,150.88,150.87,150.95,150.86,89
2024-02-13 15:54:00,5368,150.7948,150.89,150.84,150.91,150.71,121
2024-02-13 15:55:00,6529,150.8529,150.86,150.76,150.92,150.76,127
2024-02-13 15:56:00,12983,150.8731,150.79,150.9,150.97,150.79,253
2024-02-13 15:57:00,7057,150.8291,150.91,150.83,150.935,150.78,132
2024-02-13 15:58:00,18989,150.8485,150.83,150.75,150.9,150.75,197
2024-02-13 15:59:00,4949,150.7407,150.775,150.79,150.79,150.675,112
2024-02-13 16:00:00,7643,150.8434,150.81,150.915,150.915,150.81,162
2024-02-13 16:01:00,4791,150.8339,150.87,150.83,150.8799,150.8098,110
2024-02-13 16:02:00,6775,150.838,150.88,150.83,150.885,150.775,106
2024-02-13 16:03:00,4739,150.9029,150.85,150.865,150.95,150.85,100
2024-02-13 16:04:00,2990,150.942,150.93,150.8101,151.01,150.8101,71
2024-02-13 16:05:00,9375,150.9113,150.94,150.95,150.97,150.8055,121
2024-02-13 16:06:00,4284,150.9612,150.94,150.99,151.01,150.94,63
2024-02-13 16:07:00,4135,151.0236,150.99,151.01,151.05,150.99,91
2024-02-13 16:08:00,4304,151.1128,151.02,151.13,151.13,151.02,91
2024-02-13 16:09:00,4413,151.2269,151.14,151.33,151.34,151.14,106
2024-02-13 16:10:00,4895,151.2202,151.32,151.21,151.32,151.17,122
2024-02-13 16:11:00,4202,151.1445,151.18,151.175,151.185,151.08,106
2024-02-13 16:12:00,2902,151.2443,151.2025,151.3,151.3,151.19,65
2024-02-13 16:13:00,2714,151.2366,151.24,151.19,151.265,151.19,42
2024-02-13 16:14:00,10673,151.2381,151.14,151.42,151.42,151.13,148
2024-02-13 16:15:00,3910,151.4204,151.39,151.425,151.43,151.38,86
2024-02-13 16:16:00,10638,151.4132,151.44,151.44,151.44,151.39,178
2024-02-13 16:17:00,4959,151.4938,151.46,151.472,151.555,151.45,123
2024-02-13 16:18:00,5363,151.4032,151.4,151.45,151.45,151.38,115
2024-02-13 16:19:00,1042,151.5027,151.45,151.54,151.54,151.45,37
2024-02-13 16:20:00,6494,151.6011,151.57,151.5703,151.7,151.5475,124
2024-02-13 16:21:00,2315,151.6034,151.582,151.67,151.71,151.57,63
2024-02-13 16:22:00,9466,151.7826,151.68,151.84,151.89,151.68,165
2024-02-13 16:23:00,3557,151.9685,151.89,152.03,152.03,151.89,75
2024-02-13 16:24:00,5039,152.0741,152.0301,152.0612,152.1199,152.005,108
2024-02-13 16:25:00,2614,152.0459,152.06,152.12,152.13,151.96,71
2024-02-13 16:27:00,824,152.1275,152.155,152.105,152.155,152.105,36
2024-02-13 16:28:00,2394,152.1279,152.11,152.21,152.21,152.09,77
2024-02-13 16:29:00,6678,152.1949,152.23,152.27,152.27,152.18,56
2024-02-13 16:30:00,10553,152.2948,152.28,152.24,152.4,152.24,157
2024-02-13 16:31:00,8510,152.3071,152.21,152.4,152.4,152.18,170
2024-02-13 16:32:00,5236,152.469,152.415,152.49,152.515,152.415,106
2024-02-13 16:33:00,9179,152.6095,152.51,152.69,152.7,152.48,144
2024-02-13 16:34:00,2537,152.7198,152.7,152.705,152.75,152.7,69
2024-02-13 16:35:00,5358,152.6086,152.675,152.585,152.675,152.54,112
2024-02-13 16:36:00,6359,152.6221,152.54,152.635,152.665,152.54,110
2024-02-13 16:37:00,3541,152.5206,152.64,152.36,152.64,152.36,78
2024-02-13 16:38:00,5953,152.2948,152.3,152.265,152.38,152.22,110
2024-02-13 16:39:00,1364,152.3041,152.29,152.34,152.34,152.29,51
2024-02-13 16:40:00,4024,152.4299,152.37,152.43,152.47,152.37,88
2024-02-13 16:41:00,4409,152.4011,152.455,152.405,152.455,152.335,79
2024-02-13 16:42:00,2069,152.4549,152.42,152.51,152.51,152.42,41
2024-02-13 16:43:00,2257,152.4095,152.43,152.335,152.49,152.32,57
2024-02-13 16:44:00,2704,152.2871,152.36,152.27,152.36,152.25,59
2024-02-13 16:45:00,1534,152.3219,152.3,152.35,152.35,152.3,41
2024-02-13 16:46:00,1444,152.3945,152.39,152.39,152.42,152.39,48
2024-02-13 16:47:00,1169,152.4232,152.42,152.445,152.445,152.395,33
2024-02-13 16:48:00,1191,152.4582,152.435,152.51,152.51,152.4058,31
2024-02-13 16:49:00,1034,152.5496,152.5393,152.56,152.56,152.5393,28
2024-02-13 16:50:00,4806,152.5516,152.55,152.59,152.63,152.545,92
2024-02-13 16:51:00,2576,152.4693,152.545,152.34,152.545,152.34,68
2024-02-13 16:52:00,2990,152.4053,152.36,152.46,152.46,152.36,63
2024-02-13 16:53:00,4012,152.4652,152.495,152.46,152.495,152.43,92
2024-02-13 16:54:00,1470,152.4986,152.46,152.55,152.55,152.46,32
2024-02-13 16:55:00,1826,152.5336,152.55,152.53,152.555,152.51,52
2024-02-13 16:56:00,5121,152.3822,152.525,152.34,152.525,152.2553,119
2024-02-13 16:57:00,1444,152.3246,152.32,152.29,152.345,152.29,30
2024-02-13 16:58:00,3018,152.2932,152.265,152.2669,152.3131,152.26,65
2024-02-13 16:59:00,6251,152.4012,152.295,152.4,152.46,152.295,134
2024-02-13 17:00:00,2737,152.2509,152.37,152.195,152.37,152.15,70
2024-02-13 17:01:00,10489,152.2639,152.19,152.395,152.415,152.16,183
2024-02-13 17:02:00,3796,152.3781,152.42,152.355,152.42,152.35,65
2024-02-13 17:03:00,6482,152.2247,152.34,152.16,152.34,152.14,138
2024-02-13 17:04:00,3671,152.2726,152.21,152.31,152.32,152.194,67
2024-02-13 17:05:00,3237,152.2855,152.3,152.225,152.3,152.225,48
2024-02-13 17:06:00,4509,152.2682,152.23,152.27,152.29,152.23,56
2024-02-13 17:07:00,1759,152.2546,152.255,152.27,152.27,152.24,45
2024-02-13 17:08:00,3950,152.3939,152.28,152.51,152.51,152.28,96
2024-02-13 17:09:00,2220,152.5047,152.55,152.48,152.55,152.48,48
2024-02-13 17:10:00,4387,152.4379,152.485,152.47,152.495,152.38,95
2024-02-13 17:11:00,1196,152.4458,152.43,152.455,152.46,152.43,24
2024-02-13 17:12:00,2940,152.4414,152.445,152.42,152.4648,152.42,54
2024-02-13 17:13:00,4305,152.4107,152.38,152.425,152.44,152.37,89
2024-02-13 17:14:00,3165,152.4374,152.42,152.51,152.51,152.34,79
2024-02-13 17:15:00,4299,152.4541,152.49,152.43,152.52,152.43,66
2024-02-13 17:16:00,6245,152.4887,152.44,152.54,152.54,152.44,117
2024-02-13 17:17:00,2883,152.544,152.56,152.475,152.575,152.475,58
2024-02-13 17:18:00,1188,152.4571,152.47,152.425,152.47,152.425,36
2024-02-13 17:19:00,3505,152.36,152.3551,152.365,152.37,152.31,66
2024-02-13 17:20:00,5173,152.3764,152.36,152.41,152.42,152.34,101
2024-02-13 17:21:00,3549,152.4712,152.435,152.49,152.5,152.435,71
2024-02-13 17:22:00,2857,152.4819,152.51,152.47,152.53,152.435,49
2024-02-13 17:23:00,2726,152.4282,152.48,152.36,152.49,152.36,60
2024-02-13 17:24:00,2404,152.3832,152.37,152.395,152.4,152.36,57
2024-02-13 17:25:00,2448,152.3415,152.395,152.33,152.4,152.31,62
2024-02-13 17:26:00,6708,152.3131,152.33,152.33,152.35,152.24,149
2024-02-13 17:27:00,3427,152.3235,152.33,152.3299,152.34,152.3,51
2024-02-13 17:28:00,4029,152.3723,152.375,152.38,152.4,152.355,89
2024-02-13 17:29:00,2073,152.4589,152.34,152.525,152.525,152.34,66
2024-02-13 17:30:00,2412,152.5021,152.53,152.46,152.53,152.46,64
2024-02-13 17:31:00,2756,152.4884,152.5,152.51,152.545,152.5,61
2024-02-13 17:32:00,12763,152.6376,152.505,152.69,152.7064,152.505,215
2024-02-13 17:33:00,2981,152.6242,152.67,152.54,152.67,152.54,82
2024-02-13 17:34:00,1049,152.5571,152.575,152.55,152.575,152.5119,22
2024-02-13 17:35:00,1691,152.5032,152.55,152.45,152.55,152.45,56
2024-02-13 17:36:00,5756,152.4525,152.48,152.39,152.49,152.39,98
2024-02-13 17:37:00,1509,152.462,152.42,152.48,152.5,152.4,46
2024-02-13 17:38:00,1280,152.517,152.51,152.51,152.52,152.5,46
2024-02-13 17:39:00,3865,152.5123,152.51,152.53,152.53,152.49,86
2024-02-13 17:40:00,2399,152.4812,152.5,152.46,152.515,152.44,57
2024-02-13 17:41:00,1843,152.5251,152.49,152.515,152.52,152.48,51
2024-02-13 17:42:00,6414,152.575,152.505,152.585,152.62,152.5,113
2024-02-13 17:43:00,927,152.5924,152.6,152.595,152.6,152.58,29
2024-02-13 17:44:00,3572,152.5869,152.595,152.6,152.63,152.54,116
2024-02-13 17:45:00,3548,152.5157,152.62,152.4,152.625,152.4,85
2024-02-13 17:46:00,1417,152.3851,152.43,152.36,152.43,152.36,36
2024-02-13 17:47:00,2568,152.3087,152.36,152.29,152.36,152.27,101
2024-02-13 17:48:00,3632,152.2588,152.3,152.27,152.3,152.23,94
2024-02-13 17:49:00,2917,152.3128,152.265,152.32,152.32,152.265,49
2024-02-13 17:50:00,8079,152.26,152.325,152.255,152.325,152.2,178
2024-02-13 17:51:00,3319,152.2874,152.245,152.35,152.35,152.235,78
2024-02-13 17:52:00,11848,152.3179,152.35,152.31,152.35,152.31,189
2024-02-13 17:53:00,3567,152.2596,152.295,152.19,152.295,152.19,66
2024-02-13 17:54:00,2259,152.1803,152.195,152.19,152.21,152.115,66
2024-02-13 17:55:00,4053,152.1632,152.19,152.14,152.19,152.14,64
2024-02-13 17:56:00,2071,152.1428,152.17,152.08,152.195,152.08,53
2024-02-13 17:57:00,4377,152.0221,152.07,151.98,152.075,151.98,83
2024-02-13 17:58:00,2625,152.0629,152.02,152.155,152.17,152.02,81
2024-02-13 17:59:00,4093,152.1271,152.155,152.18,152.18,152.07,72
2024-02-13 18:00:00,2427,152.1691,152.175,152.17,152.195,152.14,60
2024-02-13 18:01:00,2401,152.0355,152.1,152.026,152.1,151.99,52
2024-02-13 18:02:00,4014,151.9705,152.03,151.84,152.0325,151.84,84
2024-02-13 18:03:00,5510,151.8411,151.84,151.87,151.89,151.8,110
2024-02-13 18:04:00,6865,151.8994,151.875,151.89,151.93,151.87,108
2024-02-13 18:05:00,4430,151.912,151.89,151.935,151.95,151.86,97
2024-02-13 18:06:00,2901,151.8772,151.9,151.85,151.91,151.845,47
2024-02-13 18:07:00,3462,151.8288,151.865,151.77,151.89,151.75,66
2024-02-13 18:08:00,3791,151.818,151.76,151.86,151.89,151.74,83
2024-02-13 18:09:00,2264,151.8601,151.86,151.86,151.9062,151.82,64
2024-02-13 18:10:00,3805,151.8021,151.825,151.8,151.825,151.785,75
2024-02-13 18:11:00,3201,151.9083,151.795,151.98,151.98,151.795,67
2024-02-13 18:12:00,1769,152.0031,151.9646,152.02,152.045,151.9646,34
2024-02-13 18:13:00,3312,152.0391,152.0,152.055,152.055,152.0,45
2024-02-13 18:14:00,2067,152.0879,152.07,152.09,152.12,152.06,56
2024-02-13 18:15:00,2060,152.0303,152.075,152.015,152.085,152.015,62
2024-02-13 18:16:00,2324,152.031,151.995,152.05,152.06,151.99,66
2024-02-13 18:17:00,3895,151.9998,152.01,152.02,152.03,151.97,86
2024-02-13 18:18:00,3607,152.0291,152.015,152.13,152.13,151.95,114
2024-02-13 18:19:00,1769,152.1482,152.145,152.16,152.17,152.13,45
2024-02-13 18:20:00,6586,152.1676,152.14,152.22,152.22,152.12,147
2024-02-13 18:21:00,3171,152.2584,152.23,152.245,152.305,152.23,53
2024-02-13 18:22:00,2522,152.1848,152.18,152.115,152.2,152.115,53
2024-02-13 18:23:00,2052,152.1892,152.14,152.25,152.25,152.14,60
2024-02-13 18:24:00,2574,152.3073,152.27,152.33,152.33,152.27,77
2024-02-13 18:25:00,2698,152.3894,152.43,152.35,152.43,152.35,57
2024-02-13 18:26:00,1919,152.375,152.33,152.39,152.395,152.33,64
2024-02-13 18:27:00,1517,152.4506,152.4,152.55,152.55,152.4,42
2024-02-13 18:28:00,2186,152.5234,152.54,152.485,152.54,152.48,39
2024-02-13 18:29:00,1776,152.5689,152.53,152.6,152.61,152.53,61
2024-02-13 18:30:00,2898,152.5764,152.59,152.58,152.62,152.54,83
2024-02-13 18:31:00,3078,152.6177,152.6,152.635,152.66,152.6,85
2024-02-13 18:32:00,3172,152.5085,152.5,152.555,152.555,152.48,78
2024-02-13 18:33:00,1889,152.4889,152.535,152.44,152.535,152.44,38
2024-02-13 18:34:00,1283,152.458,152.435,152.47,152.47,152.435,38
2024-02-13 18:35:00,2830,152.5184,152.485,152.525,152.55,152.485,60
2024-02-13 18:36:00,1748,152.5222,152.54,152.495,152.565,152.495,51
2024-02-13 18:37:00,3437,152.4898,152.505,152.46,152.53,152.45,67
2024-02-13 18:38:00,1267,152.51,152.48,152.52,152.52,152.48,36
2024-02-13 18:39:00,11511,152.6358,152.525,152.676,152.71,152.5,238
2024-02-13 18:40:00,2969,152.6101,152.65,152.57,152.65,152.525,67
2024-02-13 18:41:00,672,152.5783,152.58,152.59,152.59,152.58,23
2024-02-13 18:42:00,2768,152.5008,152.526,152.53,152.54,152.46,64
2024-02-13 18:43:00,2459,152.5006,152.52,152.41,152.52,152.41,40
2024-02-13 18:44:00,997,152.4589,152.46,152.469,152.469,152.45,25
2024-02-13 18:45:00,1905,152.4385,152.45,152.445,152.45,152.425,46
2024-02-13 18:46:00,3727,152.4514,152.4301,152.47,152.49,152.4301,84
2024-02-13 18:47:00,3736,152.4605,152.455,152.4493,152.48,152.445,62
2024-02-13 18:48:00,1386,152.3656,152.44,152.335,152.44,152.335,36
2024-02-13 18:49:00,3267,152.2831,152.3368,152.29,152.3368,152.249,84
2024-02-13 18:50:00,3411,152.329,152.32,152.31,152.35,152.31,95
2024-02-13 18:51:00,3703,152.2811,152.27,152.29,152.31,152.255,112
2024-02-13 18:52:00,2489,152.2391,152.26,152.23,152.26,152.21,72
2024-02-13 18:53:00,3444,152.2697,152.26,152.28,152.28,152.255,63
2024-02-13 18:54:00,2902,152.269,152.27,152.28,152.29,152.245,50
2024-02-13 18:55:00,3031,152.2969,152.28,152.35,152.35,152.27,106
2024-02-13 18:56:00,3598,152.3918,152.35,152.42,152.42,152.35,76
2024-02-13 18:57:00,4166,152.427,152.47,152.4,152.47,152.4,72
2024-02-13 18:58:00,6206,152.3431,152.395,152.35,152.4,152.28,134
2024-02-13 18:59:00,3965,152.4184,152.3799,152.47,152.47,152.35,59
2024-02-13 19:00:00,5862,152.4623,152.5,152.4399,152.53,152.38,137
2024-02-13 19:01:00,5275,152.3489,152.4,152.26,152.4,152.25,102
2024-02-13 19:02:00,4088,152.1628,152.235,152.085,152.29,152.0644,95
2024-02-13 19:03:00,2627,152.0461,152.08,152.04,152.1,152.0,59
2024-02-13 19:04:00,2450,151.9272,151.99,151.8647,151.99,151.8647,57
2024-02-13 19:05:00,3262,151.8288,151.855,151.845,151.86,151.77,91
2024-02-13 19:06:00,800,151.8719,151.86,151.89,151.89,151.86,35
2024-02-13 19:07:00,9805,151.9361,151.89,152.0,152.0,151.87,188
2024-02-13 19:08:00,1827,151.9599,151.98,151.895,151.98,151.895,38
2024-02-13 19:09:00,1507,151.8822,151.88,151.89,151.91,151.8353,42
2024-02-13 19:10:00,1901,151.8287,151.85,151.8,151.85,151.8,64
2024-02-13 19:11:00,3648,151.8429,151.79,151.82,151.84,151.7852,53
