t,v,vw,o,c,h,l,n
2023-09-06 08:00:00,1616,39.9732,39.98,39.98,39.98,39.98,5
2023-09-06 08:01:00,660,39.6237,39.7,39.6,39.7,39.6,14
2023-09-06 08:02:00,492,39.55,39.55,39.55,39.55,39.55,9
2023-09-06 08:03:00,508,39.55,39.55,39.55,39.55,39.55,10
2023-09-06 08:04:00,1380,39.5455,39.55,39.54,39.55,39.54,8
2023-09-06 08:05:00,350,39.5914,39.59,39.59,39.59,39.59,3
2023-09-06 08:08:00,102,39.6,39.6,39.6,39.6,39.6,1
2023-09-06 08:12:00,235,39.6413,39.64,39.64,39.64,39.64,4
2023-09-06 08:13:00,406,39.6536,39.65,39.66,39.66,39.65,4
2023-09-06 08:14:00,550,39.6991,39.7,39.7,39.7,39.7,5
2023-09-06 08:15:00,200,39.72,39.72,39.72,39.72,39.72,1
2023-09-06 08:58:00,300,39.7385,39.74,39.74,39.74,39.74,2
2023-09-06 08:59:00,300,39.72,39.72,39.72,39.72,39.72,1
2023-09-06 09:00:00,200,39.72,39.72,39.72,39.72,39.72,2
2023-09-06 09:15:00,300,39.72,39.72,39.72,39.72,39.72,2
2023-09-06 10:14:00,447,39.8047,39.79,39.82,39.82,39.79,8
2023-09-06 10:17:00,278,39.83,39.83,39.83,39.83,39.83,1
2023-09-06 10:48:00,800,39.7937,39.79,39.79,39.79,39.79,7
2023-09-06 11:06:00,100,39.84,39.84,39.84,39.84,39.84,1
2023-09-06 11:08:00,100,39.84,39.84,39.84,39.84,39.84,1
2023-09-06 11:09:00,545,39.84,39.84,39.84,39.84,39.84,2
2023-09-06 11:15:00,300,39.89,39.89,39.89,39.89,39.89,1
2023-09-06 11:21:00,510,39.8582,39.86,39.86,39.86,39.86,7
2023-09-06 11:22:00,900,39.8511,39.85,39.85,39.85,39.85,10
2023-09-06 11:39:00,200,39.89,39.89,39.89,39.89,39.89,1
2023-09-06 11:51:00,536,39.8476,39.86,39.84,39.86,39.84,10
2023-09-06 12:00:00,2931,39.8925,39.8,39.86,39.96,39.8,20
2023-09-06 12:04:00,295,39.7289,39.72,39.72,39.72,39.72,7
2023-09-06 12:11:00,1180,39.6812,39.6807,39.68,39.6807,39.68,3
2023-09-06 12:29:00,202,39.68,39.6806,39.68,39.6806,39.68,3
2023-09-06 12:35:00,191,39.66,39.66,39.66,39.66,39.66,1
2023-09-06 12:36:00,190,39.8,39.8,39.8,39.8,39.8,1
2023-09-06 12:57:00,150,39.74,39.74,39.74,39.74,39.74,1
2023-09-06 12:59:00,381,39.71,39.71,39.71,39.71,39.71,1
2023-09-06 13:08:00,1200,39.7137,39.69,39.74,39.74,39.69,19
2023-09-06 13:21:00,144,39.5807,39.56,39.56,39.56,39.56,4
2023-09-06 13:22:00,598,39.5823,39.575,39.575,39.575,39.575,13
2023-09-06 13:24:00,1700,39.5639,39.56,39.56,39.56,39.56,16
2023-09-06 13:25:00,359,39.6953,39.65,39.65,39.65,39.65,6
2023-09-06 13:27:00,5929,39.6663,39.64,39.72,39.76,39.64,52
2023-09-06 13:28:00,880,39.7609,39.77,39.78,39.78,39.77,21
2023-09-06 13:29:00,2548,39.7638,39.75,39.78,39.79,39.75,21
2023-09-06 13:30:00,80741,39.8376,39.8,39.9187,40.02,39.732,490
2023-09-06 13:31:00,21249,39.9003,39.93,39.92,39.955,39.8,253
2023-09-06 13:32:00,43012,39.9711,39.91,39.91,40.03,39.86,358
2023-09-06 13:33:00,7786,39.9151,39.9399,39.96,39.98,39.88,115
2023-09-06 13:34:00,21516,39.9859,39.942,39.9799,40.01,39.93,395
2023-09-06 13:35:00,17123,40.0478,39.96,39.99,40.105,39.96,280
2023-09-06 13:36:00,7924,40.0079,39.97,40.06,40.09,39.94,165
2023-09-06 13:37:00,22062,40.0977,40.05,40.18,40.23,40.0101,254
2023-09-06 13:38:00,10482,40.1711,40.19,40.11,40.215,40.11,173
2023-09-06 13:39:00,7582,40.0746,40.09,40.07,40.12,40.03,186
2023-09-06 13:40:00,11133,40.0025,40.08,39.99,40.08,39.9531,167
2023-09-06 13:41:00,37200,39.9878,39.9601,40.02,40.025,39.95,145
2023-09-06 13:42:00,12786,40.0381,40.02,40.04,40.08,39.99,162
2023-09-06 13:43:00,33224,40.0777,40.06,40.18,40.2,40.015,175
2023-09-06 13:44:00,14834,40.1912,40.1872,40.16,40.23,40.13,195
2023-09-06 13:45:00,13343,40.2287,40.17,40.23,40.26,40.17,199
2023-09-06 13:46:00,28646,40.2391,40.25,40.1899,40.28,40.18,281
2023-09-06 13:47:00,10064,40.1374,40.17,40.075,40.175,40.075,119
2023-09-06 13:48:00,12452,40.0224,40.08,40.0,40.08,39.96,168
2023-09-06 13:49:00,10301,40.0069,39.99,40.0426,40.0601,39.95,187
2023-09-06 13:50:00,11697,40.0712,40.0397,40.06,40.12,40.01,157
2023-09-06 13:51:00,3154,40.0977,40.05,40.11,40.1513,40.04,99
2023-09-06 13:52:00,7081,40.1446,40.11,40.175,40.175,40.11,115
2023-09-06 13:53:00,7930,40.1652,40.16,40.08,40.21,40.08,131
2023-09-06 13:54:00,5363,40.095,40.06,40.15,40.165,40.035,101
2023-09-06 13:55:00,6880,40.0955,40.14,40.11,40.14,40.06,133
2023-09-06 13:56:00,4042,40.1275,40.15,40.11,40.15,40.1,62
2023-09-06 13:57:00,7184,40.0946,40.11,40.1201,40.128,40.07,129
2023-09-06 13:58:00,2459,40.1008,40.11,40.08,40.11,40.08,55
2023-09-06 13:59:00,12734,40.0546,40.0601,40.0,40.075,40.0,105
2023-09-06 14:00:00,23362,39.8772,39.98,39.98,39.98,39.8005,246
2023-09-06 14:01:00,12432,39.9657,39.99,39.94,40.005,39.93,141
2023-09-06 14:02:00,51570,39.8855,39.93,39.87,39.95,39.86,293
2023-09-06 14:03:00,15086,39.8429,39.855,39.83,39.89,39.8245,154
2023-09-06 14:04:00,25493,39.7945,39.8309,39.745,39.84,39.745,245
