t,v,vw,o,c,h,l,n
2024-02-29 09:00:00,740,0.937,0.937,0.937,0.937,0.937,3
2024-02-29 09:20:00,3379,0.937,0.937,0.937,0.937,0.937,2
2024-02-29 09:52:00,2000,0.935,0.9363,0.934,0.9363,0.934,10
2024-02-29 10:10:00,335,0.939,0.939,0.939,0.939,0.939,2
2024-02-29 10:27:00,281,0.9399,0.9399,0.9399,0.9399,0.9399,4
2024-02-29 10:38:00,1195,0.9318,0.932,0.93,0.932,0.93,17
2024-02-29 10:41:00,6803,0.9252,0.9295,0.925,0.9295,0.925,10
2024-02-29 10:57:00,100,0.9398,0.9398,0.9398,0.9398,0.9398,1
2024-02-29 11:06:00,100,0.9399,0.9399,0.9399,0.9399,0.9399,1
2024-02-29 11:10:00,100,0.935,0.935,0.935,0.935,0.935,1
2024-02-29 11:11:00,100,0.9337,0.9337,0.9337,0.9337,0.9337,1
2024-02-29 11:17:00,309,0.9339,0.9339,0.9339,0.9339,0.9339,3
2024-02-29 11:26:00,501,0.934,0.9339,0.934,0.934,0.9339,4
2024-02-29 11:33:00,177,0.94,0.94,0.94,0.94,0.94,2
2024-02-29 11:37:00,1055,0.938,0.9431,0.937,0.9431,0.937,7
2024-02-29 11:54:00,300,0.935,0.9356,0.9343,0.9356,0.9343,3
2024-02-29 11:59:00,1000,0.9496,0.947,0.95,0.95,0.947,5
2024-02-29 12:00:00,254,0.9506,0.95,0.9514,0.9514,0.95,5
2024-02-29 12:01:00,100,0.95,0.95,0.95,0.95,0.95,1
2024-02-29 12:03:00,310,0.945,0.95,0.9411,0.95,0.9411,4
2024-02-29 12:07:00,100,0.9529,0.9529,0.9529,0.9529,0.9529,1
2024-02-29 12:37:00,700,0.9531,0.9526,0.9509,0.9564,0.9509,8
2024-02-29 12:44:00,425,0.9552,0.9536,0.9564,0.9564,0.9536,4
2024-02-29 12:45:00,748,0.9609,0.9608,0.9608,0.9608,0.9608,18
2024-02-29 12:46:00,339,0.9486,0.9463,0.9463,0.9463,0.9463,9
2024-02-29 12:55:00,400,0.9534,0.951,0.9627,0.9627,0.9495,4
2024-02-29 12:57:00,220,0.951,0.951,0.951,0.951,0.951,2
2024-02-29 13:00:00,1416,0.9537,0.9628,0.9341,0.9628,0.9341,8
2024-02-29 13:02:00,3964,0.9464,0.937,0.9346,0.9499,0.9346,32
2024-02-29 13:03:00,6561,0.9498,0.95,0.94,0.95,0.94,15
2024-02-29 13:04:00,1582,0.9378,0.937,0.937,0.937,0.937,17
2024-02-29 13:05:00,1833,0.9425,0.9422,0.9454,0.9499,0.9343,27
2024-02-29 13:06:00,310,0.9342,0.9342,0.9342,0.9342,0.9342,1
2024-02-29 13:12:00,151,0.9497,0.9496,0.9496,0.9496,0.9496,3
2024-02-29 13:13:00,1111,0.9448,0.9499,0.941,0.9499,0.941,11
2024-02-29 13:19:00,1009,0.9496,0.9495,0.95,0.95,0.9487,7
2024-02-29 13:35:00,500,0.9588,0.954,0.9628,0.9628,0.954,5
2024-02-29 13:36:00,305,0.9628,0.9628,0.9628,0.9628,0.9628,4
2024-02-29 13:37:00,298,0.9618,0.9628,0.9599,0.9628,0.9599,3
2024-02-29 13:38:00,208,0.96,0.96,0.96,0.96,0.96,2
2024-02-29 13:50:00,150,0.9628,0.9628,0.9628,0.9628,0.9628,1
2024-02-29 13:53:00,1000,0.9629,0.9629,0.9629,0.9629,0.9629,6
2024-02-29 13:57:00,246,0.9628,0.9628,0.9628,0.9628,0.9628,3
2024-02-29 13:58:00,1500,0.962,0.9609,0.9628,0.9628,0.96,7
2024-02-29 14:00:00,313,0.9603,0.9605,0.96,0.9605,0.96,5
2024-02-29 14:01:00,223,0.9615,0.9627,0.96,0.9627,0.96,4
2024-02-29 14:09:00,731,0.9627,0.9627,0.9628,0.9628,0.9627,6
2024-02-29 14:11:00,2366,0.9629,0.9628,0.9629,0.9629,0.9628,5
2024-02-29 14:15:00,195,0.9629,0.9629,0.9629,0.9629,0.9629,1
2024-02-29 14:17:00,2500,0.9606,0.96,0.9629,0.9629,0.96,2
2024-02-29 14:25:00,200,0.9602,0.9602,0.9602,0.9602,0.9602,1
2024-02-29 14:27:00,500,0.9629,0.9629,0.9629,0.9629,0.9629,1
2024-02-29 14:29:00,400,0.9604,0.9609,0.9602,0.9609,0.9602,3
2024-02-29 14:30:00,63846,0.9581,0.955,0.97,0.979,0.955,71
2024-02-29 14:31:00,723,0.9664,0.963,0.979,0.979,0.963,8
2024-02-29 14:32:00,18284,0.9723,0.9745,0.9702,0.979,0.9701,36
2024-02-29 14:33:00,9603,0.9814,0.9799,0.984,0.984,0.979,46
2024-02-29 14:34:00,6356,0.9833,0.984,0.9823,0.9888,0.9823,27
2024-02-29 14:35:00,61200,0.9941,0.98598,0.998,0.998,0.984,73
2024-02-29 14:36:00,2621,0.9936,0.998,0.998,0.998,0.9832,25
2024-02-29 14:37:00,58664,1.0,0.998,1.0005,1.01,0.9937,77
2024-02-29 14:38:00,41420,1.0111,1.01,1.02,1.02,1.005,78
2024-02-29 14:39:00,8546,1.0195,1.02,1.0188,1.02,1.0109,41
2024-02-29 14:40:00,15687,1.011,1.02,1.02,1.02,1.01,90
2024-02-29 14:41:00,141062,0.9917,1.0103,0.9999,1.0103,0.96,134
2024-02-29 14:42:00,2528,0.9782,0.9682,0.9612,0.9999,0.961101,15
2024-02-29 14:43:00,2049,0.9734,0.9682,0.992033,0.992033,0.9682,11
2024-02-29 14:44:00,282,0.9856,0.9851,0.9851,0.9851,0.9851,9
2024-02-29 14:45:00,302,0.9892,0.9912,0.9912,0.9912,0.9912,12
2024-02-29 14:46:00,1348,0.9757,0.9716,0.9808,0.9863,0.9716,8
2024-02-29 14:47:00,1545,0.9805,0.9802,0.9802,0.9803,0.9802,7
2024-02-29 14:48:00,1170,0.9813,0.981,0.981,0.981,0.981,4
2024-02-29 14:49:00,6210,0.9866,0.9811,0.9812,0.987449,0.9811,4
2024-02-29 14:50:00,4040,0.9888,0.988,0.98947,0.98947,0.988,6
2024-02-29 14:51:00,5970,0.9902,0.99,0.9909,0.9909,0.99,11
2024-02-29 14:52:00,14337,0.9905,0.9911,0.99,0.993,0.9899,15
2024-02-29 14:53:00,8486,0.9949,0.9899,0.99699,0.99699,0.989,17
2024-02-29 14:54:00,625,0.9949,0.997,0.997,0.997,0.997,6
2024-02-29 14:55:00,14233,0.9955,0.99,0.9817,0.9999,0.9817,28
2024-02-29 14:56:00,46021,0.9836,0.9818,0.99,0.99,0.9817,42
2024-02-29 14:57:00,4695,0.9877,0.99,0.9869,0.99,0.9869,17
2024-02-29 14:59:00,4395,0.9881,0.988899,0.99,0.993,0.985,19
2024-02-29 15:00:00,11411,0.9931,0.9929,0.993301,0.9944,0.9929,50
2024-02-29 15:01:00,7616,0.9929,0.9932,0.9899,0.9932,0.9899,15
2024-02-29 15:02:00,1203,0.9886,0.9898,0.985,0.9898,0.985,3
2024-02-29 15:03:00,17843,0.9897,0.9899,0.9863,0.9899,0.9863,14
2024-02-29 15:04:00,9581,0.99,0.9863,0.9829,0.9944,0.9829,34
2024-02-29 15:05:00,6865,0.9857,0.9896,0.9962,0.9962,0.983132,7
2024-02-29 15:06:00,9188,0.99,0.9896,0.9962,0.9962,0.9896,7
2024-02-29 15:07:00,55536,0.9934,0.9901,0.9961,0.9962,0.9896,59
2024-02-29 15:08:00,416,0.9962,0.9961,0.9962,0.9962,0.9961,5
2024-02-29 15:09:00,890,0.9899,0.9962,0.99,0.9962,0.9865,8
