t,v,vw,o,c,h,l,n
2023-08-29 08:53:00,187,553.907,553.92,553.92,553.92,553.92,6
2023-08-29 12:00:00,32105,553.9407,554.3,555.0,555.0,554.3,18
2023-08-29 12:01:00,103,554.924,555.0,555.0,555.0,555.0,4
2023-08-29 12:22:00,110,554.0909,554.0,554.0,554.0,554.0,2
2023-08-29 12:35:00,106,554.9612,555.0,555.0,555.0,555.0,4
2023-08-29 12:40:00,200,552.93,552.93,552.93,552.93,552.93,1
2023-08-29 13:00:00,100,554.8235,554.8235,554.8235,554.8235,554.8235,1
2023-08-29 13:28:00,206,554.6503,554.7,554.7,554.7,554.7,8
2023-08-29 13:29:00,673,554.3299,555.0,552.81,555.0,552.81,22
2023-08-29 13:30:00,40909,553.4908,553.45,553.0,554.235,553.0,527
2023-08-29 13:31:00,5094,553.8942,553.33,553.56,554.2713,553.33,148
2023-08-29 13:32:00,11710,554.0828,553.9,554.19,554.3956,553.56,182
2023-08-29 13:33:00,4897,554.1095,554.19,554.24,554.24,554.0,137
2023-08-29 13:34:00,12518,554.3993,554.36,554.6231,554.81,554.21,224
2023-08-29 13:35:00,5004,554.4331,554.57,554.465,554.57,554.305,86
2023-08-29 13:36:00,14720,554.3899,554.445,554.795,554.81,553.97,184
2023-08-29 13:37:00,3236,554.4638,554.625,554.5499,554.88,554.05,166
2023-08-29 13:38:00,7045,554.7825,554.395,555.005,555.605,554.08,189
2023-08-29 13:39:00,10141,555.9821,555.39,555.5,556.25,555.12,297
2023-08-29 13:40:00,7254,555.8522,555.55,555.55,556.345,555.45,195
2023-08-29 13:41:00,3287,555.0816,555.535,554.73,555.59,554.6,132
2023-08-29 13:42:00,3953,554.8101,554.41,555.0,555.02,554.4,169
2023-08-29 13:43:00,2323,554.6699,555.21,554.0,555.21,554.0,97
2023-08-29 13:44:00,6104,553.872,553.85,553.78,554.19,553.68,187
2023-08-29 13:45:00,6358,553.9363,553.7,553.93,554.23,553.7,172
2023-08-29 13:46:00,1975,553.9012,554.0,553.5,554.2299,553.5,117
2023-08-29 13:47:00,2297,553.7594,553.885,553.74,553.99,553.5,144
2023-08-29 13:48:00,2347,553.6865,553.79,553.712,553.79,553.575,116
2023-08-29 13:49:00,861,553.6344,553.6983,553.4455,553.6983,553.4455,88
2023-08-29 13:50:00,2445,553.8444,553.47,553.915,554.0,553.47,131
2023-08-29 13:51:00,3739,553.9951,553.88,554.125,554.166,553.77,177
2023-08-29 13:52:00,3799,554.2082,554.15,554.3,554.6009,554.01,150
2023-08-29 13:53:00,1417,554.1496,554.1796,554.015,554.25,554.015,98
2023-08-29 13:54:00,2312,553.7346,554.01,553.33,554.01,553.33,144
2023-08-29 13:55:00,3872,553.4458,553.42,553.62,553.79,553.09,144
2023-08-29 13:56:00,3948,553.3239,553.44,553.1,553.485,553.1,134
2023-08-29 13:57:00,3196,553.3196,553.03,553.235,553.47,553.03,82
2023-08-29 13:58:00,3830,553.6451,553.79,553.54,553.79,553.54,131
2023-08-29 13:59:00,2793,553.5135,553.48,553.37,553.67,553.14,147
2023-08-29 14:00:00,8430,554.03,553.37,554.325,554.325,553.37,231
2023-08-29 14:01:00,7028,554.0889,554.34,553.94,554.34,553.89,201
2023-08-29 14:02:00,1736,554.0207,553.975,554.185,554.46,553.85,82
2023-08-29 14:03:00,5559,554.017,554.03,553.73,554.39,553.73,161
2023-08-29 14:04:00,3718,553.9362,553.885,553.92,554.09,553.785,148
2023-08-29 14:05:00,3629,553.9883,553.83,554.1685,554.26,553.7,120
2023-08-29 14:06:00,10464,553.9951,554.0109,553.37,554.325,553.37,209
2023-08-29 14:07:00,4539,553.0571,553.485,553.01,553.485,552.98,212
2023-08-29 14:08:00,2283,553.3264,553.01,553.44,553.48,553.01,84
2023-08-29 14:09:00,2341,553.0574,553.16,553.01,553.16,553.0,115
2023-08-29 14:10:00,22565,553.1723,553.1538,553.42,553.65,553.0,195
2023-08-29 14:11:00,3331,553.1107,553.11,553.11,553.11,552.895,127
2023-08-29 14:12:00,3361,553.3308,553.31,553.3,553.4799,553.02,93
2023-08-29 14:13:00,3587,553.0018,553.25,552.99,553.25,552.86,146
2023-08-29 14:14:00,1167,553.1416,553.17,553.0063,553.18,553.0063,106
2023-08-29 14:15:00,965,553.1633,553.185,553.185,553.185,553.185,74
2023-08-29 14:16:00,3218,553.1724,553.29,553.14,553.29,553.01,116
2023-08-29 14:17:00,3771,553.0244,553.14,552.975,553.2399,552.75,140
2023-08-29 14:18:00,3402,552.9782,552.8573,553.0,553.09,552.82,126
2023-08-29 14:19:00,5353,552.8436,552.87,552.84,553.0,552.66,198
2023-08-29 14:20:00,676,552.901,552.88,552.88,552.88,552.88,57
2023-08-29 14:21:00,2278,553.1654,553.0,553.405,553.405,553.0,106
2023-08-29 14:22:00,3352,553.2485,553.445,553.39,553.67,553.05,152
2023-08-29 14:23:00,2268,552.9525,552.992,552.84,553.39,552.71,118
2023-08-29 14:24:00,3075,552.5737,552.84,552.38,552.86,552.38,156
2023-08-29 14:25:00,2887,551.9846,552.36,551.835,552.36,551.75,164
2023-08-29 14:26:00,4072,551.7995,551.72,551.755,551.9185,551.6,135
2023-08-29 14:27:00,3139,552.0252,551.95,552.0,552.08,551.83,156
2023-08-29 14:28:00,1935,551.6962,551.78,551.7382,551.78,551.56,143
2023-08-29 14:29:00,3110,551.9035,551.75,552.15,552.15,551.75,109
2023-08-29 14:30:00,3921,552.2078,552.15,552.14,552.48,552.0,154
2023-08-29 14:31:00,1954,552.356,552.3151,552.42,552.4499,552.295,77
2023-08-29 14:32:00,8944,552.4501,552.315,552.63,552.797,552.14,211
2023-08-29 14:33:00,6213,552.3473,552.64,552.35,552.64,552.0701,215
2023-08-29 14:34:00,3080,552.2355,552.22,552.08,552.3483,552.08,120
2023-08-29 14:35:00,2806,552.1192,552.19,552.0001,552.19,552.0001,156
2023-08-29 14:36:00,3204,552.1584,552.1061,552.145,552.24,552.03,85
2023-08-29 14:37:00,6794,551.7113,552.0,551.25,552.06,551.1401,323
2023-08-29 14:38:00,5264,551.41,551.5,551.55,551.55,551.19,216
2023-08-29 14:39:00,5833,551.4393,551.56,551.78,551.78,551.17,217
2023-08-29 14:40:00,8997,551.643,551.62,551.23,552.18,551.23,224
2023-08-29 14:41:00,1994,551.3937,551.27,551.35,551.5199,551.27,126
2023-08-29 14:42:00,4603,551.2657,551.56,551.325,551.56,551.1701,118
2023-08-29 14:43:00,1453,551.5254,551.48,551.74,551.74,551.33,122
2023-08-29 14:44:00,2793,551.3859,551.61,551.15,551.61,551.15,154
2023-08-29 14:45:00,6949,551.0106,551.09,551.05,551.25,550.8,239
2023-08-29 14:46:00,14536,550.8297,551.07,550.915,551.2,550.55,312
2023-08-29 14:47:00,17733,550.7172,550.65,550.72,550.99,550.5272,317
2023-08-29 14:48:00,6668,550.5,550.67,550.52,550.76,550.275,162
2023-08-29 14:49:00,10112,550.3967,550.5,550.545,550.79,550.2,223
2023-08-29 14:50:00,9148,550.7699,550.74,550.78,551.17,550.54,257
2023-08-29 14:51:00,2536,551.1175,551.37,551.245,551.38,551.015,133
2023-08-29 14:52:00,877,551.0156,551.34,550.88,551.34,550.88,65
2023-08-29 14:53:00,1941,551.2151,550.91,551.63,551.63,550.91,108
2023-08-29 14:54:00,4975,551.1003,551.41,550.59,551.41,550.58,188
2023-08-29 14:55:00,2181,550.6312,550.6,550.695,550.88,550.51,110
2023-08-29 14:56:00,6784,550.3567,550.89,550.13,550.89,550.01,219
2023-08-29 14:57:00,3171,550.364,550.25,550.5,550.53,550.25,121
2023-08-29 14:58:00,12603,550.1784,550.21,550.672,550.672,549.86,380
2023-08-29 14:59:00,3013,550.4829,550.4401,550.43,550.7028,550.34,93
2023-08-29 15:00:00,2170,550.5415,550.6075,550.49,550.6075,550.49,121
2023-08-29 15:01:00,2349,550.4886,550.25,550.76,550.76,550.25,113
2023-08-29 15:02:00,2029,550.4391,550.6,550.22,550.74,550.22,109
2023-08-29 15:03:00,2158,550.3882,550.245,550.45,550.46,550.1366,74
2023-08-29 15:04:00,1751,550.5325,550.645,550.61,550.685,550.4,104
2023-08-29 15:05:00,1160,550.7885,550.93,550.805,550.93,550.805,66
2023-08-29 15:06:00,1932,550.8094,550.66,550.87,550.88,550.66,93
2023-08-29 15:07:00,2934,550.6568,550.895,550.6,550.895,550.3801,138
2023-08-29 15:08:00,1938,550.5664,550.67,550.5,550.67,550.5,97
2023-08-29 15:09:00,780,550.6238,550.66,550.66,550.66,550.66,62
2023-08-29 15:10:00,1138,550.6525,550.665,550.665,550.674,550.6544,76
2023-08-29 15:11:00,878,550.6411,550.5826,550.695,550.695,550.5826,54
2023-08-29 15:12:00,8964,550.7266,550.49,550.93,550.93,550.36,280
2023-08-29 15:13:00,6176,550.929,550.93,550.9825,551.12,550.805,132
2023-08-29 15:14:00,2758,550.8744,550.91,550.76,550.91,550.76,113
2023-08-29 15:15:00,3401,550.8264,550.77,551.09,551.09,550.66,156
2023-08-29 15:16:00,2230,551.1616,551.1924,551.01,551.32,551.01,101
2023-08-29 15:17:00,1949,551.0104,551.33,550.91,551.33,550.91,95
2023-08-29 15:18:00,2409,551.0727,550.85,551.26,551.26,550.85,91
2023-08-29 15:19:00,1664,551.273,551.125,551.205,551.3586,551.125,75
2023-08-29 15:20:00,3082,551.1091,551.2025,550.99,551.39,550.98,201
2023-08-29 15:21:00,1434,551.1211,551.025,551.025,551.23,551.02,56
2023-08-29 15:22:00,2415,551.3747,551.25,551.6199,551.6199,551.1484,129
2023-08-29 15:23:00,1122,551.4304,551.42,551.35,551.5275,551.35,74
2023-08-29 15:24:00,1468,551.7476,551.64,551.93,551.93,551.44,93
2023-08-29 15:25:00,1686,551.822,551.7102,551.81,551.99,551.7102,118
2023-08-29 15:26:00,1075,551.9452,551.81,552.0,552.0,551.81,60
2023-08-29 15:27:00,616,551.7208,551.855,551.855,551.855,551.855,63
2023-08-29 15:28:00,1058,551.8885,551.9,551.97,551.97,551.8235,66
2023-08-29 15:29:00,3496,551.8077,551.89,551.835,552.02,551.75,148
2023-08-29 15:30:00,1580,552.1023,551.94,552.26,552.26,551.94,109
2023-08-29 15:31:00,2177,552.0662,552.15,552.1221,552.15,551.96,112
2023-08-29 15:32:00,1723,551.9594,552.085,552.01,552.085,551.87,103
2023-08-29 15:33:00,2060,551.8748,552.08,551.77,552.08,551.77,93
2023-08-29 15:34:00,2652,551.9794,551.865,552.0478,552.0478,551.865,75
2023-08-29 15:35:00,4702,552.2182,551.8201,552.13,552.38,551.8201,136
2023-08-29 15:36:00,3604,552.5161,552.17,552.535,552.69,552.17,111
2023-08-29 15:37:00,6134,552.2518,552.38,551.82,552.39,551.82,190
2023-08-29 15:38:00,2987,551.7751,551.76,551.735,551.87,551.65,74
2023-08-29 15:40:00,3303,551.6228,551.64,551.63,551.65,551.42,159
2023-08-29 15:41:00,2389,551.4496,551.48,551.55,551.55,551.271,104
2023-08-29 15:42:00,5703,551.4723,551.5,551.21,551.56,551.21,175
2023-08-29 15:43:00,2058,551.3175,551.31,551.3521,551.3521,551.2862,103
2023-08-29 15:44:00,1306,551.1386,551.2,551.08,551.2,551.08,142
2023-08-29 15:45:00,908,550.9744,550.863,551.01,551.1,550.863,79
2023-08-29 15:46:00,1675,551.0184,551.0394,551.1,551.1,551.0394,100
2023-08-29 15:47:00,1453,551.0972,550.96,550.98,551.29,550.96,114
2023-08-29 15:48:00,2578,551.1482,551.12,551.32,551.32,551.03,115
2023-08-29 15:49:00,2059,551.4232,551.44,551.485,551.56,551.31,91
2023-08-29 15:50:00,4216,551.4076,551.485,551.28,551.615,551.24,184
2023-08-29 15:51:00,7563,551.3133,551.235,551.325,551.42,551.22,167
2023-08-29 15:52:00,2524,551.1852,551.23,551.01,551.235,551.01,129
2023-08-29 15:53:00,2356,551.1,551.185,551.065,551.185,551.0,103
2023-08-29 15:54:00,1390,551.0538,551.07,551.08,551.085,551.07,105
2023-08-29 15:55:00,2676,551.1864,551.085,551.24,551.24,551.085,153
2023-08-29 15:56:00,4632,551.3293,551.0,551.43,551.63,551.0,193
2023-08-29 15:57:00,1170,551.3036,551.25,551.438,551.438,551.25,88
2023-08-29 15:59:00,677,551.4392,551.48,551.495,551.495,551.48,71
2023-08-29 16:00:00,1002,551.3837,551.14,551.39,551.515,551.14,91
2023-08-29 16:01:00,1719,551.5689,551.545,551.63,551.68,551.5029,99
2023-08-29 16:02:00,1860,551.9087,551.69,552.18,552.22,551.65,116
2023-08-29 16:03:00,882,552.1677,552.0,552.285,552.285,552.0,83
2023-08-29 16:04:00,1730,552.5057,552.29,552.7408,552.7408,552.29,107
2023-08-29 16:05:00,1702,552.7542,552.8,552.745,552.85,552.745,104
2023-08-29 16:06:00,1893,552.5235,552.61,552.44,552.675,552.33,139
2023-08-29 16:07:00,813,552.3437,552.7,552.7,552.7,552.7,175
2023-08-29 16:08:00,1116,552.359,552.3007,552.405,552.405,552.195,132
2023-08-29 16:09:00,618,552.3497,552.405,552.405,552.405,552.405,81
2023-08-29 16:10:00,1376,552.4613,552.46,552.37,552.7,552.37,106
2023-08-29 16:11:00,974,552.4571,552.58,552.319,552.58,552.319,64
2023-08-29 16:12:00,724,552.3629,552.385,552.3,552.385,552.3,73
2023-08-29 16:13:00,807,552.3117,552.28,552.215,552.28,552.215,93
2023-08-29 16:14:00,1206,552.3321,552.328,552.456,552.456,552.328,84
2023-08-29 16:15:00,1986,552.5458,552.46,552.66,552.88,552.46,103
2023-08-29 16:16:00,864,552.6305,552.66,552.68,552.68,552.66,123
2023-08-29 16:17:00,5909,552.8307,552.625,552.86,552.907,552.625,306
2023-08-29 16:18:00,1553,552.7277,552.74,552.64,552.74,552.63,104
2023-08-29 16:19:00,3476,552.9278,552.715,553.2156,553.2156,552.715,112
2023-08-29 16:20:00,915,553.0112,553.04,553.06,553.06,552.91,71
2023-08-29 16:21:00,1520,553.2028,553.1423,553.23,553.26,553.095,85
2023-08-29 16:22:00,3885,553.262,553.2963,553.25,553.3,553.2,171
