t,v,vw,o,c,h,l,n
2023-06-02 08:08:00,200,56.0,56.0,56.0,56.0,56.0,1
2023-06-02 10:52:00,5290,56.4568,56.39,56.6,56.6,56.39,13
2023-06-02 10:53:00,724,56.6005,56.6,56.6,56.6,56.6,6
2023-06-02 10:57:00,200,56.63,56.63,56.63,56.63,56.63,2
2023-06-02 10:58:00,1007,56.6111,56.63,56.6,56.63,56.6,7
2023-06-02 11:00:00,860,56.6129,56.61,56.63,56.63,56.6,10
2023-06-02 11:01:00,805,56.6,56.6,56.6,56.6,56.6,6
2023-06-02 11:07:00,407,56.6,56.6,56.6,56.6,56.6,3
2023-06-02 11:09:00,388,56.6,56.6,56.6,56.6,56.6,2
2023-06-02 11:19:00,500,56.7553,56.74,56.77,56.77,56.74,7
2023-06-02 12:00:00,458,56.6344,56.67,56.66,56.67,56.6,6
2023-06-02 12:02:00,2107,56.3043,55.45,56.35,56.35,55.45,2
2023-06-02 12:10:00,548,56.7019,56.7,56.7,56.71,56.7,4
2023-06-02 12:40:00,1340,56.8518,56.87,56.85,56.87,56.85,13
2023-06-02 12:46:00,100,56.7868,56.7868,56.7868,56.7868,56.7868,1
2023-06-02 12:47:00,1479,56.6977,56.7,56.69,56.7,56.69,18
2023-06-02 12:57:00,489,56.6618,56.66,56.66,56.66,56.66,12
2023-06-02 13:03:00,120,56.6683,56.66,56.66,56.66,56.66,2
2023-06-02 13:09:00,162,56.6842,56.69,56.69,56.69,56.69,8
2023-06-02 13:21:00,528,56.7556,56.78,56.78,56.78,56.78,13
2023-06-02 13:22:00,325,56.8102,56.8,56.82,56.82,56.8,6
2023-06-02 13:28:00,4700,56.8929,56.82,56.9,56.9,56.82,37
2023-06-02 13:29:00,15887,57.0749,56.9,57.32,57.32,56.89,89
2023-06-02 13:30:00,100879,57.2157,57.25,57.14,57.25,56.98,328
2023-06-02 13:31:00,66370,57.5335,57.11,57.65,57.9,57.11,890
2023-06-02 13:32:00,16650,57.3573,57.625,57.4,57.66,57.1897,353
2023-06-02 13:33:00,20833,57.4642,57.425,57.61,57.61,57.34,297
2023-06-02 13:34:00,31244,57.4972,57.67,57.34,57.7,57.3,409
2023-06-02 13:35:00,181138,57.274,57.35,57.07,57.4,57.06,1959
2023-06-02 13:36:00,23707,57.0553,57.03,57.1,57.12,56.975,327
2023-06-02 13:37:00,9432,57.1424,57.24,57.11,57.25,57.06,148
2023-06-02 13:38:00,32250,57.1762,57.15,56.95,57.27,56.95,271
2023-06-02 13:39:00,19770,56.8177,56.92,56.65,56.94,56.65,315
2023-06-02 13:40:00,34510,56.7054,56.65,56.95,57.0,56.49,455
2023-06-02 13:41:00,30133,57.0237,57.0,57.04,57.18,56.9,378
2023-06-02 13:42:00,12156,57.0676,57.08,57.105,57.135,56.99,159
2023-06-02 13:43:00,9473,57.1161,57.12,57.08,57.18,57.07,183
2023-06-02 13:44:00,3944,57.0945,57.07,57.12,57.12,57.06,80
2023-06-02 13:45:00,7000,57.1322,57.12,57.13,57.18,57.09,120
2023-06-02 13:46:00,13684,57.0399,57.13,57.01,57.13,56.94,265
2023-06-02 13:47:00,6479,56.9046,56.91,56.98,56.98,56.85,148
2023-06-02 13:48:00,9622,57.0571,57.0,57.12,57.12,57.0,197
2023-06-02 13:49:00,17011,57.1135,57.1687,57.0,57.18,56.98,257
2023-06-02 13:50:00,8981,56.9822,56.97,57.0882,57.09,56.91,114
2023-06-02 13:51:00,8234,57.0007,57.07,56.915,57.09,56.9,166
2023-06-02 13:52:00,9893,56.9726,56.95,57.13,57.13,56.86,190
2023-06-02 13:53:00,17061,57.1096,57.11,57.12,57.17,57.07,304
2023-06-02 13:54:00,16447,57.1552,57.12,57.19,57.2,57.12,304
2023-06-02 13:55:00,21520,57.2059,57.21,57.23,57.24,57.1,241
2023-06-02 13:56:00,23683,57.3256,57.23,57.46,57.46,57.23,331
2023-06-02 13:57:00,30581,57.4423,57.49,57.3291,57.5,57.31,387
2023-06-02 13:58:00,19966,57.2715,57.3,57.2316,57.32,57.21,313
2023-06-02 13:59:00,13792,57.2834,57.26,57.38,57.38,57.23,269
2023-06-02 14:00:00,19041,57.3359,57.38,57.323,57.4,57.275,367
2023-06-02 14:01:00,18589,57.3267,57.33,57.4,57.4,57.28,274
2023-06-02 14:02:00,11648,57.3839,57.44,57.37,57.47,57.31,239
2023-06-02 14:03:00,20151,57.4556,57.39,57.495,57.5,57.38,303
2023-06-02 14:04:00,17562,57.4689,57.495,57.43,57.495,57.43,221
2023-06-02 14:05:00,13956,57.4055,57.43,57.39,57.46,57.29,230
2023-06-02 14:06:00,27734,57.4811,57.41,57.44,57.5,57.4,348
2023-06-02 14:07:00,61089,57.5675,57.48,57.58,57.6,57.47,595
2023-06-02 14:08:00,30924,57.6701,57.57,57.68,57.7,57.57,330
2023-06-02 14:09:00,25996,57.6085,57.66,57.65,57.67,57.51,241
2023-06-02 14:10:00,38162,57.6836,57.665,57.71,57.72,57.63,346
2023-06-02 14:11:00,15220,57.7531,57.725,57.77,57.79,57.71,189
2023-06-02 14:12:00,18728,57.7823,57.77,57.72,57.8,57.72,223
2023-06-02 14:13:00,10223,57.6791,57.71,57.71,57.72,57.65,169
2023-06-02 14:14:00,12729,57.7562,57.69,57.785,57.8,57.69,178
2023-06-02 14:15:00,37132,57.8179,57.7785,57.89,57.89,57.7785,291
2023-06-02 14:16:00,50962,57.8868,57.9,57.86,57.9,57.85,454
2023-06-02 14:17:00,18199,57.8399,57.85,57.8363,57.87,57.81,198
2023-06-02 14:18:00,19208,57.7957,57.83,57.79,57.885,57.7501,280
2023-06-02 14:19:00,26072,57.7638,57.79,57.705,57.8199,57.67,279
2023-06-02 14:20:00,16935,57.7312,57.69,57.815,57.83,57.65,282
2023-06-02 14:21:00,15442,57.8449,57.8,57.865,57.9,57.78,246
2023-06-02 14:22:00,11391,57.8439,57.88,57.82,57.88,57.8,194
