t,v,vw,o,c,h,l,n
2023-06-26 11:00:00,4035,10.0531,10.1,10.05,10.1,10.05,7
2023-06-26 11:48:00,508,10.092,10.09,10.1,10.1,10.09,7
2023-06-26 11:52:00,469,10.1048,10.11,10.1,10.11,10.1,6
2023-06-26 11:58:00,180,10.11,10.11,10.11,10.11,10.11,2
2023-06-26 12:00:00,14846,10.0997,10.0992,10.11,10.11,10.08,12
2023-06-26 12:01:00,1500,10.1167,10.12,10.11,10.12,10.11,10
2023-06-26 12:07:00,456,10.1,10.1,10.1,10.1,10.1,5
2023-06-26 12:08:00,200,10.1,10.1,10.1,10.1,10.1,1
2023-06-26 12:11:00,753,10.08,10.09,10.08,10.09,10.08,9
2023-06-26 12:19:00,456,10.0925,10.09,10.09,10.09,10.09,5
2023-06-26 12:28:00,100,10.1094,10.1094,10.1094,10.1094,10.1094,1
2023-06-26 12:34:00,200,10.08,10.08,10.08,10.08,10.08,1
2023-06-26 13:00:00,1450,10.0931,10.09,10.11,10.11,10.09,10
2023-06-26 13:05:00,16197,10.102,10.12,10.11,10.12,10.11,10
2023-06-26 13:07:00,350,10.1,10.1,10.1,10.1,10.1,1
2023-06-26 13:09:00,1003,10.12,10.12,10.12,10.12,10.12,3
2023-06-26 13:13:00,100,10.12,10.12,10.12,10.12,10.12,1
2023-06-26 13:19:00,1720,10.0942,10.1,10.09,10.1,10.09,18
2023-06-26 13:25:00,7721,10.1094,10.1,10.11,10.11,10.1,16
2023-06-26 13:26:00,500,10.15,10.15,10.15,10.15,10.15,1
2023-06-26 13:27:00,100,10.08,10.08,10.08,10.08,10.08,1
2023-06-26 13:29:00,2595,10.0705,10.07,10.07,10.07,10.07,8
2023-06-26 13:30:00,100511,10.0525,10.08,10.03,10.09,9.98,452
2023-06-26 13:31:00,30701,10.0576,10.03,10.1,10.11,10.015,218
2023-06-26 13:32:00,19636,10.0997,10.095,10.11,10.1199,10.085,124
2023-06-26 13:33:00,23554,10.1449,10.11,10.17,10.17,10.11,97
2023-06-26 13:34:00,17145,10.1417,10.16,10.125,10.17,10.1242,98
2023-06-26 13:35:00,52753,10.1309,10.125,10.14,10.15,10.1,270
2023-06-26 13:36:00,23731,10.1464,10.135,10.165,10.17,10.135,121
2023-06-26 13:37:00,17798,10.1487,10.1616,10.155,10.1616,10.1398,119
2023-06-26 13:38:00,29594,10.1485,10.1598,10.135,10.1598,10.135,137
2023-06-26 13:39:00,16245,10.1624,10.135,10.185,10.185,10.135,139
2023-06-26 13:40:00,17947,10.2031,10.185,10.2181,10.22,10.185,104
2023-06-26 13:41:00,23170,10.2004,10.215,10.2,10.22,10.1901,124
2023-06-26 13:42:00,65228,10.1945,10.19,10.21,10.225,10.185,225
2023-06-26 13:43:00,15202,10.1999,10.201,10.205,10.21,10.19,70
2023-06-26 13:44:00,7861,10.2108,10.205,10.21,10.22,10.205,89
2023-06-26 13:45:00,15676,10.2181,10.21,10.225,10.23,10.2,104
2023-06-26 13:46:00,36692,10.2297,10.2217,10.245,10.25,10.21,291
2023-06-26 13:47:00,30819,10.2532,10.245,10.265,10.27,10.24,168
2023-06-26 13:48:00,24718,10.2616,10.27,10.25,10.28,10.245,197
2023-06-26 13:49:00,22352,10.2282,10.25,10.22,10.25,10.215,125
2023-06-26 13:50:00,33813,10.2098,10.22,10.235,10.24,10.19,210
2023-06-26 13:51:00,23565,10.2621,10.2399,10.28,10.28,10.2337,141
