t,v,vw,o,c,h,l,n
2023-08-21 13:30:00,1646,3.37,3.37,3.37,3.37,3.37,1
2023-08-21 13:35:00,1500,3.3321,3.3321,3.3321,3.3321,3.3321,1
2023-08-21 13:36:00,190,3.3382,3.35,3.35,3.35,3.35,2
2023-08-21 13:37:00,201,3.3501,3.35,3.35,3.35,3.35,2
2023-08-21 13:49:00,400,3.2801,3.2801,3.2801,3.2801,3.2801,1
2023-08-21 14:21:00,1976,3.2926,3.28,3.37,3.37,3.28,4
2023-08-21 14:24:00,100,3.38,3.38,3.38,3.38,3.38,1
2023-08-21 14:26:00,2186,3.2604,3.32,3.23,3.32,3.23,36
2023-08-21 14:45:00,209,3.3277,3.3262,3.3262,3.3262,3.3262,3
2023-08-21 15:20:00,407,3.2867,3.286,3.286,3.286,3.286,3
2023-08-21 15:53:00,1100,3.3269,3.34,3.3256,3.34,3.3256,2
2023-08-21 15:55:00,107,3.323,3.32,3.32,3.32,3.32,3
2023-08-21 15:56:00,462,3.3545,3.36,3.355,3.36,3.35,7
2023-08-21 16:10:00,114,3.3319,3.3319,3.3319,3.3319,3.3319,1
2023-08-21 16:28:00,111,3.363,3.36,3.36,3.36,3.36,2
2023-08-21 16:32:00,100,3.38,3.38,3.38,3.38,3.38,1
2023-08-21 16:41:00,140,3.3389,3.3389,3.3389,3.3389,3.3389,1
2023-08-21 16:42:00,100,3.37,3.37,3.37,3.37,3.37,1
2023-08-21 16:53:00,100,3.37,3.37,3.37,3.37,3.37,1
2023-08-21 17:22:00,162,3.3431,3.35,3.35,3.35,3.35,9
2023-08-21 17:32:00,1482,3.35,3.35,3.35,3.35,3.35,1
2023-08-21 17:39:00,244,3.37,3.37,3.37,3.37,3.37,7
2023-08-21 17:43:00,105,3.3605,3.36,3.36,3.36,3.36,2
2023-08-21 17:46:00,304,3.3601,3.36,3.36,3.36,3.36,5
2023-08-21 17:49:00,190,3.37,3.37,3.37,3.37,3.37,4
2023-08-21 17:55:00,105,3.3605,3.36,3.36,3.36,3.36,2
2023-08-21 17:57:00,210,3.3652,3.36,3.36,3.36,3.36,5
2023-08-21 18:07:00,543,3.3506,3.3501,3.3501,3.3501,3.3501,6
2023-08-21 18:08:00,150,3.3673,3.37,3.37,3.37,3.37,2
2023-08-21 18:26:00,2729,3.3489,3.35,3.33,3.35,3.33,46
2023-08-21 18:31:00,566,3.319,3.32,3.31,3.3282,3.31,16
2023-08-21 19:02:00,200,3.35,3.35,3.35,3.35,3.35,2
2023-08-21 19:10:00,100,3.35,3.35,3.35,3.35,3.35,1
2023-08-21 19:18:00,107,3.3366,3.335,3.335,3.335,3.335,2
2023-08-21 19:25:00,111,3.331,3.33,3.33,3.33,3.33,2
2023-08-21 19:29:00,4987,3.2658,3.34,3.25,3.34,3.25,73
2023-08-21 19:30:00,1635,3.2265,3.22,3.28,3.28,3.22,12
2023-08-21 19:39:00,5417,3.2201,3.22,3.22,3.22,3.22,3
2023-08-21 19:41:00,4202,3.2202,3.2202,3.2202,3.2202,3.2202,2
2023-08-21 19:50:00,426,3.2936,3.29,3.29,3.29,3.29,7
2023-08-21 19:51:00,578,3.317,3.32,3.315,3.32,3.315,9
2023-08-21 19:53:00,123,3.3297,3.325,3.325,3.325,3.325,5
2023-08-21 19:55:00,1605,3.3116,3.33,3.3,3.33,3.3,43
2023-08-21 19:56:00,187,3.2903,3.29,3.29,3.29,3.29,6
2023-08-21 19:59:00,466,3.2743,3.25,3.25,3.25,3.25,15
2023-08-22 13:30:00,150,3.31,3.31,3.31,3.31,3.31,2
2023-08-22 13:31:00,135,3.3748,3.38,3.38,3.38,3.38,2
2023-08-22 13:35:00,100,3.3553,3.3553,3.3553,3.3553,3.3553,1
2023-08-22 13:45:00,200,3.31,3.31,3.31,3.31,3.31,2
2023-08-22 13:52:00,3039,3.2999,3.3,3.3,3.3,3.3,18
2023-08-22 13:55:00,200,3.29,3.29,3.29,3.29,3.29,1
2023-08-22 14:04:00,1100,3.2727,3.29,3.27,3.29,3.27,19
2023-08-22 14:05:00,100,3.27,3.27,3.27,3.27,3.27,1
2023-08-22 14:08:00,100,3.28,3.28,3.28,3.28,3.28,1
2023-08-22 14:09:00,100,3.2799,3.2799,3.2799,3.2799,3.2799,1
2023-08-22 14:10:00,300,3.27,3.27,3.28,3.28,3.26,3
2023-08-22 14:11:00,465,3.2721,3.28,3.27,3.28,3.27,8
2023-08-22 14:13:00,168,3.2568,3.25,3.25,3.25,3.25,5
2023-08-22 14:20:00,500,3.2875,3.28,3.2894,3.2894,3.28,2
2023-08-22 14:46:00,650,3.24,3.24,3.24,3.24,3.24,8
2023-08-22 14:47:00,600,3.23,3.23,3.23,3.23,3.23,9
2023-08-22 14:52:00,1449,3.2186,3.22,3.22,3.22,3.21,7
2023-08-22 15:05:00,651,3.2327,3.23,3.232,3.232,3.23,4
2023-08-22 15:07:00,103,3.2849,3.285,3.285,3.285,3.285,2
2023-08-22 15:15:00,100,3.315,3.315,3.315,3.315,3.315,1
2023-08-22 15:16:00,100,3.2501,3.2501,3.2501,3.2501,3.2501,1
2023-08-22 15:37:00,140,3.34,3.34,3.34,3.34,3.34,2
2023-08-22 16:02:00,228,3.3378,3.33,3.345,3.345,3.33,3
2023-08-22 16:24:00,160,3.27,3.27,3.27,3.27,3.27,1
2023-08-22 16:29:00,200,3.3,3.3,3.3,3.3,3.3,1
2023-08-22 16:33:00,122,3.34,3.34,3.34,3.34,3.34,3
2023-08-22 16:39:00,1500,3.2987,3.2987,3.2987,3.2987,3.2987,1
2023-08-22 16:47:00,370,3.2501,3.2501,3.2501,3.2501,3.2501,1
2023-08-22 16:50:00,100,3.325,3.325,3.325,3.325,3.325,1
2023-08-22 17:30:00,110,3.35,3.35,3.35,3.35,3.35,2
2023-08-22 17:36:00,955,3.3241,3.33,3.32,3.33,3.32,17
2023-08-22 17:42:00,104,3.32,3.32,3.32,3.32,3.32,2
2023-08-22 17:46:00,105,3.3198,3.32,3.32,3.32,3.32,3
2023-08-22 18:20:00,100,3.34,3.34,3.34,3.34,3.34,1
2023-08-22 18:26:00,113,3.34,3.34,3.34,3.34,3.34,1
2023-08-22 18:27:00,2329,3.3399,3.34,3.34,3.34,3.34,12
2023-08-22 18:31:00,296,3.34,3.34,3.34,3.34,3.34,5
2023-08-22 18:33:00,100,3.34,3.34,3.34,3.34,3.34,1
2023-08-22 18:36:00,211,3.331,3.3499,3.31,3.3499,3.31,3
2023-08-22 18:41:00,104,3.35,3.35,3.35,3.35,3.35,3
2023-08-22 18:44:00,100,3.35,3.35,3.35,3.35,3.35,1
2023-08-22 18:46:00,100,3.35,3.35,3.35,3.35,3.35,1
2023-08-22 18:55:00,101,3.3401,3.34,3.34,3.34,3.34,2
2023-08-22 19:10:00,154,3.3351,3.335,3.335,3.335,3.335,3
2023-08-22 19:12:00,200,3.335,3.335,3.335,3.335,3.335,5
2023-08-22 19:13:00,205,3.3367,3.3227,3.35,3.35,3.3227,3
2023-08-22 19:16:00,101,3.35,3.35,3.35,3.35,3.35,2
2023-08-22 19:23:00,101,3.35,3.35,3.35,3.35,3.35,2
2023-08-22 19:32:00,101,3.3351,3.335,3.335,3.335,3.335,2
2023-08-22 19:40:00,832,3.3305,3.35,3.335,3.35,3.32,32
2023-08-22 19:44:00,1601,3.3306,3.33,3.34,3.34,3.33,7
2023-08-22 19:47:00,1000,3.3405,3.345,3.34,3.345,3.34,2
2023-08-22 19:49:00,1389,3.2628,3.29,3.24,3.29,3.24,21
2023-08-22 19:50:00,4016,3.1994,3.2,3.2,3.22,3.19,22
