t,v,vw,o,c,h,l,n
2023-05-09 12:00:00,133,54.0,54.0,54.0,54.0,54.0,1
2023-05-09 13:30:00,14221,53.7886,53.8,53.695,53.8,53.62,39
2023-05-09 13:31:00,3155,53.7652,53.76,53.82,53.82,53.715,63
2023-05-09 13:32:00,2013,53.8753,53.84,53.89,53.89,53.84,23
2023-05-09 13:33:00,320,53.9242,53.915,53.95,53.95,53.915,6
2023-05-09 13:34:00,876,53.8656,53.925,53.83,53.925,53.83,29
2023-05-09 13:35:00,293,53.8416,53.835,53.855,53.855,53.835,6
2023-05-09 13:36:00,732,53.8811,53.87,53.94,53.94,53.83,10
2023-05-09 13:37:00,300,53.8783,53.88,53.88,53.88,53.88,3
2023-05-09 13:38:00,2040,53.8356,53.835,53.835,53.85,53.815,28
2023-05-09 13:39:00,1138,53.8597,53.84,53.8746,53.91,53.84,20
2023-05-09 13:40:00,317,53.8556,53.86,53.89,53.89,53.82,5
2023-05-09 13:41:00,2225,53.9122,53.89,53.955,53.96,53.89,38
2023-05-09 13:42:00,7068,53.9955,53.955,53.98,54.0,53.955,83
2023-05-09 13:43:00,10837,53.9982,54.0,53.99,54.0,53.975,125
2023-05-09 13:44:00,9663,53.9968,54.0,53.91,54.0,53.91,94
2023-05-09 13:45:00,1058,53.9423,53.95,53.915,53.95,53.915,19
2023-05-09 13:46:00,894,53.9013,53.91,53.895,53.94,53.89,14
2023-05-09 13:47:00,1326,53.9424,53.93,53.93,53.97,53.93,32
2023-05-09 13:49:00,1107,53.8585,53.87,53.88,53.88,53.839,23
2023-05-09 13:50:00,864,53.8795,53.89,53.87,53.89,53.87,31
2023-05-09 13:51:00,187,53.8756,53.875,53.875,53.875,53.875,5
2023-05-09 13:54:00,343,53.886,53.87,53.9064,53.9064,53.87,5
2023-05-09 13:55:00,990,53.8687,53.88,53.85,53.88,53.825,26
2023-05-09 13:56:00,382,53.8558,53.87,53.87,53.87,53.87,13
2023-05-09 13:57:00,615,53.8775,53.8539,53.88,53.88,53.8539,18
2023-05-09 13:58:00,871,53.9154,53.85,53.94,53.94,53.85,25
2023-05-09 13:59:00,695,53.9678,53.965,53.94,53.99,53.94,21
2023-05-09 14:00:00,1328,53.9458,53.987,53.9565,53.987,53.93,45
2023-05-09 14:01:00,569,53.879,53.89,53.88,53.89,53.88,20
2023-05-09 14:02:00,367,53.8697,53.89,53.89,53.89,53.89,14
2023-05-09 14:03:00,1794,53.8488,53.889,53.86,53.889,53.84,42
2023-05-09 14:04:00,2473,53.7879,53.8,53.79,53.81,53.75,59
2023-05-09 14:05:00,1609,53.7852,53.84,53.715,53.84,53.715,37
2023-05-09 14:06:00,422,53.6844,53.67,53.67,53.67,53.67,11
2023-05-09 14:07:00,3726,53.7128,53.67,53.685,53.75,53.665,60
2023-05-09 14:08:00,1513,53.697,53.66,53.71,53.71,53.655,64
2023-05-09 14:09:00,1013,53.7501,53.72,53.79,53.79,53.72,49
2023-05-09 14:10:00,1133,53.7711,53.77,53.75,53.78,53.75,28
2023-05-09 14:11:00,280,53.7178,53.71,53.71,53.71,53.71,10
2023-05-09 14:12:00,1992,53.7629,53.75,53.77,53.77,53.75,64
2023-05-09 14:13:00,1331,53.7642,53.765,53.74,53.765,53.74,45
2023-05-09 14:14:00,684,53.7871,53.79,53.79,53.79,53.79,19
2023-05-09 14:15:00,1296,53.7837,53.76,53.79,53.8,53.76,38
2023-05-09 14:16:00,483,53.8168,53.81,53.81,53.81,53.81,32
2023-05-09 14:17:00,1139,53.9113,53.855,53.915,53.92,53.855,37
2023-05-09 14:18:00,4303,53.9161,53.92,53.94,53.94,53.9,87
2023-05-09 14:19:00,2468,53.924,53.95,53.91,53.95,53.896,63
2023-05-09 14:21:00,954,53.9206,53.9105,53.9299,53.9299,53.9105,22
2023-05-09 14:22:00,3833,53.8874,53.89,53.87,53.91,53.83,91
2023-05-09 14:23:00,773,53.8742,53.89,53.8625,53.89,53.8625,23
2023-05-09 14:24:00,1348,53.8343,53.85,53.79,53.85,53.79,46
2023-05-09 14:25:00,750,53.7957,53.81,53.8,53.81,53.8,25
2023-05-09 14:26:00,1459,53.8232,53.82,53.805,53.83,53.805,29
2023-05-09 14:27:00,623,53.8228,53.815,53.82,53.84,53.815,20
2023-05-09 14:28:00,2777,53.8097,53.82,53.79,53.84,53.79,55
2023-05-09 14:29:00,1371,53.7918,53.785,53.78,53.81,53.78,53
2023-05-09 14:30:00,1604,53.7936,53.8,53.79,53.81,53.79,55
2023-05-09 14:31:00,5267,53.7488,53.81,53.74,53.81,53.73,90
2023-05-09 14:32:00,4249,53.7699,53.75,53.79,53.79,53.74,90
2023-05-09 14:33:00,2802,53.7411,53.77,53.725,53.77,53.72,50
2023-05-09 14:34:00,2529,53.7248,53.74,53.68,53.75,53.68,63
2023-05-09 14:35:00,1749,53.7067,53.69,53.74,53.74,53.69,44
2023-05-09 14:36:00,1890,53.7117,53.72,53.725,53.725,53.7,51
2023-05-09 14:37:00,2711,53.6995,53.71,53.71,53.71,53.68,65
2023-05-09 14:38:00,889,53.7344,53.72,53.74,53.74,53.72,33
2023-05-09 14:39:00,3157,53.7673,53.74,53.77,53.79,53.73,82
2023-05-09 14:40:00,2739,53.7987,53.8,53.805,53.82,53.79,61
2023-05-09 14:41:00,1839,53.785,53.795,53.785,53.795,53.77,44
2023-05-09 14:42:00,1653,53.7558,53.76,53.75,53.76,53.745,55
2023-05-09 14:43:00,1250,53.7789,53.75,53.8,53.8,53.75,38
2023-05-09 14:44:00,2664,53.7961,53.8,53.8,53.8,53.79,69
2023-05-09 14:45:00,2662,53.8087,53.8,53.805,53.82,53.79,53
2023-05-09 14:46:00,2147,53.815,53.82,53.81,53.82,53.81,71
2023-05-09 14:47:00,2457,53.7978,53.82,53.8,53.82,53.78,51
2023-05-09 14:48:00,4116,53.8146,53.8,53.819,53.83,53.8,92
2023-05-09 14:49:00,491,53.8019,53.805,53.805,53.805,53.805,15
2023-05-09 14:50:00,3499,53.8074,53.8,53.83,53.835,53.79,71
2023-05-09 14:51:00,887,53.8541,53.839,53.86,53.86,53.839,38
2023-05-09 14:52:00,2679,53.8715,53.88,53.88,53.88,53.865,71
2023-05-09 14:54:00,4630,53.8975,53.885,53.93,53.93,53.885,53
2023-05-09 14:55:00,1032,53.9273,53.93,53.93,53.93,53.93,25
2023-05-09 14:56:00,2236,53.9093,53.93,53.905,53.93,53.9,54
2023-05-09 14:57:00,2854,53.905,53.91,53.88,53.93,53.88,80
2023-05-09 14:58:00,543,53.8692,53.865,53.87,53.87,53.86,20
2023-05-09 14:59:00,1922,53.8712,53.86,53.89,53.89,53.86,56
2023-05-09 15:00:00,3439,53.8967,53.89,53.87,53.91,53.87,85
2023-05-09 15:01:00,1208,53.8732,53.88,53.859,53.88,53.859,20
2023-05-09 15:02:00,2611,53.8615,53.86,53.85,53.87,53.85,41
2023-05-09 15:03:00,765,53.8458,53.8572,53.85,53.8572,53.85,21
2023-05-09 15:04:00,871,53.8498,53.85,53.86,53.86,53.85,30
2023-05-09 15:05:00,515,53.8343,53.83,53.84,53.84,53.83,14
2023-05-09 15:06:00,1834,53.8135,53.82,53.805,53.82,53.8,58
2023-05-09 15:07:00,1826,53.8054,53.8,53.8,53.815,53.795,43
2023-05-09 15:08:00,845,53.8055,53.8,53.8,53.805,53.8,31
2023-05-09 15:09:00,2204,53.8116,53.8,53.82,53.82,53.8,51
2023-05-09 15:10:00,1226,53.8092,53.815,53.79,53.815,53.79,50
2023-05-09 15:11:00,393,53.7873,53.77,53.77,53.77,53.77,22
2023-05-09 15:12:00,8883,53.7229,53.77,53.69,53.77,53.685,58
2023-05-09 15:13:00,2895,53.6906,53.67,53.73,53.73,53.67,88
2023-05-09 15:14:00,583,53.7457,53.73,53.73,53.73,53.73,16
2023-05-09 15:15:00,3418,53.7624,53.75,53.76,53.775,53.75,60
2023-05-09 15:16:00,840,53.7798,53.77,53.77,53.78,53.77,30
2023-05-09 15:17:00,350,53.7842,53.8,53.8,53.8,53.8,18
2023-05-09 15:18:00,783,53.8031,53.8,53.81,53.81,53.8,21
2023-05-09 15:19:00,2140,53.8238,53.81,53.83,53.85,53.81,59
2023-05-09 15:20:00,1095,53.8398,53.85,53.8425,53.85,53.83,21
2023-05-09 15:21:00,1293,53.83,53.83,53.8204,53.84,53.8204,31
2023-05-09 15:22:00,1425,53.8192,53.835,53.82,53.835,53.81,46
2023-05-09 15:24:00,905,53.7973,53.8,53.785,53.8,53.785,41
2023-05-09 15:25:00,496,53.768,53.77,53.76,53.77,53.76,16
2023-05-09 15:26:00,2753,53.7925,53.77,53.8,53.8,53.77,92
2023-05-09 15:27:00,1569,53.788,53.795,53.79,53.795,53.78,54
2023-05-09 15:28:00,718,53.7843,53.79,53.78,53.79,53.78,36
2023-05-09 15:29:00,618,53.7882,53.79,53.8,53.8,53.79,29
2023-05-09 15:30:00,1038,53.8037,53.8,53.81,53.81,53.8,47
2023-05-09 15:31:00,1272,53.8397,53.82,53.85,53.85,53.82,36
2023-05-09 15:32:00,1946,53.857,53.85,53.87,53.87,53.85,54
2023-05-09 15:33:00,2216,53.8598,53.87,53.875,53.875,53.85,46
2023-05-09 15:34:00,880,53.8789,53.88,53.87,53.88,53.87,38
2023-05-09 15:35:00,22343,53.9191,53.89,53.92,53.9449,53.88,150
2023-05-09 15:36:00,2691,53.8906,53.91,53.87,53.91,53.86,62
2023-05-09 15:37:00,380,53.8659,53.86,53.86,53.86,53.86,20
2023-05-09 15:38:00,15803,53.8013,53.86,53.805,53.86,53.78,159
2023-05-09 15:39:00,617,53.7886,53.78,53.79,53.795,53.78,29
2023-05-09 15:40:00,3332,53.7921,53.78,53.82,53.82,53.75,64
2023-05-09 15:41:00,1133,53.7909,53.805,53.79,53.805,53.78,47
2023-05-09 15:42:00,806,53.7729,53.77,53.78,53.78,53.77,38
2023-05-09 15:43:00,584,53.7604,53.75,53.77,53.77,53.75,23
2023-05-09 15:44:00,555,53.7632,53.78,53.78,53.78,53.78,21
2023-05-09 15:45:00,1539,53.7709,53.7575,53.78,53.78,53.7575,44
2023-05-09 15:46:00,580,53.7767,53.77,53.77,53.77,53.77,26
2023-05-09 15:48:00,490,53.782,53.79,53.79,53.79,53.79,26
2023-05-09 15:49:00,4232,53.7656,53.77,53.78,53.78,53.74,73
2023-05-09 15:50:00,1398,53.7871,53.79,53.7746,53.79,53.7746,29
2023-05-09 15:51:00,1920,53.7676,53.77,53.755,53.78,53.755,61
2023-05-09 15:52:00,1739,53.7375,53.745,53.73,53.745,53.73,40
2023-05-09 15:53:00,1333,53.7151,53.71,53.71,53.71,53.7,38
2023-05-09 15:54:00,957,53.6957,53.705,53.69,53.705,53.69,46
2023-05-09 15:55:00,931,53.6874,53.68,53.6899,53.6899,53.68,41
2023-05-09 15:56:00,3322,53.6671,53.67,53.625,53.685,53.625,88
2023-05-09 15:57:00,734,53.642,53.64,53.64,53.64,53.64,27
2023-05-09 15:58:00,1610,53.6564,53.65,53.66,53.66,53.65,51
2023-05-09 15:59:00,1998,53.6523,53.65,53.67,53.67,53.645,35
2023-05-09 16:01:00,1624,53.6829,53.66,53.69,53.69,53.66,60
2023-05-09 16:02:00,1907,53.6629,53.68,53.65,53.68,53.65,63
2023-05-09 16:03:00,249,53.6528,53.655,53.655,53.655,53.655,8
2023-05-09 16:04:00,1061,53.6414,53.64,53.65,53.65,53.64,41
2023-05-09 16:05:00,1917,53.6373,53.645,53.63,53.645,53.63,42
2023-05-09 16:06:00,1769,53.6719,53.67,53.65,53.685,53.65,71
2023-05-09 16:07:00,1555,53.6335,53.65,53.61,53.655,53.61,52
2023-05-09 16:08:00,1243,53.5881,53.57,53.59,53.59,53.57,43
2023-05-09 16:09:00,283,53.5978,53.6,53.6,53.6,53.6,21
2023-05-09 16:10:00,334,53.5992,53.6,53.6,53.6,53.6,16
2023-05-09 16:11:00,755,53.5893,53.58,53.58,53.58,53.58,32
2023-05-09 16:12:00,1757,53.5623,53.57,53.555,53.57,53.555,64
2023-05-09 16:13:00,713,53.5559,53.56,53.56,53.56,53.56,33
2023-05-09 16:14:00,1288,53.5282,53.54,53.52,53.54,53.52,30
2023-05-09 16:15:00,2165,53.5233,53.51,53.55,53.55,53.48,64
2023-05-09 16:18:00,440,53.5925,53.6,53.6,53.6,53.6,32
2023-05-09 16:19:00,1137,53.6028,53.6,53.6,53.6,53.6,43
2023-05-09 16:20:00,988,53.596,53.6,53.61,53.61,53.59,21
2023-05-09 16:21:00,2380,53.6202,53.59,53.64,53.64,53.59,62
2023-05-09 16:23:00,530,53.6223,53.62,53.63,53.63,53.62,22
2023-05-09 16:24:00,518,53.6405,53.64,53.64,53.64,53.64,40
2023-05-09 16:25:00,1173,53.6373,53.63,53.64,53.64,53.63,53
2023-05-09 16:26:00,2595,53.6568,53.65,53.64,53.68,53.64,75
2023-05-09 16:27:00,2071,53.646,53.6404,53.66,53.66,53.6404,27
2023-05-09 16:29:00,1193,53.6398,53.64,53.63,53.64,53.63,40
2023-05-09 16:30:00,1498,53.6668,53.66,53.665,53.68,53.66,42
2023-05-09 16:32:00,1062,53.6552,53.67,53.65,53.67,53.65,40
2023-05-09 16:33:00,1023,53.656,53.65,53.66,53.66,53.65,24
2023-05-09 16:34:00,681,53.6691,53.67,53.68,53.68,53.67,13
2023-05-09 16:36:00,1134,53.6551,53.66,53.64,53.66,53.64,42
2023-05-09 16:37:00,435,53.6327,53.6318,53.6318,53.6318,53.6318,3
2023-05-09 16:38:00,2099,53.6186,53.63,53.6,53.63,53.6,37
2023-05-09 16:39:00,972,53.6035,53.6,53.58,53.6,53.58,25
2023-05-09 16:41:00,1112,53.5809,53.58,53.59,53.59,53.57,22
2023-05-09 16:42:00,1582,53.5742,53.58,53.6,53.6,53.56,64
2023-05-09 16:43:00,374,53.6271,53.62,53.63,53.63,53.62,15
2023-05-09 16:44:00,873,53.6225,53.63,53.62,53.63,53.62,27
2023-05-09 16:46:00,398,53.6015,53.6,53.6,53.6,53.6,25
2023-05-09 16:47:00,200,53.6004,53.6,53.6,53.6,53.6,12
2023-05-09 16:48:00,33023,53.6761,53.608,53.59,53.608,53.59,44
2023-05-09 16:49:00,786,53.5798,53.58,53.5773,53.58,53.5773,22
2023-05-09 16:50:00,1146,53.5805,53.56,53.58,53.59,53.56,35
2023-05-09 16:51:00,611,53.5638,53.56,53.56,53.56,53.56,29
2023-05-09 16:52:00,1096,53.5687,53.56,53.57,53.57,53.56,53
2023-05-09 16:53:00,439,53.5583,53.56,53.56,53.56,53.56,17
2023-05-09 16:55:00,293,53.5633,53.55,53.55,53.55,53.55,12
2023-05-09 16:56:00,298,53.5617,53.56,53.56,53.56,53.56,13
2023-05-09 16:57:00,2829,53.5799,53.58,53.5699,53.59,53.56,64
2023-05-09 16:58:00,234,53.5615,53.57,53.555,53.57,53.555,9
2023-05-09 16:59:00,1454,53.5552,53.57,53.54,53.57,53.54,46
2023-05-09 17:00:00,1679,53.5561,53.525,53.58,53.58,53.525,47
2023-05-09 17:01:00,2047,53.5849,53.6,53.58,53.6,53.57,38
2023-05-09 17:02:00,1089,53.5803,53.57,53.6,53.6,53.57,28
2023-05-09 17:03:00,1274,53.5877,53.595,53.58,53.595,53.58,34
2023-05-09 17:04:00,528,53.589,53.59,53.59,53.59,53.59,11
2023-05-09 17:05:00,574,53.5822,53.58,53.58,53.58,53.58,27
2023-05-09 17:06:00,491,53.6071,53.61,53.61,53.61,53.61,26
2023-05-09 17:07:00,378,53.6283,53.64,53.64,53.64,53.64,16
2023-05-09 17:08:00,465,53.6304,53.63,53.625,53.63,53.625,26
2023-05-09 17:09:00,332,53.6298,53.63,53.63,53.63,53.63,24
2023-05-09 17:10:00,592,53.6244,53.64,53.64,53.64,53.64,27
2023-05-09 17:11:00,1435,53.6235,53.62,53.635,53.635,53.62,36
2023-05-09 17:12:00,538,53.638,53.65,53.63,53.65,53.63,17
2023-05-09 17:13:00,881,53.6243,53.64,53.62,53.64,53.615,25
2023-05-09 17:14:00,942,53.6359,53.63,53.64,53.64,53.63,31
2023-05-09 17:15:00,878,53.6438,53.63,53.66,53.66,53.63,28
2023-05-09 17:16:00,406,53.6631,53.67,53.66,53.67,53.66,19
2023-05-09 17:18:00,588,53.6816,53.69,53.68,53.69,53.68,23
2023-05-09 17:19:00,628,53.687,53.69,53.68,53.69,53.68,24
2023-05-09 17:20:00,667,53.6865,53.68,53.68,53.69,53.68,39
