t,v,vw,o,c,h,l,n
2023-07-20 13:07:00,524,27.6002,27.6,27.6,27.6,27.6,3
2023-07-20 13:27:00,100,27.01,27.01,27.01,27.01,27.01,1
2023-07-20 13:30:00,14613,26.9364,27.02,26.9317,27.33,26.88,41
2023-07-20 13:32:00,10230,26.7336,26.77,26.58,26.905,26.58,46
2023-07-20 13:33:00,175,26.6698,26.62,26.62,26.62,26.62,10
2023-07-20 13:34:00,570,26.6825,26.69,26.6632,26.69,26.6632,7
2023-07-20 13:35:00,7508,26.5201,26.575,26.43,26.595,26.43,75
2023-07-20 13:36:00,2320,26.3578,26.37,26.335,26.42,26.3008,44
2023-07-20 13:37:00,2922,26.3874,26.22,26.24,26.5,26.22,22
2023-07-20 13:38:00,2055,26.25,26.25,26.21,26.29,26.21,35
2023-07-20 13:39:00,4105,26.3657,26.37,26.36,26.42,26.33,43
2023-07-20 13:40:00,10191,26.3865,26.415,26.362,26.42,26.32,59
2023-07-20 13:41:00,1217,26.4563,26.45,26.54,26.54,26.375,32
2023-07-20 13:42:00,1060,26.416,26.4105,26.4105,26.4105,26.4105,3
2023-07-20 13:43:00,2769,26.4065,26.3974,26.38,26.43,26.38,28
2023-07-20 13:44:00,1995,26.4541,26.44,26.43,26.51,26.42,30
2023-07-20 13:45:00,396,26.4089,26.42,26.42,26.42,26.375,10
2023-07-20 13:46:00,709,26.4172,26.42,26.36,26.47,26.36,20
2023-07-20 13:47:00,2314,26.5032,26.46,26.53,26.6,26.45,53
2023-07-20 13:48:00,246,26.4589,26.455,26.455,26.455,26.455,10
2023-07-20 13:49:00,3333,26.4796,26.41,26.56,26.58,26.37,64
2023-07-20 13:50:00,556,26.4888,26.52,26.47,26.52,26.47,14
2023-07-20 13:51:00,2716,26.4759,26.455,26.42,26.51,26.36,39
2023-07-20 13:52:00,1095,26.4203,26.42,26.42,26.43,26.42,18
2023-07-20 13:53:00,954,26.4994,26.435,26.545,26.545,26.435,23
2023-07-20 13:54:00,134,26.5104,26.51,26.51,26.51,26.51,4
2023-07-20 13:55:00,450,26.4335,26.415,26.42,26.42,26.415,9
2023-07-20 13:56:00,1758,26.4253,26.455,26.42,26.4763,26.37,16
2023-07-20 13:57:00,471,26.4142,26.42,26.42,26.42,26.415,10
2023-07-20 13:58:00,753,26.4079,26.42,26.42,26.42,26.4,20
2023-07-20 14:00:00,3331,26.4158,26.4175,26.4,26.47,26.36,66
2023-07-20 14:01:00,636,26.4343,26.4,26.45,26.45,26.4,14
2023-07-20 14:02:00,427,26.4693,26.48,26.48,26.48,26.48,15
2023-07-20 14:03:00,1448,26.4749,26.48,26.52,26.52,26.44,18
2023-07-20 14:04:00,217,26.4756,26.475,26.475,26.475,26.475,6
2023-07-20 14:05:00,1525,26.453,26.435,26.435,26.47,26.43,21
2023-07-20 14:07:00,2914,26.4965,26.48,26.49,26.52,26.48,63
2023-07-20 14:08:00,1026,26.5172,26.51,26.52,26.53,26.4915,25
2023-07-20 14:09:00,1243,26.5412,26.53,26.58,26.58,26.53,32
2023-07-20 14:10:00,703,26.5574,26.5672,26.58,26.58,26.5672,24
2023-07-20 14:11:00,332,26.5851,26.585,26.585,26.585,26.585,13
2023-07-20 14:12:00,2936,26.6337,26.61,26.62,26.67,26.61,86
2023-07-20 14:13:00,251,26.6465,26.65,26.65,26.65,26.65,18
2023-07-20 14:15:00,886,26.6692,26.67,26.68,26.68,26.67,37
2023-07-20 14:16:00,717,26.617,26.62,26.62,26.62,26.62,29
2023-07-20 14:17:00,1636,26.5313,26.57,26.52,26.57,26.52,40
2023-07-20 14:18:00,2456,26.4535,26.46,26.5,26.5,26.415,90
2023-07-20 14:19:00,918,26.4814,26.48,26.5,26.5,26.46,12
2023-07-20 14:20:00,2571,26.5389,26.54,26.54,26.56,26.53,56
2023-07-20 14:21:00,734,26.5384,26.545,26.53,26.545,26.53,20
2023-07-20 14:22:00,541,26.5668,26.54,26.58,26.58,26.54,29
2023-07-20 14:23:00,155,26.5631,26.555,26.555,26.555,26.555,8
2023-07-20 14:25:00,342,26.5431,26.56,26.52,26.56,26.52,17
2023-07-20 14:27:00,1185,26.5731,26.555,26.59,26.59,26.555,57
2023-07-20 14:28:00,671,26.5964,26.62,26.61,26.62,26.61,28
2023-07-20 14:29:00,332,26.5839,26.5715,26.5715,26.5715,26.5715,25
2023-07-20 14:30:00,2236,26.5774,26.59,26.59,26.605,26.57,74
2023-07-20 14:31:00,1389,26.5617,26.5249,26.585,26.585,26.5249,50
2023-07-20 14:32:00,646,26.5942,26.6,26.6029,26.6029,26.58,19
2023-07-20 14:34:00,923,26.5444,26.56,26.54,26.56,26.54,36
2023-07-20 14:35:00,1758,26.5424,26.55,26.535,26.56,26.53,28
2023-07-20 14:36:00,2330,26.4686,26.54,26.44,26.54,26.44,59
2023-07-20 14:37:00,1156,26.4215,26.43,26.42,26.43,26.4,30
2023-07-20 14:38:00,1844,26.4294,26.44,26.41,26.45,26.41,37
2023-07-20 14:39:00,744,26.4144,26.41,26.41,26.41,26.41,25
2023-07-20 14:40:00,4215,26.4306,26.396,26.49,26.5,26.396,79
2023-07-20 14:41:00,588,26.518,26.52,26.52,26.52,26.52,22
2023-07-20 14:42:00,831,26.5285,26.53,26.53,26.53,26.53,23
