t,v,vw,o,c,h,l,n
2023-10-16 13:30:00,4120,1.63,1.63,1.63,1.63,1.63,2
2023-10-16 13:52:00,1175,1.6481,1.65,1.65,1.65,1.65,6
2023-10-16 14:03:00,3500,1.6597,1.6597,1.6597,1.6597,1.6597,1
2023-10-16 14:04:00,621,1.66,1.66,1.66,1.66,1.66,4
2023-10-16 14:10:00,204,1.6903,1.69,1.69,1.69,1.69,4
2023-10-16 14:11:00,527,1.6901,1.69,1.69,1.69,1.69,3
2023-10-16 14:25:00,153,1.7,1.7,1.7,1.7,1.7,1
2023-10-16 14:55:00,100,1.655,1.655,1.655,1.655,1.655,1
2023-10-16 15:29:00,100,1.66,1.66,1.66,1.66,1.66,1
2023-10-16 15:53:00,333,1.645,1.645,1.645,1.645,1.645,7
2023-10-16 17:08:00,457,1.66,1.66,1.66,1.66,1.66,6
2023-10-16 17:16:00,100,1.67,1.67,1.67,1.67,1.67,1
2023-10-16 17:31:00,120,1.67,1.67,1.67,1.67,1.67,1
2023-10-16 18:00:00,1254,1.69,1.69,1.69,1.69,1.69,2
2023-10-16 18:11:00,2480,1.7106,1.7,1.715,1.73,1.7,16
2023-10-16 18:22:00,200,1.765,1.77,1.76,1.77,1.76,2
2023-10-16 18:31:00,120,1.73,1.73,1.73,1.73,1.73,1
2023-10-16 19:11:00,722,1.6501,1.65,1.65,1.65,1.65,2
2023-10-16 19:56:00,2105,1.7578,1.7599,1.715,1.7599,1.715,5
2023-10-16 19:59:00,149,1.7375,1.735,1.735,1.735,1.735,10
2023-10-17 13:30:00,150,1.7235,1.73,1.73,1.73,1.73,3
2023-10-17 13:37:00,1326,1.72,1.72,1.72,1.72,1.72,1
2023-10-17 14:23:00,500,1.716,1.716,1.716,1.716,1.716,1
2023-10-17 14:59:00,700,1.7161,1.7161,1.7161,1.7161,1.7161,1
2023-10-17 16:00:00,1511,1.709,1.71,1.71,1.71,1.71,10
2023-10-17 16:01:00,373,1.7299,1.73,1.73,1.73,1.73,4
2023-10-17 16:34:00,426,1.7894,1.79,1.79,1.79,1.79,4
2023-10-17 16:42:00,222,1.788,1.79,1.79,1.79,1.79,4
2023-10-17 17:26:00,200,1.75,1.75,1.75,1.75,1.75,1
2023-10-17 19:12:00,1000,1.7214,1.72,1.72,1.72,1.72,3
2023-10-17 19:13:00,151,1.737,1.737,1.737,1.737,1.737,2
2023-10-17 19:25:00,350,1.7608,1.7676,1.7676,1.7676,1.7676,3
2023-10-17 19:59:00,4145,1.7241,1.74,1.69,1.74,1.69,39
2023-10-18 13:30:00,229,1.69,1.69,1.69,1.69,1.69,1
2023-10-18 13:38:00,1410,1.7993,1.7991,1.7991,1.7991,1.7991,2
2023-10-18 13:40:00,752,1.76,1.76,1.76,1.76,1.76,4
2023-10-18 14:23:00,481,1.7499,1.755,1.755,1.755,1.755,3
2023-10-18 14:25:00,213,1.75,1.75,1.75,1.75,1.75,1
2023-10-18 14:27:00,332,1.7613,1.7649,1.7649,1.7649,1.7649,3
