t,v,vw,o,c,h,l,n
2023-05-09 13:30:00,3383,294.6045,294.6,294.6,294.6,294.6,11
2023-05-09 13:32:00,121,294.4943,294.48,294.48,294.48,294.48,2
2023-05-09 13:33:00,214,294.769,295.01,295.01,295.01,295.01,4
2023-05-09 13:39:00,1269,296.1204,296.22,295.485,296.79,295.485,29
2023-05-09 13:48:00,119,296.3365,296.25,296.25,296.25,296.25,6
2023-05-09 13:51:00,1053,297.1606,297.32,297.5,297.5,297.32,50
2023-05-09 13:53:00,868,297.8118,297.82,297.68,297.82,297.68,32
2023-05-09 13:54:00,1576,297.2171,297.61,296.785,297.61,296.785,60
2023-05-09 13:56:00,120,296.5117,296.445,296.445,296.445,296.445,7
2023-05-09 13:58:00,351,296.3006,296.295,296.295,296.295,296.295,21
2023-05-09 13:59:00,341,296.6354,296.4,296.4,296.4,296.4,12
2023-05-09 14:00:00,216,296.7095,296.63,296.63,296.63,296.63,18
2023-05-09 14:01:00,2461,296.3988,296.4,296.09,296.43,296.09,61
2023-05-09 14:05:00,1974,296.36,296.31,296.31,296.41,296.24,74
2023-05-09 14:06:00,460,296.4828,296.38,296.53,296.53,296.38,16
2023-05-09 14:07:00,219,296.3718,296.39,296.39,296.39,296.39,16
2023-05-09 14:08:00,10346,296.235,296.03,296.01,296.41,295.655,237
2023-05-09 14:09:00,2410,296.1636,296.06,296.35,296.35,295.9,71
2023-05-09 14:10:00,130,296.253,296.23,296.23,296.23,296.23,9
2023-05-09 14:17:00,315,296.6089,296.62,296.58,296.62,296.58,23
2023-05-09 14:19:00,214,296.5136,296.52,296.5,296.52,296.5,7
2023-05-09 14:22:00,230,296.5827,296.56,296.585,296.585,296.56,11
2023-05-09 14:23:00,1067,296.3269,296.29,296.34,296.34,296.21,68
2023-05-09 14:24:00,972,295.8891,295.95,295.59,295.95,295.59,48
2023-05-09 14:28:00,3515,295.4262,295.4,295.395,295.73,295.2,84
2023-05-09 14:30:00,430,295.1838,295.185,295.185,295.185,295.185,11
2023-05-09 14:32:00,564,294.746,294.82,294.551,294.82,294.551,25
2023-05-09 14:33:00,1046,294.5157,294.71,294.42,294.71,294.42,29
2023-05-09 14:34:00,2277,294.53,294.5,294.94,294.94,294.335,69
2023-05-09 14:36:00,556,294.9226,294.915,294.915,294.915,294.915,26
2023-05-09 14:45:00,1077,295.4444,295.645,295.4,295.645,295.4,36
2023-05-09 14:46:00,165,295.2175,295.13,295.13,295.13,295.13,14
