t,v,vw,o,c,h,l,n
2024-02-21 12:00:00,3448,163.3099,163.53,163.2,163.75,163.2,32
2024-02-21 14:03:00,250,163.6,163.6,163.6,163.6,163.6,1
2024-02-21 14:30:00,20216,164.669,164.62,165.1,165.1,164.62,223
2024-02-21 14:31:00,7422,164.9549,165.19,164.75,165.29,164.66,127
2024-02-21 14:32:00,1721,164.5147,164.52,164.57,164.59,164.5,38
2024-02-21 14:33:00,3746,164.193,164.37,163.9,164.37,163.9,61
2024-02-21 14:34:00,8873,164.3875,164.2,164.34,164.63,164.2,178
2024-02-21 14:35:00,8385,164.6692,164.6,164.77,164.895,164.48,167
2024-02-21 14:36:00,2634,164.7676,164.82,164.56,164.96,164.55,58
2024-02-21 14:37:00,2966,164.9612,164.75,165.2,165.22,164.725,75
2024-02-21 14:38:00,6035,165.0882,165.26,164.95,165.26,164.95,117
2024-02-21 14:39:00,13350,165.1358,164.95,165.33,165.33,164.84,174
2024-02-21 14:40:00,7543,165.2757,165.33,165.32,165.37,165.12,109
2024-02-21 14:41:00,3441,165.4283,165.39,165.43,165.55,165.32,90
2024-02-21 14:42:00,6938,165.5017,165.571,165.475,165.59,165.42,55
2024-02-21 14:43:00,4575,165.6115,165.5185,165.635,165.71,165.49,96
2024-02-21 14:44:00,4545,165.6181,165.615,165.705,165.705,165.54,96
2024-02-21 14:45:00,4938,165.5438,165.61,165.65,165.665,165.49,121
2024-02-21 14:46:00,7806,165.7592,165.76,165.67,165.83,165.67,164
2024-02-21 14:47:00,1497,165.6877,165.7467,165.665,165.7467,165.665,29
2024-02-21 14:48:00,6240,165.6892,165.64,165.61,165.8,165.61,138
2024-02-21 14:49:00,2874,165.5476,165.6,165.45,165.6,165.45,68
2024-02-21 14:50:00,3905,165.5472,165.36,165.61,165.7,165.36,98
2024-02-21 14:51:00,4997,165.837,165.7,165.9469,165.9469,165.7,114
2024-02-21 14:52:00,2254,165.9328,165.96,165.87,166.085,165.87,71
2024-02-21 14:53:00,1623,166.0388,165.865,166.085,166.175,165.865,106
2024-02-21 14:54:00,5696,166.0443,166.15,165.875,166.17,165.875,124
2024-02-21 14:55:00,3700,165.6895,165.94,165.525,165.94,165.43,99
2024-02-21 14:56:00,2148,165.4596,165.43,165.49,165.49,165.42,60
2024-02-21 14:57:00,5725,165.3188,165.505,165.16,165.54,165.16,141
2024-02-21 14:58:00,3971,165.2468,165.22,165.37,165.38,165.112,81
2024-02-21 14:59:00,3393,165.3991,165.375,165.29,165.54,165.29,65
2024-02-21 15:00:00,6960,165.1971,165.29,165.17,165.29,165.03,163
2024-02-21 15:01:00,1031,165.1665,165.2308,165.1,165.24,165.1,23
2024-02-21 15:02:00,5068,164.9126,164.985,164.885,164.99,164.77,126
2024-02-21 15:03:00,4300,164.9672,164.79,165.09,165.09,164.79,90
2024-02-21 15:04:00,5275,165.0577,165.0867,164.99,165.16,164.98,94
2024-02-21 15:05:00,1492,165.0163,165.15,164.91,165.15,164.91,51
2024-02-21 15:06:00,5733,165.024,164.975,165.07,165.1,164.8801,120
2024-02-21 15:07:00,3921,165.1698,165.08,165.265,165.265,165.01,90
2024-02-21 15:08:00,1947,165.3701,165.33,165.45,165.4689,165.33,79
2024-02-21 15:09:00,2086,165.4758,165.45,165.42,165.51,165.42,46
2024-02-21 15:10:00,3467,165.5412,165.61,165.5125,165.61,165.5,87
2024-02-21 15:11:00,3247,165.5979,165.53,165.6145,165.7,165.53,74
2024-02-21 15:12:00,3270,165.5587,165.6,165.65,165.65,165.46,55
2024-02-21 15:13:00,2169,165.5731,165.51,165.65,165.65,165.49,48
2024-02-21 15:14:00,7391,165.475,165.59,165.36,165.6,165.31,158
2024-02-21 15:15:00,7433,165.3783,165.35,165.48,165.48,165.255,164
2024-02-21 15:16:00,2316,165.3355,165.44,165.19,165.44,165.19,62
2024-02-21 15:17:00,7990,164.9823,165.02,164.9715,165.03,164.94,51
2024-02-21 15:18:00,1785,165.0053,164.98,165.04,165.04,164.98,30
2024-02-21 15:19:00,5092,165.1418,165.12,165.26,165.26,165.05,121
2024-02-21 15:20:00,3046,165.4034,165.365,165.455,165.485,165.36,71
2024-02-21 15:21:00,2526,165.356,165.43,165.275,165.43,165.26,62
2024-02-21 15:22:00,6463,165.1344,165.28,165.1,165.28,165.065,135
2024-02-21 15:23:00,2547,165.0191,165.0,165.065,165.09,164.99,71
2024-02-21 15:24:00,5192,165.1811,165.16,165.29,165.35,165.075,114
2024-02-21 15:25:00,1046,165.2733,165.26,165.295,165.295,165.24,29
2024-02-21 15:26:00,583,165.3062,165.3,165.315,165.315,165.3,25
2024-02-21 15:27:00,4517,165.4258,165.32,165.405,165.455,165.32,73
2024-02-21 15:28:00,2213,165.5511,165.52,165.595,165.595,165.52,67
2024-02-21 15:29:00,5661,165.6851,165.59,165.765,165.765,165.59,103
2024-02-21 15:30:00,2969,165.8217,165.705,165.9,165.9009,165.705,57
2024-02-21 15:31:00,1094,165.8857,165.9,165.9,165.915,165.87,34
2024-02-21 15:32:00,7386,165.7614,165.9,165.665,165.9,165.62,144
2024-02-21 15:33:00,1594,165.6427,165.675,165.635,165.675,165.61,40
2024-02-21 15:34:00,2488,165.7053,165.64,165.71,165.74,165.635,81
2024-02-21 15:35:00,3232,165.6854,165.71,165.665,165.72,165.603,86
2024-02-21 15:36:00,1345,165.7642,165.74,165.785,165.83,165.74,45
2024-02-21 15:37:00,3397,165.7545,165.78,165.75,165.78,165.695,65
2024-02-21 15:38:00,4789,165.9184,165.8663,165.99,165.99,165.785,91
2024-02-21 15:39:00,1215,166.0026,165.93,166.005,166.04,165.93,54
2024-02-21 15:40:00,8733,166.1179,166.0,166.13,166.22,166.0,192
2024-02-21 15:41:00,6699,165.9962,166.065,165.91,166.09,165.91,135
2024-02-21 15:42:00,8823,166.0094,165.96,166.045,166.07,165.95,172
2024-02-21 15:43:00,3980,166.035,166.065,166.01,166.09,165.99,70
2024-02-21 15:44:00,15182,165.8812,166.015,165.72,166.1,165.68,291
2024-02-21 15:45:00,8472,165.8549,165.72,165.85,165.96,165.72,181
2024-02-21 15:46:00,1705,165.8282,165.83,165.81,165.83,165.805,61
2024-02-21 15:47:00,6483,165.6151,165.73,165.69,165.765,165.55,158
2024-02-21 15:48:00,2855,165.7801,165.725,165.85,165.85,165.72,116
2024-02-21 15:49:00,2925,165.7949,165.81,165.74,165.81,165.74,76
2024-02-21 15:50:00,3868,165.8979,165.87,165.92,165.94,165.86,103
2024-02-21 15:51:00,1245,165.9025,165.865,165.93,165.93,165.865,36
2024-02-21 15:52:00,6269,166.0119,165.96,166.055,166.075,165.96,159
2024-02-21 15:53:00,4262,165.9914,166.05,166.015,166.05,165.96,104
2024-02-21 15:54:00,1662,166.0032,166.02,165.96,166.03,165.96,62
2024-02-21 15:55:00,6177,165.9767,165.95,165.98,166.04,165.91,161
2024-02-21 15:56:00,5406,166.016,165.99,166.01,166.11,165.93,132
