t,v,vw,o,c,h,l,n
2023-07-12 11:00:00,100,122.5,122.5,122.5,122.5,122.5,1
2023-07-12 11:11:00,209,122.651,122.68,122.68,122.68,122.68,10
2023-07-12 12:00:00,521,122.7159,122.77,122.81,122.81,122.77,25
2023-07-12 12:01:00,362,122.5063,122.5318,122.53,122.5318,122.53,23
2023-07-12 12:13:00,125,122.6998,122.7,122.7,122.7,122.7,3
2023-07-12 12:24:00,112,122.6243,122.65,122.65,122.65,122.65,2
2023-07-12 12:30:00,1351,122.7306,122.69,122.41,122.73,122.41,41
2023-07-12 12:32:00,127,122.9776,123.0,123.0,123.0,123.0,5
2023-07-12 12:33:00,380,122.9926,123.0,123.0,123.0,123.0,8
2023-07-12 12:35:00,720,122.9597,122.99,123.0,123.0,122.96,6
2023-07-12 12:37:00,502,122.9952,123.0,122.99,123.0,122.99,16
2023-07-12 12:38:00,1035,123.1526,123.13,123.2177,123.2177,123.13,17
2023-07-12 12:40:00,537,123.1663,123.2103,123.0,123.2103,123.0,6
2023-07-12 12:41:00,112,123.014,123.0101,123.0101,123.0101,123.0101,4
2023-07-12 12:43:00,790,123.0574,123.06,123.06,123.06,123.06,12
2023-07-12 12:45:00,1000,123.0434,123.0,123.08,123.08,123.0,22
2023-07-12 12:46:00,1471,123.112,123.08,123.22,123.22,123.08,36
2023-07-12 12:50:00,639,123.5113,123.5,123.5,123.5,123.5,23
2023-07-12 12:51:00,762,123.4548,123.49,123.44,123.49,123.44,11
2023-07-12 12:56:00,105,123.5,123.5,123.5,123.5,123.5,2
2023-07-12 12:59:00,500,123.08,123.08,123.08,123.08,123.08,1
2023-07-12 13:02:00,123,123.2459,123.21,123.21,123.21,123.21,4
2023-07-12 13:06:00,181,123.3676,123.3737,123.3737,123.3737,123.3737,3
2023-07-12 13:10:00,513,123.0514,123.01,123.01,123.01,123.01,25
2023-07-12 13:22:00,133,123.5,123.5,123.5,123.5,123.5,1
2023-07-12 13:24:00,114,123.4582,123.46,123.46,123.46,123.46,4
2023-07-12 13:25:00,123,123.2016,123.2,123.2,123.2,123.2,3
2023-07-12 13:27:00,3660,123.8266,123.5,124.3,124.3,123.49,104
2023-07-12 13:28:00,1743,124.4483,124.44,124.44,124.45,124.43,41
2023-07-12 13:29:00,253,124.5129,124.52,124.52,124.52,124.52,9
2023-07-12 13:30:00,64582,124.285,124.46,123.9137,124.5,123.5503,592
2023-07-12 13:31:00,15177,124.068,123.81,124.6499,124.6499,123.7,226
2023-07-12 13:32:00,46388,124.7859,124.575,124.95,125.1,124.45,623
2023-07-12 13:33:00,10593,124.7309,124.72,124.775,124.855,124.58,224
2023-07-12 13:34:00,19011,124.7379,124.7831,124.52,125.02,124.3,328
2023-07-12 13:35:00,9051,124.4892,124.6,124.315,124.65,124.26,143
2023-07-12 13:36:00,18955,124.7869,124.315,125.135,125.17,124.28,318
2023-07-12 13:37:00,28243,125.3177,125.14,125.3901,125.57,125.07,453
2023-07-12 13:38:00,16357,125.5432,125.42,125.38,125.67,125.38,273
2023-07-12 13:39:00,26029,125.2193,125.37,125.36,125.45,124.85,372
2023-07-12 13:40:00,22176,125.3594,125.34,125.215,125.53,125.18,360
2023-07-12 13:41:00,10652,125.4027,125.1939,125.11,125.6987,125.11,201
2023-07-12 13:42:00,9933,125.1505,125.18,125.2263,125.25,125.06,191
2023-07-12 13:43:00,22423,125.0838,125.2075,125.02,125.27,124.88,308
2023-07-12 13:44:00,16960,124.8428,125.05,124.81,125.06,124.58,211
2023-07-12 13:45:00,12803,124.7577,124.8,124.65,125.06,124.5302,202
2023-07-12 13:46:00,14052,124.3497,124.615,124.465,124.615,124.13,285
2023-07-12 13:47:00,11132,124.4411,124.495,124.28,124.6599,124.19,165
2023-07-12 13:48:00,7888,124.4722,124.325,124.47,124.58,124.325,145
2023-07-12 13:49:00,3986,124.6605,124.54,124.6523,124.75,124.54,152
2023-07-12 13:50:00,13234,125.108,124.8,125.265,125.4,124.8,252
2023-07-12 13:51:00,8107,125.2849,125.22,125.29,125.455,125.15,157
2023-07-12 13:52:00,15878,125.4512,125.29,125.43,125.53,125.26,262
2023-07-12 13:53:00,9173,125.421,125.43,125.305,125.53,125.305,179
2023-07-12 13:54:00,6000,125.0321,125.27,124.83,125.295,124.76,148
2023-07-12 13:55:00,5394,124.8105,124.76,124.8193,124.92,124.7,165
2023-07-12 13:56:00,4282,124.9068,124.93,124.92,124.99,124.87,103
2023-07-12 13:57:00,4458,124.7414,124.861,124.65,124.861,124.58,118
2023-07-12 13:58:00,10259,124.7026,124.62,124.759,124.82,124.61,219
2023-07-12 13:59:00,5656,124.6214,124.71,124.62,124.71,124.54,181
2023-07-12 14:00:00,11321,124.6073,124.73,124.5,124.82,124.46,205
2023-07-12 14:01:00,13108,124.428,124.48,124.45,124.54,124.33,215
2023-07-12 14:02:00,6970,124.4939,124.3901,124.37,124.57,124.37,131
2023-07-12 14:03:00,4512,124.4129,124.4138,124.52,124.52,124.35,132
2023-07-12 14:04:00,3206,124.4916,124.445,124.46,124.5792,124.44,101
2023-07-12 14:05:00,13111,124.3083,124.39,124.15,124.4,124.15,234
2023-07-12 14:06:00,7581,124.3265,124.2,124.3101,124.4,124.15,162
2023-07-12 14:07:00,1793,124.3596,124.4,124.355,124.4,124.3107,54
2023-07-12 14:08:00,13359,124.3197,124.355,124.65,124.65,124.2,286
2023-07-12 14:09:00,5613,124.7297,124.75,124.6569,124.8699,124.62,103
2023-07-12 14:10:00,18374,124.6651,124.64,124.63,124.79,124.6,350
2023-07-12 14:11:00,10816,124.678,124.62,124.75,124.82,124.5296,179
2023-07-12 14:12:00,18452,124.8738,124.78,124.97,125.0,124.74,314
2023-07-12 14:13:00,11112,125.0254,125.0367,125.0218,125.14,124.9493,133
2023-07-12 14:14:00,8223,124.9147,125.045,124.81,125.045,124.8,162
2023-07-12 14:15:00,7475,124.9547,124.85,124.94,125.0,124.85,157
2023-07-12 14:16:00,3301,124.8862,124.94,124.94,124.94,124.816,82
2023-07-12 14:17:00,5057,124.9857,124.9001,125.06,125.11,124.88,111
2023-07-12 14:18:00,11465,125.1046,125.09,124.92,125.24,124.914,207
2023-07-12 14:19:00,9693,124.9265,124.92,124.9699,125.0,124.87,175
2023-07-12 14:20:00,6154,124.9162,124.87,124.9602,124.98,124.84,111
2023-07-12 14:21:00,12533,125.0506,124.95,125.01,125.11,124.95,194
2023-07-12 14:22:00,7954,124.9809,125.02,124.97,125.0529,124.9001,143
2023-07-12 14:23:00,3316,124.9174,124.93,124.93,124.94,124.89,72
2023-07-12 14:24:00,2559,124.9977,124.91,125.0,125.04,124.91,72
2023-07-12 14:25:00,6433,124.9616,124.99,125.07,125.07,124.88,156
2023-07-12 14:26:00,8526,125.2352,125.09,125.34,125.36,125.085,202
2023-07-12 14:27:00,15188,125.4865,125.33,125.51,125.62,125.33,254
2023-07-12 14:28:00,26786,125.6933,125.57,125.85,125.85,125.57,401
2023-07-12 14:29:00,23946,125.8334,125.8201,125.865,125.88,125.79,315
2023-07-12 14:30:00,13179,125.8889,125.8697,125.8998,125.94,125.81,214
2023-07-12 14:31:00,22596,125.9855,125.9,126.12,126.13,125.88,416
2023-07-12 14:32:00,15232,126.3043,126.13,126.2801,126.3999,126.13,305
2023-07-12 14:33:00,15870,126.432,126.3092,126.6132,126.6132,126.28,321
2023-07-12 14:34:00,8660,126.6153,126.6,126.75,126.75,126.53,198
2023-07-12 14:35:00,14058,126.8798,126.765,126.875,126.9627,126.75,323
2023-07-12 14:36:00,19296,126.7879,126.8413,126.9,126.91,126.6501,336
2023-07-12 14:37:00,17149,127.0037,126.9,127.15,127.15,126.9,329
2023-07-12 14:38:00,16251,126.992,127.1,127.11,127.11,126.8,297
2023-07-12 14:39:00,16552,127.1421,127.09,127.165,127.25,127.06,308
2023-07-12 14:40:00,9666,127.2062,127.18,127.25,127.2664,127.13,220
2023-07-12 14:41:00,27739,127.2604,127.2774,127.165,127.38,127.11,385
2023-07-12 14:42:00,14107,126.954,127.165,126.835,127.18,126.76,291
2023-07-12 14:43:00,9272,126.9162,126.86,126.985,127.0,126.81,238
2023-07-12 14:44:00,7739,127.0546,126.9508,127.1091,127.16,126.93,164
2023-07-12 14:45:00,5870,127.0298,127.109,127.01,127.1099,126.94,161
2023-07-12 14:46:00,33168,126.6757,126.971,126.6,126.971,126.52,388
2023-07-12 14:47:00,9542,126.628,126.52,126.55,126.7,126.52,171
2023-07-12 14:48:00,6840,126.575,126.57,126.56,126.6069,126.52,185
2023-07-12 14:49:00,9311,126.2923,126.52,126.2,126.52,126.1,197
2023-07-12 14:50:00,5459,126.2422,126.245,126.225,126.32,126.17,130
2023-07-12 14:51:00,4400,126.2253,126.23,126.259,126.28,126.15,122
2023-07-12 14:52:00,6210,126.1794,126.25,126.13,126.25,126.06,117
2023-07-12 14:53:00,3425,126.1389,126.14,126.145,126.2,126.09,89
2023-07-12 14:54:00,5969,126.0947,126.18,126.13,126.19,126.06,158
2023-07-12 14:55:00,10350,126.0725,126.11,126.08,126.11,126.04,207
2023-07-12 14:56:00,7756,126.1494,126.08,126.13,126.26,126.07,215
2023-07-12 14:57:00,8119,125.9694,126.13,125.83,126.13,125.81,175
2023-07-12 14:58:00,19651,125.7581,125.7901,125.87,125.93,125.65,357
2023-07-12 14:59:00,5084,126.0623,125.9414,126.08,126.135,125.9414,125
2023-07-12 15:00:00,5153,126.1898,126.125,126.27,126.28,126.07,140
2023-07-12 15:01:00,6166,126.2407,126.3,126.12,126.3399,126.12,126
2023-07-12 15:02:00,3146,126.2446,126.17,126.2863,126.3,126.17,96
2023-07-12 15:03:00,2484,126.2446,126.25,126.2004,126.31,126.2004,54
2023-07-12 15:04:00,8090,126.2677,126.24,126.28,126.29,126.2207,119
2023-07-12 15:05:00,8021,126.2814,126.24,126.39,126.445,126.13,203
2023-07-12 15:06:00,8410,126.4043,126.4,126.4523,126.5,126.376,110
2023-07-12 15:07:00,3446,126.3899,126.45,126.33,126.45,126.33,86
2023-07-12 15:08:00,14242,126.4811,126.43,126.52,126.53,126.43,177
2023-07-12 15:09:00,5885,126.6064,126.57,126.67,126.71,126.52,122
2023-07-12 15:10:00,7843,126.6921,126.71,126.6,126.75,126.6,183
2023-07-12 15:11:00,2820,126.5891,126.5876,126.61,126.61,126.57,102
2023-07-12 15:12:00,2366,126.6745,126.63,126.73,126.73,126.63,83
2023-07-12 15:13:00,6362,126.6024,126.69,126.54,126.69,126.51,153
2023-07-12 15:14:00,1441,126.5519,126.535,126.555,126.58,126.535,53
