t,v,vw,o,c,h,l,n
2024-01-12 09:54:00,550,23.25,23.25,23.25,23.25,23.25,1
2024-01-12 10:52:00,1000,23.3,23.3,23.3,23.3,23.3,3
2024-01-12 10:57:00,701,23.4,23.38,23.45,23.45,23.38,2
2024-01-12 11:21:00,1000,23.42,23.42,23.42,23.42,23.42,1
2024-01-12 11:33:00,312,23.529,23.48,23.56,23.56,23.48,5
2024-01-12 11:34:00,673,23.55,23.55,23.55,23.55,23.55,5
2024-01-12 12:00:00,3958,23.4949,23.48,23.4,23.67,23.35,34
2024-01-12 12:01:00,341,23.423,23.43,23.43,23.43,23.43,4
2024-01-12 12:02:00,545,23.4023,23.41,23.4,23.41,23.4,4
2024-01-12 12:11:00,200,23.35,23.35,23.35,23.35,23.35,2
2024-01-12 12:15:00,1000,23.307,23.31,23.3,23.31,23.3,9
2024-01-12 12:28:00,335,23.306,23.31,23.3,23.31,23.3,4
2024-01-12 12:35:00,332,23.3427,23.33,23.35,23.35,23.33,4
2024-01-12 12:36:00,200,23.35,23.35,23.35,23.35,23.35,1
2024-01-12 12:52:00,293,23.35,23.35,23.35,23.35,23.35,1
2024-01-12 13:00:00,8541,23.3827,23.42,23.38,23.49,23.27,50
2024-01-12 13:05:00,601,23.3117,23.32,23.31,23.32,23.31,3
2024-01-12 13:07:00,150,23.38,23.38,23.38,23.38,23.38,1
2024-01-12 13:08:00,120,23.38,23.38,23.38,23.38,23.38,1
2024-01-12 13:10:00,100,23.32,23.32,23.32,23.32,23.32,1
2024-01-12 13:12:00,227,23.3497,23.35,23.35,23.35,23.35,3
2024-01-12 13:16:00,237,23.3698,23.37,23.37,23.37,23.37,2
2024-01-12 13:20:00,590,23.3115,23.31,23.31,23.31,23.31,3
2024-01-12 13:21:00,865,23.3689,23.3686,23.37,23.37,23.3686,2
2024-01-12 13:24:00,201,23.325,23.33,23.32,23.33,23.32,3
2024-01-12 13:25:00,1000,23.32,23.32,23.32,23.32,23.32,2
2024-01-12 13:38:00,400,23.34,23.34,23.34,23.34,23.34,1
2024-01-12 13:39:00,1166,23.3346,23.3,23.34,23.34,23.3,6
2024-01-12 13:41:00,510,23.34,23.34,23.34,23.34,23.34,4
2024-01-12 13:42:00,12859,23.3895,23.38,23.4,23.4,23.38,10
2024-01-12 13:56:00,497,23.32,23.32,23.32,23.32,23.32,1
2024-01-12 14:00:00,3058,23.3236,23.34,23.31,23.34,23.3,16
2024-01-12 14:03:00,933,23.36,23.36,23.36,23.36,23.36,1
2024-01-12 14:04:00,2455,23.3179,23.31,23.3532,23.3532,23.31,6
2024-01-12 14:05:00,145,23.3186,23.3,23.3,23.3,23.3,3
2024-01-12 14:10:00,1000,23.3,23.3,23.3,23.3,23.3,1
2024-01-12 14:13:00,303,23.2821,23.28,23.28,23.28,23.28,7
2024-01-12 14:15:00,100,23.32,23.32,23.32,23.32,23.32,1
2024-01-12 14:19:00,1025,23.3199,23.32,23.32,23.32,23.32,3
2024-01-12 14:20:00,1066,23.3192,23.34,23.3,23.34,23.3,6
2024-01-12 14:21:00,300,23.3449,23.34,23.34,23.34,23.34,4
2024-01-12 14:29:00,440,23.3966,23.4,23.4,23.4,23.4,6
2024-01-12 14:30:00,223981,23.425,23.4,23.4099,23.49,23.38,624
2024-01-12 14:31:00,106592,23.4357,23.405,23.455,23.465,23.4,431
2024-01-12 14:32:00,54321,23.4594,23.45,23.475,23.48,23.43,374
2024-01-12 14:33:00,71985,23.4733,23.475,23.455,23.49,23.45,337
2024-01-12 14:34:00,31482,23.4035,23.455,23.36,23.46,23.3528,308
2024-01-12 14:35:00,65276,23.3946,23.365,23.4,23.42,23.345,550
2024-01-12 14:36:00,23435,23.4114,23.405,23.425,23.425,23.395,272
2024-01-12 14:37:00,30371,23.3997,23.43,23.37,23.43,23.36,280
2024-01-12 14:38:00,39562,23.3451,23.375,23.3599,23.375,23.325,331
2024-01-12 14:39:00,136806,23.3778,23.36,23.3725,23.4,23.33,733
2024-01-12 14:40:00,28596,23.3713,23.38,23.39,23.39,23.355,260
2024-01-12 14:41:00,24896,23.3491,23.395,23.3138,23.395,23.31,177
2024-01-12 14:42:00,16689,23.3183,23.32,23.3099,23.34,23.3,186
2024-01-12 14:43:00,9332,23.3237,23.3,23.36,23.36,23.3,132
2024-01-12 14:44:00,20172,23.3441,23.36,23.32,23.365,23.32,222
2024-01-12 14:45:00,9515,23.3332,23.32,23.33,23.345,23.32,130
2024-01-12 14:46:00,20664,23.3349,23.335,23.3493,23.37,23.32,150
2024-01-12 14:47:00,23766,23.3857,23.35,23.4001,23.41,23.35,221
2024-01-12 14:48:00,16059,23.3937,23.4,23.39,23.4,23.38,143
2024-01-12 14:49:00,66967,23.4053,23.39,23.41,23.42,23.37,399
2024-01-12 14:50:00,38624,23.4114,23.42,23.39,23.44,23.39,295
2024-01-12 14:51:00,20100,23.3892,23.395,23.4,23.4,23.375,188
2024-01-12 14:52:00,82472,23.4148,23.4,23.43,23.4399,23.395,371
2024-01-12 14:53:00,76972,23.4165,23.43,23.43,23.435,23.4,355
2024-01-12 14:54:00,26504,23.4347,23.43,23.44,23.44,23.43,150
2024-01-12 14:55:00,43960,23.4269,23.44,23.42,23.44,23.4197,276
2024-01-12 14:56:00,70505,23.4164,23.42,23.41,23.43,23.405,448
2024-01-12 14:57:00,63642,23.4179,23.41,23.435,23.44,23.405,363
2024-01-12 14:58:00,41857,23.4263,23.4365,23.42,23.44,23.41,294
2024-01-12 14:59:00,35393,23.409,23.42,23.415,23.42,23.395,235
2024-01-12 15:00:00,62166,23.4052,23.42,23.42,23.42,23.395,333
2024-01-12 15:01:00,152651,23.3971,23.415,23.395,23.415,23.375,786
2024-01-12 15:02:00,40273,23.394,23.4,23.395,23.41,23.38,289
2024-01-12 15:03:00,23562,23.3966,23.39,23.39,23.41,23.385,173
2024-01-12 15:04:00,28569,23.3755,23.39,23.365,23.39,23.355,243
2024-01-12 15:05:00,23139,23.3566,23.36,23.375,23.38,23.34,197
2024-01-12 15:06:00,32031,23.4055,23.38,23.42,23.43,23.38,237
2024-01-12 15:07:00,29143,23.4212,23.4289,23.43,23.43,23.4,226
2024-01-12 15:08:00,33837,23.4184,23.425,23.41,23.43,23.405,236
2024-01-12 15:09:00,16072,23.41,23.42,23.405,23.43,23.39,144
2024-01-12 15:10:00,22507,23.3998,23.41,23.39,23.41,23.39,141
2024-01-12 15:11:00,28599,23.386,23.4,23.375,23.4,23.37,208
2024-01-12 15:12:00,44624,23.4036,23.375,23.405,23.42,23.37,300
2024-01-12 15:13:00,99028,23.4351,23.405,23.455,23.47,23.4,516
2024-01-12 15:14:00,40538,23.4678,23.46,23.465,23.48,23.45,325
2024-01-12 15:15:00,51402,23.4673,23.47,23.435,23.49,23.415,290
2024-01-12 15:16:00,31889,23.4481,23.4336,23.46,23.46,23.43,244
2024-01-12 15:17:00,34151,23.4681,23.46,23.4574,23.4773,23.455,244
2024-01-12 15:18:00,32040,23.4634,23.45,23.46,23.4899,23.45,188
2024-01-12 15:19:00,19018,23.4432,23.465,23.445,23.465,23.43,152
2024-01-12 15:20:00,22003,23.4634,23.45,23.47,23.48,23.445,178
2024-01-12 15:21:00,18255,23.4785,23.47,23.48,23.49,23.4635,161
2024-01-12 15:22:00,31184,23.4685,23.485,23.455,23.485,23.45,111
