t,v,vw,o,c,h,l,n
2023-11-17 12:12:00,1697,493.025,492.9,494.0,494.0,492.9,24
2023-11-17 12:20:00,285,493.7418,494.0,494.0,494.0,494.0,11
2023-11-17 12:44:00,215,493.9828,494.0,494.0,494.0,494.0,5
2023-11-17 12:51:00,100,494.0,494.0,494.0,494.0,494.0,1
2023-11-17 12:52:00,101,493.9995,494.0,494.0,494.0,494.0,2
2023-11-17 13:00:00,985,494.5632,495.0,494.0,496.4101,494.0,24
2023-11-17 13:02:00,318,494.3884,495.0,494.31,495.0,494.31,8
2023-11-17 13:05:00,280,494.9764,495.0,495.0,495.0,495.0,8
2023-11-17 13:07:00,210,495.7495,495.75,495.75,495.75,495.75,2
2023-11-17 13:08:00,230,495.6013,495.45,495.45,495.45,495.45,15
2023-11-17 13:09:00,1010,496.5297,496.0,496.88,496.88,496.0,23
2023-11-17 13:10:00,502,496.978,496.98,496.98,496.98,496.98,3
2023-11-17 13:12:00,200,496.98,496.98,496.98,496.98,496.98,2
2023-11-17 13:13:00,328,496.0081,496.0,496.0,496.0,496.0,11
2023-11-17 13:20:00,1097,496.1716,496.2,496.2,496.2,496.2,20
2023-11-17 13:30:00,100,494.0,494.0,494.0,494.0,494.0,1
2023-11-17 13:32:00,200,494.111,494.111,494.111,494.111,494.111,1
2023-11-17 13:36:00,100,496.0,496.0,496.0,496.0,496.0,1
2023-11-17 13:37:00,220,495.5395,495.5,495.5,495.5,495.5,3
2023-11-17 13:42:00,267,494.0691,494.01,494.01,494.01,494.01,13
2023-11-17 13:43:00,508,493.3617,493.31,493.0,493.31,493.0,12
2023-11-17 14:17:00,101,492.5001,492.5,492.5,492.5,492.5,2
2023-11-17 14:23:00,250,493.16,493.15,493.15,493.15,493.15,2
2023-11-17 14:29:00,266,491.3128,491.91,491.91,491.91,491.91,9
2023-11-17 14:30:00,14413,492.3132,492.65,490.0,492.65,490.0,171
2023-11-17 14:31:00,3688,490.4646,490.02,491.471,491.9966,489.71,88
2023-11-17 14:32:00,2180,491.6211,491.03,492.0,492.0,491.025,72
2023-11-17 14:33:00,636,491.806,491.445,491.63,491.8541,491.445,40
2023-11-17 14:34:00,8454,490.2318,491.94,489.915,491.94,489.065,131
2023-11-17 14:35:00,2905,489.4289,489.56,489.27,489.56,488.63,110
2023-11-17 14:36:00,2056,489.7077,489.92,489.8825,490.42,489.8825,81
2023-11-17 14:37:00,2411,489.7656,490.05,489.58,490.11,489.0,65
2023-11-17 14:38:00,1015,488.0727,488.96,487.755,488.96,487.59,76
2023-11-17 14:39:00,526,487.3831,487.01,488.055,488.055,487.01,25
2023-11-17 14:40:00,1654,486.9579,488.4187,486.195,488.4187,486.0,75
2023-11-17 14:41:00,1962,486.3459,486.1996,486.26,486.99,486.1996,53
2023-11-17 14:42:00,589,486.8148,486.545,487.5599,487.5599,486.545,36
2023-11-17 14:43:00,1732,487.3834,487.55,487.81,487.81,487.0,83
2023-11-17 14:44:00,4778,487.5279,487.42,487.45,488.03,487.01,98
2023-11-17 14:45:00,1306,488.3123,487.72,487.81,488.61,487.72,89
2023-11-17 14:46:00,3367,487.7948,487.8,488.22,488.22,487.21,84
2023-11-17 14:47:00,640,488.6184,488.51,489.057,489.057,488.51,30
2023-11-17 14:48:00,3003,488.0072,488.22,487.0,489.0292,487.0,65
2023-11-17 14:49:00,2056,487.0919,487.08,487.06,487.08,486.55,54
2023-11-17 14:50:00,3324,486.263,487.4003,485.66,487.4003,485.66,107
2023-11-17 14:51:00,608,485.8329,485.76,485.72,485.76,485.72,23
2023-11-17 14:52:00,2787,486.2543,485.5,486.23,486.6,485.5,111
2023-11-17 14:53:00,819,486.1351,485.92,486.21,486.21,485.92,42
2023-11-17 14:54:00,1962,485.3061,486.82,484.99,486.82,484.99,118
2023-11-17 14:55:00,1653,483.9108,484.22,483.39,484.22,483.39,80
2023-11-17 14:56:00,1652,484.0043,483.985,484.12,484.39,483.9416,66
2023-11-17 14:57:00,3253,485.7698,485.3103,487.0,487.0,485.15,84
2023-11-17 14:58:00,943,486.3105,486.34,486.0556,486.34,486.0556,26
2023-11-17 14:59:00,1735,486.466,486.2,486.7876,487.075,486.01,60
2023-11-17 15:00:00,2814,487.3821,487.49,487.07,487.9299,486.96,72
2023-11-17 15:01:00,4467,488.37,487.06,488.09,489.385,487.0252,109
2023-11-17 15:02:00,669,487.74,487.355,487.355,487.355,487.355,40
2023-11-17 15:03:00,511,486.5046,485.5101,486.87,486.87,485.5101,35
2023-11-17 15:04:00,1155,486.8652,487.01,486.62,487.01,485.7845,32
2023-11-17 15:05:00,1006,487.0037,485.37,488.4925,488.4925,485.37,37
2023-11-17 15:06:00,1777,488.8111,488.66,488.76,488.76,488.65,90
2023-11-17 15:07:00,3704,488.8065,489.33,489.4,490.0,487.36,57
2023-11-17 15:08:00,729,489.83,490.0,490.0,490.0,490.0,37
2023-11-17 15:09:00,1261,489.0547,489.6112,488.3967,489.6112,488.16,48
2023-11-17 15:10:00,4538,488.124,488.21,488.23,488.61,487.6,134
2023-11-17 15:11:00,359,488.248,487.8545,487.8545,487.8545,487.8545,22
2023-11-17 15:12:00,397,487.8682,487.36,487.36,487.36,487.36,27
2023-11-17 15:13:00,372,487.9265,487.5396,487.5396,487.5396,487.5396,41
2023-11-17 15:14:00,2339,487.2264,487.5,487.54,487.54,486.16,66
2023-11-17 15:15:00,1223,487.698,487.77,487.31,487.8693,487.31,38
2023-11-17 15:16:00,2506,487.9186,487.806,488.4682,488.4682,486.8373,58
2023-11-17 15:17:00,1285,488.5132,488.32,488.66,488.67,488.32,50
2023-11-17 15:18:00,5143,489.7388,488.66,489.85,490.1999,488.66,128
2023-11-17 15:20:00,1104,489.273,489.09,489.13,489.74,489.09,52
2023-11-17 15:21:00,2851,489.0628,488.78,488.59,489.7245,488.59,82
2023-11-17 15:22:00,1448,488.4679,488.419,488.65,488.65,488.419,32
2023-11-17 15:23:00,211,489.105,488.88,488.88,488.88,488.88,12
2023-11-17 15:25:00,959,488.3232,488.7,487.34,488.7,487.34,75
2023-11-17 15:26:00,454,487.3296,487.35,487.35,487.35,487.35,34
2023-11-17 15:27:00,822,487.2166,486.77,487.68,487.68,486.77,26
2023-11-17 15:28:00,581,488.0147,487.68,488.6899,488.6899,487.68,33
2023-11-17 15:29:00,772,488.215,488.0377,488.15,488.7598,487.99,21
2023-11-17 15:30:00,312,488.7125,488.95,488.95,488.95,488.95,33
2023-11-17 15:31:00,514,488.0506,488.0406,488.0,488.0406,488.0,26
2023-11-17 15:32:00,2978,488.2689,488.59,488.45,488.59,488.01,44
2023-11-17 15:33:00,834,487.9521,487.864,487.96,487.96,487.864,21
2023-11-17 15:35:00,1575,488.4174,488.43,488.63,488.63,488.21,56
2023-11-17 15:36:00,1730,487.1095,487.07,486.9,487.15,486.54,76
2023-11-17 15:37:00,599,486.7112,486.47,486.84,486.84,486.47,28
2023-11-17 15:38:00,531,486.0879,486.18,486.18,486.18,486.18,45
2023-11-17 15:39:00,1155,486.6635,486.21,486.975,487.1924,486.21,39
2023-11-17 15:40:00,3212,485.0502,485.48,485.2625,485.48,484.3,133
2023-11-17 15:41:00,932,486.0937,486.2,486.2,486.2,486.2,40
2023-11-17 15:43:00,635,486.5063,486.04,486.715,487.01,486.04,35
2023-11-17 15:44:00,1117,486.4093,487.2207,486.96,487.2207,485.51,40
2023-11-17 15:45:00,824,486.4852,486.47,486.67,486.67,486.4,44
2023-11-17 15:46:00,1540,486.2555,486.66,486.47,486.66,486.43,73
2023-11-17 15:47:00,1580,485.7741,485.7,486.11,486.11,485.21,76
2023-11-17 15:48:00,757,486.6163,486.9,486.02,486.9,486.02,43
2023-11-17 15:49:00,413,487.0955,487.06,487.03,487.06,487.03,23
2023-11-17 15:50:00,704,488.0741,487.8,488.495,488.495,487.8,27
2023-11-17 15:51:00,254,487.8281,487.76,487.76,487.76,487.76,13
2023-11-17 15:52:00,6107,489.3092,488.28,489.49,489.53,488.18,49
2023-11-17 15:53:00,1508,488.2631,488.12,488.685,488.685,488.12,42
2023-11-17 15:54:00,924,488.2155,488.87,488.355,488.88,488.355,35
2023-11-17 15:55:00,2513,488.8817,488.505,489.0,489.0,488.505,86
2023-11-17 15:56:00,481,488.9634,488.87,488.74,488.87,488.74,20
2023-11-17 15:57:00,621,489.2466,489.18,489.18,489.18,489.18,44
2023-11-17 15:58:00,659,488.7238,489.0925,489.0925,489.0925,489.0925,37
2023-11-17 15:59:00,2092,489.3961,489.13,489.395,489.4,489.13,81
2023-11-17 16:00:00,752,489.3827,489.21,489.85,489.85,489.21,33
2023-11-17 16:01:00,5403,489.8068,489.98,489.645,490.12,489.48,112
2023-11-17 16:02:00,1440,489.1668,489.08,489.36,489.36,489.0,58
2023-11-17 16:03:00,844,488.7533,489.43,488.71,489.43,488.71,44
2023-11-17 16:04:00,1161,487.9303,488.01,488.07,488.07,488.0,61
2023-11-17 16:05:00,1341,486.4182,487.5731,486.0,487.5731,486.0,70
2023-11-17 16:06:00,2521,486.3521,485.905,486.73,486.74,485.31,66
