t,v,vw,o,c,h,l,n
2023-08-29 12:00:00,552,2.505,2.5004,2.5004,2.5004,2.5004,3
2023-08-29 13:25:00,2067,2.4942,2.5,2.47,2.5,2.47,13
2023-08-29 13:30:00,36961,2.4805,2.48,2.485,2.485,2.47,63
2023-08-29 13:31:00,1576,2.4772,2.48,2.475,2.485,2.475,21
2023-08-29 13:32:00,1576,2.4753,2.475,2.4799,2.4799,2.475,4
2023-08-29 13:33:00,2076,2.4758,2.4791,2.47,2.48,2.47,8
2023-08-29 13:34:00,9825,2.4685,2.475,2.465,2.475,2.4622,32
2023-08-29 13:35:00,13805,2.4682,2.4607,2.48,2.48,2.46,54
2023-08-29 13:36:00,1290,2.4797,2.48,2.475,2.48,2.475,17
2023-08-29 13:37:00,2785,2.4809,2.48,2.485,2.485,2.48,11
2023-08-29 13:38:00,8854,2.4714,2.485,2.4719,2.485,2.4701,22
2023-08-29 13:39:00,1122,2.4795,2.48,2.48,2.48,2.48,13
2023-08-29 13:40:00,4922,2.4794,2.475,2.48,2.48,2.475,31
2023-08-29 13:41:00,6846,2.4898,2.48,2.4905,2.4905,2.48,32
2023-08-29 13:42:00,846,2.4935,2.4998,2.49,2.4998,2.49,7
2023-08-29 13:43:00,577,2.4913,2.49,2.4975,2.4975,2.49,8
2023-08-29 13:44:00,2260,2.4898,2.49,2.49,2.49,2.49,31
2023-08-29 13:45:00,971,2.4915,2.49,2.495,2.495,2.49,17
2023-08-29 13:46:00,163,2.4968,2.495,2.495,2.495,2.495,6
2023-08-29 13:47:00,12527,2.4991,2.5,2.495,2.5,2.495,15
2023-08-29 13:48:00,32343,2.5001,2.5,2.505,2.505,2.5,31
2023-08-29 13:49:00,356,2.5057,2.5073,2.5073,2.5073,2.5073,6
2023-08-29 13:50:00,4119,2.4966,2.5,2.49,2.5,2.49,23
2023-08-29 13:52:00,640,2.4886,2.485,2.49,2.49,2.485,18
2023-08-29 13:53:00,1241,2.4859,2.49,2.485,2.49,2.4834,19
2023-08-29 13:54:00,7087,2.4906,2.485,2.495,2.495,2.485,47
2023-08-29 13:55:00,715,2.4923,2.4921,2.49,2.495,2.49,14
2023-08-29 13:56:00,235,2.4954,2.495,2.495,2.495,2.495,6
2023-08-29 13:57:00,328,2.4975,2.4999,2.5,2.5,2.4999,8
2023-08-29 13:58:00,3101,2.4988,2.495,2.5,2.5,2.495,22
2023-08-29 13:59:00,4748,2.4976,2.495,2.5,2.5,2.495,20
2023-08-29 14:00:00,6558,2.5043,2.5,2.5175,2.5175,2.5,26
2023-08-29 14:02:00,3963,2.5172,2.51,2.5121,2.52,2.51,16
2023-08-29 14:03:00,4292,2.5153,2.5129,2.515,2.52,2.5101,11
2023-08-29 14:04:00,455,2.5178,2.52,2.52,2.52,2.515,9
2023-08-29 14:06:00,715,2.515,2.515,2.515,2.515,2.515,6
2023-08-29 14:07:00,1819,2.5192,2.515,2.52,2.52,2.515,9
2023-08-29 14:09:00,482,2.5153,2.515,2.515,2.515,2.515,8
2023-08-29 14:10:00,462,2.5193,2.5193,2.5193,2.5193,2.5193,2
2023-08-29 14:11:00,624,2.5154,2.515,2.515,2.5175,2.515,10
2023-08-29 14:12:00,13444,2.515,2.51,2.515,2.515,2.51,4
2023-08-29 14:13:00,900,2.5174,2.5183,2.51,2.5183,2.51,2
2023-08-29 14:14:00,100,2.515,2.515,2.515,2.515,2.515,1
2023-08-29 14:15:00,27558,2.5269,2.5128,2.535,2.535,2.51,70
2023-08-29 14:16:00,225,2.5333,2.53,2.53,2.53,2.53,5
2023-08-29 14:17:00,4843,2.5326,2.535,2.53,2.5351,2.53,14
2023-08-29 14:18:00,226,2.5349,2.535,2.535,2.535,2.535,5
2023-08-29 14:19:00,16201,2.5298,2.5305,2.53,2.535,2.525,60
2023-08-29 14:20:00,4462,2.5354,2.5203,2.5391,2.54,2.5203,31
2023-08-29 14:21:00,4025,2.5429,2.54,2.545,2.5491,2.54,35
2023-08-29 14:22:00,1076,2.5475,2.5497,2.5407,2.5497,2.5407,13
2023-08-29 14:23:00,1452,2.5475,2.545,2.5499,2.5499,2.545,14
2023-08-29 14:24:00,1125,2.5444,2.545,2.545,2.55,2.5402,15
2023-08-29 14:25:00,4442,2.5498,2.5499,2.55,2.55,2.5499,25
2023-08-29 14:26:00,12454,2.5585,2.55,2.5601,2.565,2.55,54
2023-08-29 14:27:00,1236,2.5616,2.5601,2.56,2.5601,2.56,11
2023-08-29 14:28:00,1107,2.5657,2.565,2.565,2.57,2.5607,15
2023-08-29 14:29:00,917,2.5653,2.565,2.565,2.565,2.565,5
2023-08-29 14:30:00,2440,2.5687,2.565,2.57,2.57,2.565,17
2023-08-29 14:31:00,5067,2.5702,2.57,2.565,2.5713,2.565,40
2023-08-29 14:32:00,353,2.5659,2.5684,2.5661,2.5684,2.5661,4
2023-08-29 14:33:00,661,2.5693,2.5684,2.5694,2.5694,2.5684,5
2023-08-29 14:34:00,106,2.5603,2.56,2.56,2.56,2.56,3
2023-08-29 14:35:00,204,2.5654,2.5632,2.5632,2.5632,2.5632,9
2023-08-29 14:36:00,2215,2.571,2.57,2.575,2.575,2.57,18
2023-08-29 14:37:00,548,2.5707,2.57,2.57,2.57,2.57,6
2023-08-29 14:38:00,4891,2.5712,2.571,2.5779,2.5779,2.57,10
2023-08-29 14:39:00,5390,2.5749,2.57,2.5732,2.5798,2.57,15
2023-08-29 14:40:00,6756,2.5693,2.57,2.569,2.57,2.56,35
2023-08-29 14:41:00,11096,2.5615,2.57,2.57,2.57,2.5601,18
2023-08-29 14:42:00,4015,2.5698,2.57,2.5694,2.57,2.5691,9
2023-08-29 14:43:00,3434,2.5713,2.57,2.5799,2.5799,2.57,22
2023-08-29 14:44:00,680,2.5752,2.575,2.5777,2.5777,2.575,7
2023-08-29 14:45:00,3490,2.5772,2.58,2.57,2.58,2.57,16
2023-08-29 14:46:00,746,2.5724,2.575,2.57,2.575,2.57,7
2023-08-29 14:47:00,3991,2.5778,2.57,2.57,2.5789,2.57,6
2023-08-29 14:48:00,2774,2.5714,2.5704,2.5722,2.5722,2.5704,8
2023-08-29 14:49:00,2958,2.5755,2.575,2.58,2.58,2.575,19
2023-08-29 14:51:00,1253,2.5791,2.5795,2.5796,2.5796,2.5795,10
2023-08-29 14:52:00,4842,2.5803,2.58,2.58,2.585,2.58,28
2023-08-29 14:53:00,424,2.585,2.586,2.586,2.586,2.586,8
2023-08-29 14:55:00,1386,2.5847,2.585,2.585,2.585,2.5826,3
2023-08-29 14:56:00,10167,2.58,2.58,2.585,2.585,2.58,46
2023-08-29 14:57:00,2295,2.5831,2.585,2.585,2.585,2.5818,9
2023-08-29 14:58:00,1532,2.5839,2.585,2.585,2.5883,2.5801,9
2023-08-29 15:00:00,961,2.5854,2.585,2.585,2.586,2.585,7
2023-08-29 15:01:00,1571,2.5821,2.5813,2.58,2.585,2.58,8
2023-08-29 15:02:00,2412,2.5826,2.58,2.585,2.585,2.58,9
2023-08-29 15:03:00,1411,2.5865,2.585,2.585,2.585,2.585,17
2023-08-29 15:04:00,821,2.5896,2.59,2.59,2.59,2.59,16
2023-08-29 15:05:00,372,2.585,2.585,2.585,2.585,2.585,5
2023-08-29 15:06:00,4704,2.5889,2.585,2.59,2.59,2.585,28
2023-08-29 15:07:00,562,2.5924,2.59,2.595,2.595,2.59,8
2023-08-29 15:08:00,1628,2.5947,2.595,2.5919,2.595,2.5919,16
2023-08-29 15:09:00,12189,2.5854,2.59,2.5801,2.59,2.5801,67
2023-08-29 15:10:00,2961,2.5889,2.5882,2.59,2.59,2.5874,16
2023-08-29 15:11:00,721,2.5915,2.595,2.59,2.595,2.59,9
2023-08-29 15:12:00,746,2.5942,2.595,2.5934,2.595,2.5934,8
2023-08-29 15:13:00,2500,2.5964,2.5984,2.5984,2.5984,2.5984,4
2023-08-29 15:14:00,2766,2.5917,2.591,2.595,2.595,2.5901,9
2023-08-29 15:15:00,604,2.5951,2.595,2.595,2.595,2.595,5
2023-08-29 15:16:00,6967,2.5893,2.59,2.5811,2.59,2.5811,50
2023-08-29 15:17:00,246,2.5888,2.5884,2.59,2.59,2.5884,8
2023-08-29 15:18:00,130,2.5811,2.58,2.58,2.58,2.58,3
2023-08-29 15:19:00,304,2.5884,2.585,2.59,2.59,2.585,5
2023-08-29 15:20:00,1325,2.5829,2.585,2.5824,2.585,2.58,12
2023-08-29 15:22:00,240,2.5876,2.59,2.59,2.59,2.59,5
2023-08-29 15:23:00,5753,2.5851,2.585,2.5835,2.5885,2.5835,10
2023-08-29 15:24:00,1721,2.5874,2.59,2.585,2.59,2.585,9
2023-08-29 15:25:00,1005,2.5856,2.5886,2.5828,2.5886,2.5828,4
2023-08-29 15:26:00,1227,2.5849,2.59,2.58,2.59,2.58,4
2023-08-29 15:27:00,180,2.5858,2.585,2.585,2.585,2.585,2
2023-08-29 15:28:00,812,2.5828,2.585,2.58,2.585,2.58,6
2023-08-29 15:29:00,303,2.5848,2.585,2.585,2.585,2.585,6
2023-08-29 15:31:00,20450,2.5811,2.5809,2.5881,2.59,2.5809,6
2023-08-29 15:32:00,272,2.586,2.585,2.585,2.585,2.585,6
2023-08-29 15:33:00,444,2.5861,2.585,2.59,2.59,2.585,6
2023-08-29 15:34:00,455,2.5864,2.585,2.5881,2.589,2.585,7
2023-08-29 15:35:00,822,2.5868,2.58,2.585,2.59,2.58,10
2023-08-29 15:36:00,416,2.585,2.585,2.585,2.585,2.585,4
2023-08-29 15:37:00,13719,2.5892,2.585,2.597,2.597,2.5801,79
2023-08-29 15:38:00,1107,2.5946,2.595,2.5975,2.5975,2.595,8
2023-08-29 15:39:00,191,2.5953,2.595,2.595,2.595,2.595,4
2023-08-29 15:40:00,6281,2.5946,2.59,2.59,2.5999,2.59,13
2023-08-29 15:41:00,271,2.5911,2.59,2.59,2.59,2.59,8
2023-08-29 15:42:00,896,2.5955,2.59,2.6,2.6,2.59,18
2023-08-29 15:43:00,737,2.5971,2.6,2.6,2.6,2.595,7
2023-08-29 15:44:00,457,2.5973,2.6,2.595,2.6,2.595,8
2023-08-29 15:45:00,719,2.592,2.5903,2.5927,2.5927,2.5903,9
2023-08-29 15:46:00,1227,2.595,2.595,2.6,2.6,2.59,15
2023-08-29 15:47:00,319,2.5948,2.59,2.595,2.6,2.59,6
2023-08-29 15:48:00,1550,2.592,2.59,2.595,2.6,2.59,7
2023-08-29 15:49:00,530,2.5965,2.595,2.6,2.6,2.595,5
2023-08-29 15:50:00,401,2.595,2.6,2.595,2.6,2.59,8
2023-08-29 15:52:00,4121,2.5955,2.595,2.5995,2.5995,2.5947,15
2023-08-29 15:53:00,122,2.5948,2.5947,2.5947,2.5947,2.5947,4
2023-08-29 15:54:00,540,2.5959,2.595,2.595,2.6,2.595,10
2023-08-29 15:55:00,503,2.5943,2.595,2.595,2.595,2.595,10
2023-08-29 15:56:00,738,2.5947,2.5968,2.595,2.5968,2.5922,8
2023-08-29 15:57:00,1086,2.5951,2.595,2.595,2.595,2.595,4
2023-08-29 15:58:00,548,2.5933,2.59,2.5965,2.5965,2.59,8
2023-08-29 15:59:00,2129,2.5964,2.5999,2.5975,2.6,2.59,10
2023-08-29 16:00:00,211,2.595,2.595,2.595,2.595,2.595,5
2023-08-29 16:01:00,300,2.5983,2.6,2.595,2.6,2.595,3
2023-08-29 16:02:00,138,2.5924,2.5925,2.5925,2.5925,2.5925,4
2023-08-29 16:03:00,203,2.5966,2.6,2.6,2.6,2.6,3
2023-08-29 16:04:00,324,2.5932,2.5925,2.5925,2.5925,2.5925,7
2023-08-29 16:06:00,225,2.5944,2.595,2.595,2.595,2.595,3
2023-08-29 16:07:00,588,2.5958,2.595,2.6,2.6,2.595,10
