t,v,vw,o,c,h,l,n
2023-08-07 12:00:00,360,70.1626,70.17,70.1,70.17,70.1,18
2023-08-07 12:01:00,733,70.2187,70.32,70.16,70.32,70.12,16
2023-08-07 12:02:00,468,70.2079,70.12,70.32,70.32,70.12,15
2023-08-07 12:03:00,443,70.1928,70.2,70.1,70.32,70.1,13
2023-08-07 12:17:00,1245,70.0964,70.1,70.1,70.1,70.1,19
2023-08-07 12:31:00,441,70.0916,70.09,70.09,70.09,70.09,7
2023-08-07 12:33:00,326,70.0809,70.08,70.08,70.08,70.08,6
2023-08-07 12:35:00,201,70.1325,70.1,70.1,70.1,70.1,6
2023-08-07 12:36:00,1249,70.1937,70.19,70.2,70.2,70.19,22
2023-08-07 12:45:00,844,70.2661,70.28,70.28,70.28,70.28,12
2023-08-07 12:47:00,473,70.277,70.27,70.27,70.27,70.27,14
2023-08-07 12:51:00,228679,69.9107,70.32,70.32,70.32,70.32,9
2023-08-07 12:53:00,1300,70.26,70.25,70.25,70.25,70.25,14
2023-08-07 12:57:00,1078,70.319,70.32,70.32,70.32,70.32,18
2023-08-07 13:00:00,201,70.34,70.34,70.34,70.34,70.34,2
2023-08-07 13:01:00,256,70.3466,70.34,70.34,70.34,70.34,3
2023-08-07 13:02:00,3229,70.4522,70.38,70.5,70.5,70.38,42
2023-08-07 13:03:00,1798,70.4922,70.46,70.5,70.5,70.46,45
2023-08-07 13:07:00,620,70.4121,70.405,70.43,70.43,70.405,14
2023-08-07 13:08:00,2639,70.338,70.35,70.34,70.35,70.34,43
2023-08-07 13:09:00,970,70.2641,70.21,70.21,70.21,70.21,25
2023-08-07 13:11:00,161,70.3488,70.35,70.35,70.35,70.35,6
2023-08-07 13:12:00,2187,70.3243,70.35,70.35,70.35,70.35,67
2023-08-07 13:14:00,1163,70.3401,70.35,70.35,70.35,70.35,30
2023-08-07 13:15:00,814,70.2775,70.35,70.12,70.35,70.12,12
2023-08-07 13:17:00,1601,70.3494,70.35,70.35,70.35,70.35,38
2023-08-07 13:27:00,9582,70.0043,70.18,69.87,70.18,69.87,96
2023-08-07 13:28:00,462,69.8058,69.76,69.76,69.76,69.75,10
2023-08-07 13:29:00,1688,69.8827,69.9,69.75,69.9,69.75,56
2023-08-07 13:30:00,263250,69.7937,69.85,69.8999,69.91,69.51,2361
2023-08-07 13:31:00,60346,69.822,69.9,69.73,69.98,69.73,729
2023-08-07 13:32:00,39630,69.5846,69.76,69.44,69.86,69.43,571
2023-08-07 13:33:00,130450,69.9684,69.45,70.055,70.16,69.45,2894
2023-08-07 13:34:00,39692,69.9227,70.04,69.88,70.07,69.84,524
2023-08-07 13:35:00,40661,69.7737,69.87,69.66,69.94,69.66,563
2023-08-07 13:36:00,51444,69.6607,69.66,69.74,69.755,69.58,595
