t,v,vw,o,c,h,l,n
2024-01-12 09:05:00,375,12.3532,12.35,12.35,12.35,12.35,8
2024-01-12 09:06:00,196,12.2,12.2,12.2,12.2,12.2,1
2024-01-12 09:12:00,465,12.084,12.11,12.02,12.11,12.02,11
2024-01-12 09:31:00,499,12.2001,12.2,12.2,12.2,12.2,3
2024-01-12 10:54:00,205,12.6475,12.65,12.65,12.65,12.65,4
2024-01-12 12:28:00,100,12.4,12.4,12.4,12.4,12.4,1
2024-01-12 12:30:00,100,12.4,12.4,12.4,12.4,12.4,1
2024-01-12 12:41:00,501,12.6876,12.69,12.7,12.7,12.69,8
2024-01-12 13:00:00,1254,12.5434,12.38,12.2831,12.65,12.2831,52
2024-01-12 13:13:00,167,12.4147,12.41,12.41,12.41,12.41,9
2024-01-12 13:21:00,1200,12.41,12.41,12.41,12.41,12.41,4
2024-01-12 13:23:00,114,12.4,12.4,12.4,12.4,12.4,2
2024-01-12 13:26:00,113,12.6458,12.6712,12.6712,12.6712,12.6712,4
2024-01-12 13:28:00,103,12.601,12.6,12.6,12.6,12.6,4
2024-01-12 13:33:00,500,12.41,12.41,12.41,12.41,12.41,1
2024-01-12 13:39:00,100,12.45,12.45,12.45,12.45,12.45,1
2024-01-12 13:45:00,300,12.4332,12.41,12.41,12.41,12.41,8
2024-01-12 13:52:00,300,12.43,12.43,12.43,12.43,12.43,1
2024-01-12 13:59:00,202,12.4614,12.46,12.46,12.46,12.46,2
2024-01-12 14:07:00,201,12.51,12.51,12.51,12.51,12.51,2
2024-01-12 14:09:00,101,12.5505,12.55,12.55,12.55,12.55,2
2024-01-12 14:15:00,252,12.5216,12.5216,12.5216,12.5216,12.5216,2
2024-01-12 14:19:00,102,12.56,12.56,12.56,12.56,12.56,3
2024-01-12 14:21:00,205,12.5602,12.56,12.56,12.56,12.56,5
2024-01-12 14:27:00,205,12.543,12.5401,12.5401,12.5401,12.5401,2
2024-01-12 14:29:00,516,12.6586,12.6589,12.6589,12.6589,12.6589,2
2024-01-12 14:30:00,13792,12.3794,12.45,12.23,12.5,12.2001,199
2024-01-12 14:31:00,5369,12.193,12.225,12.165,12.3617,12.1,108
2024-01-12 14:32:00,3441,12.2555,12.4121,12.18,12.4121,12.17,52
2024-01-12 14:33:00,3303,12.2271,12.175,12.15,12.3691,12.135,35
2024-01-12 14:34:00,2316,12.1442,12.11,12.2148,12.2148,12.11,46
2024-01-12 14:35:00,553,12.1912,12.15,12.26,12.26,12.15,31
2024-01-12 14:36:00,1255,12.2032,12.2,12.2,12.2112,12.2,20
2024-01-12 14:37:00,1563,12.2563,12.3625,12.18,12.3625,12.18,37
2024-01-12 14:38:00,1729,12.1392,12.16,12.1025,12.16,12.1025,59
2024-01-12 14:39:00,4336,12.1088,12.1098,12.11,12.1362,12.1,69
2024-01-12 14:40:00,1043,12.1642,12.1884,12.1474,12.1884,12.1474,26
2024-01-12 14:41:00,3912,12.2262,12.145,12.37,12.37,12.145,62
2024-01-12 14:42:00,510,12.241,12.21,12.2119,12.2119,12.21,32
2024-01-12 14:43:00,1068,12.3268,12.35,12.3659,12.3659,12.3,25
2024-01-12 14:44:00,1896,12.3429,12.3017,12.3697,12.3697,12.3017,23
2024-01-12 14:45:00,313,12.3197,12.335,12.335,12.335,12.335,23
2024-01-12 14:46:00,2263,12.3917,12.335,12.4375,12.4375,12.33,38
2024-01-12 14:47:00,501,12.3191,12.3001,12.3077,12.3077,12.3001,20
2024-01-12 14:48:00,1666,12.3753,12.31,12.3346,12.44,12.31,25
2024-01-12 14:49:00,2261,12.3154,12.34,12.25,12.34,12.25,39
2024-01-12 14:50:00,2853,12.3228,12.31,12.33,12.37,12.2528,16
2024-01-12 14:51:00,4434,12.3361,12.25,12.3,12.37,12.2453,27
2024-01-12 14:52:00,1765,12.2431,12.2987,12.2133,12.2987,12.2036,33
2024-01-12 14:53:00,1925,12.286,12.26,12.2063,12.3099,12.2063,26
2024-01-12 14:54:00,2612,12.2215,12.2018,12.26,12.2642,12.2018,26
2024-01-12 14:55:00,6036,12.3137,12.25,12.3299,12.33,12.21,43
2024-01-12 14:56:00,1129,12.3017,12.295,12.295,12.295,12.295,18
2024-01-12 14:57:00,3032,12.3216,12.36,12.23,12.36,12.23,36
2024-01-12 14:58:00,1404,12.3201,12.31,12.2717,12.36,12.2717,36
2024-01-12 14:59:00,251,12.3236,12.28,12.28,12.28,12.28,23
2024-01-12 15:00:00,3023,12.2272,12.28,12.3,12.3,12.2003,46
2024-01-12 15:01:00,7401,12.1876,12.2039,12.125,12.2039,12.125,57
2024-01-12 15:02:00,4603,12.0821,12.08,12.0766,12.1565,12.0501,63
2024-01-12 15:03:00,2882,12.1284,12.1601,12.19,12.19,12.08,39
2024-01-12 15:04:00,1113,12.1266,12.11,12.1317,12.145,12.11,25
2024-01-12 15:05:00,2122,12.1789,12.149,12.2,12.2,12.1465,38
2024-01-12 15:06:00,3774,12.1318,12.16,12.2,12.2,12.08,43
2024-01-12 15:07:00,1061,12.1552,12.15,12.15,12.15,12.15,17
2024-01-12 15:08:00,147,12.1431,12.1101,12.1101,12.1101,12.1101,17
2024-01-12 15:09:00,858,12.2617,12.2625,12.2625,12.2625,12.2625,12
2024-01-12 15:10:00,557,12.1761,12.25,12.12,12.25,12.11,17
2024-01-12 15:11:00,1407,12.1173,12.1125,12.1125,12.1125,12.1125,13
2024-01-12 15:12:00,1211,12.1309,12.1201,12.1201,12.1201,12.1201,23
2024-01-12 15:13:00,327,12.237,12.25,12.25,12.25,12.25,15
2024-01-12 15:14:00,395,12.2832,12.3,12.3,12.3,12.3,17
2024-01-12 15:15:00,4044,12.2822,12.2822,12.2822,12.2822,12.2822,8
2024-01-12 15:16:00,320,12.2202,12.24,12.24,12.24,12.24,20
2024-01-12 15:17:00,154,12.2121,12.2066,12.2066,12.2066,12.2066,11
2024-01-12 15:18:00,373,12.2718,12.25,12.29,12.29,12.25,9
2024-01-12 15:19:00,2373,12.308,12.28,12.33,12.33,12.28,26
2024-01-12 15:22:00,1035,12.2455,12.245,12.245,12.245,12.245,15
2024-01-12 15:23:00,1576,12.1613,12.1871,12.15,12.1871,12.15,36
2024-01-12 15:24:00,2397,12.1711,12.15,12.21,12.22,12.1353,36
2024-01-12 15:25:00,151,12.196,12.2028,12.2028,12.2028,12.2028,12
2024-01-12 15:26:00,715,12.1897,12.13,12.2092,12.2092,12.13,20
2024-01-12 15:29:00,11772,12.3103,12.18,12.35,12.35,12.18,45
2024-01-12 15:30:00,760,12.2307,12.3,12.2101,12.3,12.2101,19
2024-01-12 15:31:00,906,12.2211,12.22,12.215,12.22,12.215,27
2024-01-12 15:33:00,378,12.2312,12.2936,12.2001,12.2936,12.2001,14
2024-01-12 15:35:00,544,12.2283,12.2338,12.21,12.2338,12.21,12
2024-01-12 15:36:00,2136,12.2201,12.2019,12.2338,12.2338,12.2019,13
2024-01-12 15:37:00,207,12.235,12.2038,12.2038,12.2038,12.2038,8
2024-01-12 15:38:00,269,12.2276,12.23,12.23,12.23,12.23,17
2024-01-12 15:39:00,1043,12.2302,12.23,12.23,12.23,12.23,17
2024-01-12 15:40:00,1641,12.2553,12.2393,12.29,12.29,12.2393,32
2024-01-12 15:42:00,273,12.2921,12.2933,12.2933,12.2933,12.2933,14
2024-01-12 15:46:00,379,12.2563,12.2561,12.2561,12.2561,12.2561,8
2024-01-12 15:47:00,496,12.2724,12.2537,12.27,12.27,12.2537,24
2024-01-12 15:48:00,1063,12.2233,12.23,12.2099,12.23,12.2099,11
2024-01-12 15:49:00,14452,12.0505,12.2,12.105,12.2,12.0,234
2024-01-12 15:50:00,361,12.1382,12.1799,12.1064,12.1799,12.1064,13
2024-01-12 15:52:00,2133,12.0533,12.0063,12.1192,12.1192,12.0063,47
2024-01-12 15:53:00,1655,12.0304,12.05,12.0173,12.0771,12.0101,20
2024-01-12 15:54:00,2204,12.056,12.02,12.0754,12.08,12.02,30
2024-01-12 15:55:00,640,12.0403,12.04,12.04,12.0699,12.01,13
2024-01-12 15:56:00,2434,12.0445,12.04,12.045,12.045,12.04,9
2024-01-12 15:57:00,1673,12.0197,12.07,12.01,12.07,12.01,41
2024-01-12 15:58:00,1665,12.0302,12.03,12.03,12.0462,12.03,15
2024-01-12 16:00:00,155,12.016,12.0142,12.0142,12.0142,12.0142,18
2024-01-12 16:01:00,959,12.0206,12.02,12.02,12.02,12.02,12
2024-01-12 16:02:00,2067,12.0371,12.02,12.0783,12.0783,12.02,16
2024-01-12 16:03:00,1359,12.0144,12.045,12.01,12.045,12.01,40
2024-01-12 16:04:00,7333,12.0193,12.0,12.04,12.04,12.0,25
2024-01-12 16:05:00,1022,12.0402,12.045,12.045,12.045,12.045,24
2024-01-12 16:06:00,2755,12.0319,12.04,12.02,12.0738,12.02,17
2024-01-12 16:07:00,3123,12.0122,12.01,12.01,12.03,12.01,25
2024-01-12 16:08:00,1411,12.0131,12.012,12.01,12.02,12.01,21
2024-01-12 16:09:00,1513,12.0185,12.05,12.0135,12.05,12.0101,13
2024-01-12 16:10:00,950,12.039,12.03,12.05,12.05,12.03,14
2024-01-12 16:11:00,633,12.0371,12.04,12.04,12.0468,12.03,20
2024-01-12 16:12:00,624,12.0174,12.02,12.01,12.02,12.01,29
2024-01-12 16:13:00,1558,12.0161,12.0098,12.025,12.0458,12.0005,29
2024-01-12 16:14:00,1613,12.0078,12.0014,12.0486,12.0486,12.0014,14
2024-01-12 16:18:00,3062,12.0331,12.05,12.0244,12.05,12.0001,23
2024-01-12 16:19:00,2573,12.0013,12.0,12.0014,12.0014,12.0,19
2024-01-12 16:20:00,1647,12.0188,12.042,12.0101,12.042,12.0101,13
2024-01-12 16:21:00,1210,12.0118,12.0122,12.0101,12.0122,12.0101,17
2024-01-12 16:22:00,392,12.0347,12.0441,12.03,12.0441,12.03,18
2024-01-12 16:23:00,257,12.0282,12.02,12.0388,12.0388,12.02,11
2024-01-12 16:25:00,556,12.0489,12.05,12.04,12.05,12.04,29
2024-01-12 16:28:00,1131,12.0421,12.04,12.04,12.04,12.04,13
2024-01-12 16:29:00,227,12.0725,12.0767,12.0767,12.0767,12.0767,13
