t,v,vw,o,c,h,l,n
2023-10-02 13:30:00,72839,10.2079,10.21,10.18,10.21,10.16,21
2023-10-02 13:31:00,3426,10.1839,10.185,10.19,10.19,10.18,11
2023-10-02 13:32:00,9774,10.1947,10.1878,10.195,10.2,10.1878,33
2023-10-02 13:33:00,2096,10.1948,10.195,10.195,10.195,10.195,5
2023-10-02 13:34:00,1546,10.1946,10.2,10.2,10.2,10.195,10
2023-10-02 13:35:00,2690,10.1951,10.1906,10.195,10.2,10.1906,5
2023-10-02 13:36:00,4609,10.1938,10.1907,10.195,10.2,10.19,15
2023-10-02 13:37:00,6355,10.1933,10.195,10.19,10.195,10.19,39
2023-10-02 13:38:00,6850,10.1909,10.1801,10.2,10.2,10.1801,20
2023-10-02 13:39:00,3015,10.1942,10.19,10.195,10.2,10.19,12
2023-10-02 13:40:00,1289,10.1963,10.195,10.195,10.2,10.195,6
2023-10-02 13:41:00,21268,10.2019,10.1937,10.21,10.21,10.1937,50
2023-10-02 13:42:00,1316,10.2016,10.2,10.205,10.21,10.2,3
2023-10-02 13:43:00,1310,10.2027,10.201,10.205,10.21,10.201,5
2023-10-02 13:44:00,1140,10.202,10.2009,10.21,10.21,10.2009,3
2023-10-02 13:46:00,24173,10.2073,10.205,10.21,10.2113,10.2034,42
2023-10-02 13:47:00,26547,10.2044,10.21,10.205,10.21,10.2,94
2023-10-02 13:49:00,2147,10.192,10.1912,10.2,10.2,10.1912,3
2023-10-02 13:50:00,13000,10.1961,10.195,10.195,10.2,10.195,36
2023-10-02 13:51:00,2000,10.195,10.195,10.195,10.195,10.195,1
2023-10-02 13:52:00,300,10.195,10.195,10.195,10.195,10.195,3
2023-10-02 13:54:00,300,10.1983,10.2,10.2,10.2,10.195,3
2023-10-02 13:55:00,32749,10.1765,10.195,10.1722,10.195,10.16,173
2023-10-02 13:57:00,5240,10.1782,10.1707,10.17,10.18,10.17,36
2023-10-02 13:58:00,13123,10.178,10.18,10.1809,10.1809,10.1699,71
2023-10-02 13:59:00,1017,10.178,10.18,10.175,10.18,10.17,9
2023-10-02 14:00:00,985,10.1775,10.18,10.18,10.18,10.1733,6
2023-10-02 14:01:00,7562,10.1763,10.1763,10.18,10.18,10.1763,2
2023-10-02 14:02:00,7503,10.1864,10.175,10.18,10.19,10.175,33
2023-10-02 14:03:00,228,10.1801,10.1801,10.1801,10.1801,10.1801,1
2023-10-02 14:04:00,14323,10.1904,10.19,10.2,10.2,10.19,17
2023-10-02 14:06:00,5080,10.195,10.195,10.195,10.195,10.195,16
2023-10-02 14:07:00,7800,10.1954,10.195,10.195,10.197,10.195,16
2023-10-02 14:08:00,7286,10.195,10.195,10.195,10.195,10.1937,9
2023-10-02 14:09:00,4720,10.1929,10.19,10.195,10.195,10.19,7
2023-10-02 14:11:00,3015,10.1948,10.195,10.195,10.195,10.195,8
2023-10-02 14:12:00,1833,10.195,10.195,10.195,10.195,10.195,3
2023-10-02 14:13:00,4344,10.195,10.195,10.195,10.195,10.195,6
2023-10-02 14:14:00,3246,10.1946,10.195,10.1944,10.2,10.1944,5
2023-10-02 14:15:00,300,10.195,10.195,10.195,10.195,10.195,1
2023-10-02 14:16:00,2724,10.1932,10.195,10.19,10.195,10.19,14
2023-10-02 14:17:00,541,10.195,10.195,10.195,10.195,10.195,2
2023-10-02 14:18:00,38976,10.1992,10.19,10.1901,10.2001,10.19,116
2023-10-02 14:19:00,12025,10.2001,10.2,10.2,10.2042,10.2,37
2023-10-02 14:20:00,1626,10.1923,10.1921,10.195,10.195,10.19,5
2023-10-02 14:21:00,267,10.1902,10.1901,10.1901,10.1901,10.1901,2
2023-10-02 14:22:00,502,10.1976,10.1941,10.2,10.2,10.1941,2
2023-10-02 14:23:00,7261,10.184,10.19,10.175,10.19,10.175,40
2023-10-02 14:24:00,200,10.175,10.175,10.175,10.175,10.175,2
2023-10-02 14:26:00,641,10.1802,10.18,10.18,10.18,10.18,6
2023-10-02 14:27:00,320,10.1847,10.185,10.185,10.185,10.185,4
2023-10-02 14:28:00,1993,10.1853,10.185,10.185,10.19,10.185,15
2023-10-02 14:29:00,900,10.1853,10.185,10.185,10.185,10.185,9
2023-10-02 14:30:00,5696,10.1799,10.185,10.18,10.185,10.175,27
2023-10-02 14:31:00,2300,10.18,10.18,10.18,10.18,10.18,5
2023-10-02 14:32:00,4718,10.181,10.18,10.19,10.19,10.18,18
2023-10-02 14:33:00,650,10.19,10.19,10.19,10.19,10.19,5
2023-10-02 14:34:00,2284,10.1865,10.19,10.19,10.19,10.185,8
2023-10-02 14:35:00,600,10.19,10.19,10.19,10.19,10.19,4
2023-10-02 14:36:00,840,10.1902,10.19,10.19,10.19,10.19,8
2023-10-02 14:37:00,813,10.1996,10.2,10.2,10.2,10.2,8
2023-10-02 14:38:00,749,10.1995,10.2,10.2,10.2,10.2,7
2023-10-02 14:39:00,700,10.2,10.2,10.2,10.2,10.2,5
2023-10-02 14:40:00,600,10.1967,10.2,10.195,10.2,10.195,4
2023-10-02 14:41:00,600,10.1983,10.195,10.2,10.2,10.195,5
2023-10-02 14:42:00,3302,10.1915,10.195,10.18,10.2,10.18,25
2023-10-02 14:43:00,2000,10.1809,10.1807,10.185,10.185,10.18,20
2023-10-02 14:44:00,600,10.1883,10.19,10.19,10.19,10.185,6
2023-10-02 14:45:00,515,10.19,10.19,10.19,10.19,10.19,6
2023-10-02 14:46:00,1172,10.1879,10.19,10.19,10.19,10.181,6
2023-10-02 14:47:00,740,10.193,10.19,10.2,10.2,10.19,8
2023-10-02 14:48:00,1693,10.1956,10.2,10.195,10.2,10.195,9
2023-10-02 14:49:00,640,10.1952,10.195,10.2,10.2,10.195,6
2023-10-02 14:50:00,300,10.195,10.195,10.195,10.195,10.195,3
2023-10-02 14:51:00,1700,10.1921,10.195,10.195,10.195,10.19,15
2023-10-02 14:52:00,500,10.19,10.19,10.19,10.19,10.19,6
2023-10-02 14:53:00,373,10.1988,10.2,10.1986,10.2,10.1986,3
2023-10-02 14:54:00,1318,10.1933,10.195,10.195,10.2,10.192,7
2023-10-02 14:55:00,1534,10.1944,10.195,10.19,10.195,10.19,12
2023-10-02 14:56:00,150,10.1983,10.2,10.2,10.2,10.2,2
2023-10-02 14:57:00,620,10.195,10.195,10.195,10.195,10.195,6
2023-10-02 14:58:00,3856,10.1903,10.195,10.185,10.195,10.185,16
2023-10-02 14:59:00,448,10.1861,10.185,10.19,10.19,10.185,4
2023-10-02 15:00:00,618,10.189,10.19,10.185,10.19,10.185,7
2023-10-02 15:01:00,2536,10.1829,10.19,10.185,10.19,10.18,8
2023-10-02 15:02:00,500,10.184,10.185,10.185,10.185,10.18,5
2023-10-02 15:03:00,320,10.1866,10.185,10.19,10.19,10.185,4
2023-10-02 15:04:00,431,10.1885,10.19,10.185,10.19,10.185,5
2023-10-02 15:05:00,3453,10.182,10.19,10.18,10.19,10.1701,21
2023-10-02 15:06:00,915,10.1766,10.175,10.18,10.18,10.175,9
2023-10-02 15:07:00,5480,10.1718,10.175,10.18,10.18,10.1708,8
2023-10-02 15:08:00,1008,10.1765,10.18,10.18,10.18,10.1701,9
2023-10-02 15:09:00,8126,10.1726,10.18,10.175,10.18,10.17,46
2023-10-02 15:10:00,2311,10.1751,10.1709,10.18,10.18,10.1709,17
2023-10-02 15:11:00,716,10.1785,10.175,10.18,10.18,10.175,8
2023-10-02 15:12:00,575,10.1797,10.18,10.18,10.18,10.18,9
2023-10-02 15:13:00,1599,10.1863,10.18,10.19,10.19,10.18,15
2023-10-02 15:14:00,542,10.1896,10.19,10.19,10.19,10.19,7
2023-10-02 15:15:00,1100,10.19,10.19,10.19,10.19,10.1899,5
2023-10-02 15:16:00,1410,10.19,10.19,10.19,10.19,10.19,9
2023-10-02 15:17:00,4620,10.1861,10.19,10.19,10.19,10.18,38
2023-10-02 15:18:00,1100,10.1859,10.185,10.19,10.19,10.185,9
2023-10-02 15:19:00,1000,10.187,10.19,10.19,10.19,10.185,10
2023-10-02 15:20:00,670,10.1865,10.185,10.19,10.19,10.185,5
2023-10-02 15:21:00,6760,10.1811,10.19,10.19,10.19,10.1801,7
2023-10-02 15:22:00,22965,10.1966,10.19,10.2,10.2,10.19,144
2023-10-02 15:23:00,7886,10.1997,10.2,10.21,10.21,10.195,47
2023-10-02 15:24:00,10155,10.21,10.21,10.21,10.21,10.21,78
2023-10-02 15:25:00,1525,10.2073,10.21,10.21,10.21,10.205,9
2023-10-02 15:26:00,400,10.21,10.21,10.21,10.21,10.21,3
2023-10-02 15:27:00,1603,10.2069,10.21,10.21,10.21,10.205,6
2023-10-02 15:28:00,700,10.2086,10.205,10.21,10.21,10.205,5
2023-10-02 15:29:00,500,10.21,10.21,10.21,10.21,10.21,4
2023-10-02 15:30:00,1130,10.2072,10.21,10.21,10.21,10.205,6
2023-10-02 15:31:00,300,10.21,10.21,10.21,10.21,10.21,3
2023-10-02 15:32:00,1400,10.2079,10.21,10.21,10.21,10.205,14
2023-10-02 15:33:00,254,10.2079,10.205,10.21,10.21,10.205,3
2023-10-02 15:34:00,500,10.21,10.21,10.21,10.21,10.21,5
2023-10-02 15:35:00,5064,10.2008,10.21,10.2,10.21,10.2,29
2023-10-02 15:36:00,2133,10.2047,10.205,10.2,10.21,10.2,10
2023-10-02 15:37:00,1271,10.1996,10.2,10.19,10.205,10.19,15
2023-10-02 15:38:00,23378,10.1873,10.19,10.185,10.195,10.1801,62
2023-10-02 15:39:00,100,10.19,10.19,10.19,10.19,10.19,1
2023-10-02 15:40:00,300,10.19,10.19,10.19,10.19,10.19,3
2023-10-02 15:41:00,803,10.19,10.19,10.19,10.19,10.19,9
2023-10-02 15:42:00,1069,10.1957,10.19,10.2,10.2,10.19,10
2023-10-02 15:43:00,100,10.195,10.195,10.195,10.195,10.195,1
2023-10-02 15:44:00,1020,10.1965,10.195,10.2,10.2,10.195,10
2023-10-02 15:45:00,2939,10.1948,10.195,10.19,10.195,10.19,18
2023-10-02 15:46:00,800,10.195,10.195,10.195,10.195,10.195,8
2023-10-02 15:47:00,1612,10.1922,10.195,10.19,10.195,10.19,8
2023-10-02 15:48:00,100,10.19,10.19,10.19,10.19,10.19,1
2023-10-02 15:49:00,800,10.195,10.195,10.195,10.195,10.195,6
2023-10-02 15:50:00,420,10.195,10.195,10.195,10.195,10.195,4
2023-10-02 15:51:00,600,10.195,10.195,10.195,10.195,10.195,4
2023-10-02 15:52:00,420,10.195,10.195,10.195,10.195,10.195,4
2023-10-02 15:53:00,2210,10.1914,10.195,10.19,10.195,10.19,12
2023-10-02 15:54:00,5120,10.1861,10.19,10.18,10.19,10.18,15
2023-10-02 15:55:00,200,10.1825,10.18,10.185,10.185,10.18,2
2023-10-02 15:56:00,6400,10.1805,10.185,10.185,10.185,10.18,15
2023-10-02 15:57:00,1320,10.1805,10.18,10.18,10.185,10.18,8
2023-10-02 15:58:00,2820,10.1722,10.175,10.175,10.175,10.17,8
2023-10-02 15:59:00,6497,10.1705,10.1769,10.17,10.1769,10.17,10
2023-10-02 16:00:00,200,10.165,10.165,10.165,10.165,10.165,1
2023-10-02 16:01:00,9150,10.1639,10.16,10.165,10.165,10.16,7
2023-10-02 16:02:00,900,10.165,10.165,10.165,10.165,10.165,3
2023-10-02 16:03:00,300,10.165,10.165,10.165,10.165,10.165,2
2023-10-02 16:04:00,5503,10.1662,10.165,10.165,10.17,10.165,11
2023-10-02 16:05:00,7212,10.165,10.165,10.165,10.17,10.16,24
