t,v,vw,o,c,h,l,n
2024-04-17 11:00:00,327,3.8631,3.87,3.86,3.87,3.86,3
2024-04-17 11:52:00,1000,3.8977,3.89,3.9,3.9,3.89,7
2024-04-17 12:03:00,400,3.88,3.88,3.88,3.88,3.88,2
2024-04-17 13:29:00,102,3.87,3.87,3.87,3.87,3.87,2
2024-04-17 13:30:00,52233,3.8579,3.86,3.85,3.86,3.85,67
2024-04-17 13:31:00,27033,3.858,3.85,3.86,3.865,3.85,38
2024-04-17 13:32:00,4613,3.8662,3.865,3.87,3.87,3.865,8
2024-04-17 13:33:00,671,3.865,3.865,3.865,3.865,3.865,4
2024-04-17 13:34:00,1269,3.8671,3.865,3.86,3.865,3.86,8
2024-04-17 13:35:00,2705,3.866,3.8617,3.86,3.87,3.86,11
2024-04-17 13:36:00,2521,3.8617,3.86,3.86,3.86,3.86,14
2024-04-17 13:37:00,2140,3.8602,3.865,3.86,3.865,3.86,4
2024-04-17 13:38:00,289,3.864,3.86,3.865,3.865,3.86,4
2024-04-17 13:39:00,2448,3.8621,3.865,3.865,3.865,3.86,11
2024-04-17 13:40:00,30586,3.8702,3.865,3.875,3.88,3.865,94
2024-04-17 13:41:00,14724,3.8786,3.8706,3.8805,3.8899,3.8706,28
2024-04-17 13:42:00,2302,3.8882,3.885,3.895,3.895,3.885,20
2024-04-17 13:43:00,17732,3.8902,3.89,3.885,3.895,3.885,33
2024-04-17 13:44:00,4123,3.8925,3.89,3.895,3.895,3.8866,19
2024-04-17 13:45:00,13778,3.8903,3.8906,3.895,3.895,3.8801,43
2024-04-17 13:46:00,5001,3.8902,3.8901,3.8901,3.8901,3.8901,3
2024-04-17 13:47:00,51345,3.9063,3.895,3.91,3.91,3.895,67
2024-04-17 13:48:00,262,3.9058,3.91,3.91,3.91,3.91,7
2024-04-17 13:49:00,1730,3.9088,3.91,3.905,3.91,3.905,11
2024-04-17 13:50:00,13777,3.9023,3.91,3.9,3.91,3.9,58
2024-04-17 13:51:00,2110,3.8979,3.895,3.8901,3.895,3.8901,4
2024-04-17 13:52:00,5341,3.892,3.8901,3.895,3.895,3.89,8
2024-04-17 13:53:00,928,3.895,3.895,3.895,3.895,3.895,5
2024-04-17 13:54:00,10595,3.8909,3.9,3.8906,3.9,3.8906,9
2024-04-17 13:56:00,200,3.895,3.895,3.895,3.895,3.895,2
2024-04-17 13:57:00,1840,3.8933,3.895,3.895,3.895,3.895,11
2024-04-17 13:58:00,1188,3.8946,3.895,3.895,3.895,3.89,10
2024-04-17 13:59:00,14371,3.8921,3.895,3.89,3.9,3.89,17
2024-04-17 14:00:00,6930,3.8936,3.89,3.895,3.9,3.89,46
