t,v,vw,o,c,h,l,n
2024-04-25 11:30:00,313,60.8856,60.87,60.9,60.9,60.87,6
2024-04-25 12:00:00,400,60.2183,59.9504,59.9544,59.9544,59.9504,54
2024-04-25 12:05:00,116,60.9621,60.901,60.901,60.901,60.901,5
2024-04-25 12:23:00,240,61.296,61.29,61.3,61.3,61.29,3
2024-04-25 12:34:00,110,61.304,61.3,61.3,61.3,61.3,4
2024-04-25 13:28:00,848,59.8148,59.76,59.75,59.76,59.75,39
2024-04-25 13:30:00,65338,59.1258,59.21,58.715,59.27,58.6,466
2024-04-25 13:31:00,18897,58.9469,58.715,59.135,59.24,58.715,274
2024-04-25 13:32:00,32616,59.5455,59.135,59.0,59.765,59.0,278
2024-04-25 13:33:00,24187,59.0118,59.095,59.36,59.48,58.62,228
2024-04-25 13:34:00,44397,59.4116,59.37,59.17,59.635,59.15,528
2024-04-25 13:35:00,51681,59.5603,59.35,59.695,59.85,59.24,254
2024-04-25 13:36:00,15448,59.5955,59.695,59.71,59.765,59.41,197
2024-04-25 13:37:00,25883,59.7224,59.71,59.59,59.94,59.53,269
2024-04-25 13:38:00,5107,59.309,59.61,59.235,59.61,59.15,126
2024-04-25 13:39:00,72541,59.234,59.18,59.025,59.57,58.96,841
2024-04-25 13:40:00,120256,58.9973,59.025,58.77,59.115,58.77,639
2024-04-25 13:41:00,29694,58.8045,58.81,58.81,59.0,58.6,368
2024-04-25 13:42:00,82826,58.9915,58.73,58.76,59.245,58.715,716
2024-04-25 13:43:00,50821,58.6389,58.84,58.62,58.91,58.45,591
2024-04-25 13:44:00,57887,58.3442,58.62,58.48,58.645,58.1,744
2024-04-25 13:45:00,20592,58.3778,58.51,58.295,58.51,58.23,268
2024-04-25 13:46:00,50698,58.4726,58.2501,58.52,58.61,58.24,638
2024-04-25 13:47:00,45751,58.3997,58.55,58.5,58.58,58.28,460
2024-04-25 13:48:00,38783,58.4043,58.51,58.36,58.52,58.32,394
2024-04-25 13:49:00,63323,58.2902,58.38,58.265,58.43,58.1,549
2024-04-25 13:50:00,20621,58.3002,58.31,58.325,58.35,58.25,267
2024-04-25 13:51:00,122370,58.3152,58.31,58.335,58.43,58.23,1013
2024-04-25 13:52:00,27448,58.3833,58.3,58.5,58.5,58.25,339
2024-04-25 13:53:00,15647,58.432,58.5,58.37,58.5,58.26,146
2024-04-25 13:54:00,50857,58.2508,58.325,58.215,58.37,58.15,482
2024-04-25 13:55:00,32569,58.2952,58.24,58.29,58.37,58.21,326
2024-04-25 13:56:00,28113,58.3494,58.33,58.385,58.39,58.3,324
2024-04-25 13:57:00,35080,58.4514,58.385,58.495,58.55,58.385,499
2024-04-25 13:58:00,52380,58.5922,58.495,58.52,58.61,58.495,388
