t,v,vw,o,c,h,l,n
2023-05-01 11:30:00,500,76.5799,76.57,76.59,76.59,76.57,6
2023-05-01 13:24:00,100,76.3,76.3,76.3,76.3,76.3,1
2023-05-01 13:30:00,85411,76.4708,76.47,76.44,76.54,76.41,419
2023-05-01 13:31:00,10084,76.5172,76.43,76.585,76.59,76.42,170
2023-05-01 13:32:00,8773,76.5742,76.58,76.54,76.62,76.51,133
2023-05-01 13:33:00,10189,76.6112,76.55,76.6454,76.6511,76.55,110
2023-05-01 13:34:00,7624,76.5966,76.6465,76.5518,76.67,76.5518,141
2023-05-01 13:35:00,6004,76.5816,76.57,76.5789,76.6132,76.54,159
2023-05-01 13:36:00,7125,76.5245,76.53,76.5204,76.545,76.5,127
2023-05-01 13:37:00,4042,76.54,76.54,76.51,76.56,76.51,117
2023-05-01 13:38:00,6672,76.5018,76.4972,76.535,76.535,76.48,140
2023-05-01 13:39:00,6858,76.5239,76.53,76.51,76.55,76.51,136
2023-05-01 13:40:00,25373,76.5293,76.515,76.55,76.56,76.5,375
2023-05-01 13:41:00,17430,76.4815,76.55,76.43,76.55,76.43,337
2023-05-01 13:42:00,10446,76.3877,76.42,76.38,76.42,76.359,184
2023-05-01 13:43:00,15671,76.4017,76.385,76.425,76.43,76.37,205
2023-05-01 13:44:00,4869,76.4648,76.435,76.47,76.48,76.435,117
2023-05-01 13:45:00,10875,76.4766,76.465,76.48,76.53,76.45,192
2023-05-01 13:46:00,12823,76.4923,76.49,76.445,76.535,76.44,209
2023-05-01 13:47:00,16476,76.492,76.44,76.48,76.54,76.44,266
2023-05-01 13:48:00,12265,76.5108,76.48,76.585,76.585,76.475,152
2023-05-01 13:49:00,6316,76.5859,76.59,76.55,76.61,76.55,173
2023-05-01 13:50:00,6735,76.6037,76.57,76.61,76.62,76.57,160
2023-05-01 13:51:00,11057,76.5951,76.63,76.535,76.65,76.52,201
2023-05-01 13:52:00,10300,76.6182,76.54,76.665,76.665,76.54,127
2023-05-01 13:53:00,3277,76.6456,76.67,76.62,76.67,76.62,84
2023-05-01 13:54:00,7402,76.6864,76.66,76.68,76.71,76.66,154
2023-05-01 13:55:00,17610,76.7285,76.68,76.75,76.75,76.68,187
2023-05-01 13:56:00,9136,76.7161,76.7463,76.74,76.7463,76.695,183
2023-05-01 13:57:00,11760,76.7839,76.75,76.81,76.81,76.75,238
2023-05-01 13:58:00,6219,76.8525,76.82,76.87,76.8799,76.82,111
2023-05-01 13:59:00,3707,76.8599,76.875,76.84,76.88,76.8131,94
2023-05-01 14:00:00,8991,76.7724,76.82,76.8,76.83,76.7088,183
2023-05-01 14:01:00,5019,76.7282,76.79,76.7,76.79,76.69,110
2023-05-01 14:02:00,7810,76.6532,76.7,76.63,76.7,76.6001,156
2023-05-01 14:03:00,7448,76.5997,76.61,76.66,76.6699,76.56,137
2023-05-01 14:04:00,18500,76.6561,76.66,76.68,76.695,76.6199,173
2023-05-01 14:05:00,11714,76.6553,76.67,76.68,76.68,76.62,142
2023-05-01 14:06:00,7074,76.6388,76.675,76.62,76.675,76.605,123
2023-05-01 14:07:00,6741,76.614,76.58,76.65,76.65,76.58,121
2023-05-01 14:08:00,6553,76.6467,76.665,76.61,76.67,76.61,120
