t,v,vw,o,c,h,l,n
2024-03-18 12:25:00,300,5.5,5.5,5.5,5.5,5.5,1
2024-03-18 13:30:00,9163,5.4772,5.48,5.48,5.48,5.455,26
2024-03-18 13:31:00,3755,5.4792,5.4799,5.455,5.4799,5.455,4
2024-03-18 13:33:00,12415,5.492,5.47,5.485,5.5,5.47,96
2024-03-18 13:34:00,4325,5.4609,5.485,5.455,5.5,5.44,53
2024-03-18 13:35:00,722,5.4371,5.435,5.44,5.44,5.435,5
2024-03-18 13:36:00,6765,5.4419,5.43,5.43,5.46,5.43,54
2024-03-18 13:37:00,1518,5.43,5.43,5.43,5.43,5.43,17
2024-03-18 13:38:00,2069,5.4376,5.43,5.44,5.44,5.43,30
2024-03-18 13:39:00,3990,5.4322,5.435,5.44,5.44,5.43,54
2024-03-18 13:40:00,6000,5.4339,5.44,5.43,5.44,5.42,71
2024-03-18 13:41:00,886,5.4476,5.44,5.455,5.455,5.44,13
2024-03-18 13:42:00,4230,5.4755,5.46,5.48,5.48,5.46,18
2024-03-18 13:43:00,1154,5.4781,5.475,5.48,5.48,5.475,16
2024-03-18 13:44:00,1601,5.4823,5.49,5.475,5.49,5.475,20
2024-03-18 13:45:00,6438,5.4787,5.475,5.48,5.48,5.47,24
2024-03-18 13:46:00,7324,5.4972,5.49,5.495,5.5,5.485,27
2024-03-18 13:47:00,2376,5.495,5.49,5.5,5.5,5.49,35
2024-03-18 13:48:00,3937,5.5056,5.505,5.5,5.5097,5.5,31
2024-03-18 13:49:00,300,5.503,5.505,5.504,5.505,5.5,3
2024-03-18 13:50:00,810,5.5007,5.5,5.495,5.505,5.495,18
2024-03-18 13:51:00,1901,5.5032,5.5,5.505,5.51,5.5,32
2024-03-18 13:53:00,7565,5.4863,5.505,5.47,5.505,5.47,112
2024-03-18 13:54:00,309,5.4784,5.475,5.475,5.475,5.475,9
2024-03-18 13:55:00,921,5.4708,5.47,5.47,5.475,5.47,26
2024-03-18 13:56:00,776,5.4678,5.465,5.47,5.47,5.465,8
2024-03-18 13:57:00,8020,5.4703,5.47,5.48,5.48,5.47,27
2024-03-18 13:58:00,5203,5.4691,5.475,5.465,5.475,5.4609,42
2024-03-18 14:00:00,245,5.4788,5.48,5.48,5.48,5.48,7
