t,v,vw,o,c,h,l,n
2024-03-08 12:01:00,500,33.62,33.62,33.62,33.62,33.62,1
2024-03-08 13:55:00,100,34.0,34.0,34.0,34.0,34.0,1
2024-03-08 14:25:00,1295,33.3517,33.32,33.31,33.67,33.31,17
2024-03-08 14:30:00,28107,33.3783,33.37,33.56,33.65,33.37,32
2024-03-08 14:31:00,28848,33.755,33.755,33.755,33.755,33.755,3
2024-03-08 14:32:00,9116,33.6309,33.69,33.615,33.69,33.49,57
2024-03-08 14:33:00,34193,33.652,33.73,33.38,33.83,33.38,49
2024-03-08 14:34:00,296,33.4462,33.475,33.475,33.475,33.475,5
2024-03-08 14:35:00,3139,33.5735,33.455,33.695,33.695,33.45,34
2024-03-08 14:36:00,451,33.6494,33.695,33.605,33.695,33.605,6
2024-03-08 14:37:00,240,33.6386,33.64,33.61,33.64,33.61,5
2024-03-08 14:38:00,665,33.6572,33.65,33.64,33.65,33.64,9
2024-03-08 14:39:00,622,33.5073,33.57,33.46,33.57,33.46,9
2024-03-08 14:40:00,3902,33.6162,33.62,33.62,33.62,33.47,13
2024-03-08 14:41:00,555,33.5973,33.625,33.515,33.625,33.515,6
2024-03-08 14:42:00,8470,33.6248,33.54,33.65,33.65,33.5,24
2024-03-08 14:43:00,1241,33.6665,33.66,33.68,33.68,33.59,9
2024-03-08 14:45:00,103,33.7305,33.73,33.73,33.73,33.73,3
2024-03-08 14:46:00,867,33.6725,33.74,33.73,33.74,33.73,12
2024-03-08 14:47:00,1414,33.7978,33.79,33.82,33.82,33.79,30
2024-03-08 14:48:00,319,33.7663,33.76,33.75,33.79,33.75,4
2024-03-08 14:49:00,694,33.751,33.75,33.74,33.75,33.74,24
2024-03-08 14:51:00,622,33.6952,33.71,33.695,33.71,33.695,17
2024-03-08 14:53:00,1461,33.7556,33.74,33.76,33.79,33.7,29
2024-03-08 14:54:00,1435,33.7856,33.79,33.76,33.79,33.76,21
2024-03-08 14:55:00,2889,33.7342,33.74,33.728,33.74,33.728,27
2024-03-08 14:56:00,2151,33.6342,33.68,33.62,33.68,33.62,34
2024-03-08 14:57:00,3061,33.6153,33.62,33.6225,33.63,33.585,53
2024-03-08 14:58:00,1319,33.5745,33.6,33.525,33.6,33.525,28
2024-03-08 15:00:00,662,33.4663,33.47,33.45,33.49,33.44,22
2024-03-08 15:01:00,1334,33.4834,33.46,33.495,33.495,33.45,19
2024-03-08 15:02:00,3811,33.5141,33.49,33.545,33.55,33.44,69
2024-03-08 15:03:00,3177,33.5772,33.58,33.58,33.59,33.54,24
2024-03-08 15:04:00,1154,33.5285,33.545,33.47,33.585,33.47,30
2024-03-08 15:05:00,2246,33.4706,33.47,33.465,33.49,33.425,22
2024-03-08 15:06:00,826,33.4548,33.465,33.465,33.465,33.42,12
2024-03-08 15:07:00,1434,33.4971,33.45,33.5,33.53,33.435,22
2024-03-08 15:08:00,1739,33.5016,33.5,33.5271,33.5271,33.45,23
2024-03-08 15:09:00,2927,33.5621,33.495,33.58,33.58,33.495,51
2024-03-08 15:10:00,6497,33.5867,33.575,33.63,33.63,33.56,65
2024-03-08 15:11:00,4003,33.5602,33.59,33.555,33.59,33.52,50
2024-03-08 15:12:00,960,33.5257,33.53,33.525,33.53,33.525,22
2024-03-08 15:13:00,1395,33.5262,33.495,33.51,33.53,33.495,11
2024-03-08 15:14:00,1900,33.5613,33.535,33.56,33.57,33.535,28
2024-03-08 15:15:00,1185,33.5467,33.56,33.51,33.56,33.51,11
2024-03-08 15:16:00,3229,33.5559,33.56,33.6,33.6099,33.515,35
2024-03-08 15:17:00,1625,33.5502,33.55,33.55,33.55,33.5473,10
2024-03-08 15:18:00,2024,33.5976,33.515,33.62,33.6243,33.515,53
2024-03-08 15:19:00,2618,33.6082,33.62,33.6,33.625,33.58,37
2024-03-08 15:20:00,985,33.5673,33.595,33.56,33.595,33.56,30
2024-03-08 15:21:00,891,33.5436,33.545,33.5351,33.56,33.53,11
