t,v,vw,o,c,h,l,n
2023-08-07 12:05:00,800,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 12:06:00,800,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 12:07:00,800,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 12:35:00,474,1.0701,1.0701,1.0701,1.0701,1.0701,1
2023-08-07 13:30:00,17782,1.0599,1.06,1.055,1.06,1.055,23
2023-08-07 13:31:00,16277,1.0622,1.055,1.07,1.07,1.055,27
2023-08-07 13:32:00,3200,1.0626,1.0602,1.065,1.065,1.0602,2
2023-08-07 13:33:00,100,1.0601,1.0601,1.0601,1.0601,1.0601,1
2023-08-07 13:35:00,12986,1.0672,1.065,1.07,1.07,1.065,21
2023-08-07 13:36:00,1882,1.06,1.06,1.06,1.06,1.06,4
2023-08-07 13:37:00,453,1.0645,1.065,1.0608,1.065,1.0608,9
2023-08-07 13:38:00,13610,1.0696,1.065,1.07,1.07,1.065,27
2023-08-07 13:39:00,1884,1.0731,1.0701,1.07,1.0791,1.07,10
2023-08-07 13:40:00,4001,1.0701,1.0701,1.0701,1.0701,1.0701,2
2023-08-07 13:41:00,5188,1.0717,1.075,1.065,1.075,1.065,20
2023-08-07 13:42:00,3102,1.0602,1.065,1.06,1.065,1.06,5
2023-08-07 13:44:00,3602,1.0608,1.0608,1.0607,1.0608,1.0607,4
2023-08-07 13:46:00,7077,1.0636,1.065,1.069,1.069,1.06,9
2023-08-07 13:47:00,73467,1.0601,1.06,1.0601,1.069,1.055,101
2023-08-07 13:48:00,11172,1.0573,1.05,1.055,1.0599,1.05,9
2023-08-07 13:49:00,5486,1.0521,1.0584,1.05,1.0584,1.05,11
2023-08-07 13:50:00,459,1.0514,1.0514,1.0514,1.0514,1.0514,3
2023-08-07 13:51:00,118,1.0598,1.06,1.06,1.06,1.06,4
2023-08-07 13:52:00,3767,1.0515,1.0513,1.055,1.055,1.0513,3
2023-08-07 13:53:00,655,1.0538,1.055,1.05,1.055,1.05,3
2023-08-07 13:55:00,4683,1.0594,1.0595,1.0595,1.0595,1.0595,4
2023-08-07 13:56:00,1800,1.06,1.06,1.06,1.06,1.06,3
2023-08-07 13:57:00,43700,1.06,1.06,1.06,1.06,1.0591,6
2023-08-07 13:58:00,4600,1.06,1.06,1.06,1.06,1.06,8
2023-08-07 13:59:00,13420,1.0567,1.055,1.055,1.06,1.055,42
2023-08-07 14:00:00,7978,1.0591,1.0567,1.055,1.06,1.055,17
2023-08-07 14:01:00,8395,1.0586,1.0598,1.0581,1.0598,1.055,8
2023-08-07 14:02:00,26578,1.0609,1.055,1.0592,1.07,1.0501,50
2023-08-07 14:03:00,5900,1.0572,1.055,1.06,1.06,1.055,8
2023-08-07 14:04:00,17094,1.063,1.065,1.0629,1.065,1.06,18
2023-08-07 14:05:00,285,1.0651,1.065,1.065,1.065,1.065,2
2023-08-07 14:06:00,4605,1.0645,1.0601,1.065,1.065,1.0601,4
2023-08-07 14:07:00,500,1.065,1.065,1.065,1.065,1.065,3
2023-08-07 14:08:00,800,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:09:00,800,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:10:00,10701,1.0608,1.07,1.0607,1.07,1.0607,4
2023-08-07 14:11:00,100,1.07,1.07,1.07,1.07,1.07,1
2023-08-07 14:12:00,122,1.0699,1.07,1.07,1.07,1.07,4
2023-08-07 14:13:00,1699,1.0621,1.07,1.07,1.07,1.06,4
2023-08-07 14:14:00,200,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:15:00,100,1.07,1.07,1.07,1.07,1.07,1
2023-08-07 14:16:00,1782,1.07,1.07,1.07,1.07,1.07,10
2023-08-07 14:18:00,200,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:19:00,100,1.07,1.07,1.07,1.07,1.07,1
2023-08-07 14:20:00,14835,1.0699,1.07,1.07,1.07,1.065,37
2023-08-07 14:21:00,271,1.0683,1.07,1.0673,1.07,1.0673,2
2023-08-07 14:22:00,1442,1.0653,1.07,1.065,1.07,1.065,5
2023-08-07 14:23:00,200,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:24:00,100,1.07,1.07,1.07,1.07,1.07,1
2023-08-07 14:25:00,12207,1.0693,1.07,1.07,1.07,1.065,29
2023-08-07 14:26:00,200,1.07,1.07,1.07,1.07,1.07,2
2023-08-07 14:27:00,13918,1.0703,1.07,1.07,1.075,1.07,31
2023-08-07 14:28:00,10300,1.08,1.08,1.08,1.08,1.08,3
2023-08-07 14:29:00,100,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 14:30:00,207,1.08,1.08,1.08,1.08,1.08,3
2023-08-07 14:31:00,100,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 14:32:00,1054,1.0788,1.0791,1.0791,1.0791,1.0791,6
2023-08-07 14:33:00,200,1.08,1.08,1.08,1.08,1.08,2
2023-08-07 14:34:00,100,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 14:35:00,103,1.08,1.08,1.08,1.08,1.08,2
2023-08-07 14:36:00,34150,1.0704,1.08,1.0701,1.08,1.0701,3
2023-08-07 14:37:00,7510,1.0793,1.08,1.08,1.08,1.0793,5
2023-08-07 14:38:00,173,1.0793,1.08,1.08,1.08,1.08,3
2023-08-07 14:39:00,100,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 14:40:00,112,1.08,1.08,1.08,1.08,1.08,2
2023-08-07 14:41:00,200,1.08,1.08,1.08,1.08,1.08,2
2023-08-07 14:42:00,300,1.0758,1.075,1.08,1.08,1.075,3
2023-08-07 14:43:00,100,1.08,1.08,1.08,1.08,1.08,1
2023-08-07 14:44:00,118,1.0792,1.08,1.08,1.08,1.08,3
2023-08-07 14:45:00,165,1.0795,1.08,1.08,1.08,1.08,6
2023-08-07 14:46:00,360,1.0796,1.0799,1.08,1.08,1.0799,5
2023-08-07 14:47:00,2280,1.0796,1.08,1.08,1.08,1.0797,7
2023-08-07 14:48:00,600,1.0761,1.075,1.08,1.08,1.075,10
