t,v,vw,o,c,h,l,n
2023-11-09 14:23:00,100,1.14,1.14,1.14,1.14,1.14,1
2023-11-09 14:48:00,2433,1.0761,1.09,1.07,1.09,1.06,18
2023-11-09 14:49:00,12079,1.0539,1.06,1.05,1.06,1.05,16
2023-11-09 16:00:00,2000,1.0698,1.0698,1.07,1.07,1.0697,7
2023-11-09 16:03:00,300,1.07,1.07,1.07,1.07,1.07,3
2023-11-09 16:06:00,900,1.07,1.07,1.07,1.07,1.0697,9
2023-11-09 16:12:00,200,1.0795,1.0795,1.0795,1.0795,1.0795,1
2023-11-09 16:22:00,200,1.0795,1.0795,1.0795,1.0795,1.0795,1
2023-11-09 16:28:00,4001,1.0668,1.0701,1.06,1.0701,1.06,13
2023-11-09 16:33:00,5500,1.0777,1.0777,1.0777,1.0777,1.0777,1
2023-11-09 16:37:00,200,1.0799,1.0799,1.0799,1.0799,1.0799,1
2023-11-09 16:45:00,1850,1.066,1.07,1.0601,1.07,1.0601,3
2023-11-09 16:52:00,150,1.06,1.06,1.06,1.06,1.06,1
2023-11-09 16:53:00,150,1.05,1.05,1.05,1.05,1.05,2
2023-11-09 17:03:00,100,1.06,1.06,1.06,1.06,1.06,1
2023-11-09 17:06:00,100,1.0594,1.0594,1.0594,1.0594,1.0594,1
2023-11-09 17:08:00,100,1.0594,1.0594,1.0594,1.0594,1.0594,1
2023-11-09 17:28:00,346,1.051,1.05,1.05,1.0533,1.05,6
2023-11-09 17:29:00,440,1.0481,1.048,1.045,1.05,1.045,3
2023-11-09 17:30:00,200,1.0472,1.0494,1.045,1.0494,1.045,2
2023-11-09 17:31:00,500,1.05,1.05,1.05,1.05,1.05,3
2023-11-09 17:32:00,1000,1.05,1.0499,1.0499,1.05,1.0499,8
2023-11-09 17:33:00,300,1.05,1.05,1.05,1.05,1.05,1
2023-11-09 18:11:00,200,1.0673,1.0673,1.0673,1.0673,1.0673,1
2023-11-09 18:16:00,212,1.0557,1.0551,1.0551,1.0551,1.0551,2
2023-11-09 18:31:00,100,1.065,1.065,1.065,1.065,1.065,1
2023-11-09 18:32:00,230,1.07,1.07,1.07,1.07,1.07,3
2023-11-09 18:56:00,200,1.0789,1.0789,1.0789,1.0789,1.0789,1
2023-11-09 19:18:00,233,1.08,1.08,1.08,1.08,1.08,3
2023-11-09 19:28:00,2001,1.0525,1.06,1.05,1.06,1.05,4
2023-11-09 19:37:00,1051,1.0602,1.06,1.06,1.06,1.06,4
2023-11-09 19:42:00,4679,1.0697,1.059,1.07,1.07,1.059,22
2023-11-09 20:24:00,1001,1.074,1.074,1.074,1.074,1.074,2
2023-11-09 20:57:00,1500,1.071,1.0719,1.07,1.0719,1.07,4
2023-11-10 14:30:00,203,1.07,1.07,1.07,1.07,1.07,1
2023-11-10 14:33:00,176,1.0802,1.0802,1.0802,1.0802,1.0802,1
2023-11-10 14:40:00,100,1.0715,1.0715,1.0715,1.0715,1.0715,1
2023-11-10 14:48:00,19076,1.0599,1.07,1.03,1.0701,1.03,50
2023-11-10 14:57:00,450,1.065,1.065,1.065,1.065,1.065,1
2023-11-10 15:03:00,4000,1.06,1.06,1.06,1.06,1.06,1
2023-11-10 15:24:00,500,1.0404,1.04,1.04,1.04,1.04,6
2023-11-10 15:39:00,200,1.05,1.05,1.05,1.05,1.05,2
2023-11-10 15:41:00,1560,1.04,1.04,1.04,1.04,1.04,4
2023-11-10 15:43:00,2000,1.0395,1.0395,1.0395,1.0395,1.0395,1
2023-11-10 15:51:00,200,1.038,1.038,1.038,1.038,1.038,1
2023-11-10 15:52:00,295,1.03,1.03,1.03,1.03,1.03,1
2023-11-10 16:00:00,400,1.029,1.028,1.03,1.03,1.028,2
2023-11-10 16:02:00,2912,1.0294,1.025,1.03,1.03,1.025,11
2023-11-10 16:27:00,100,1.0399,1.0399,1.0399,1.0399,1.0399,1
2023-11-10 17:08:00,5408,1.0268,1.0323,1.0322,1.0323,1.02,11
2023-11-10 17:19:00,484,1.0258,1.02,1.0298,1.0298,1.02,3
