t,v,vw,o,c,h,l,n
2023-07-05 12:08:00,200,18.21,18.21,18.21,18.21,18.21,1
2023-07-05 12:26:00,602,18.22,18.22,18.22,18.22,18.22,4
2023-07-05 13:21:00,200,18.05,18.05,18.05,18.05,18.05,1
2023-07-05 13:29:00,1709,18.3141,18.21,18.36,18.37,18.21,23
2023-07-05 13:30:00,29621,18.1308,18.13,18.12,18.23,18.12,29
2023-07-05 13:31:00,9078,18.2079,18.11,18.22,18.255,18.11,101
2023-07-05 13:32:00,7753,18.2345,18.24,18.175,18.31,18.15,93
2023-07-05 13:33:00,8077,18.1227,18.16,18.125,18.16,18.09,100
2023-07-05 13:34:00,12312,18.0826,18.14,18.02,18.14,18.02,177
2023-07-05 13:35:00,12292,18.0116,18.05,18.03,18.07,17.97,119
2023-07-05 13:36:00,13295,17.9539,18.02,17.96,18.02,17.91,225
2023-07-05 13:37:00,11497,17.9954,17.94,18.01,18.04,17.925,156
2023-07-05 13:38:00,20874,18.0312,18.03,18.13,18.13,17.97,280
2023-07-05 13:39:00,8248,18.2014,18.13,18.23,18.23,18.13,86
2023-07-05 13:40:00,9984,18.1738,18.23,18.07,18.26,18.07,131
2023-07-05 13:41:00,4431,18.0619,18.08,18.04,18.08,18.04,63
2023-07-05 13:42:00,2694,18.0584,18.04,18.1,18.1,18.01,54
2023-07-05 13:43:00,2422,18.0952,18.1,18.11,18.13,18.08,53
2023-07-05 13:44:00,5199,18.0888,18.11,18.09,18.11,18.06,73
2023-07-05 13:45:00,10864,18.0487,18.06,18.08,18.08,18.01,109
2023-07-05 13:46:00,5450,18.0588,18.07,18.09,18.1,18.03,62
2023-07-05 13:47:00,10949,18.1295,18.1,18.155,18.17,18.1,129
2023-07-05 13:48:00,5778,18.1519,18.16,18.14,18.21,18.12,74
2023-07-05 13:49:00,9700,18.1731,18.15,18.22,18.24,18.12,117
2023-07-05 13:50:00,7967,18.2156,18.215,18.2,18.24,18.2,82
2023-07-05 13:51:00,5286,18.1638,18.22,18.135,18.22,18.12,77
2023-07-05 13:52:00,2307,18.1545,18.12,18.18,18.18,18.12,33
2023-07-05 13:53:00,8300,18.1363,18.19,18.11,18.19,18.08,99
2023-07-05 13:54:00,2473,18.1011,18.1,18.08,18.12,18.08,38
2023-07-05 13:55:00,3793,18.0719,18.065,18.07,18.08,18.055,48
2023-07-05 13:56:00,2295,18.0877,18.0723,18.11,18.11,18.0723,25
2023-07-05 13:57:00,2911,18.1413,18.12,18.12,18.18,18.12,48
