t,v,vw,o,c,h,l,n
2024-02-13 13:32:00,320,51.2688,51.27,51.27,51.27,51.27,2
2024-02-13 14:30:00,19841,51.5437,51.55,51.31,51.55,51.31,72
2024-02-13 14:31:00,4427,51.4121,51.44,51.33,51.44,51.33,66
2024-02-13 14:32:00,2486,51.3884,51.33,51.45,51.45,51.33,61
2024-02-13 14:33:00,1732,51.5279,51.51,51.565,51.57,51.49,60
2024-02-13 14:34:00,3705,51.5874,51.55,51.54,51.65,51.54,89
2024-02-13 14:35:00,1667,51.5553,51.56,51.58,51.58,51.545,55
2024-02-13 14:36:00,1993,51.665,51.59,51.71,51.71,51.59,67
2024-02-13 14:37:00,6476,51.6442,51.7,51.55,51.71,51.54,146
2024-02-13 14:38:00,1914,51.5841,51.56,51.56,51.61,51.51,38
2024-02-13 14:39:00,3517,51.5229,51.54,51.5,51.56,51.5,72
2024-02-13 14:40:00,4546,51.5284,51.51,51.565,51.58,51.5,88
2024-02-13 14:41:00,773,51.5667,51.59,51.55,51.59,51.55,26
2024-02-13 14:42:00,6242,51.5828,51.58,51.5775,51.61,51.56,93
2024-02-13 14:43:00,2093,51.6124,51.61,51.61,51.62,51.6,45
2024-02-13 14:44:00,1862,51.6344,51.61,51.63,51.655,51.61,36
2024-02-13 14:45:00,3042,51.6303,51.63,51.66,51.67,51.63,58
2024-02-13 14:46:00,3188,51.6935,51.645,51.67,51.72,51.645,58
2024-02-13 14:47:00,6589,51.6922,51.65,51.78,51.78,51.65,119
2024-02-13 14:48:00,1515,51.7811,51.79,51.77,51.79,51.77,32
2024-02-13 14:49:00,3963,51.7984,51.77,51.8,51.82,51.77,47
2024-02-13 14:50:00,2300,51.7851,51.83,51.765,51.83,51.765,36
2024-02-13 14:51:00,1692,51.755,51.76,51.78,51.78,51.74,44
2024-02-13 14:52:00,3089,51.8147,51.78,51.8,51.85,51.78,62
2024-02-13 14:53:00,1373,51.7868,51.79,51.7955,51.7955,51.78,39
2024-02-13 14:54:00,1175,51.7684,51.78,51.74,51.78,51.74,21
2024-02-13 14:55:00,1868,51.764,51.76,51.75,51.79,51.75,38
2024-02-13 14:56:00,613,51.7284,51.725,51.72,51.725,51.72,15
2024-02-13 14:57:00,5475,51.7008,51.71,51.645,51.728,51.645,90
2024-02-13 14:58:00,2267,51.6645,51.67,51.68,51.68,51.65,49
2024-02-13 14:59:00,2883,51.6375,51.65,51.62,51.66,51.62,69
2024-02-13 15:00:00,3590,51.6655,51.62,51.69,51.69,51.62,90
2024-02-13 15:01:00,1353,51.6529,51.66,51.65,51.66,51.65,42
2024-02-13 15:02:00,5948,51.6509,51.63,51.7,51.7086,51.62,105
2024-02-13 15:03:00,1409,51.7156,51.71,51.725,51.7399,51.7,33
2024-02-13 15:04:00,3880,51.7893,51.74,51.82,51.82,51.73,74
2024-02-13 15:05:00,6208,51.8533,51.82,51.87,51.87,51.81,111
2024-02-13 15:06:00,4186,51.8729,51.85,51.88,51.89,51.85,87
2024-02-13 15:07:00,2036,51.8883,51.865,51.92,51.92,51.865,51
2024-02-13 15:08:00,5540,51.9139,51.92,51.9,51.95,51.89,118
2024-02-13 15:09:00,1811,51.9188,51.89,51.95,51.95,51.89,70
2024-02-13 15:10:00,5587,51.952,51.95,51.94,51.98,51.92,92
2024-02-13 15:11:00,1642,51.8991,51.92,51.87,51.92,51.87,43
2024-02-13 15:12:00,2865,51.8802,51.9,51.9224,51.9224,51.86,51
2024-02-13 15:14:00,724,51.8981,51.919,51.89,51.919,51.89,35
2024-02-13 15:15:00,7978,51.8184,51.87,51.76,51.87,51.76,154
2024-02-13 15:16:00,4110,51.7707,51.77,51.8065,51.8065,51.72,60
2024-02-13 15:17:00,3635,51.8433,51.81,51.87,51.87,51.81,52
2024-02-13 15:18:00,5384,51.8391,51.88,51.79,51.88,51.7701,82
2024-02-13 15:19:00,4138,51.7494,51.79,51.72,51.79,51.72,84
2024-02-13 15:20:00,3971,51.7232,51.72,51.7,51.74,51.7,58
2024-02-13 15:21:00,3050,51.6945,51.68,51.72,51.72,51.68,56
2024-02-13 15:22:00,2064,51.7299,51.72,51.72,51.73,51.72,45
2024-02-13 15:23:00,3990,51.697,51.72,51.71,51.72,51.67,73
2024-02-13 15:24:00,2343,51.6862,51.68,51.69,51.69,51.67,34
2024-02-13 15:25:00,6818,51.6562,51.66,51.655,51.7,51.63,130
2024-02-13 15:26:00,3935,51.6877,51.67,51.7,51.7137,51.67,68
2024-02-13 15:27:00,4185,51.7294,51.7,51.73,51.745,51.7,113
2024-02-13 15:28:00,2475,51.7256,51.72,51.73,51.74,51.72,43
2024-02-13 15:29:00,3740,51.7467,51.75,51.74,51.77,51.73,61
2024-02-13 15:30:00,6378,51.6993,51.72,51.64,51.72,51.64,91
2024-02-13 15:31:00,4915,51.6395,51.66,51.67,51.67,51.62,76
2024-02-13 15:32:00,3629,51.6082,51.635,51.6,51.635,51.59,55
