t,v,vw,o,c,h,l,n
2024-02-29 09:00:00,1216,108.1489,110.0,106.0,110.0,106.0,40
2024-02-29 09:01:00,3738,105.2025,105.8,105.8,105.8,105.0,74
2024-02-29 09:02:00,875,104.0507,103.6,103.6,103.6,103.6,23
2024-02-29 09:03:00,6850,103.447,103.0,103.5,103.55,103.0,60
2024-02-29 09:04:00,724,103.6452,103.5,104.0,104.0,103.5,16
2024-02-29 09:05:00,433,104.434,104.23,104.23,104.23,104.23,12
2024-02-29 09:06:00,4100,104.6899,104.7,104.68,104.7,104.68,12
2024-02-29 09:07:00,1161,104.9717,104.8,104.99,104.99,104.8,14
2024-02-29 09:08:00,2237,105.1093,104.81,105.0,105.3,104.81,37
2024-02-29 09:09:00,324,104.8876,104.9,104.9,104.9,104.9,11
2024-02-29 09:10:00,338,104.7486,104.74,104.74,104.74,104.74,7
2024-02-29 09:11:00,330,104.6332,104.6,104.6,104.6,104.6,4
2024-02-29 09:12:00,3811,104.5738,104.63,104.5,104.63,104.5,26
2024-02-29 09:13:00,910,104.4945,104.51,104.45,104.51,104.45,8
2024-02-29 09:14:00,504,104.4425,104.51,104.2,104.51,104.2,10
2024-02-29 09:15:00,6868,104.0074,104.2,103.9,104.2,103.9,19
2024-02-29 09:16:00,2094,103.5429,103.6,103.5,103.6,103.5,16
2024-02-29 09:17:00,1157,103.2615,103.1,103.3,103.3,103.1,16
2024-02-29 09:18:00,424,103.2665,103.17,103.17,103.17,103.17,12
2024-02-29 09:20:00,1675,103.2921,103.5,103.17,103.5,103.17,24
2024-02-29 09:26:00,1057,103.5056,103.51,103.1,103.51,103.1,33
2024-02-29 09:30:00,194,103.5081,103.53,103.53,103.53,103.53,4
2024-02-29 09:31:00,730,103.5539,103.5,103.6,103.6,103.5,10
2024-02-29 09:33:00,735,103.8635,103.95,103.95,103.95,103.95,9
2024-02-29 09:35:00,258,104.0885,104.25,104.25,104.25,104.25,10
2024-02-29 09:38:00,2042,104.5292,104.38,105.0,105.0,104.38,23
2024-02-29 09:40:00,259,105.0703,105.0,105.0,105.0,105.0,6
2024-02-29 09:41:00,650,105.3569,105.34,105.35,105.35,105.34,6
2024-02-29 09:42:00,15725,106.8487,105.5,107.0,107.0,105.5,39
2024-02-29 09:43:00,1080,107.0734,107.0,107.07,107.07,107.0,15
2024-02-29 09:44:00,761,107.308,107.27,107.27,107.27,107.27,12
2024-02-29 09:45:00,10026,107.0745,107.07,107.07,107.07,107.07,8
2024-02-29 10:01:00,618,106.1393,106.15,106.15,106.15,106.15,6
2024-02-29 10:06:00,529,106.0028,106.0,106.0,106.0,106.0,6
2024-02-29 10:10:00,7822,106.2797,106.1,106.9,106.9,106.1,30
2024-02-29 10:11:00,4272,106.933,107.0,106.9,107.0,106.9,18
2024-02-29 10:18:00,365,106.6945,106.42,106.8,106.8,106.42,4
2024-02-29 10:22:00,100,106.25,106.25,106.25,106.25,106.25,1
2024-02-29 10:27:00,849,106.6458,106.8,106.8,106.8,106.8,15
2024-02-29 10:29:00,832,106.5014,106.51,106.5,106.51,106.5,8
2024-02-29 10:32:00,302,106.1001,106.1,106.1,106.1,106.1,4
2024-02-29 10:33:00,13179,106.0108,106.1,106.0,106.1,106.0,31
2024-02-29 10:35:00,300,106.0,106.0,106.0,106.0,106.0,2
2024-02-29 10:50:00,250,105.6924,105.6,105.6,105.6,105.6,5
2024-02-29 10:52:00,200,105.6,105.6,105.6,105.6,105.6,1
2024-02-29 10:54:00,200,105.6,105.6,105.6,105.6,105.6,4
2024-02-29 10:55:00,560,105.6,105.6,105.6,105.6,105.6,1
2024-02-29 10:58:00,406,105.8,105.8,105.8,105.8,105.8,3
2024-02-29 11:00:00,100,105.8,105.8,105.8,105.8,105.8,1
2024-02-29 11:01:00,300,105.8,105.8,105.8,105.8,105.8,2
2024-02-29 11:04:00,1785,105.7786,105.8,105.8,105.8,105.8,15
2024-02-29 11:13:00,229,105.5033,105.5,105.5,105.5,105.5,6
2024-02-29 11:17:00,450,105.4911,105.5,105.5,105.5,105.5,5
2024-02-29 11:27:00,4648,105.5596,105.61,105.6,105.61,105.5,16
2024-02-29 11:33:00,566,105.846,105.8,105.91,105.91,105.8,13
2024-02-29 11:37:00,380,106.0024,106.0,106.0,106.0,106.0,5
2024-02-29 11:46:00,616,106.2669,106.25,106.3,106.3,106.25,12
2024-02-29 11:50:00,522,106.5102,106.38,106.5,106.5,106.38,7
2024-02-29 11:51:00,1028,106.9117,106.88,107.0,107.0,106.88,13
2024-02-29 11:55:00,405,107.0672,107.1,107.1,107.1,107.1,7
2024-02-29 11:57:00,300,107.1,107.1,107.1,107.1,107.1,4
2024-02-29 11:58:00,1014,107.2481,107.25,107.25,107.25,107.25,3
2024-02-29 11:59:00,263,107.2518,107.25,107.25,107.25,107.25,9
2024-02-29 12:01:00,499,107.5523,107.4,107.5,107.5,107.4,10
2024-02-29 12:02:00,230,107.8913,107.89,107.89,107.89,107.89,4
2024-02-29 12:03:00,424,107.9972,107.99,108.0,108.0,107.99,3
2024-02-29 12:04:00,1338,108.0,108.0,108.0,108.0,108.0,11
2024-02-29 12:09:00,151,108.0112,108.0,108.0,108.0,108.0,4
2024-02-29 12:11:00,3714,107.9999,108.0,108.0,108.0,108.0,8
2024-02-29 12:19:00,319,107.507,107.5,107.5,107.5,107.5,11
2024-02-29 12:26:00,118,107.5,107.5,107.5,107.5,107.5,3
2024-02-29 12:36:00,684,107.9005,107.74,108.0,108.0,107.74,15
2024-02-29 12:38:00,1381,108.0125,108.0,108.0,108.0,108.0,14
2024-02-29 12:42:00,1170,108.0102,108.0,108.0,108.0,108.0,30
