t,v,vw,o,c,h,l,n
2023-11-17 13:15:00,200,57.6,57.6,57.6,57.6,57.6,1
2023-11-17 14:30:00,28768,57.7612,57.71,57.72,57.97,57.71,119
2023-11-17 14:31:00,6053,57.6886,57.735,57.655,57.81,57.65,47
2023-11-17 14:32:00,2944,57.5063,57.6,57.39,57.6,57.39,34
2023-11-17 14:33:00,18162,57.4858,57.4143,57.46,57.57,57.41,252
2023-11-17 14:34:00,2704,57.4058,57.455,57.31,57.49,57.31,27
2023-11-17 14:35:00,22844,57.3813,57.36,57.57,57.57,57.35,59
2023-11-17 14:36:00,2360,57.5562,57.56,57.56,57.56,57.56,6
2023-11-17 14:37:00,3770,57.2957,57.47,57.19,57.47,57.19,64
2023-11-17 14:38:00,337,57.1786,57.2,57.2,57.2,57.2,4
2023-11-17 14:39:00,4413,57.107,57.22,57.04,57.22,57.04,59
2023-11-17 14:40:00,2733,56.937,57.035,56.87,57.045,56.85,40
2023-11-17 14:41:00,6978,56.8439,56.87,56.845,56.92,56.81,68
2023-11-17 14:42:00,4297,56.7554,56.82,56.71,56.82,56.71,61
2023-11-17 14:43:00,6149,56.7308,56.71,56.69,56.78,56.69,90
2023-11-17 14:44:00,13135,56.6591,56.7,56.62,56.71,56.58,205
2023-11-17 14:45:00,5644,56.5907,56.65,56.5,56.66,56.5,91
2023-11-17 14:46:00,16655,56.3961,56.5,56.37,56.5,56.36,237
2023-11-17 14:47:00,2648,56.3629,56.41,56.325,56.41,56.325,52
2023-11-17 14:48:00,942,56.3221,56.345,56.305,56.345,56.305,25
2023-11-17 14:49:00,9955,56.439,56.34,56.47,56.52,56.315,134
2023-11-17 14:50:00,1670,56.5007,56.48,56.47,56.48,56.47,45
2023-11-17 14:51:00,10614,56.4481,56.54,56.34,56.5499,56.33,112
2023-11-17 14:52:00,8231,56.2598,56.32,56.21,56.32,56.2,81
2023-11-17 14:53:00,5307,56.2259,56.21,56.2,56.26,56.1701,76
2023-11-17 14:54:00,3165,56.2631,56.2,56.3,56.31,56.2,48
2023-11-17 14:55:00,2474,56.3541,56.34,56.3328,56.385,56.3328,41
2023-11-17 14:56:00,1767,56.2932,56.315,56.2,56.33,56.2,34
2023-11-17 14:57:00,11640,56.3316,56.2,56.32,56.37,56.2,126
2023-11-17 14:58:00,2375,56.2928,56.325,56.3,56.325,56.27,35
2023-11-17 14:59:00,3410,56.3118,56.305,56.42,56.42,56.27,49
2023-11-17 15:00:00,3644,56.391,56.42,56.37,56.47,56.35,62
2023-11-17 15:01:00,4342,56.4999,56.46,56.51,56.54,56.46,82
2023-11-17 15:02:00,5841,56.467,56.49,56.435,56.49,56.435,62
2023-11-17 15:03:00,4844,56.3978,56.43,56.36,56.43,56.35,40
2023-11-17 15:04:00,3473,56.3371,56.36,56.31,56.36,56.305,32
2023-11-17 15:05:00,6988,56.3992,56.31,56.45,56.47,56.28,120
2023-11-17 15:06:00,2904,56.4882,56.51,56.57,56.57,56.443,19
2023-11-17 15:07:00,3277,56.5698,56.58,56.64,56.64,56.53,47
2023-11-17 15:08:00,2695,56.7133,56.66,56.75,56.75,56.66,45
2023-11-17 15:09:00,1662,56.7972,56.8,56.77,56.83,56.765,28
2023-11-17 15:10:00,1437,56.7398,56.75,56.73,56.765,56.72,25
2023-11-17 15:11:00,1860,56.695,56.7,56.705,56.705,56.68,23
2023-11-17 15:12:00,1843,56.6304,56.66,56.61,56.66,56.6,27
2023-11-17 15:13:00,826,56.6379,56.66,56.66,56.66,56.66,21
2023-11-17 15:14:00,5399,56.6061,56.65,56.6,56.65,56.59,83
2023-11-17 15:15:00,12828,56.5755,56.58,56.58,56.61,56.56,123
2023-11-17 15:16:00,3702,56.5223,56.55,56.53,56.55,56.495,45
2023-11-17 15:17:00,10834,56.4791,56.51,56.455,56.51,56.4376,95
2023-11-17 15:18:00,1893,56.4528,56.46,56.42,56.48,56.42,39
2023-11-17 15:19:00,483,56.4321,56.435,56.435,56.435,56.435,13
2023-11-17 15:20:00,5615,56.4454,56.44,56.45,56.479,56.43,110
2023-11-17 15:21:00,10055,56.4656,56.45,56.47,56.53,56.43,198
2023-11-17 15:22:00,3600,56.4591,56.44,56.475,56.49,56.44,68
2023-11-17 15:23:00,7364,56.4349,56.42,56.455,56.46,56.42,101
2023-11-17 15:24:00,4009,56.4256,56.47,56.3701,56.47,56.3701,60
2023-11-17 15:25:00,2996,56.4418,56.41,56.4723,56.4723,56.41,67
2023-11-17 15:26:00,1996,56.4179,56.43,56.42,56.43,56.39,55
2023-11-17 15:27:00,1568,56.4723,56.46,56.485,56.485,56.46,40
2023-11-17 15:28:00,7888,56.4018,56.46,56.4,56.46,56.35,81
2023-11-17 15:29:00,2946,56.4831,56.45,56.56,56.56,56.44,57
2023-11-17 15:30:00,2502,56.5807,56.6,56.565,56.63,56.565,37
2023-11-17 15:31:00,3412,56.594,56.62,56.56,56.63,56.53,47
2023-11-17 15:32:00,1118,56.5627,56.5486,56.5675,56.58,56.5486,13
2023-11-17 15:33:00,2187,56.562,56.5823,56.54,56.5823,56.54,31
2023-11-17 15:34:00,800,56.5616,56.56,56.55,56.56,56.55,22
2023-11-17 15:35:00,1659,56.5412,56.5362,56.55,56.55,56.52,25
2023-11-17 15:36:00,1486,56.5166,56.51,56.57,56.57,56.5,40
2023-11-17 15:37:00,1680,56.5327,56.57,56.5,56.57,56.5,20
2023-11-17 15:38:00,830,56.478,56.48,56.45,56.48,56.45,20
2023-11-17 15:39:00,2884,56.5041,56.475,56.51,56.53,56.475,47
2023-11-17 15:40:00,2000,56.5035,56.48,56.515,56.52,56.48,28
2023-11-17 15:41:00,905,56.4998,56.4977,56.485,56.4977,56.48,23
2023-11-17 15:42:00,3373,56.4925,56.5,56.49,56.51,56.45,58
2023-11-17 15:43:00,625,56.4943,56.51,56.48,56.51,56.48,10
2023-11-17 15:44:00,2049,56.5177,56.48,56.55,56.55,56.48,24
2023-11-17 15:45:00,5470,56.6004,56.54,56.6,56.64,56.53,84
2023-11-17 15:46:00,767,56.6192,56.6,56.63,56.63,56.6,19
2023-11-17 15:47:00,5066,56.6227,56.62,56.62,56.64,56.62,67
2023-11-17 15:48:00,1786,56.631,56.62,56.625,56.645,56.62,29
2023-11-17 15:49:00,995,56.632,56.63,56.63,56.64,56.63,18
2023-11-17 15:50:00,643,56.6314,56.65,56.61,56.65,56.61,16
2023-11-17 15:51:00,718,56.6057,56.6,56.6,56.6,56.6,18
2023-11-17 15:52:00,2153,56.6047,56.6,56.59,56.61,56.59,34
2023-11-17 15:53:00,422,56.5548,56.55,56.55,56.55,56.55,16
2023-11-17 15:54:00,1715,56.508,56.51,56.52,56.52,56.49,37
2023-11-17 15:55:00,346,56.5078,56.48,56.52,56.52,56.48,9
2023-11-17 15:56:00,1137,56.5342,56.54,56.52,56.54,56.52,36
2023-11-17 15:57:00,441,56.4826,56.51,56.46,56.51,56.46,11
2023-11-17 15:58:00,2709,56.4571,56.49,56.46,56.51,56.43,53
2023-11-17 15:59:00,577,56.4863,56.4933,56.475,56.4933,56.475,19
2023-11-17 16:00:00,1352,56.4806,56.49,56.46,56.5,56.46,25
2023-11-17 16:01:00,1761,56.4479,56.47,56.45,56.47,56.43,22
2023-11-17 16:02:00,1911,56.4365,56.42,56.4,56.43,56.4,24
2023-11-17 16:03:00,746,56.4381,56.42,56.45,56.45,56.42,13
2023-11-17 16:04:00,4138,56.4334,56.43,56.41,56.46,56.41,39
2023-11-17 16:05:00,399,56.4528,56.47,56.44,56.47,56.44,10
2023-11-17 16:06:00,1689,56.4233,56.4201,56.42,56.445,56.42,6
2023-11-17 16:07:00,516,56.4232,56.4201,56.4255,56.4255,56.4201,2
2023-11-17 16:08:00,2184,56.4131,56.42,56.43,56.43,56.4,43
2023-11-17 16:09:00,3755,56.4528,56.405,56.47,56.5,56.405,39
2023-11-17 16:10:00,898,56.5015,56.49,56.49,56.52,56.49,13
2023-11-17 16:11:00,703,56.486,56.5,56.48,56.5,56.48,12
2023-11-17 16:12:00,707,56.53,56.53,56.55,56.56,56.53,13
2023-11-17 16:13:00,619,56.5669,56.535,56.58,56.58,56.535,10
2023-11-17 16:14:00,2965,56.5254,56.53,56.5,56.5374,56.5,30
2023-11-17 16:15:00,462,56.4997,56.48,56.48,56.48,56.48,9
2023-11-17 16:16:00,2127,56.4768,56.47,56.46,56.51,56.46,39
2023-11-17 16:17:00,455,56.4538,56.45,56.45,56.45,56.45,22
2023-11-17 16:18:00,776,56.4369,56.44,56.44,56.44,56.44,12
