t,v,vw,o,c,h,l,n
2024-01-29 09:57:00,1061,0.4631,0.47,0.4575,0.47,0.4575,5
2024-01-29 10:51:00,399,0.4768,0.476,0.4792,0.4792,0.476,3
2024-01-29 11:03:00,107,0.4636,0.462,0.462,0.462,0.462,2
2024-01-29 11:18:00,205,0.4715,0.4715,0.4715,0.4715,0.4715,2
2024-01-29 11:32:00,300,0.4616,0.4616,0.4616,0.4616,0.4616,3
2024-01-29 11:33:00,206,0.4613,0.461,0.4616,0.4616,0.461,2
2024-01-29 11:54:00,300,0.4705,0.469,0.469,0.469,0.469,3
2024-01-29 11:55:00,100,0.47,0.47,0.47,0.47,0.47,1
2024-01-29 12:00:00,106,0.4752,0.4752,0.4752,0.4752,0.4752,1
2024-01-29 12:19:00,3403,0.4798,0.478,0.48,0.48,0.478,2
2024-01-29 13:00:00,4639,0.4827,0.4799,0.48,0.4862,0.4799,9
2024-01-29 13:02:00,3588,0.4907,0.4755,0.505,0.507,0.4755,7
2024-01-29 13:03:00,723,0.5005,0.505,0.4724,0.505,0.4724,2
2024-01-29 13:04:00,552,0.481,0.48,0.4815,0.4815,0.48,4
2024-01-29 13:36:00,400,0.4815,0.4815,0.4815,0.4815,0.4815,1
2024-01-29 13:49:00,450,0.4979,0.4997,0.4997,0.4997,0.4997,2
2024-01-29 13:55:00,2020,0.4832,0.4833,0.4815,0.4833,0.4815,4
2024-01-29 14:04:00,301,0.4815,0.4815,0.4815,0.4815,0.4815,4
2024-01-29 14:05:00,424,0.4815,0.4815,0.4815,0.4815,0.4815,2
2024-01-29 14:25:00,370,0.4949,0.4949,0.4949,0.4949,0.4949,1
2024-01-29 14:30:00,3132,0.4959,0.495,0.498676,0.498676,0.495,7
2024-01-29 14:31:00,100,0.4951,0.4951,0.4951,0.4951,0.4951,1
2024-01-29 14:32:00,23268,0.4892,0.495,0.485449,0.495,0.485449,4
2024-01-29 14:33:00,402,0.5048,0.5096,0.492401,0.5096,0.492401,4
2024-01-29 14:34:00,7993,0.4923,0.4924,0.49,0.4924,0.49,6
2024-01-29 14:35:00,14525,0.482,0.49,0.4766,0.49,0.4766,24
2024-01-29 14:39:00,280,0.4999,0.4999,0.4999,0.4999,0.4999,1
2024-01-29 14:40:00,300,0.4999,0.4999,0.4999,0.4999,0.4999,1
2024-01-29 14:41:00,100,0.496,0.496,0.496,0.496,0.496,1
2024-01-29 14:47:00,1618,0.4959,0.496,0.496,0.496,0.496,3
2024-01-29 14:54:00,140,0.4866,0.485,0.485,0.485,0.485,2
2024-01-29 14:58:00,1200,0.485,0.485,0.485,0.485,0.485,1
2024-01-29 15:02:00,216,0.485,0.485,0.485,0.485,0.485,2
2024-01-29 15:06:00,100,0.485,0.485,0.485,0.485,0.485,1
2024-01-29 15:22:00,500,0.4911,0.4911,0.4911,0.4911,0.4911,1
2024-01-29 15:24:00,1857,0.4856,0.4911,0.4877,0.4911,0.485,3
2024-01-29 15:25:00,500,0.4871,0.4863,0.4877,0.4877,0.4863,6
2024-01-29 15:42:00,302,0.4959,0.4959,0.4959,0.4959,0.4959,1
2024-01-29 15:43:00,1137,0.4886,0.4872,0.4893,0.4893,0.4861,4
2024-01-29 15:45:00,100,0.4894,0.4894,0.4894,0.4894,0.4894,1
2024-01-29 15:49:00,932,0.4894,0.4894,0.4894,0.4894,0.4894,1
2024-01-29 15:51:00,300,0.4887,0.4894,0.4872,0.4894,0.4872,3
2024-01-29 15:52:00,1615,0.4844,0.485,0.481,0.485,0.481,9
2024-01-29 15:53:00,107,0.4818,0.481793,0.481793,0.481793,0.481793,1
2024-01-29 15:54:00,7062,0.477,0.481,0.475,0.482,0.4725,27
2024-01-29 16:01:00,100,0.4734,0.4734,0.4734,0.4734,0.4734,1
2024-01-29 16:05:00,254,0.4849,0.4849,0.4849,0.4849,0.4849,1
2024-01-29 16:07:00,269,0.4849,0.4849,0.4849,0.4849,0.4849,1
2024-01-29 16:12:00,1832,0.4757,0.4755,0.474,0.48,0.474,7
2024-01-29 16:14:00,950,0.4797,0.48,0.477,0.48,0.477,6
2024-01-29 16:16:00,7491,0.4798,0.48,0.4755,0.48,0.4755,7
2024-01-29 16:18:00,1290,0.4753,0.475001,0.475001,0.475001,0.475001,2
2024-01-29 16:19:00,1350,0.4794,0.4796,0.4775,0.4796,0.4775,2
2024-01-29 16:20:00,100,0.4758,0.4758,0.4758,0.4758,0.4758,1
2024-01-29 16:28:00,3958,0.4747,0.4758,0.476431,0.476431,0.4725,27
2024-01-29 16:29:00,250,0.473,0.473,0.473,0.473,0.473,3
2024-01-29 16:32:00,2597,0.4789,0.478873,0.478873,0.478873,0.478873,2
2024-01-29 16:33:00,715,0.4735,0.4737,0.4736,0.4737,0.4725,9
2024-01-29 16:34:00,430,0.475,0.475,0.475,0.475,0.475,1
2024-01-29 16:44:00,400,0.47,0.47,0.47,0.47,0.47,1
2024-01-29 16:49:00,1100,0.4748,0.475,0.4725,0.475,0.4725,4
2024-01-29 16:52:00,400,0.4701,0.4701,0.4701,0.4701,0.4701,1
2024-01-29 16:54:00,1883,0.475,0.475,0.475,0.475,0.475,10
2024-01-29 16:55:00,238,0.4734,0.475,0.4713,0.475,0.4713,2
2024-01-29 16:56:00,170,0.4726,0.4726,0.4726,0.4726,0.4726,1
2024-01-29 16:58:00,7744,0.4767,0.475,0.4768,0.4778,0.475,9
2024-01-29 17:02:00,500,0.4768,0.4768,0.4768,0.4768,0.4768,1
2024-01-29 17:03:00,1200,0.4762,0.4762,0.4762,0.4762,0.4762,1
2024-01-29 17:05:00,1200,0.4752,0.4752,0.475198,0.4752,0.475198,12
2024-01-29 17:07:00,550,0.4752,0.4752,0.4752,0.4752,0.4752,6
2024-01-29 17:19:00,1496,0.4751,0.4751,0.4751,0.4751,0.4751,1
2024-01-29 17:20:00,100,0.4753,0.4753,0.4753,0.4753,0.4753,1
2024-01-29 17:24:00,9729,0.4796,0.479,0.4784,0.48,0.4761,26
2024-01-29 17:26:00,933,0.48,0.48,0.48,0.48,0.48,6
2024-01-29 17:27:00,7700,0.4873,0.487,0.4894,0.4894,0.4845,17
2024-01-29 17:28:00,254,0.4895,0.489537,0.489537,0.489537,0.489537,1
2024-01-29 17:29:00,101,0.4881,0.488101,0.488101,0.488101,0.488101,2
2024-01-29 17:35:00,200,0.4885,0.4885,0.4885,0.4885,0.4885,1
2024-01-29 17:38:00,305,0.4886,0.4886,0.4886,0.4886,0.4886,3
2024-01-29 17:40:00,1600,0.4877,0.4858,0.4886,0.4886,0.4858,8
2024-01-29 17:42:00,1200,0.4888,0.4895,0.4886,0.4895,0.4886,4
2024-01-29 17:43:00,507,0.4863,0.4828,0.4886,0.4886,0.482788,3
2024-01-29 17:50:00,502,0.4885,0.4885,0.4885,0.4885,0.4885,6
2024-01-29 17:52:00,9791,0.4885,0.4885,0.4886,0.4886,0.4853,9
2024-01-29 17:53:00,35617,0.4885,0.4886,0.4855,0.4886,0.4837,14
2024-01-29 17:54:00,3632,0.489,0.488999,0.4889,0.488999,0.4889,5
2024-01-29 17:55:00,355,0.4892,0.4855,0.496,0.496,0.4855,7
2024-01-29 17:56:00,510,0.5,0.5,0.5,0.5,0.5,5
2024-01-29 17:57:00,100,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 17:58:00,2086,0.5285,0.53,0.500101,0.53,0.500101,12
2024-01-29 17:59:00,501,0.5251,0.5251,0.5251,0.5251,0.5251,2
2024-01-29 18:00:00,200,0.5001,0.5001,0.5001,0.5001,0.5001,2
2024-01-29 18:04:00,200,0.5161,0.53,0.5022,0.53,0.5022,2
2024-01-29 18:06:00,300,0.5022,0.502201,0.5022,0.502201,0.5022,2
2024-01-29 18:08:00,500,0.51,0.5079,0.5108,0.5108,0.5079,4
2024-01-29 18:09:00,401,0.5115,0.510901,0.5116,0.511601,0.510901,4
2024-01-29 18:10:00,2100,0.5188,0.5121,0.5191,0.5191,0.5121,3
2024-01-29 18:11:00,1612,0.5197,0.52,0.5148,0.52,0.5148,4
2024-01-29 18:12:00,500,0.51,0.51,0.51,0.51,0.51,3
2024-01-29 18:15:00,1951,0.515,0.515,0.515,0.515,0.515,7
2024-01-29 18:19:00,3587,0.5121,0.513101,0.5075,0.513101,0.5075,8
2024-01-29 18:20:00,2415,0.5007,0.5001,0.5037,0.5037,0.5001,6
2024-01-29 18:25:00,1512,0.5,0.5,0.5,0.5,0.5,2
2024-01-29 18:26:00,10000,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 18:28:00,2000,0.5001,0.5001,0.5001,0.5001,0.5001,1
2024-01-29 18:29:00,7682,0.5028,0.5001,0.5,0.507501,0.5,9
2024-01-29 18:30:00,1881,0.4936,0.4907,0.4971,0.4971,0.4907,7
2024-01-29 18:34:00,1000,0.5011,0.4906,0.5037,0.5037,0.4906,3
2024-01-29 18:39:00,269,0.4907,0.4907,0.4907,0.4907,0.4907,1
2024-01-29 19:06:00,7109,0.4943,0.494337,0.495,0.495,0.494337,3
2024-01-29 19:09:00,120,0.4984,0.498101,0.498101,0.498101,0.498101,2
2024-01-29 19:14:00,650,0.4934,0.4934,0.4934,0.4934,0.4934,1
2024-01-29 19:30:00,100,0.4971,0.4971,0.4971,0.4971,0.4971,1
2024-01-29 19:31:00,1074,0.4958,0.497,0.4945,0.4971,0.4945,7
2024-01-29 19:32:00,500,0.497,0.497,0.497,0.497,0.497,1
2024-01-29 19:36:00,500,0.4942,0.4936,0.4967,0.4967,0.4936,2
2024-01-29 19:44:00,1600,0.4907,0.4907,0.4907,0.4907,0.4907,1
2024-01-29 19:54:00,100,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 19:56:00,100,0.5001,0.5001,0.5001,0.5001,0.5001,1
2024-01-29 19:57:00,399,0.515,0.515,0.515,0.515,0.515,1
2024-01-29 20:00:00,543,0.5067,0.5067,0.5067,0.5067,0.5067,1
2024-01-29 20:01:00,1694,0.5149,0.5149,0.5149,0.5149,0.5149,2
2024-01-29 20:03:00,1000,0.5148,0.514799,0.514799,0.514799,0.514799,1
2024-01-29 20:06:00,400,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 20:07:00,3320,0.5116,0.5115,0.5149,0.5149,0.51,3
2024-01-29 20:10:00,104,0.514,0.514,0.514,0.514,0.514,2
2024-01-29 20:11:00,700,0.5074,0.5074,0.5074,0.5074,0.5074,1
2024-01-29 20:14:00,1807,0.5072,0.51,0.5037,0.51,0.5037,6
2024-01-29 20:16:00,100,0.505,0.505,0.505,0.505,0.505,1
2024-01-29 20:17:00,270,0.5025,0.5015,0.5031,0.5031,0.5015,4
2024-01-29 20:18:00,400,0.5031,0.5031,0.5031,0.5031,0.5031,1
2024-01-29 20:19:00,1500,0.5032,0.5031,0.5031,0.503844,0.5031,6
2024-01-29 20:22:00,500,0.503,0.503,0.503,0.503,0.503,1
2024-01-29 20:23:00,200,0.5051,0.5058,0.5044,0.5058,0.5044,2
2024-01-29 20:25:00,5565,0.5094,0.513,0.5085,0.513,0.5085,2
2024-01-29 20:26:00,400,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 20:27:00,631,0.5075,0.507501,0.507501,0.507501,0.507501,2
2024-01-29 20:28:00,3082,0.5084,0.5084,0.5084,0.5084,0.5084,3
2024-01-29 20:36:00,770,0.5077,0.508,0.507,0.508,0.507,5
2024-01-29 20:37:00,11067,0.5069,0.507,0.513,0.513,0.5035,22
2024-01-29 20:40:00,445,0.507,0.507,0.507,0.507,0.507,2
2024-01-29 20:45:00,200,0.5095,0.509549,0.509549,0.509549,0.509549,1
2024-01-29 20:46:00,28056,0.5178,0.51,0.5037,0.519,0.5037,14
2024-01-29 20:47:00,3109,0.5043,0.5037,0.5189,0.5189,0.5035,17
2024-01-29 20:50:00,1307,0.5016,0.5016,0.5016,0.5016,0.5016,1
2024-01-29 20:53:00,210,0.518,0.518,0.518,0.518,0.518,1
2024-01-29 20:54:00,4503,0.515,0.517,0.5189,0.5189,0.5045,25
2024-01-29 20:55:00,1000,0.519,0.519,0.519,0.519,0.519,2
2024-01-29 20:56:00,4663,0.5088,0.5087,0.5165,0.5165,0.5025,15
2024-01-29 20:57:00,6120,0.5147,0.501952,0.515,0.515,0.501952,10
2024-01-29 20:58:00,1052,0.5019,0.507,0.5001,0.507,0.5001,6
2024-01-29 20:59:00,377,0.5037,0.5075,0.501,0.5075,0.501,3
2024-01-29 21:25:00,100,0.515,0.515,0.515,0.515,0.515,1
2024-01-29 22:36:00,300,0.5,0.5,0.5,0.5,0.5,1
2024-01-29 23:28:00,1000,0.51,0.51,0.51,0.51,0.51,1
2024-01-29 23:47:00,200,0.5099,0.5099,0.5099,0.5099,0.5099,1
2024-01-29 23:49:00,500,0.51,0.51,0.51,0.51,0.51,2
2024-01-30 00:25:00,800,0.51,0.5099,0.51,0.51,0.5099,2
2024-01-30 09:19:00,200,0.487,0.487,0.487,0.487,0.487,1
2024-01-30 09:21:00,400,0.487,0.487,0.487,0.487,0.487,2
2024-01-30 09:22:00,143,0.487,0.487,0.487,0.487,0.487,1
2024-01-30 09:37:00,1023,0.49,0.4899,0.49,0.49,0.4899,2
2024-01-30 11:48:00,1499,0.479,0.49,0.4605,0.49,0.4605,11
2024-01-30 12:00:00,100,0.47,0.47,0.47,0.47,0.47,1
2024-01-30 12:01:00,300,0.5003,0.501,0.5,0.501,0.5,2
2024-01-30 12:03:00,100,0.49,0.49,0.49,0.49,0.49,1
2024-01-30 12:10:00,100,0.5,0.5,0.5,0.5,0.5,1
2024-01-30 12:19:00,579,0.5,0.5,0.5,0.5,0.5,2
2024-01-30 12:33:00,450,0.4855,0.4799,0.4899,0.4899,0.4799,3
2024-01-30 13:00:00,715,0.4965,0.501,0.495,0.501,0.495,3
2024-01-30 13:02:00,397,0.5001,0.5,0.5,0.5,0.5,3
2024-01-30 14:14:00,395,0.5059,0.502,0.51,0.51,0.502,2
2024-01-30 14:19:00,100,0.5099,0.5099,0.5099,0.5099,0.5099,1
2024-01-30 14:22:00,100,0.5022,0.5022,0.5022,0.5022,0.5022,1
2024-01-30 14:27:00,200,0.5199,0.5199,0.5199,0.5199,0.5199,1
2024-01-30 14:30:00,529,0.5139,0.5139,0.5139,0.5139,0.5139,2
2024-01-30 14:32:00,8487,0.5107,0.508049,0.5115,0.51715,0.5022,26
2024-01-30 14:33:00,2000,0.5101,0.5101,0.5101,0.5101,0.5101,1
2024-01-30 14:34:00,300,0.5147,0.510101,0.524,0.524,0.510101,2
2024-01-30 14:37:00,155,0.515,0.5101,0.5101,0.5101,0.5101,2
2024-01-30 14:44:00,302,0.51,0.51,0.51,0.51,0.51,1
2024-01-30 14:53:00,1976,0.5182,0.524,0.5101,0.524,0.5101,3
2024-01-30 14:58:00,100,0.51,0.51,0.51,0.51,0.51,1
2024-01-30 15:02:00,2893,0.524,0.524,0.524,0.524,0.524,1
2024-01-30 15:12:00,5000,0.517,0.517049,0.517049,0.517049,0.517049,1
2024-01-30 15:13:00,990,0.5241,0.5241,0.5241,0.5241,0.5241,1
2024-01-30 15:14:00,300,0.5241,0.5241,0.5241,0.5241,0.5241,1
2024-01-30 15:15:00,1257,0.514,0.5117,0.5135,0.517049,0.5117,8
2024-01-30 15:16:00,3000,0.5238,0.524,0.517,0.524,0.517,2
2024-01-30 15:18:00,160,0.517,0.517001,0.517001,0.517001,0.517001,1
2024-01-30 15:27:00,3180,0.5105,0.510141,0.510141,0.510141,0.510141,5
2024-01-30 15:31:00,1010,0.517,0.517051,0.517051,0.517051,0.517051,2
2024-01-30 15:40:00,252,0.5171,0.51705,0.51705,0.51705,0.51705,2
2024-01-30 15:41:00,449,0.511,0.5108,0.5117,0.5117,0.5108,3
2024-01-30 15:46:00,16050,0.523,0.5169,0.517,0.524,0.5134,32
2024-01-30 15:48:00,16250,0.534,0.5241,0.536399,0.5365,0.5241,31
2024-01-30 15:49:00,2224,0.5358,0.5352,0.5365,0.5365,0.5352,4
2024-01-30 15:50:00,1278,0.5364,0.5365,0.5365,0.5365,0.5365,3
2024-01-30 15:52:00,568,0.5303,0.5301,0.5311,0.5311,0.5301,5
2024-01-30 15:53:00,28345,0.5487,0.532,0.530101,0.5683,0.53,27
2024-01-30 15:54:00,5850,0.5288,0.535,0.5262,0.535,0.5262,8
2024-01-30 15:55:00,900,0.5231,0.5231,0.5231,0.5231,0.5231,7
2024-01-30 15:56:00,354,0.5216,0.5203,0.52069,0.5207,0.5203,6
2024-01-30 15:58:00,800,0.5284,0.5284,0.5284,0.5284,0.5284,1
2024-01-30 16:01:00,100,0.548,0.54799,0.54799,0.54799,0.54799,1
2024-01-30 16:02:00,200,0.5285,0.5285,0.5284,0.5285,0.5284,2
2024-01-30 16:03:00,100,0.5285,0.528501,0.528501,0.528501,0.528501,1
2024-01-30 16:07:00,1000,0.5317,0.535,0.5284,0.535,0.5284,2
2024-01-30 16:09:00,1000,0.5297,0.5297,0.5297,0.5297,0.5297,1
2024-01-30 16:10:00,210,0.5285,0.5285,0.5285,0.5285,0.5285,1
2024-01-30 16:11:00,2449,0.5285,0.528501,0.5285,0.528501,0.5284,3
2024-01-30 16:15:00,1048,0.5461,0.5467,0.5467,0.5467,0.5467,3
2024-01-30 16:16:00,700,0.5309,0.5293,0.5301,0.5317,0.5293,6
2024-01-30 16:17:00,100,0.5286,0.5286,0.5286,0.5286,0.5286,1
2024-01-30 16:19:00,150,0.5286,0.5286,0.5286,0.5286,0.5286,2
2024-01-30 16:21:00,1018,0.5299,0.534,0.5286,0.5355,0.5286,5
2024-01-30 16:22:00,450,0.537,0.537,0.537,0.537,0.537,1
2024-01-30 16:23:00,3480,0.5354,0.5354,0.5354,0.5354,0.5354,1
